	id_cp_interaction	partner_a	partner_b	protein_name_a	protein_name_b	annotation_strategy	source	gene_name_a	gene_name_b	gene_name_mouse_a	gene_name_mouse_b
467	CPI-SS00046DCF3	P54764	P98172	EPHA4_HUMAN	EFNB1_HUMAN	curated	PMID: 15114347	EPHA4	EFNB1	Epha4	Efnb1
468	CPI-SS000568A0E	P06734	P20023	FCER2_HUMAN	CR2_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/16785534,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2212946/	FCER2	CR2	Fcer2a	Cr2
469	CPI-SS0008137B6	P52798	P54756	EFNA4_HUMAN	EPHA5_HUMAN	curated	PMID: 15114347	EFNA4	EPHA5	Efna4	Epha5
471	CPI-SS0014DB67C	O95813	Q9UBG0	CER1_HUMAN	MRC2_HUMAN	InnateDB-All		CER1	MRC2	Cer1	Mrc2
474	CPI-SS002673EFE	P41221	Q9NPG1	WNT5A_HUMAN	FZD3_HUMAN	curated	PMID: 24032637	WNT5A	FZD3	Wnt5a	Fzd3
476	CPI-SS003610FF9	P49682	Q99731	CXCR3_HUMAN	CCL19_HUMAN	guidetopharmacology.org		CXCR3	CCL19	Cxcr3	Ccl19
477	CPI-SS00399ED03	P01185	P37288	NEU2_HUMAN	V1AR_HUMAN	I2D,IMEx,IntAct		AVP	AVPR1A	Avp	Avpr1a
478	CPI-SS003AFD9BA	P01286	P32241	SLIB_HUMAN	VIPR1_HUMAN	guidetopharmacology.org		GHRH	VIPR1	Ghrh	Vipr1
479	CPI-SS003C9A532	Q04721	Q9NYJ7	NOTC2_HUMAN	DLL3_HUMAN	curated	PMID: 22353464	NOTCH2	DLL3	Notch2	Dll3
481	CPI-SS004A073E1	P04629	P20783	NTRK1_HUMAN	NTF3_HUMAN	curated	uniprot	NTRK1	NTF3	Ntrk1	Ntf3
482	CPI-SS004C23DCE	O14944	P00533	EREG_HUMAN	EGFR_HUMAN	curated	uniprot	EREG	EGFR	Ereg	Egfr
483	CPI-SS00550260E	Q8N126	Q9NQS3	CADM3_HUMAN	PVRL3_HUMAN	curated	uniprot	CADM3	NECTIN3	Cadm3	Nectin3
484	CPI-SS0055264F3	P00533	P01137	EGFR_HUMAN	TGFB1_HUMAN	IMEx,InnateDB-All,MINT		EGFR	TGFB1	Egfr	Tgfb1
486	CPI-SS0057AB387	Q2MKA7	Q9BXB1	RSPO1_HUMAN	LGR4_HUMAN	guidetopharmacology.org		RSPO1	LGR4	Rspo1	Lgr4
487	CPI-SS00581282E	P01031	P21730	CO5_HUMAN	C5AR1_HUMAN	guidetopharmacology.org		C5	C5AR1	Hc	C5ar1
488	CPI-SS00661A3A4	Q15223	Q8N126	PVRL1_HUMAN	CADM3_HUMAN	curated	uniprot	NECTIN1	CADM3	Nectin1	Cadm3
489	CPI-SS00689751B	P01236	P16471	PRL_HUMAN	PRLR_HUMAN	I2D,IMEx,InnateDB,IntAct		PRL	PRLR	Prl	Prlr
490	CPI-SS006C6537E	P21741	Q07954	MK_HUMAN	LRP1_HUMAN	I2D,InnateDB-All		MDK	LRP1	Mdk	Lrp1
493	CPI-SS0073098F3	P35225	Q86XT9	IL13_HUMAN	TM219_HUMAN	IMEx,IntAct		IL13	TMEM219	Il13	Tmem219
495	CPI-SS007AA9FDE	P80370	Q9UM47	DLK1_HUMAN	NOTC3_HUMAN	curated	PMID: 22353464	DLK1	NOTCH3	Dlk1	Notch3
496	CPI-SS008509DBD	O00230	P31391	CORT_HUMAN	SSR4_HUMAN	guidetopharmacology.org		CORT	SSTR4	Cort	Sstr4
499	CPI-SS008F83E02	P13236	Q9NZD1	CCL4_HUMAN	GPC5D_HUMAN	IMEx,IntAct		CCL4	GPRC5D	Ccl4	Gprc5d
500	CPI-SS008FB916C	P09038	P22455	FGF2_HUMAN	FGFR4_HUMAN	curated	uniprot	FGF2	FGFR4	Fgf2	Fgfr4
501	CPI-SS0097929A7	P18075	Q13291	BMP7_HUMAN	SLAF1_HUMAN	InnateDB-All		BMP7	SLAMF1	Bmp7	Slamf1
502	CPI-SS0098B5107	P18509	P47872	PACA_HUMAN	SCTR_HUMAN	I2D,InnateDB-All		ADCYAP1	SCTR	Adcyap1	Sctr
503	CPI-SS00A6240B6	P04628	Q01974	WNT1_HUMAN	ROR2_HUMAN	InnateDB-All		WNT1	ROR2	Wnt1	Ror2
504	CPI-SS00A6D366F	P29274	P43490	AA2AR_HUMAN	NAMPT_HUMAN	I2D,IMEx,InnateDB-All,MINT		ADORA2A	NAMPT	Adora2a	Nampt
508	CPI-SS00AD71822	P06307	P32239	CCKN_HUMAN	GASR_HUMAN	guidetopharmacology.org		CCK	CCKBR	Cck	Cckbr
509	CPI-SS00AEC3818	Q99731	Q9NPB9	CCL19_HUMAN	ACKR4_HUMAN	curated	PMID: 24218476	CCL19	ACKR4	Ccl19	Ackr4
511	CPI-SS00BBA318F	Q02763	Q9Y264	TIE2_HUMAN	ANGP4_HUMAN	curated	uniprot	TEK	ANGPT4	Tek	Angpt4
512	CPI-SS00BD8FF72	P01189	Q01726	COLI_HUMAN	MSHR_HUMAN	guidetopharmacology.org		POMC	MC1R	Pomc	Mc1r
513	CPI-SS00C069DCB	P30872	P61278	SSR1_HUMAN	SMS_HUMAN	I2D		SSTR1	SST	Sstr1	Sst
514	CPI-SS00D153A8A	Q99466	Q9NR61	NOTC4_HUMAN	DLL4_HUMAN	curated	PMID: 22353464	NOTCH4	DLL4	Notch4	Dll4
515	CPI-SS00D3CD86E	P02766	Q08345	TTHY_HUMAN	DDR1_HUMAN	I2D,IMEx,InnateDB-All,IntAct		TTR	DDR1	Ttr	Ddr1
516	CPI-SS00D9A0644	P21802	Q01151	FGFR2_HUMAN	CD83_HUMAN	InnateDB-All		FGFR2	CD83	Fgfr2	Cd83
517	CPI-SS00D9A2FD0	P10997	P30988	IAPP_HUMAN	CALCR_HUMAN	guidetopharmacology.org		IAPP	CALCR	Iapp	Calcr
518	CPI-SS00E3EB9FE	P34972	Q15848	CNR2_HUMAN	ADIPO_HUMAN	IMEx,IntAct		CNR2	ADIPOQ	Cnr2	Adipoq
519	CPI-SS00E3F772A	P27539	Q13639	GDF1_HUMAN	5HT4R_HUMAN	IMEx,MINT		GDF1	HTR4	Gdf1	Htr4
520	CPI-SS00E5D7E39	O00230	Q92847	CORT_HUMAN	GHSR_HUMAN	I2D		CORT	GHSR	Cort	Ghsr
521	CPI-SS00E68BB92	P21781	P22607	FGF7_HUMAN	FGFR3_HUMAN	I2D		FGF7	FGFR3	Fgf7	Fgfr3
523	CPI-SS00EDDD458	P00533	P14174	EGFR_HUMAN	MIF_HUMAN	IMEx,InnateDB-All		EGFR	MIF	Egfr	Mif
524	CPI-SS00F282936	O00574	Q9H2A7	CXCR6_HUMAN	CXL16_HUMAN	guidetopharmacology.org		CXCR6	CXCL16	Cxcr6	Cxcl16
525	CPI-SS00F4DDF4B	P21246	Q13332	PTN_HUMAN	PTPRS_HUMAN	I2D,IMEx,InnateDB-All,IntAct		PTN	PTPRS	Ptn	Ptprs
526	CPI-SS00F69C501	P20396	P34981	TRH_HUMAN	TRFR_HUMAN	I2D		TRH	TRHR	Trh	Trhr
530	CPI-SS0110361CB	P01374	Q92956	TNFB_HUMAN	TNR14_HUMAN	curated	uniprot	LTA	TNFRSF14	Lta	Tnfrsf14
531	CPI-SS0111AAD26	P29323	P98172	EPHB2_HUMAN	EFNB1_HUMAN	curated	PMID: 15114347	EPHB2	EFNB1	Ephb2	Efnb1
532	CPI-SS01158CABF	O15552	Q92520	FFAR2_HUMAN	FAM3C_HUMAN	IMEx,IntAct		FFAR2	FAM3C	Ffar2	Fam3c
533	CPI-SS012AFC842	P21741	Q9UM73	MK_HUMAN	ALK_HUMAN	curated	uniprot	MDK	ALK	Mdk	Alk
534	CPI-SS012B216F6	P12272	P49190	PTHR_HUMAN	PTH2R_HUMAN	guidetopharmacology.org		PTHLH	PTH2R	Pthlh	Pth2r
535	CPI-SS012B7C21D	P46531	Q9NR61	NOTC1_HUMAN	DLL4_HUMAN	curated	PMID: 22353464	NOTCH1	DLL4	Notch1	Dll4
536	CPI-SS012CCE326	P29322	P52803	EPHA8_HUMAN	EFNA5_HUMAN	curated	PMID: 15114347	EPHA8	EFNA5	Epha8	Efna5
537	CPI-SS0133239EA	P18509	P41586	PACA_HUMAN	PACR_HUMAN	I2D,IMEx		ADCYAP1	ADCYAP1R1	Adcyap1	Adcyap1r1
538	CPI-SS013E86AFF	P08620	P22607	FGF4_HUMAN	FGFR3_HUMAN	I2D		FGF4	FGFR3	Fgf4	Fgfr3
539	CPI-SS01442BDB7	Q8WXD0	Q8WXF3	RXFP2_HUMAN	REL3_HUMAN	guidetopharmacology.org		RXFP2	RLN3	Rxfp2	Rln3
540	CPI-SS01469637C	Q93097	Q9ULV1	WNT2B_HUMAN	FZD4_HUMAN	curated	PMID: 24032637	WNT2B	FZD4	Wnt2b	Fzd4
541	CPI-SS0148BDF1C	Q5H8A3	Q9HB89	NMS_HUMAN	NMUR1_HUMAN	guidetopharmacology.org		NMS	NMUR1	Nms	Nmur1
543	CPI-SS014B0FCD2	P04628	Q9NPG1	WNT1_HUMAN	FZD3_HUMAN	I2D		WNT1	FZD3	Wnt1	Fzd3
545	CPI-SS014E486AB	P10767	P11362	FGF6_HUMAN	FGFR1_HUMAN	I2D,InnateDB-All		FGF6	FGFR1	Fgf6	Fgfr1
547	CPI-SS015819E65	P05230	P22607	FGF1_HUMAN	FGFR3_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGF1	FGFR3	Fgf1	Fgfr3
549	CPI-SS015E1E2C6	P16109	P28906	LYAM3_HUMAN	CD34_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/18606703	SELP	CD34	Selp	Cd34
550	CPI-SS016B111FE	P01344	Q8TDT2	IGF2_HUMAN	GP152_HUMAN	IMEx,IntAct		IGF2	GPR152	Igf2	Gpr152
551	CPI-SS016B7C7D6	P12643	Q99835	BMP2_HUMAN	SMO_HUMAN	I2D		BMP2	SMO	Bmp2	Smo
552	CPI-SS016EE0084	Q15116	Q9NZQ7	PDCD1_HUMAN	PD1L1_HUMAN	curated	antigen-stimulated T cells become anergic. PMID: 23954143	PDCD1	CD274	Pdcd1	Cd274
553	CPI-SS0178F5C45	P61812	Q03167	TGFB2_HUMAN	TGBR3_HUMAN	curated	uniprot	TGFB2	TGFBR3	Tgfb2	Tgfbr3
