Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-909733,Interferon alpha/beta signaling,,-35,33,30,28160,70,338,28,8.3,1.5,684|2537|3105|3430|3433|3434|3437|3660|3665|3669|4599|4600|4938|4939|4940|5696|6772|6773|8519|8638|9636|10379|10410|10581|11274|24138|54739|91543,BST2|IFI6|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS2|OAS3|PSMB8|STAT1|STAT2|IFITM1|OASL|ISG15|IRF9|IFITM3|IFITM2|USP18|IFIT5|XAF1|RSAD2,-32
MyList,GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-33,11,20,28160,369,338,47,14,1.9,684|1191|2537|3315|3428|3433|3434|3437|3660|3665|3669|3965|4599|4600|4938|4939|4940|5359|5610|6375|6502|6772|6773|8519|8638|8725|8815|9111|9636|10346|10379|10410|10577|10581|10964|11277|23586|24138|51191|51728|55337|55601|64108|79132|81030|83666|91543,BST2|CLU|IFI6|HSPB1|IFI16|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|LGALS9|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|XCL1|SKP2|STAT1|STAT2|IFITM1|OASL|URI1|BANF1|NMI|ISG15|TRIM22|IRF9|IFITM3|NPC2|IFITM2|IFI44L|TREX1|DDX58|IFIT5|HERC5|POLR3K|SHFL|DDX60|RTP4|DHX58|ZBP1|PARP9|RSAD2,-30
MyList,Reactome Gene Sets,6,R-HSA-913531,Interferon Signaling,,-32,15,23,28160,199,338,37,11,1.7,567|684|2537|3105|3430|3433|3434|3437|3660|3665|3669|4502|4599|4600|4938|4939|4940|5610|5696|6737|6772|6773|8519|8638|9246|9636|10346|10379|10410|10581|11274|23586|24138|51191|54739|91543|129401,B2M|BST2|IFI6|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|MT2A|MX1|MX2|OAS1|OAS2|OAS3|EIF2AK2|PSMB8|TRIM21|STAT1|STAT2|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFITM2|USP18|DDX58|IFIT5|HERC5|XAF1|RSAD2|NUP35,-29
MyList,GO Biological Processes,19,GO:0051607,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-30,12,20,28160,267,338,39,12,1.7,684|2537|3428|3433|3434|3437|3660|3665|3669|4599|4600|4938|4939|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|10964|11277|23586|24138|51191|51728|55337|55601|64108|79132|81030|83666|91543,BST2|IFI6|IFI16|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|IFI44L|TREX1|DDX58|IFIT5|HERC5|POLR3K|SHFL|DDX60|RTP4|DHX58|ZBP1|PARP9|RSAD2,-27
MyList,GO Biological Processes,19,GO:0140546,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-30,12,20,28160,267,338,39,12,1.7,684|2537|3428|3433|3434|3437|3660|3665|3669|4599|4600|4938|4939|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|10964|11277|23586|24138|51191|51728|55337|55601|64108|79132|81030|83666|91543,BST2|IFI6|IFI16|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|IFI44L|TREX1|DDX58|IFIT5|HERC5|POLR3K|SHFL|DDX60|RTP4|DHX58|ZBP1|PARP9|RSAD2,-27
MyList,Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-24,5.9,15,28160,715,338,51,15,1.9,567|684|834|1052|2537|3105|3430|3433|3434|3437|3561|3660|3665|3669|3965|4049|4050|4502|4599|4600|4938|4939|4940|5599|5610|5696|5698|5782|6737|6772|6773|8519|8638|8740|8742|8784|9246|9636|9978|10346|10379|10410|10581|11274|23586|24138|51191|54739|91543|129401|654483,B2M|BST2|CASP1|CEBPD|IFI6|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IL2RG|IRF2|IRF7|ISG20|LGALS9|LTA|LTB|MT2A|MX1|MX2|OAS1|OAS2|OAS3|MAPK8|EIF2AK2|PSMB8|PSMB9|PTPN12|TRIM21|STAT1|STAT2|IFITM1|OASL|TNFSF14|TNFSF12|TNFRSF18|UBE2L6|ISG15|RBX1|TRIM22|IRF9|IFITM3|IFITM2|USP18|DDX58|IFIT5|HERC5|XAF1|RSAD2|NUP35|BOLA2B,-21
MyList,GO Biological Processes,19,GO:0045071,negative regulation of viral genome replication,19_GO:0016032 viral process,-22,28,23,28160,56,338,19,5.6,1.3,684|3428|3434|3669|4599|4938|4939|4940|5359|5610|8519|8638|8815|9636|10410|10581|24138|55337|91543,BST2|IFI16|IFIT1|ISG20|MX1|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|BANF1|ISG15|IFITM3|IFITM2|IFIT5|SHFL|RSAD2,-19
MyList,GO Biological Processes,19,GO:0050792,regulation of viral process,19_GO:0016032 viral process,-22,14,18,28160,164,338,27,8,1.5,684|3428|3434|3669|3965|4061|4599|4938|4939|4940|5359|5610|6737|6772|6993|8519|8638|8815|9636|10346|10410|10581|11267|24138|27074|55337|91543,BST2|IFI16|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|TRIM21|STAT1|DYNLT1|IFITM1|OASL|BANF1|ISG15|TRIM22|IFITM3|IFITM2|SNF8|IFIT5|LAMP3|SHFL|RSAD2,-19
MyList,GO Biological Processes,19,GO:0048525,negative regulation of viral process,19_GO:0016032 viral process,-22,20,20,28160,92,338,22,6.5,1.3,684|3428|3434|3669|4061|4599|4938|4939|4940|5359|5610|6737|6772|8519|8638|8815|9636|10410|10581|24138|55337|91543,BST2|IFI16|IFIT1|ISG20|LY6E|MX1|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|TRIM21|STAT1|IFITM1|OASL|BANF1|ISG15|IFITM3|IFITM2|IFIT5|SHFL|RSAD2,-19
MyList,GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-21,8.7,15,28160,327,338,34,10,1.6,2|2896|3105|3428|3430|3434|3665|3965|4938|4940|5359|5578|6737|6772|6773|7305|8638|9111|9636|11126|11274|11277|22914|23586|51191|54625|55601|56339|79132|81030|83666|114769|149628|259197,A2M|GRN|HLA-A|IFI16|IFI35|IFIT1|IRF7|LGALS9|OAS1|OAS3|PLSCR1|PRKCA|TRIM21|STAT1|STAT2|TYROBP|OASL|NMI|ISG15|CD160|USP18|TREX1|KLRK1|DDX58|HERC5|PARP14|DDX60|METTL3|DHX58|ZBP1|PARP9|CARD16|PYHIN1|NCR3,-18
