Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
2207,3.0,1,1,1
54962,3.0,1,1,1
6502,3.0,1,1,1
27074,3.0,1,1,1
8818,3.0,1,1,1
6883,3.0,1,1,1
51191,3.0,1,1,1
4801,3.0,1,1,1
8740,3.0,1,1,1
81030,3.0,1,1,1
91543,3.0,1,1,1
2,3.0,1,1,1
57282,3.0,1,1,1
2896,3.0,1,1,1
147007,3.0,1,1,1
3105,3.0,1,1,1
51510,3.0,1,1,1
5985,3.0,1,1,1
56339,3.0,1,1,1
8379,3.0,1,1,1
644096,3.0,1,1,1
8743,3.0,1,1,1
1460,3.0,1,1,1
654483,3.0,1,1,1
2966,3.0,1,1,1
9397,3.0,1,1,1
2475,3.0,1,1,1
3437,3.0,1,1,1
11201,3.0,1,1,1
3812,3.0,1,1,1
5473,3.0,1,1,1
4600,3.0,1,1,1
4049,3.0,1,1,1
51650,3.0,1,1,1
64951,3.0,1,1,1
9025,3.0,1,1,1
10346,3.0,1,1,1
51079,3.0,1,1,1
6303,3.0,1,1,1
5599,3.0,1,1,1
5605,3.0,1,1,1
11277,3.0,1,1,1
23421,3.0,1,1,1
22914,3.0,1,1,1
4704,3.0,1,1,1
55601,3.0,1,1,1
87178,3.0,1,1,1
28985,3.0,1,1,1
23586,3.0,1,1,1
29074,3.0,1,1,1
1528,3.0,1,1,1
9111,3.0,1,1,1
55337,3.0,1,1,1
81847,3.0,1,1,1
6375,3.0,1,1,1
11116,3.0,1,1,1
4050,3.0,1,1,1
5359,3.0,1,1,1
54625,3.0,1,1,1
6773,3.0,1,1,1
2537,3.0,1,1,1
6737,3.0,1,1,1
3428,3.0,1,1,1
23569,3.0,1,1,1
2841,3.0,1,1,1
5610,3.0,1,1,1
9636,3.0,1,1,1
79132,3.0,1,1,1
122961,3.0,1,1,1
728340,3.0,1,1,1
3823,3.0,1,1,1
8638,3.0,1,1,1
11267,3.0,1,1,1
3315,3.0,1,1,1
24138,3.0,1,1,1
5564,3.0,1,1,1
28958,3.0,1,1,1
29082,3.0,1,1,1
57001,3.0,1,1,1
5525,3.0,1,1,1
54739,3.0,1,1,1
51010,3.0,1,1,1
3433,3.0,1,1,1
8784,3.0,1,1,1
10581,3.0,1,1,1
83666,3.0,1,1,1
8815,3.0,1,1,1
79568,3.0,1,1,1
597,3.0,1,1,1
10964,3.0,1,1,1
90379,3.0,1,1,1
950,3.0,1,1,1
11126,3.0,1,1,1
1798,3.0,1,1,1
57804,3.0,1,1,1
26472,3.0,1,1,1
3965,3.0,1,1,1
5696,3.0,1,1,1
51300,3.0,1,1,1
28977,3.0,1,1,1
51647,3.0,1,1,1
567,3.0,1,1,1
3561,3.0,1,1,1
10219,3.0,1,1,1
4599,3.0,1,1,1
8742,3.0,1,1,1
10379,3.0,1,1,1
8543,3.0,1,1,1
8644,3.0,1,1,1
4701,3.0,1,1,1
64108,3.0,1,1,1
84329,3.0,1,1,1
840,3.0,1,1,1
64167,3.0,1,1,1
4938,3.0,1,1,1
4940,3.0,1,1,1
128866,3.0,1,1,1
6993,3.0,1,1,1
1235,3.0,1,1,1
5578,3.0,1,1,1
140735,3.0,1,1,1
55168,3.0,1,1,1
8519,3.0,1,1,1
259197,3.0,1,1,1
6009,3.0,1,1,1
22897,3.0,1,1,1
4061,3.0,1,1,1
129401,3.0,1,1,1
131450,3.0,1,1,1
10535,3.0,1,1,1
84126,3.0,1,1,1
4502,3.0,1,1,1
2517,3.0,1,1,1
3434,3.0,1,1,1
9978,3.0,1,1,1
1514,3.0,1,1,1
1052,3.0,1,1,1
55166,3.0,1,1,1
6772,3.0,1,1,1
83460,3.0,1,1,1
8891,3.0,1,1,1
4603,3.0,1,1,1
3660,3.0,1,1,1
149628,3.0,1,1,1
6846,3.0,1,1,1
