_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-14,COVID055,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,,-14,6.1,11,28160,277,501,30,6,1.1,1975|1994|2011|3007|3009|3572|4650|4928|5093|5469|6197|6249|7273|9883|9919|9922|23141|23332|23367|29035|54471|54890|55627|55802|57634|79026|83879|147179|283149|100101267,EIF4B|ELAVL1|MARK2|H1-3|H1-5|IL6ST|MYO9B|NUP98|PCBP1|MED1|RPS6KA3|CLIP1|TTN|POM121|SEC16A|IQSEC1|ANKLE2|CLASP1|LARP1|C16orf72|MIEF1|ALKBH5|SMPD4|DCP1A|EP400|AHNAK|CDCA7|WIPF2|BCL9L|POM121C,-10,0
1,-14,COVID234,M1,1,0,COVID,200,Phosphoproteome_Klann_Caco-2_24h_Down,,-14,5.6,11,28160,300,501,30,6,1.1,1981|4773|5469|5829|6497|6709|7916|8189|8289|8505|8661|8662|8943|9031|10620|23332|23367|23731|24149|25942|26057|55201|55729|57186|57634|64427|64783|79026|84726|283337,EIF4G1|NFATC2|MED1|PXN|SKI|SPTAN1|PRRC2A|SYMPK|ARID1A|PARG|EIF3A|EIF3B|AP3D1|BAZ1B|ARID3B|CLASP1|LARP1|TMEM245|ZNF318|SIN3A|ANKRD17|MAP1S|ATF7IP|RALGAPA2|EP400|TTC31|RBM15|AHNAK|PRRC2B|ZNF740,-9.3,0
1,-13,COVID061,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-13,5.4,10,28160,300,501,29,5.8,1,1362|1975|1994|2011|3007|3054|6249|7273|8289|8697|9698|9883|9918|9919|23141|23332|23367|25777|25942|29035|55201|57492|57634|79026|79651|200014|283149|283489|100101267,CPD|EIF4B|ELAVL1|MARK2|H1-3|HCFC1|CLIP1|TTN|ARID1A|CDC23|PUM1|POM121|NCAPD2|SEC16A|ANKLE2|CLASP1|LARP1|SUN2|SIN3A|C16orf72|MAP1S|ARID1B|EP400|AHNAK|RHBDF2|CC2D1B|BCL9L|CHAMP1|POM121C,-8.7,0
1,-10,COVID051,M1,1,0,COVID,200,RNA_Xiong_BALF_Down,,-10,4.9,9.1,28160,300,501,26,5.2,0.99,37|1642|2316|3566|3707|4627|5330|5428|5834|7297|8189|8662|9146|9343|10155|10452|10908|22870|23264|23550|26020|55625|64005|84532|124565|147138,ACADVL|DDB1|FLNA|IL4R|ITPKB|MYH9|PLCB2|POLG|PYGB|TYK2|SYMPK|EIF3B|HGS|EFTUD2|TRIM28|TOMM40|PNPLA6|PPP6R1|ZC3H7B|PSD4|LRP10|ZDHHC7|MYO1G|ACSS1|SLC38A10|TMC8,-6.8,0
1,-10,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-10,4.9,9.1,28160,300,501,26,5.2,0.99,1362|1975|1994|2011|3054|5093|6249|6774|8697|9031|9698|9918|9919|23141|23367|57186|57492|57634|64783|79026|79651|83879|84159|114884|283149|283489,CPD|EIF4B|ELAVL1|MARK2|HCFC1|PCBP1|CLIP1|STAT3|CDC23|BAZ1B|PUM1|NCAPD2|SEC16A|ANKLE2|LARP1|RALGAPA2|ARID1B|EP400|RBM15|AHNAK|RHBDF2|CDCA7|ARID5B|OSBPL10|BCL9L|CHAMP1,-6.8,0
1,-9,COVID059,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-9,4.5,8.2,28160,300,501,24,4.8,0.95,1362|1975|1994|2011|2316|3007|4928|5469|8697|9031|9698|9919|23141|23367|25777|55201|55627|57186|57492|57634|79026|79651|83879|283149,CPD|EIF4B|ELAVL1|MARK2|FLNA|H1-3|NUP98|MED1|CDC23|BAZ1B|PUM1|SEC16A|ANKLE2|LARP1|SUN2|MAP1S|SMPD4|RALGAPA2|ARID1B|EP400|AHNAK|RHBDF2|CDCA7|BCL9L,-5.6,0
1,-9,COVID065,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,,-9,4.5,8.2,28160,300,501,24,4.8,0.95,1362|1975|1994|2011|3007|3054|5297|6774|8697|9031|9698|9918|9919|23141|23367|55201|57186|57492|57634|64783|79026|79651|84159|114884,CPD|EIF4B|ELAVL1|MARK2|H1-3|HCFC1|PI4KA|STAT3|CDC23|BAZ1B|PUM1|NCAPD2|SEC16A|ANKLE2|LARP1|MAP1S|RALGAPA2|ARID1B|EP400|RBM15|AHNAK|RHBDF2|ARID5B|OSBPL10,-5.6,0
1,-9,COVID131,M1,1,0,COVID,200,Phosphoproteome_Stukalov_A549-ACE2_24h_Up,,-9,4.5,8.2,28160,300,501,24,4.8,0.95,16|2289|3064|4839|4928|6197|7916|7994|8888|10075|10155|10270|10514|11218|23195|23332|23367|24149|29102|79026|79651|196528|283149|283489,AARS1|FKBP5|HTT|NOP2|NUP98|RPS6KA3|PRRC2A|KAT6A|MCM3AP|HUWE1|TRIM28|AKAP8|MYBBP1A|DDX20|MDN1|CLASP1|LARP1|ZNF318|DROSHA|AHNAK|RHBDF2|ARID2|BCL9L|CHAMP1,-5.6,0
1,-9,COVID193,M1,1,0,COVID,200,RNA_Stukalov_A549-ACE2_30h_Up,,-9,4.5,8.2,28160,300,501,24,4.8,0.95,1387|1958|2033|4026|5971|6018|7337|9640|23049|23528|25929|25976|27161|53944|54878|55209|55294|64332|79888|80149|84919|90007|158358|283149,CREBBP|EGR1|EP300|LPP|RELB|RLF|UBE3A|ZNF592|SMG1|ZNF281|GEMIN5|TIPARP|AGO2|CSNK1G1|DPP8|SETD5|FBXW7|NFKBIZ|LPCAT1|ZC3H12A|PPP1R15B|MIDN|KIAA2026|BCL9L,-5.6,0
1,-8.8,COVID323,M1,1,0,COVID,200,RNA_Wilk_CD4+T-cells_patient-C2_Up,,-8.8,21,13,28160,21,501,8,1.6,0.56,687|3572|5163|9021|64332|84159|283991|285513,KLF9|IL6ST|PDK1|SOCS3|NFKBIZ|ARID5B|UBALD2|GPRIN3,-5.5,0
