_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-11,C0200638,M1,1,0,DisGeNET,35,Eosinophil count procedure,,-11,3.6,8.7,28160,610,501,39,7.8,1.2,489|753|864|1021|2308|3043|3566|3635|3707|3985|4026|4170|4773|5452|7133|7874|8189|8440|9919|10018|10320|23141|23195|23228|23264|23533|30009|51061|51291|55294|55729|55809|59269|64005|79651|84830|143686|146198|541471,ATP2A3|LDLRAD4|RUNX3|CDK6|FOXO1|HBB|IL4R|INPP5D|ITPKB|LIMK2|LPP|MCL1|NFATC2|POU2F2|TNFRSF1B|USP7|SYMPK|NCK2|SEC16A|BCL2L11|IKZF1|ANKLE2|MDN1|PLCL2|ZC3H7B|PIK3R5|TBX21|TXNDC11|GMIP|FBXW7|ATF7IP|TRERF1|HIVEP3|MYO1G|RHBDF2|ADTRP|SESN3|ZFP90|MIR4435-2HG,-7.2,0
1,-11,C0454644,M1,1,0,DisGeNET,35,Delayed speech and language development,,-11,3.7,8.7,28160,560,501,37,7.4,1.2,16|288|867|1213|1387|2033|2314|2316|3054|4649|6197|6249|7273|7337|7994|8289|8450|8831|8888|9343|9373|9698|9969|10075|10274|10484|23133|25942|26999|29072|55209|55697|57102|57492|171023|196528|254065,AARS1|ANK3|CBL|CLTC|CREBBP|EP300|FLII|FLNA|HCFC1|MYO9A|RPS6KA3|CLIP1|TTN|UBE3A|KAT6A|ARID1A|CUL4B|SYNGAP1|MCM3AP|EFTUD2|PLAA|PUM1|MED13|HUWE1|STAG1|SEC23A|PHF8|SIN3A|CYFIP2|SETD2|SETD5|VAC14|C12orf4|ARID1B|ASXL1|ARID2|BRWD3,-7.2,0
1,-10,C1328504,M1,1,0,DisGeNET,35,Hormone refractory prostate cancer,,-10,3.3,8.2,28160,683,501,40,8,1.2,1387|1958|1981|2033|2289|2308|2316|2947|3570|3916|3985|4170|4899|5290|5294|5469|5829|6197|6774|7874|8364|8884|9021|9113|9189|9232|9520|11091|22926|23133|29968|51366|55824|57459|79026|79697|79888|143686|171023|219333,CREBBP|EGR1|EIF4G1|EP300|FKBP5|FOXO1|FLNA|GSTM3|IL6R|LAMP1|LIMK2|MCL1|NRF1|PIK3CA|PIK3CG|MED1|PXN|RPS6KA3|STAT3|USP7|H4C3|SLC5A6|SOCS3|LATS1|ZBED1|PTTG1|NPEPPS|WDR5|ATF6|PHF8|PSAT1|UBR5|PAG1|GATAD2B|AHNAK|RIOX1|LPCAT1|SESN3|ASXL1|USP12,-6.6,0
1,-10,C0432072,M1,1,0,DisGeNET,35,Dysmorphic features,,-10,4,8.4,28160,439,501,31,6.2,1.1,738|867|1213|1387|2033|3064|3954|5290|6197|6448|6497|6683|7337|7841|8450|8831|9091|9343|9839|10274|23133|25942|26173|26278|29072|55209|57459|57492|171023|196528|283489,VPS51|CBL|CLTC|CREBBP|EP300|HTT|LETM1|PIK3CA|RPS6KA3|SGSH|SKI|SPAST|UBE3A|MOGS|CUL4B|SYNGAP1|PIGQ|EFTUD2|ZEB2|STAG1|PHF8|SIN3A|INTS1|SACS|SETD2|SETD5|GATAD2B|ARID1B|ASXL1|ARID2|CHAMP1,-6.5,0
1,-9.9,C0086437,M1,1,0,DisGeNET,35,Joint laxity,,-9.9,5.5,9.1,28160,224,501,22,4.4,0.92,867|1387|2033|2316|3376|4649|5290|6197|6497|6576|6774|6843|8450|9031|10484|10564|25942|26999|57459|57492|94005|283489,CBL|CREBBP|EP300|FLNA|IARS1|MYO9A|PIK3CA|RPS6KA3|SKI|SLC25A1|STAT3|VAMP1|CUL4B|BAZ1B|SEC23A|ARFGEF2|SIN3A|CYFIP2|GATAD2B|ARID1B|PIGS|CHAMP1,-6.4,0
1,-8.7,C0240635,M1,1,0,DisGeNET,35,Byzanthine arch palate,,-8.7,3.5,7.6,28160,497,501,31,6.2,1.1,1213|1387|2033|2316|4329|4649|5290|6197|6497|6576|6774|6843|7273|7841|8050|8289|8450|9373|9698|10075|10484|10525|25942|29072|29968|55209|57459|57492|79631|171023|283489,CLTC|CREBBP|EP300|FLNA|ALDH6A1|MYO9A|PIK3CA|RPS6KA3|SKI|SLC25A1|STAT3|VAMP1|TTN|MOGS|PDHX|ARID1A|CUL4B|PLAA|PUM1|HUWE1|SEC23A|HYOU1|SIN3A|SETD2|PSAT1|SETD5|GATAD2B|ARID1B|EFL1|ASXL1|CHAMP1,-5.4,0
1,-8.6,C0017168,M1,1,0,DisGeNET,35,Gastroesophageal reflux disease,,-8.6,3.7,7.6,28160,446,501,29,5.8,1,16|489|1213|2314|2316|3123|3954|4649|5290|5428|5723|6497|6576|6843|7155|7994|8518|8831|9031|10274|10564|26999|55209|79651|79932|91039|171023|196528|283489,AARS1|ATP2A3|CLTC|FLII|FLNA|HLA-DRB1|LETM1|MYO9A|PIK3CA|POLG|PSPH|SKI|SLC25A1|VAMP1|TOP2B|KAT6A|ELP1|SYNGAP1|BAZ1B|STAG1|ARFGEF2|CYFIP2|SETD5|RHBDF2|KIAA0319L|DPP9|ASXL1|ARID2|CHAMP1,-5.3,0
1,-8.6,C1261502,M1,1,0,DisGeNET,35,Finding of Mean Corpuscular Hemoglobin,,-8.6,3.1,7.3,28160,653,501,36,7.2,1.2,37|865|1021|2308|3836|4170|4363|4627|5290|5900|8140|8295|8850|8945|9736|9766|9792|9839|10320|22870|23141|23228|25929|27161|30009|51366|51564|53944|54471|54855|54878|55731|57140|57459|140609|541471,ACADVL|CBFB|CDK6|FOXO1|KPNA1|MCL1|ABCC1|MYH9|PIK3CA|RALGDS|SLC7A5|TRRAP|KAT2B|BTRC|USP34|SUSD6|SERTAD2|ZEB2|IKZF1|PPP6R1|ANKLE2|PLCL2|GEMIN5|AGO2|TBX21|UBR5|HDAC7|CSNK1G1|MIEF1|TENT5C|DPP8|FAM222B|RNPEPL1|GATAD2B|NEK7|MIR4435-2HG,-5.3,0
1,-8.5,C1535926,M1,1,0,DisGeNET,35,Neurodevelopmental Disorders,,-8.5,3.4,7.4,28160,535,501,32,6.4,1.1,288|1387|1729|1981|3054|3064|5290|5294|6683|7248|7337|7874|7994|8364|8661|8831|9839|9969|10075|10116|22839|22847|23133|26173|26999|29072|55209|55294|55824|57459|57492|59269,ANK3|CREBBP|DIAPH1|EIF4G1|HCFC1|HTT|PIK3CA|PIK3CG|SPAST|TSC1|UBE3A|USP7|KAT6A|H4C3|EIF3A|SYNGAP1|ZEB2|MED13|HUWE1|FEM1B|DLGAP4|ZNF507|PHF8|INTS1|CYFIP2|SETD2|SETD5|FBXW7|PAG1|GATAD2B|ARID1B|HIVEP3,-5.3,0
1,-8.3,C1849367,M1,1,0,DisGeNET,35,Nasal bridge wide,,-8.3,3.7,7.5,28160,429,501,28,5.6,1,1387|2033|2314|2316|3614|3954|5286|6497|6774|7273|7317|8289|8295|8831|9031|9698|9839|10075|10484|10525|10594|25942|55209|56172|57459|57492|171023|196528,CREBBP|EP300|FLII|FLNA|IMPDH1|LETM1|PIK3C2A|SKI|STAT3|TTN|UBA1|ARID1A|TRRAP|SYNGAP1|BAZ1B|PUM1|ZEB2|HUWE1|SEC23A|HYOU1|PRPF8|SIN3A|SETD5|ANKH|GATAD2B|ARID1B|ASXL1|ARID2,-5.2,0
