Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-38,6.4,19,28160,730,455,76,17,1.7,326|927|1191|2207|2529|3507|3512|3665|3822|4049|6097|6375|6850|6966|6967|6976|6984|7006|7462|9025|11126|11277|22914|27074|28299|28388|28392|28394|28395|28412|28420|28444|28448|28452|28473|28516|28518|28526|28557|28559|28585|28594|28603|28610|28656|28670|28692|28774|28793|28796|28797|28803|28809|28813|28815|28817|28820|28822|28874|28876|28882|28893|28900|28904|28912|28935|28937|28938|28941|51744|64167|81622|91543|117157|257101|729230,AIRE|CD8B2|CLU|FCER1G|FUT7|IGHM|JCHAIN|IRF7|KLRC2|LTA|RORC|XCL1|SYK|TRGC1|TRGC2|TRGV3|TRGV10|TEC|LAT2|RNF8|CD160|TREX1|KLRK1|LAMP3|IGKV1-5|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-66|IGHV3-53|IGHV3-21|IGHV3-15|IGHV3-7|IGHV1-3|TRDV3|TRDV1|TRDC|TRBV30|TRBV28|TRBV10-1|TRBV7-4|TRBV6-4|TRBV5-5|TRAV26-2|TRAV13-2|TRAV1-2|IGLV8-61|IGLV3-25|IGLV3-21|IGLV3-19|IGLV3-10|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-51|IGLV1-47|IGKV3D-20|IGKV3D-11|IGKV2D-29|IGKV1D-39|IGKV1D-17|IGKV1D-8|IGKV3-20|IGKV1-27|IGKV1-17|IGKV1-16|IGKV1-9|CD244|ERAP2|UNC93B1|RSAD2|SH2D1B|ZNF683|CCR2,-34,MyList
Reactome Gene Sets,6,R-HSA-909733,Interferon alpha/beta signaling,,-25,21,22,28160,70,455,24,5.3,1,684|2537|3430|3433|3434|3437|3663|3665|3669|4599|4600|4938|4940|6773|8519|8638|9636|10379|10410|10581|11274|24138|54739|91543,BST2|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MX1|MX2|OAS1|OAS3|STAT2|IFITM1|OASL|ISG15|IRF9|IFITM3|IFITM2|USP18|IFIT5|XAF1|RSAD2,-21,MyList
GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-23,7,15,28160,369,455,42,9.2,1.4,684|1191|2537|3315|3433|3434|3437|3663|3665|3669|3965|4599|4600|4938|4940|5359|5610|5683|6375|6502|6773|8519|8638|9111|9636|10346|10379|10410|10561|10577|10581|10875|10964|11277|24138|51191|51728|64108|79132|81030|81622|91543,BST2|CLU|IFI6|HSPB1|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|LGALS9|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|PSMA2|XCL1|SKP2|STAT2|IFITM1|OASL|NMI|ISG15|TRIM22|IRF9|IFITM3|IFI44|NPC2|IFITM2|FGL2|IFI44L|TREX1|IFIT5|HERC5|POLR3K|RTP4|DHX58|ZBP1|UNC93B1|RSAD2,-19,MyList
Reactome Gene Sets,6,R-HSA-913531,Interferon Signaling,,-21,9.6,16,28160,199,455,31,6.8,1.2,684|2537|3430|3433|3434|3437|3663|3665|3669|4502|4599|4600|4734|4938|4940|5610|6773|8519|8638|9246|9636|10346|10379|10410|10437|10581|11274|24138|51191|54739|91543,BST2|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MT2A|MX1|MX2|NEDD4|OAS1|OAS3|EIF2AK2|STAT2|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFI30|IFITM2|USP18|IFIT5|HERC5|XAF1|RSAD2,-17,MyList
GO Biological Processes,19,GO:0140546,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-20,7.9,14,28160,267,455,34,7.5,1.2,684|2537|3433|3434|3437|3663|3665|3669|4599|4600|4938|4940|5359|5610|6502|6773|8519|8638|9636|10346|10379|10410|10581|10875|10964|11277|24138|51191|51728|64108|79132|81030|81622|91543,BST2|IFI6|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|FGL2|IFI44L|TREX1|IFIT5|HERC5|POLR3K|RTP4|DHX58|ZBP1|UNC93B1|RSAD2,-16,MyList
GO Biological Processes,19,GO:0051607,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-20,7.9,14,28160,267,455,34,7.5,1.2,684|2537|3433|3434|3437|3663|3665|3669|4599|4600|4938|4940|5359|5610|6502|6773|8519|8638|9636|10346|10379|10410|10581|10875|10964|11277|24138|51191|51728|64108|79132|81030|81622|91543,BST2|IFI6|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|FGL2|IFI44L|TREX1|IFIT5|HERC5|POLR3K|RTP4|DHX58|ZBP1|UNC93B1|RSAD2,-16,MyList
GO Biological Processes,19,GO:0002440,production of molecular mediator of immune response,19_GO:0002376 immune system process,-20,7.2,14,28160,309,455,36,7.9,1.3,684|5336|6375|7518|9025|11126|11277|28299|28516|28518|28774|28793|28796|28797|28803|28809|28813|28815|28817|28820|28822|28874|28876|28882|28893|28900|28904|28912|28935|28937|28938|28941|51744|79840|91543|729230,BST2|PLCG2|XCL1|XRCC4|RNF8|CD160|TREX1|IGKV1-5|TRDV3|TRDV1|IGLV8-61|IGLV3-25|IGLV3-21|IGLV3-19|IGLV3-10|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-51|IGLV1-47|IGKV3D-20|IGKV3D-11|IGKV2D-29|IGKV1D-39|IGKV1D-17|IGKV1D-8|IGKV3-20|IGKV1-27|IGKV1-17|IGKV1-16|IGKV1-9|CD244|NHEJ1|RSAD2|CCR2,-16,MyList
GO Biological Processes,19,GO:0002377,immunoglobulin production,19_GO:0002376 immune system process,-19,8.6,14,28160,217,455,30,6.6,1.2,6375|7518|9025|11277|28299|28516|28518|28774|28793|28796|28797|28803|28809|28813|28815|28817|28820|28822|28874|28876|28882|28893|28900|28904|28912|28935|28937|28938|28941|79840,XCL1|XRCC4|RNF8|TREX1|IGKV1-5|TRDV3|TRDV1|IGLV8-61|IGLV3-25|IGLV3-21|IGLV3-19|IGLV3-10|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-51|IGLV1-47|IGKV3D-20|IGKV3D-11|IGKV2D-29|IGKV1D-39|IGKV1D-17|IGKV1D-8|IGKV3-20|IGKV1-27|IGKV1-17|IGKV1-16|IGKV1-9|NHEJ1,-15,MyList
GO Biological Processes,19,GO:0002252,immune effector process,19_GO:0002376 immune system process,-17,4.4,11,28160,656,455,47,10,1.4,2|326|684|1191|2207|2529|3430|3507|3665|3684|3811|3822|3848|3965|4049|5336|5729|5730|6097|6375|6850|7305|7462|8807|9025|9111|10875|11126|11277|22914|28388|28392|28394|28395|28412|28420|28444|28448|28452|28473|28526|51744|79132|91543|117157|257101|729230,A2M|AIRE|BST2|CLU|FCER1G|FUT7|IFI35|IGHM|IRF7|ITGAM|KIR3DL1|KLRC2|KRT1|LGALS9|LTA|PLCG2|PTGDR|PTGDS|RORC|XCL1|SYK|TYROBP|LAT2|IL18RAP|RNF8|NMI|FGL2|CD160|TREX1|KLRK1|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-66|IGHV3-53|IGHV3-21|IGHV3-15|IGHV3-7|IGHV1-3|TRDC|CD244|DHX58|RSAD2|SH2D1B|ZNF683|CCR2,-13,MyList
GO Biological Processes,19,GO:0002443,leukocyte mediated immunity,19_GO:0002376 immune system process,-16,5.3,12,28160,442,455,38,8.4,1.3,326|684|1191|2207|2529|3507|3665|3684|3811|3822|3965|4049|5336|5729|5730|6375|6850|7305|7462|8807|9025|11126|11277|22914|28388|28392|28394|28395|28412|28420|28444|28448|28452|28473|28526|91543|117157|729230,AIRE|BST2|CLU|FCER1G|FUT7|IGHM|IRF7|ITGAM|KIR3DL1|KLRC2|LGALS9|LTA|PLCG2|PTGDR|PTGDS|XCL1|SYK|TYROBP|LAT2|IL18RAP|RNF8|CD160|TREX1|KLRK1|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-66|IGHV3-53|IGHV3-21|IGHV3-15|IGHV3-7|IGHV1-3|TRDC|RSAD2|SH2D1B|CCR2,-13,MyList
Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-15,4,10,28160,715,455,46,10,1.4,684|1026|1052|2537|3430|3433|3434|3437|3663|3665|3669|3684|3965|4049|4050|4502|4599|4600|4734|4938|4940|5610|5683|6097|6773|6850|7006|8350|8519|8638|8742|8807|9246|9636|10346|10379|10410|10437|10581|11274|24138|51191|54739|91543|128178|729230,BST2|CDKN1A|CEBPD|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|ITGAM|LGALS9|LTA|LTB|MT2A|MX1|MX2|NEDD4|OAS1|OAS3|EIF2AK2|PSMA2|RORC|STAT2|SYK|TEC|H3C1|IFITM1|OASL|TNFSF12|IL18RAP|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFI30|IFITM2|USP18|IFIT5|HERC5|XAF1|RSAD2|EDARADD|CCR2,-11,MyList
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-15,4.4,11,28160,576,455,41,9,1.3,2|1191|2207|3430|3507|3665|3684|3822|3848|3965|4049|5336|5359|6375|6850|7006|7305|7462|8807|9111|10385|11126|11277|22914|28388|28392|28394|28395|28412|28420|28444|28448|28452|28473|28526|79037|81030|91543|117157|257144|729230,A2M|CLU|FCER1G|IFI35|IGHM|IRF7|ITGAM|KLRC2|KRT1|LGALS9|LTA|PLCG2|PLSCR1|XCL1|SYK|TEC|TYROBP|LAT2|IL18RAP|NMI|BTN2A2|CD160|TREX1|KLRK1|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-66|IGHV3-53|IGHV3-21|IGHV3-15|IGHV3-7|IGHV1-3|TRDC|PVRIG|ZBP1|RSAD2|SH2D1B|GCSAM|CCR2,-11,MyList
