_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-38.274104047581716,GO:0002376,immune system process,M1,1,GO:0002250 adaptive immune response
1,-22.530069600847266,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0009615 response to virus
1,-14.025825207035941,GO:0016032,viral process,M1,1,GO:0045071 negative regulation of viral genome replication
1,-12.042708693762169,GO:0050896,response to stimulus,M1,1,GO:0002831 regulation of response to biotic stimulus
1,-8.624025672897071,GO:0051179,localization,M1,1,"GO:0006911 phagocytosis, engulfment"
1,-8.61101243128638,GO:0050789,regulation of biological process,M1,1,GO:0050865 regulation of cell activation
1,-8.209829151464973,GO:0009987,cellular process,M1,1,GO:0099024 plasma membrane invagination
1,-7.655973381110825,GO:0048519,negative regulation of biological process,M1,1,GO:0002832 negative regulation of response to biotic stimulus
1,-7.003492917423513,GO:0048518,positive regulation of biological process,M1,1,GO:0002833 positive regulation of response to biotic stimulus
1,-6.579528658263345,GO:0023052,signaling,M1,1,GO:0019221 cytokine-mediated signaling pathway
1,-5.486410127644929,GO:0032501,multicellular organismal process,M1,1,GO:0032606 type I interferon production
1,-4.780886718052077,GO:0040011,locomotion,M1,1,GO:2000410 regulation of thymocyte migration
1,-4.092425207897095,GO:0008152,metabolic process,M1,1,GO:0032020 ISG15-protein conjugation
1,-3.489891499994958,GO:0022610,biological adhesion,M1,1,GO:0046641 positive regulation of alpha-beta T cell proliferation
1,-3.3352407583602828,GO:0065007,biological regulation,M1,1,GO:0051351 positive regulation of ligase activity
1,-2.347878347751861,GO:0051704,multi-organism process,M1,1,GO:0044766 multi-organism transport
