Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-909733,Interferon alpha/beta signaling,,-31,37,29,28160,70,258,24,9.3,1.8,684|2537|3430|3433|3434|3437|3663|3665|3669|4599|4600|4938|4940|6773|8519|8638|9636|10379|10410|10581|11274|24138|54739|91543,BST2|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MX1|MX2|OAS1|OAS3|STAT2|IFITM1|OASL|ISG15|IRF9|IFITM3|IFITM2|USP18|IFIT5|XAF1|RSAD2,-28
MyList,Reactome Gene Sets,6,R-HSA-913531,Interferon Signaling,,-28,17,22,28160,199,258,31,12,2,684|2537|3430|3433|3434|3437|3663|3665|3669|4502|4599|4600|4734|4938|4940|5610|6773|8519|8638|9246|9636|10346|10379|10410|10437|10581|11274|24138|51191|54739|91543,BST2|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MT2A|MX1|MX2|NEDD4|OAS1|OAS3|EIF2AK2|STAT2|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFI30|IFITM2|USP18|IFIT5|HERC5|XAF1|RSAD2,-25
MyList,GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-28,11,19,28160,369,258,38,15,2.2,684|1191|2537|3315|3433|3434|3437|3663|3665|3669|3965|4599|4600|4938|4940|5359|5610|5683|6375|6502|6773|8519|8638|9111|9636|10346|10379|10410|10577|10581|11277|24138|51191|51728|79132|81030|81622|91543,BST2|CLU|IFI6|HSPB1|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|LGALS9|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|PSMA2|XCL1|SKP2|STAT2|IFITM1|OASL|NMI|ISG15|TRIM22|IRF9|IFITM3|NPC2|IFITM2|TREX1|IFIT5|HERC5|POLR3K|DHX58|ZBP1|UNC93B1|RSAD2,-25
MyList,GO Biological Processes,19,GO:0051607,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-24,13,18,28160,267,258,31,12,2,684|2537|3433|3434|3437|3663|3665|3669|4599|4600|4938|4940|5359|5610|6502|6773|8519|8638|9636|10346|10379|10410|10581|11277|24138|51191|51728|79132|81030|81622|91543,BST2|IFI6|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|TREX1|IFIT5|HERC5|POLR3K|DHX58|ZBP1|UNC93B1|RSAD2,-21
MyList,GO Biological Processes,19,GO:0140546,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-24,13,18,28160,267,258,31,12,2,684|2537|3433|3434|3437|3663|3665|3669|4599|4600|4938|4940|5359|5610|6502|6773|8519|8638|9636|10346|10379|10410|10581|11277|24138|51191|51728|79132|81030|81622|91543,BST2|IFI6|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|TREX1|IFIT5|HERC5|POLR3K|DHX58|ZBP1|UNC93B1|RSAD2,-21
MyList,Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-23,6.7,15,28160,715,258,44,17,2.3,684|1026|1052|2537|3430|3433|3434|3437|3663|3665|3669|3684|3965|4049|4050|4502|4599|4600|4734|4938|4940|5610|5683|6773|6850|7006|8350|8519|8638|8742|8807|9246|9636|10346|10379|10410|10437|10581|11274|24138|51191|54739|91543|729230,BST2|CDKN1A|CEBPD|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF5|IRF7|ISG20|ITGAM|LGALS9|LTA|LTB|MT2A|MX1|MX2|NEDD4|OAS1|OAS3|EIF2AK2|PSMA2|STAT2|SYK|TEC|H3C1|IFITM1|OASL|TNFSF12|IL18RAP|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFI30|IFITM2|USP18|IFIT5|HERC5|XAF1|RSAD2|CCR2,-20
MyList,GO Biological Processes,19,GO:0045071,negative regulation of viral genome replication,19_GO:0016032 viral process,-18,29,20,28160,56,258,15,5.8,1.5,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|RSAD2,-15
MyList,GO Biological Processes,19,GO:0050792,regulation of viral process,19_GO:0016032 viral process,-17,14,16,28160,164,258,21,8.1,1.7,684|2934|3434|3669|3965|4061|4599|4938|4940|5359|5610|6993|8519|8638|9636|10346|10410|10581|24138|27074|91543,BST2|GSN|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|DYNLT1|IFITM1|OASL|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|RSAD2,-15
MyList,GO Biological Processes,19,GO:1903900,regulation of viral life cycle,19_GO:0016032 viral process,-17,15,16,28160,148,258,20,7.8,1.7,684|2934|3434|3669|3965|4061|4599|4938|4940|5359|5610|8519|8638|9636|10346|10410|10581|24138|27074|91543,BST2|GSN|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|RSAD2,-14
MyList,GO Biological Processes,19,GO:0048525,negative regulation of viral process,19_GO:0016032 viral process,-17,20,18,28160,92,258,17,6.6,1.5,684|2934|3434|3669|4061|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|91543,BST2|GSN|IFIT1|ISG20|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|RSAD2,-14
