_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-50,COVID362,M1,1,0,COVID,200,RNA_Zhang_B-cells_severe-and-moderate_Up,,-50,33,35,28160,74,455,39,8.6,1.3,684|2537|3430|3434|3437|3512|3665|3669|4061|4502|4599|4600|4938|4940|5359|5610|8519|9111|9246|9636|10346|10410|10561|10581|10589|10964|11274|28796|51056|51191|54739|54809|81030|84941|94240|129607|152926|219285|440836,BST2|IFI6|IFI35|IFIT1|IFIT3|JCHAIN|IRF7|ISG20|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|NMI|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFITM2|DRAP1|IFI44L|USP18|IGLV3-21|LAP3|HERC5|XAF1|SAMD9|ZBP1|HSH2D|EPSTI1|CMPK2|PPM1K|SAMD9L|ODF3B,-45,0
1,-49,COVID353,M1,1,0,COVID,200,RNA_Zhang_Monocytes_severe-and-moderate_Up,,-49,22,31,28160,127,455,46,10,1.4,684|1191|1521|2537|3430|3433|3434|3437|3512|3665|3669|3965|4061|4502|4599|4600|4938|4940|5359|5610|6773|8519|8638|9111|9246|9636|10346|10410|10561|10578|10581|10964|11274|26010|51056|51191|51510|54739|54809|81030|91351|91543|91624|94240|129607|219285,BST2|CLU|CTSW|IFI6|IFI35|IFIT2|IFIT1|IFIT3|JCHAIN|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT2|IFITM1|OASL|NMI|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|GNLY|IFITM2|IFI44L|USP18|SPATS2L|LAP3|HERC5|CHMP5|XAF1|SAMD9|ZBP1|DDX60L|RSAD2|NEXN|EPSTI1|CMPK2|SAMD9L,-45,0
1,-47,COVID359,M1,1,0,COVID,200,RNA_Zhang_T-cells_severe-and-moderate_Up,,-47,20,30,28160,139,455,46,10,1.4,241|684|1521|1891|2537|3430|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4940|5359|5610|5730|8519|8638|9022|9246|9636|10346|10410|10561|10578|10581|10589|10964|11274|51131|51348|51510|54739|54809|81030|84941|91543|94240|114769|129607|152926|219285,ALOX5AP|BST2|CTSW|ECH1|IFI6|IFI35|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|PTGDS|IFITM1|OASL|CLIC3|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|GNLY|IFITM2|DRAP1|IFI44L|USP18|PHF11|KLRF1|CHMP5|XAF1|SAMD9|ZBP1|HSH2D|RSAD2|EPSTI1|CARD16|CMPK2|PPM1K|SAMD9L,-43,0
1,-46,COVID356,M1,1,0,COVID,200,RNA_Zhang_NK-cells_severe-and-moderate_Up,,-46,26,31,28160,95,455,40,8.8,1.3,241|684|1521|2537|3430|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4940|5359|5610|5730|8519|8638|9246|9636|10346|10410|10561|10964|11274|51348|51510|54739|54809|81030|91543|94240|114769|129607|152926|219285|440836,ALOX5AP|BST2|CTSW|IFI6|IFI35|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|PTGDS|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFI44L|USP18|KLRF1|CHMP5|XAF1|SAMD9|ZBP1|RSAD2|EPSTI1|CARD16|CMPK2|PPM1K|SAMD9L|ODF3B,-42,0
1,-43,COVID011,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2-ruxolitinib_Down,,-43,14,25,28160,233,455,52,11,1.5,684|2537|3430|3433|3434|3437|3665|3669|4061|4502|4599|4600|4938|4940|5359|5610|6773|8519|8638|9111|9246|9636|10346|10379|10410|10437|10561|10581|10964|11274|11277|24138|27074|51056|51131|51191|54739|54809|55300|64167|79132|80021|84941|85441|91351|91543|94240|118788|129607|152926|160897|219285,BST2|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT2|IFITM1|OASL|NMI|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFI30|IFI44|IFITM2|IFI44L|USP18|TREX1|IFIT5|LAMP3|LAP3|PHF11|HERC5|XAF1|SAMD9|PI4K2B|ERAP2|DHX58|TMEM62|HSH2D|HELZ2|DDX60L|RSAD2|EPSTI1|PIK3AP1|CMPK2|PPM1K|GPR180|SAMD9L,-39,0
1,-41,COVID050,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-41,11,23,28160,300,455,55,12,1.5,684|3430|3433|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4940|5610|6483|6773|8519|8638|9111|9246|9636|10346|10385|10410|10561|10581|10964|11080|11274|24138|27074|51056|51191|51513|54739|54809|55603|55876|64108|64167|79132|80021|81030|81622|84941|85441|91351|91543|94240|118788|129607|140691|152926|219285,BST2|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|EIF2AK2|ST3GAL2|STAT2|IFITM1|OASL|NMI|UBE2L6|ISG15|TRIM22|BTN2A2|IFITM3|IFI44|IFITM2|IFI44L|DNAJB4|USP18|IFIT5|LAMP3|LAP3|HERC5|ETV7|XAF1|SAMD9|TENT5A|GSDMB|RTP4|ERAP2|DHX58|TMEM62|ZBP1|UNC93B1|HSH2D|HELZ2|DDX60L|RSAD2|EPSTI1|PIK3AP1|CMPK2|TRIM69|PPM1K|SAMD9L,-37,0
1,-37,COVID048,M1,1,0,COVID,200,RNA_Wyler_Calu-3_12h_Up,,-37,11,22,28160,300,455,52,11,1.5,3430|3433|3434|3437|3665|3669|3965|4502|4599|4600|4734|4938|4940|5359|5610|6773|8638|9111|9246|9636|10346|10379|10561|10581|10964|11080|11274|24138|27074|51056|51131|51191|51513|54739|54809|55300|55603|64108|64167|79132|81622|84941|85441|91351|91543|94240|118788|129607|140691|152926|219285|219790,IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LGALS9|MT2A|MX1|MX2|NEDD4|OAS1|OAS3|PLSCR1|EIF2AK2|STAT2|OASL|NMI|UBE2L6|ISG15|TRIM22|IRF9|IFI44|IFITM2|IFI44L|DNAJB4|USP18|IFIT5|LAMP3|LAP3|PHF11|HERC5|ETV7|XAF1|SAMD9|PI4K2B|TENT5A|RTP4|ERAP2|DHX58|UNC93B1|HSH2D|HELZ2|DDX60L|RSAD2|EPSTI1|PIK3AP1|CMPK2|TRIM69|PPM1K|SAMD9L|RTKN2,-33,0
1,-34,COVID016,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-34,10,20,28160,300,455,49,11,1.5,1026|3430|3433|3434|3437|3665|3669|3965|4050|4502|4599|4600|4734|4938|4940|5359|5610|6303|6773|8519|8638|9111|9246|9636|10346|10379|10561|10964|11274|24138|27074|51056|51131|51191|51513|54739|54809|55876|64108|79132|81030|84941|85441|91351|91543|94240|129607|152926|219285,CDKN1A|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LTB|MT2A|MX1|MX2|NEDD4|OAS1|OAS3|PLSCR1|EIF2AK2|SAT1|STAT2|IFITM1|OASL|NMI|UBE2L6|ISG15|TRIM22|IRF9|IFI44|IFI44L|USP18|IFIT5|LAMP3|LAP3|PHF11|HERC5|ETV7|XAF1|SAMD9|GSDMB|RTP4|DHX58|ZBP1|HSH2D|HELZ2|DDX60L|RSAD2|EPSTI1|CMPK2|PPM1K|SAMD9L,-30,0
1,-31,COVID273,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C1A-mild_Up,,-31,36,28,28160,40,455,23,5.1,1,2537|3437|3669|4061|4599|4600|4938|4940|5359|5610|9636|10346|10410|10561|10581|10964|51056|54739|54809|91351|91543|94240|219285,IFI6|IFIT3|ISG20|LY6E|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|LAP3|XAF1|SAMD9|DDX60L|RSAD2|EPSTI1|SAMD9L,-27,0
1,-28,COVID244,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C1A-mild_Up,,-28,21,23,28160,80,455,27,5.9,1.1,1191|2537|3434|3437|3512|3665|4061|4599|4600|4938|4940|5359|5610|8638|9636|10346|10410|10561|10581|10964|54739|54809|91351|91543|94240|129607|219285,CLU|IFI6|IFIT1|IFIT3|JCHAIN|IRF7|LY6E|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|OASL|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|XAF1|SAMD9|DDX60L|RSAD2|EPSTI1|CMPK2|SAMD9L,-24,0
