_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-13.192718643891453,GO:0016569,M1,1,0,GO Biological Processes,19,covalent chromatin modification,19_GO:0008152 metabolic process,-13.192718643891453,4.393821188953035,10.021606259106195,28160,481,493,37,7.505070993914807,1.1866233894941065,1387|2033|3009|3662|6018|6497|6720|6907|7874|7994|8450|8861|8888|9031|9739|9862|10155|11108|22976|23067|23133|23326|23429|25942|29072|51043|51366|54790|54880|55209|55729|55809|57634|79697|93624|221656|339287,CREBBP|EP300|H1-5|IRF4|RLF|SKI|SREBF1|TBL1X|USP7|KAT6A|CUL4B|LDB1|MCM3AP|BAZ1B|SETD1A|MED24|TRIM28|PRDM4|PAXIP1|SETD1B|PHF8|USP22|RYBP|SIN3A|SETD2|ZBTB7B|UBR5|TET2|BCOR|SETD5|ATF7IP|TRERF1|EP400|RIOX1|TADA2B|KDM1B|MSL1,-8.831009690653136,0,1,1,1,-13.192718643891453,5.354969574036512,
1,-12.178132314285355,GO:0016570,M1,1,0,GO Biological Processes,19,histone modification,19_GO:0008152 metabolic process,-12.178132314285355,4.280917860757239,9.543767125429568,28160,467,493,35,7.099391480730223,1.156635139179728,1387|2033|3009|3662|6018|6497|6720|6907|7874|7994|8450|8861|8888|9031|9739|9862|11108|22976|23067|23133|23326|23429|25942|29072|51043|51366|54790|54880|55209|55809|57634|79697|93624|221656|339287,CREBBP|EP300|H1-5|IRF4|RLF|SKI|SREBF1|TBL1X|USP7|KAT6A|CUL4B|LDB1|MCM3AP|BAZ1B|SETD1A|MED24|PRDM4|PAXIP1|SETD1B|PHF8|USP22|RYBP|SIN3A|SETD2|ZBTB7B|UBR5|TET2|BCOR|SETD5|TRERF1|EP400|RIOX1|TADA2B|KDM1B|MSL1,-8.11745335671102,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-7.718848127524666,GO:0018205,M1,1,0,GO Biological Processes,19,peptidyl-lysine modification,19_GO:0008152 metabolic process,-7.718848127524666,3.7578733852887796,7.22521940785083,28160,380,493,25,5.070993914807302,0.9881492650268269,1387|1958|2033|3009|3662|6018|7917|7994|8861|8888|9739|9862|10155|22976|23067|23326|25942|29072|54790|54880|55209|57609|57634|93624|339287,CREBBP|EGR1|EP300|H1-5|IRF4|RLF|BAG6|KAT6A|LDB1|MCM3AP|SETD1A|MED24|TRIM28|PAXIP1|SETD1B|USP22|SIN3A|SETD2|TET2|BCOR|SETD5|DIP2B|EP400|TADA2B|MSL1,-4.257433951769799,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-7.691266881026915,GO:0006473,M1,1,0,GO Biological Processes,19,protein acetylation,19_GO:0008152 metabolic process,-7.691266881026915,5.089872070371337,7.787237075419029,28160,202,493,18,3.6511156186612577,0.8447198085639471,1387|2033|2308|3662|7917|7994|8861|8888|9862|22976|23326|25942|55209|57609|57634|93624|122830|339287,CREBBP|EP300|FOXO1|IRF4|BAG6|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|DIP2B|EP400|TADA2B|NAA30|MSL1,-4.257433951769799,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-7.165274876070375,GO:0018394,M1,1,0,GO Biological Processes,19,peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-7.165274876070375,5.313458181989716,7.574516593536311,28160,172,493,16,3.2454361054766734,0.7980843634493947,1387|2033|3662|7917|7994|8861|8888|9862|22976|23326|25942|55209|57609|57634|93624|339287,CREBBP|EP300|IRF4|BAG6|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|DIP2B|EP400|TADA2B|MSL1,-3.98089329656252,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-7.020382955066917,R-HSA-3247509,M1,1,0,Reactome Gene Sets,6,Chromatin modifying enzymes,,-7.020382955066917,4.169319376378792,7.037188984312598,28160,274,493,20,4.056795131845842,0.8885363291393538,1387|2033|6907|7994|8364|9612|9739|23067|23133|23326|29072|54815|55729|57634|79595|84159|93624|221656|317772|339287,CREBBP|EP300|TBL1X|KAT6A|H4C3|NCOR2|SETD1A|SETD1B|PHF8|USP22|SETD2|GATAD2A|ATF7IP|EP400|SAP130|ARID5B|TADA2B|KDM1B|H2AC21|MSL1,-3.98089329656252,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-7.020382955066917,R-HSA-4839726,M1,1,0,Reactome Gene Sets,6,Chromatin organization,,-7.020382955066917,4.169319376378792,7.037188984312598,28160,274,493,20,4.056795131845842,0.8885363291393538,1387|2033|6907|7994|8364|9612|9739|23067|23133|23326|29072|54815|55729|57634|79595|84159|93624|221656|317772|339287,CREBBP|EP300|TBL1X|KAT6A|H4C3|NCOR2|SETD1A|SETD1B|PHF8|USP22|SETD2|GATAD2A|ATF7IP|EP400|SAP130|ARID5B|TADA2B|KDM1B|H2AC21|MSL1,-3.98089329656252,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-6.764841137119281,GO:0018393,M1,1,0,GO Biological Processes,19,internal peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-6.764841137119281,5.321708893452433,7.340881711863662,28160,161,493,15,3.0425963488843815,0.7735514399940204,1387|2033|3662|7917|7994|8861|8888|9862|22976|23326|25942|55209|57634|93624|339287,CREBBP|EP300|IRF4|BAG6|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|EP400|TADA2B|MSL1,-3.84753402634577,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-6.694577103582356,GO:0006475,M1,1,0,GO Biological Processes,19,internal protein amino acid acetylation,19_GO:0008152 metabolic process,-6.694577103582356,5.25641185181498,7.274995614351181,28160,163,493,15,3.0425963488843815,0.7735514399940204,1387|2033|3662|7917|7994|8861|8888|9862|22976|23326|25942|55209|57634|93624|339287,CREBBP|EP300|IRF4|BAG6|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|EP400|TADA2B|MSL1,-3.824229844178312,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-6.447586823736991,GO:0043543,M1,1,0,GO Biological Processes,19,protein acylation,19_GO:0008152 metabolic process,-6.447586823736991,4.213746550061517,6.730246646034358,28160,244,493,18,3.6511156186612577,0.8447198085639471,1387|2033|2308|3662|7917|7994|8861|8888|9862|22976|23326|25942|55209|57609|57634|93624|122830|339287,CREBBP|EP300|FOXO1|IRF4|BAG6|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|DIP2B|EP400|TADA2B|NAA30|MSL1,-3.6421803712659617,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-6.19027842271771,GO:0016573,M1,1,0,GO Biological Processes,19,histone acetylation,19_GO:0008152 metabolic process,-6.19027842271771,5.159196492835176,6.931201702679983,28160,155,493,14,2.839756592292089,0.7481029987954734,1387|2033|3662|7994|8861|8888|9862|22976|23326|25942|55209|57634|93624|339287,CREBBP|EP300|IRF4|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|EP400|TADA2B|MSL1,-3.441353326199129,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-3.6791921677030017,R-HSA-3214847,M1,1,0,Reactome Gene Sets,6,HATs acetylate histones,,-3.6791921677030017,4.022512356083764,4.819974383877845,28160,142,493,10,2.028397565922921,0.6348968706193243,1387|2033|7994|8364|23326|57634|79595|93624|317772|339287,CREBBP|EP300|KAT6A|H4C3|USP22|EP400|SAP130|TADA2B|H2AC21|MSL1,-1.582301037474222,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-3.051853229374255,GO:0043966,M1,1,0,GO Biological Processes,19,histone H3 acetylation,19_GO:0008152 metabolic process,-3.051853229374255,5.354969574036512,4.655902783335485,28160,64,493,6,1.2170385395537526,0.49382119590657986,2033|3662|7994|8861|8888|25942,EP300|IRF4|KAT6A|LDB1|MCM3AP|SIN3A,-1.1952942544558447,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-2.1944986515488134,GO:0043967,M1,1,0,GO Biological Processes,19,histone H4 acetylation,19_GO:0008152 metabolic process,-2.1944986515488134,4.26266234749175,3.569122969665432,28160,67,493,5,1.0141987829614605,0.45125760516206653,2033|3662|23326|57634|339287,EP300|IRF4|USP22|EP400|MSL1,-0.6306233297446743,0,1,0,0,-13.192718643891453,5.354969574036512,
1,-9.981768113786286,GO:0046649,M1,1,0,GO Biological Processes,19,lymphocyte activation,19_GO:0002376 immune system process,-9.981768113786286,3.1115776513208266,7.935918450336861,28160,771,493,42,8.519269776876268,1.2573104849199797,639|1958|2033|3123|3458|3500|3502|3503|3538|3539|3566|3662|3707|3718|3902|3916|4627|5294|5450|5971|6774|6929|7037|7133|7917|8440|10320|22976|23228|23598|28408|28442|28468|29102|51043|55824|64332|80149|84807|139818|200081|283234,PRDM1|EGR1|EP300|HLA-DRB1|IFNG|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IL4R|IRF4|ITPKB|JAK3|LAG3|LAMP1|MYH9|PIK3CG|POU2AF1|RELB|STAT3|TCF3|TFRC|TNFRSF1B|BAG6|NCK2|IKZF1|PAXIP1|PLCL2|PATZ1|IGHV3-74|IGHV3-23|IGHV1-18|DROSHA|ZBTB7B|PAG1|NFKBIZ|ZC3H12A|NFKBID|DOCK11|TXLNA|CCDC88B,-6.0971804152676325,0,2,1,1,-9.981768113786286,4.569574036511156,
1,-8.168833140971461,GO:0002252,M1,1,0,GO Biological Processes,19,immune effector process,19_GO:0002376 immune system process,-8.168833140971461,3.0475436600207786,7.083341812771696,28160,656,493,35,7.099391480730223,1.156635139179728,2|867|1512|3123|3458|3500|3502|3503|3538|3539|3566|3662|3718|3902|3916|5170|5294|5450|5971|6774|7037|7133|8140|8398|22976|23228|26057|28408|28442|28468|51043|64332|80149|84807|139818,A2M|CBL|CTSH|HLA-DRB1|IFNG|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IL4R|IRF4|JAK3|LAG3|LAMP1|PDPK1|PIK3CG|POU2AF1|RELB|STAT3|TFRC|TNFRSF1B|SLC7A5|PLA2G6|PAXIP1|PLCL2|ANKRD17|IGHV3-74|IGHV3-23|IGHV1-18|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID|DOCK11,-4.506094192069164,0,2,0,0,-9.981768113786286,4.569574036511156,
1,-7.030719351179321,GO:0002764,M1,1,0,GO Biological Processes,19,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-7.030719351179321,3.267439062123973,6.631501448300088,28160,472,493,27,5.476673427991886,1.0247182276953146,1387|1512|2033|3123|3500|3502|3503|3538|3539|3662|3783|5170|5583|5601|6197|7917|8398|9698|23228|26057|28408|28442|28468|57724|64332|80149|84807,CREBBP|CTSH|EP300|HLA-DRB1|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IRF4|KCNN4|PDPK1|PRKCH|MAPK9|RPS6KA3|BAG6|PLA2G6|PUM1|PLCL2|ANKRD17|IGHV3-74|IGHV3-23|IGHV1-18|EPG5|NFKBIZ|ZC3H12A|NFKBID,-3.98089329656252,0,2,0,0,-9.981768113786286,4.569574036511156,
