_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.9,M12880,M1,1,0,Transcription Factor Targets,16,YY1 02,,-6.9,4.3,7.1,28160,251,493,19,3.9,0.87,2033|2734|8609|9698|9923|23140|23161|23598|29890|51366|51380|54790|54954|55650|55684|55731|57455|58155|115509,EP300|GLG1|KLF7|PUM1|ZBTB40|ZZEF1|SNX13|PATZ1|RBM15B|UBR5|CSAD|TET2|FAM120C|PIGV|RABL6|FAM222B|REXO1|PTBP2|ZNF689,-3.7,0
1,-6.3,M29991,M1,1,0,Transcription Factor Targets,16,HDAC4 TARGET GENES,,-6.3,2.7,6,28160,679,493,32,6.5,1.1,1822|2870|3916|3985|5170|6907|6929|7297|7994|8189|8364|9150|9716|11190|11260|23095|23152|26173|51061|51366|54834|55527|55610|55650|55824|81037|84256|92070|115509|146705|201255|205428,ATN1|GRK6|LAMP1|LIMK2|PDPK1|TBL1X|TCF3|TYK2|KAT6A|SYMPK|H4C3|CTDP1|AQR|CEP250|XPOT|KIF1B|CIC|INTS1|TXNDC11|UBR5|GDAP2|FEM1A|VPS50|PIGV|PAG1|CLPTM1L|FLYWCH1|CTBP1-DT|ZNF689|TEPSIN|LRRC45|DIPK2A,-3.2,0
1,-6.3,M3265,M1,1,0,Transcription Factor Targets,16,NFMUE1 Q6,,-6.3,4.1,6.6,28160,250,493,18,3.7,0.84,2033|5469|9794|9819|9904|10137|10274|23133|23140|23161|29890|51366|51380|55684|57455|58155|126626|146705,EP300|MED1|MAML1|TSC22D2|RBM19|RBM12|STAG1|PHF8|ZZEF1|SNX13|RBM15B|UBR5|CSAD|RABL6|REXO1|PTBP2|GABPB2|TEPSIN,-3.2,0
1,-6.2,M17712,M1,1,0,Transcription Factor Targets,16,WGTTNNNNNAAA UNKNOWN,,-6.2,2.9,6,28160,554,493,28,5.7,1,636|639|2011|3985|4026|4774|6197|6239|8140|8609|8861|22932|23133|23258|23429|23528|29072|54790|54838|54880|55175|55294|55628|59269|84969|89845|161176|205428,BICD1|PRDM1|MARK2|LIMK2|LPP|NFIA|RPS6KA3|RREB1|SLC7A5|KLF7|LDB1|POMZP3|PHF8|DENND5A|RYBP|ZNF281|SETD2|TET2|WBP1L|BCOR|KLHL11|FBXW7|ZNF407|HIVEP3|TOX2|ABCC10|SYNE3|DIPK2A,-3.1,0
1,-5.8,M18732,M1,1,0,Transcription Factor Targets,16,AP2ALPHA 01,,-5.8,4,6.3,28160,243,493,17,3.4,0.82,1059|5971|6774|7917|8861|9040|9064|23049|23152|23466|23528|26012|29890|55809|79026|84807|112939,CENPB|RELB|STAT3|BAG6|LDB1|UBE2M|MAP3K6|SMG1|CIC|CBX6|ZNF281|NSMF|RBM15B|TRERF1|AHNAK|NFKBID|NACC1,-2.8,0
1,-5.5,M9140,M1,1,0,Transcription Factor Targets,16,RACTNNRTTTNC UNKNOWN,,-5.5,5.3,6.5,28160,130,493,12,2.4,0.69,687|5450|7227|8189|10908|54838|55294|55527|55793|79595|83692|148266,KLF9|POU2AF1|TRPS1|SYMPK|PNPLA6|WBP1L|FBXW7|FEM1A|MINDY1|SAP130|CD99L2|ZNF569,-2.7,0
1,-5.1,M9557,M1,1,0,Transcription Factor Targets,16,SP1 Q6 01,,-5.1,3.7,5.7,28160,248,493,16,3.2,0.8,1362|1889|4363|5306|5971|8861|9064|10155|55650|84445|124989|140707|256364|283149|283991|284098,CPD|ECE1|ABCC1|PITPNA|RELB|LDB1|MAP3K6|TRIM28|PIGV|LZTS2|EFCAB13|BRI3BP|EML3|BCL9L|UBALD2|PIGW,-2.3,0
1,-4.8,M30176,M1,1,0,Transcription Factor Targets,16,SOX3 TARGET GENES,,-4.8,2.6,5.1,28160,548,493,25,5.1,0.99,31|1263|2870|4649|4771|5469|5814|6533|6720|8609|8662|9612|9862|10194|26051|54838|54842|54880|55527|55729|64332|64783|79677|80199|112487,ACACA|PLK3|GRK6|MYO9A|NF2|MED1|PURB|SLC6A6|SREBF1|KLF7|EIF3B|NCOR2|MED24|TSHZ1|PPP1R16B|WBP1L|MFSD6|BCOR|FEM1A|ATF7IP|NFKBIZ|RBM15|SMC6|FUZ|DTD2,-2.1,0
1,-4.6,M10112,M1,1,0,Transcription Factor Targets,16,RNGTGGGC UNKNOWN,,-4.6,2.3,4.8,28160,784,493,31,6.3,1.1,1856|2033|2289|3707|5209|5310|6197|6522|8609|22853|23381|25777|25942|26051|26057|54790|54880|55294|55684|55809|56904|57609|58155|79026|79595|84033|112939|146705|284346|285513|285613,DVL2|EP300|FKBP5|ITPKB|PFKFB3|PKD1|RPS6KA3|SLC4A2|KLF7|LMTK2|SMG5|SUN2|SIN3A|PPP1R16B|ANKRD17|TET2|BCOR|FBXW7|RABL6|TRERF1|SH3GLB2|DIP2B|PTBP2|AHNAK|SAP130|OBSCN|NACC1|TEPSIN|ZNF575|GPRIN3|RELL2,-2,0
1,-4.4,M30337,M1,1,0,Transcription Factor Targets,16,ZNF513 TARGET GENES,,-4.4,2.2,4.6,28160,766,493,30,6.1,1.1,1889|2033|4026|4644|6239|8398|8450|8861|8940|9612|10116|10507|23049|23067|23141|23326|23443|23533|26057|50807|51366|54517|54880|55181|79932|80232|126626|138050|205428|220906,ECE1|EP300|LPP|MYO5A|RREB1|PLA2G6|CUL4B|LDB1|TOP3B|NCOR2|FEM1B|SEMA4D|SMG1|SETD1B|ANKLE2|USP22|SLC35A3|PIK3R5|ANKRD17|ASAP1|UBR5|PUS7|BCOR|SMG8|KIAA0319L|WDR26|GABPB2|HGSNAT|DIPK2A|WAC-AS1,-1.9,0
