_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.8,GO:0010506,regulation of autophagy,M1,1,0
1,-5,GO:0007249,I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-2.9,GO:0036037,"CD8-positive, alpha-beta T cell activation",M1,1,0
1,-9.4,GO:0002252,immune effector process,M1,1,0
1,-2.3,GO:0002689,negative regulation of leukocyte chemotaxis,M1,1,0
1,-3.5,GO:0039528,cytoplasmic pattern recognition receptor signaling pathway in response to virus,M1,1,0
1,-2.8,GO:0071706,tumor necrosis factor superfamily cytokine production,M1,1,0
1,-4,GO:0002366,leukocyte activation involved in immune response,M1,1,0
1,-2.9,GO:0034123,positive regulation of toll-like receptor signaling pathway,M1,1,0
1,-6.2,R-HSA-2424491,DAP12 signaling,M1,1,0
1,-3.4,GO:0032760,positive regulation of tumor necrosis factor production,M1,1,0
1,-3.3,GO:0062207,regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-2.3,GO:0035020,regulation of Rac protein signal transduction,M1,1,0
1,-2.2,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,M1,1,0
1,-2.5,GO:1990858,cellular response to lectin,M1,1,0
1,-7.4,GO:0045824,negative regulation of innate immune response,M1,1,0
1,-8,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-3.1,hsa04621,NOD-like receptor signaling pathway ,M1,1,0
1,-3.1,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-6.9,GO:0031343,positive regulation of cell killing,M1,1,0
1,-3.2,hsa05332,Graft-versus-host disease ,M1,1,0
1,-4.6,GO:0030101,natural killer cell activation,M1,1,0
1,-2.2,GO:0036230,granulocyte activation,M1,1,0
1,-3.7,ko04622,RIG-I-like receptor signaling pathway,M1,1,0
1,-2.3,GO:0046651,lymphocyte proliferation,M1,1,0
1,-2.2,GO:0016236,macroautophagy,M1,1,0
1,-4.2,ko04612,Antigen processing and presentation,M1,1,0
1,-2.3,GO:0097530,granulocyte migration,M1,1,0
1,-3.5,GO:0034121,regulation of toll-like receptor signaling pathway,M1,1,0
1,-19,GO:0009615,response to virus,M1,1,0
1,-5.8,GO:0001906,cell killing,M1,1,0
1,-2.6,GO:0032633,interleukin-4 production,M1,1,0
1,-7.6,GO:0045069,regulation of viral genome replication,M1,1,0
1,-2.5,hsa05160,Hepatitis C,M1,1,0
1,-2.2,GO:0072677,eosinophil migration,M1,1,0
1,-5.9,GO:0035455,response to interferon-alpha,M1,1,0
1,-10,GO:0048525,negative regulation of viral process,M1,1,0
1,-2.7,CORUM:230,Mediator complex,M1,1,0
1,-2.7,GO:0002444,myeloid leukocyte mediated immunity,M1,1,0
1,-5.6,WP5039,SARS-CoV-2 innate immunity evasion and cell-specific immune response,M1,1,0
1,-2.5,GO:0008333,endosome to lysosome transport,M1,1,0
1,-2.6,GO:0002696,positive regulation of leukocyte activation,M1,1,0
1,-3.9,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-8.2,GO:1903900,regulation of viral life cycle,M1,1,0
1,-5.5,GO:0046631,alpha-beta T cell activation,M1,1,0
1,-5.9,GO:0016032,viral process,M1,1,0
1,-2.2,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-2,GO:0042157,lipoprotein metabolic process,M1,1,0
1,-4.2,hsa04612,Antigen processing and presentation ,M1,1,0
1,-2.3,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M1,1,0
1,-2.8,R-HSA-166166,MyD88-independent TLR4 cascade ,M1,1,0
1,-2,R-HSA-933542,TRAF6 mediated NF-kB activation,M1,1,0
1,-3.6,GO:0002702,positive regulation of production of molecular mediator of immune response,M1,1,0
1,-2.9,GO:0002685,regulation of leukocyte migration,M1,1,0
1,-2.5,GO:0002821,positive regulation of adaptive immune response,M1,1,0
1,-3.7,WP4868,Type I interferon induction and signaling during SARS-CoV-2 infection,M1,1,0
1,-2.3,GO:0046579,positive regulation of Ras protein signal transduction,M1,1,0
1,-3.5,GO:0007159,leukocyte cell-cell adhesion,M1,1,0
1,-7,GO:0046649,lymphocyte activation,M1,1,0
1,-2.2,GO:2000404,regulation of T cell migration,M1,1,0
1,-2.2,GO:0050852,T cell receptor signaling pathway,M1,1,0
1,-6.8,GO:0060338,regulation of type I interferon-mediated signaling pathway,M1,1,0
1,-3.9,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-3.7,hsa04622,RIG-I-like receptor signaling pathway ,M1,1,0
1,-2.3,GO:0046641,positive regulation of alpha-beta T cell proliferation,M1,1,0
1,-18,GO:0140546,defense response to symbiont,M1,1,0
1,-2.1,GO:0050687,negative regulation of defense response to virus,M1,1,0
1,-2.6,ko04668,TNF signaling pathway,M1,1,0
1,-2.9,GO:0032607,interferon-alpha production,M1,1,0
1,-6.2,GO:0001817,regulation of cytokine production,M1,1,0
1,-2,GO:0043299,leukocyte degranulation,M1,1,0
1,-3.1,GO:0034341,response to interferon-gamma,M1,1,0
1,-3.2,ko05332,Graft-versus-host disease,M1,1,0
1,-5.3,GO:0060759,regulation of response to cytokine stimulus,M1,1,0
1,-10,GO:0002697,regulation of immune effector process,M1,1,0
1,-18,GO:0051607,defense response to virus,M1,1,0
1,-2.3,GO:0050870,positive regulation of T cell activation,M1,1,0
1,-3.3,GO:0071359,cellular response to dsRNA,M1,1,0
1,-3.1,GO:0003094,glomerular filtration,M1,1,0
1,-3.4,GO:0060267,positive regulation of respiratory burst,M1,1,0
