_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-18.710643765815455,GO:0009615,M1,1,0,GO Biological Processes,19,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-18.710643765815455,6.098893775823004,13.092883720337088,28160,369,488,39,7.991803278688525,1.227511984702934,665|684|2268|2537|2635|3433|3434|3437|3665|3669|4599|4600|4938|4940|6351|6352|6375|8519|9636|10077|10346|10561|10875|10964|11035|23586|30009|51191|51251|55337|64108|64135|79132|79594|81030|85363|91543|255520|100507436,BNIP3L|BST2|FGR|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|CCL4|CCL5|XCL1|IFITM1|ISG15|TSPAN32|TRIM22|IFI44|FGL2|IFI44L|RIPK3|DDX58|TBX21|HERC5|NT5C3A|SHFL|RTP4|IFIH1|DHX58|MUL1|ZBP1|TRIM5|RSAD2|ELMOD2|MICA,-14.348934812577138,0,1,1,1,-18.710643765815455,15.387978142076502,
1,-17.964311459063357,GO:0051607,M1,1,0,GO Biological Processes,19,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-17.964311459063357,7.132068520906245,13.369441546365662,28160,267,488,33,6.762295081967213,1.136666171977813,665|684|2537|2635|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|10077|10346|10875|10964|11035|23586|51191|51251|55337|64108|64135|79132|79594|81030|85363|91543|255520|100507436,BNIP3L|BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TSPAN32|TRIM22|FGL2|IFI44L|RIPK3|DDX58|HERC5|NT5C3A|SHFL|RTP4|IFIH1|DHX58|MUL1|ZBP1|TRIM5|RSAD2|ELMOD2|MICA,-14.079723760544702,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-17.964311459063357,GO:0140546,M1,1,0,GO Biological Processes,19,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-17.964311459063357,7.132068520906245,13.369441546365662,28160,267,488,33,6.762295081967213,1.136666171977813,665|684|2537|2635|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|10077|10346|10875|10964|11035|23586|51191|51251|55337|64108|64135|79132|79594|81030|85363|91543|255520|100507436,BNIP3L|BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TSPAN32|TRIM22|FGL2|IFI44L|RIPK3|DDX58|HERC5|NT5C3A|SHFL|RTP4|IFIH1|DHX58|MUL1|ZBP1|TRIM5|RSAD2|ELMOD2|MICA,-14.079723760544702,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-14.531086414701129,R-HSA-909733,M1,1,0,Reactome Gene Sets,6,Interferon alpha/beta signaling,,-14.531086414701129,14.014051522248245,14.477178279734137,28160,70,488,17,3.4836065573770494,0.8300517723966505,684|2537|3133|3430|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|11274|91543,BST2|IFI6|HLA-E|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|USP18|RSAD2,-11.014475501477069,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-12.975837489973683,R-HSA-913531,M1,1,0,Reactome Gene Sets,6,Interferon Signaling,,-12.975837489973683,6.959387099431584,11.203404985938718,28160,199,488,24,4.918032786885246,0.9788922228761815,567|684|2537|2635|3133|3430|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|10346|10475|11274|23586|51191|85363|91543,B2M|BST2|IFI6|GBP3|HLA-E|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TRIM22|TRIM38|USP18|DDX58|HERC5|TRIM5|RSAD2,-9.568371046174692,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-10.225017533231389,GO:0048525,M1,1,0,GO Biological Processes,19,negative regulation of viral process,19_GO:0016032 viral process,-10.225017533231389,9.40841054882395,10.727544840520642,28160,92,488,15,3.0737704918032787,0.7813515299850209,684|3434|3669|4061|4599|4938|4940|6352|7538|8519|9636|55337|64135|85363|91543,BST2|IFIT1|ISG20|LY6E|MX1|OAS1|OAS3|CCL5|ZFP36|IFITM1|ISG15|SHFL|IFIH1|TRIM5|RSAD2,-6.904701265151298,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-9.746027692254053,GO:0045071,M1,1,0,GO Biological Processes,19,negative regulation of viral genome replication,19_GO:0016032 viral process,-9.746027692254053,12.365339578454334,11.305521801081527,28160,56,488,12,2.459016393442623,0.7010748155292342,684|3434|3669|4599|4938|4940|6352|8519|9636|55337|64135|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|CCL5|IFITM1|ISG15|SHFL|IFIH1|RSAD2,-6.560409998071418,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-9.207007542772857,GO:0050792,M1,1,0,GO Biological Processes,19,regulation of viral process,19_GO:0016032 viral process,-9.207007542772857,6.333466613354658,9.096655814128233,28160,164,488,18,3.6885245901639343,0.8532090404641846,684|3434|3669|4061|4599|4938|4940|6352|6993|7538|8519|9636|10346|10475|55337|64135|85363|91543,BST2|IFIT1|ISG20|LY6E|MX1|OAS1|OAS3|CCL5|DYNLT1|ZFP36|IFITM1|ISG15|TRIM22|TRIM38|SHFL|IFIH1|TRIM5|RSAD2,-6.12405219048737,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-8.901959673942459,R-HSA-1280215,M1,1,0,Reactome Gene Sets,6,Cytokine Signaling in Immune system,,-8.901959673942459,3.066834804539723,7.43404901137799,28160,715,488,38,7.786885245901639,1.2130210075125023,567|684|1154|2353|2537|2635|3133|3430|3433|3434|3437|3603|3665|3669|4599|4600|4938|4940|5291|5608|6285|6351|6352|7132|8519|8740|8764|8767|8835|9636|10346|10475|11274|23586|51191|51231|85363|91543,B2M|BST2|CISH|FOS|IFI6|GBP3|HLA-E|IFI35|IFIT2|IFIT1|IFIT3|IL16|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PIK3CB|MAP2K6|S100B|CCL4|CCL5|TNFRSF1A|IFITM1|TNFSF14|TNFRSF14|RIPK2|SOCS2|ISG15|TRIM22|TRIM38|USP18|DDX58|HERC5|VRK3|TRIM5|RSAD2,-5.916268376213031,0,1,0,0,-18.710643765815455,15.387978142076502,
1,-8.157519132976635,GO:1903900,M1,1,0,GO Biological Processes,19,regulation of viral life cycle,19_GO:0016032 viral process,-8.157519132976635,6.238369517058041,8.485026045686869,28160,148,488,16,3.278688524590164,0.8061228982515798,684|3434|3669|4061|4599|4938|4940|6352|8519|9636|10346|10475|55337|64135|85363|91543,BST2|IFIT1|ISG20|LY6E|MX1|OAS1|OAS3|CCL5|IFITM1|ISG15|TRIM22|TRIM38|SHFL|IFIH1|TRIM5|RSAD2,-5.275175265362863,0,1,0,0,-18.710643765815455,15.387978142076502,
