Cluster,Score,Type,Gene,Symbol,Network
1,7.0,Clustered,4940,OAS3,MyList_SUB1
1,7.0,Clustered,3433,IFIT2,MyList_SUB1
1,7.0,Clustered,3434,IFIT1,MyList_SUB1
1,7.0,Clustered,3665,IRF7,MyList_SUB1
1,7.0,Clustered,8519,IFITM1,MyList_SUB1
1,7.0,Clustered,91543,RSAD2,MyList_SUB1
1,7.0,Clustered,4599,MX1,MyList_SUB1
1,7.0,Clustered,4600,MX2,MyList_SUB1
1,7.0,Clustered,684,BST2,MyList_SUB1
1,7.0,Clustered,3430,IFI35,MyList_SUB1
1,7.0,Clustered,3133,HLA-E,MyList_SUB1
1,7.0,Seed,2537,IFI6,MyList_SUB1
1,7.0,Clustered,4938,OAS1,MyList_SUB1
1,7.0,Clustered,3669,ISG20,MyList_SUB1
1,7.0,Clustered,3437,IFIT3,MyList_SUB1
2,4.0,Clustered,140460,ASB7,MyList_SUB1
2,4.0,Seed,23586,DDX58,MyList_SUB1
2,4.0,Clustered,93611,FBXO44,MyList_SUB1
2,4.0,Clustered,51619,UBE2D4,MyList_SUB1
2,4.0,Clustered,64219,PJA1,MyList_SUB1
2,4.0,Clustered,64718,UNKL,MyList_SUB1
2,4.0,Clustered,10616,RBCK1,MyList_SUB1
2,4.0,Clustered,54850,FBXL12,MyList_SUB1
2,4.0,Clustered,142678,MIB2,MyList_SUB1
2,4.0,Clustered,51191,HERC5,MyList_SUB1
4,2.7777777777777777,Clustered,3824,KLRD1,MyList_SUB1
4,2.7777777777777777,Clustered,5291,PIK3CB,MyList_SUB1
4,2.7777777777777777,Clustered,3811,KIR3DL1,MyList_SUB1
4,2.7777777777777777,Seed,3822,KLRC2,MyList_SUB1
4,2.7777777777777777,Clustered,7305,TYROBP,MyList_SUB1
4,2.7777777777777777,Clustered,100528032,KLRC4-KLRK1,MyList_SUB1
4,2.7777777777777777,Clustered,3812,KIR3DL2,MyList_SUB1
4,2.7777777777777777,Clustered,567,B2M,MyList_SUB1
4,2.7777777777777777,Clustered,3804,KIR2DL3,MyList_SUB1
3,2.1,Clustered,2841,GPR18,MyList_SUB1
3,2.1,Clustered,53637,S1PR5,MyList_SUB1
3,2.1,Clustered,326624,RAB37,MyList_SUB1
3,2.1,Seed,116442,RAB39B,MyList_SUB1
3,2.1,Clustered,9363,RAB33A,MyList_SUB1
3,2.1,Clustered,83452,RAB33B,MyList_SUB1
3,2.1,Clustered,6351,CCL4,MyList_SUB1
3,2.1,Clustered,719,C3AR1,MyList_SUB1
3,2.1,Clustered,9367,RAB9A,MyList_SUB1
3,2.1,Clustered,6352,CCL5,MyList_SUB1
5,1.5,Seed,1384,CRAT,MyList_SUB1
5,1.5,Clustered,5194,PEX13,MyList_SUB1
5,1.5,Clustered,10901,DHRS4,MyList_SUB1
5,1.5,Clustered,847,CAT,MyList_SUB1
6,1.5,Clustered,219541,MED19,MyList_SUB1
6,1.5,Seed,400569,MED11,MyList_SUB1
6,1.5,Clustered,9412,MED21,MyList_SUB1
6,1.5,Clustered,54797,MED18,MyList_SUB1
7,1.0,Clustered,4833,NME4,MyList_SUB1
7,1.0,Clustered,8334,H2AC6,MyList_SUB1
7,1.0,Clustered,30834,POLR1H,MyList_SUB1
7,1.0,Clustered,6192,RPS4Y1,MyList_SUB1
8,1.0,Seed,150684,COMMD1,MyList_SUB1
8,1.0,Clustered,8835,SOCS2,MyList_SUB1
8,1.0,Clustered,1154,CISH,MyList_SUB1
9,1.0,Seed,11314,CD300A,MyList_SUB1
9,1.0,Clustered,5269,SERPINB6,MyList_SUB1
9,1.0,Clustered,2207,FCER1G,MyList_SUB1
10,1.0,Clustered,8767,RIPK2,MyList_SUB1
10,1.0,Clustered,5590,PRKCZ,MyList_SUB1
10,1.0,Seed,7132,TNFRSF1A,MyList_SUB1
11,1.0,Clustered,902,CCNH,MyList_SUB1
11,1.0,Clustered,6879,TAF7,MyList_SUB1
11,1.0,Clustered,2960,GTF2E1,MyList_SUB1
12,1.0,Clustered,9694,EMC2,MyList_SUB1
12,1.0,Seed,64215,DNAJC1,MyList_SUB1
12,1.0,Clustered,51259,TMEM216,MyList_SUB1
13,1.0,Seed,146705,TEPSIN,MyList_SUB1
13,1.0,Clustered,79090,TRAPPC6A,MyList_SUB1
13,1.0,Clustered,83719,YPEL3,MyList_SUB1
