_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-38,COVID353,M1,1,0,COVID,200,RNA_Zhang_Monocytes_severe-and-moderate_Up,,-38,18,26,28160,127,488,40,8.2,1.2,567|684|1521|2537|2999|3430|3433|3434|3437|3493|3512|3665|3669|3824|4061|4599|4600|4818|4938|4940|6352|8519|8530|9528|9636|10346|10561|10578|10964|11274|11314|51191|51251|51510|54809|64135|81030|91351|91543|94240,B2M|BST2|CTSW|IFI6|GZMH|IFI35|IFIT2|IFIT1|IFIT3|IGHA1|JCHAIN|IRF7|ISG20|KLRD1|LY6E|MX1|MX2|NKG7|OAS1|OAS3|CCL5|IFITM1|CST7|TMEM59|ISG15|TRIM22|IFI44|GNLY|IFI44L|USP18|CD300A|HERC5|NT5C3A|CHMP5|SAMD9|IFIH1|ZBP1|DDX60L|RSAD2|EPSTI1,-34,0
1,-34,COVID359,M1,1,0,COVID,200,RNA_Zhang_T-cells_severe-and-moderate_Up,,-34,16,23,28160,139,488,38,7.8,1.2,241|567|684|1521|2268|2537|2999|3430|3434|3437|3665|3669|3824|4061|4599|4600|4818|4938|4940|6351|8519|9636|10346|10561|10578|10964|11098|11274|51348|51510|53637|54809|55020|55337|55501|81030|91543|94240,ALOX5AP|B2M|BST2|CTSW|FGR|IFI6|GZMH|IFI35|IFIT1|IFIT3|IRF7|ISG20|KLRD1|LY6E|MX1|MX2|NKG7|OAS1|OAS3|CCL4|IFITM1|ISG15|TRIM22|IFI44|GNLY|IFI44L|PRSS23|USP18|KLRF1|CHMP5|S1PR5|SAMD9|TTC38|SHFL|CHST12|ZBP1|RSAD2|EPSTI1,-30,0
1,-29,COVID050,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-29,8.8,18,28160,300,488,46,9.4,1.3,154|567|684|1843|2353|2635|3133|3430|3433|3434|3437|3665|3669|4061|4599|4600|4938|4940|5920|6352|7538|8519|9473|9636|10346|10370|10475|10561|10616|10964|11274|23586|51191|51251|54809|55337|55603|64108|64135|64167|79132|81030|85363|91351|91543|94240,ADRB2|B2M|BST2|DUSP1|FOS|GBP3|HLA-E|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LY6E|MX1|MX2|OAS1|OAS3|PLAAT4|CCL5|ZFP36|IFITM1|THEMIS2|ISG15|TRIM22|CITED2|TRIM38|IFI44|RBCK1|IFI44L|USP18|DDX58|HERC5|NT5C3A|SAMD9|SHFL|TENT5A|RTP4|IFIH1|ERAP2|DHX58|ZBP1|TRIM5|DDX60L|RSAD2|EPSTI1,-25,0
1,-28,COVID356,M1,1,0,COVID,200,RNA_Zhang_NK-cells_severe-and-moderate_Up,,-28,18,22,28160,95,488,29,5.9,1.1,241|684|1521|2537|2999|3430|3434|3437|3665|3669|3824|4061|4599|4600|4938|4940|8519|9636|10346|10561|10964|11274|51348|51510|54809|55337|81030|91543|94240,ALOX5AP|BST2|CTSW|IFI6|GZMH|IFI35|IFIT1|IFIT3|IRF7|ISG20|KLRD1|LY6E|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TRIM22|IFI44|IFI44L|USP18|KLRF1|CHMP5|SAMD9|SHFL|ZBP1|RSAD2|EPSTI1,-24,0
1,-27,COVID362,M1,1,0,COVID,200,RNA_Zhang_B-cells_severe-and-moderate_Up,,-27,20,22,28160,74,488,26,5.3,1,567|684|2537|3430|3434|3437|3512|3665|3669|4061|4599|4600|4938|4940|8519|9636|10346|10561|10964|11274|27244|51191|54809|55337|81030|94240,B2M|BST2|IFI6|IFI35|IFIT1|IFIT3|JCHAIN|IRF7|ISG20|LY6E|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TRIM22|IFI44|IFI44L|USP18|SESN1|HERC5|SAMD9|SHFL|ZBP1|EPSTI1,-23,0
1,-23,COVID011,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2-ruxolitinib_Down,,-23,8.9,16,28160,233,488,36,7.4,1.2,684|2537|2635|3133|3430|3433|3434|3437|3665|3669|4061|4599|4600|4938|4940|6352|8519|9473|9636|10346|10475|10561|10964|11274|23586|51191|54809|55020|55337|64135|64167|79132|85363|91351|91543|94240,BST2|IFI6|GBP3|HLA-E|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LY6E|MX1|MX2|OAS1|OAS3|CCL5|IFITM1|THEMIS2|ISG15|TRIM22|TRIM38|IFI44|IFI44L|USP18|DDX58|HERC5|SAMD9|TTC38|SHFL|IFIH1|ERAP2|DHX58|TRIM5|DDX60L|RSAD2|EPSTI1,-19,0
1,-22,COVID048,M1,1,0,COVID,200,RNA_Wyler_Calu-3_12h_Up,,-22,7.5,15,28160,300,488,39,8,1.2,154|843|1843|2635|3430|3433|3434|3437|3665|3669|4599|4600|4938|4940|6352|7538|8767|9473|9636|10346|10475|10561|10964|11274|23338|23586|51191|51251|54809|55337|55603|64108|64135|64167|79132|85363|91351|91543|94240,ADRB2|CASP10|DUSP1|GBP3|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|CCL5|ZFP36|RIPK2|THEMIS2|ISG15|TRIM22|TRIM38|IFI44|IFI44L|USP18|JADE2|DDX58|HERC5|NT5C3A|SAMD9|SHFL|TENT5A|RTP4|IFIH1|ERAP2|DHX58|TRIM5|DDX60L|RSAD2|EPSTI1,-18,0
1,-21,COVID016,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-21,7.3,15,28160,300,488,38,7.8,1.2,154|969|1843|2635|3430|3433|3434|3437|3665|3669|4599|4600|4616|4938|4940|6303|6352|7538|8519|8767|9473|9636|10346|10475|10561|10964|11274|23586|51191|54809|64108|64135|79132|81030|85363|91351|91543|94240,ADRB2|CD69|DUSP1|GBP3|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|GADD45B|OAS1|OAS3|SAT1|CCL5|ZFP36|IFITM1|RIPK2|THEMIS2|ISG15|TRIM22|TRIM38|IFI44|IFI44L|USP18|DDX58|HERC5|SAMD9|RTP4|IFIH1|DHX58|ZBP1|TRIM5|DDX60L|RSAD2|EPSTI1,-17,0
1,-20,COVID297,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C5_Up,,-20,21,19,28160,52,488,19,3.9,0.88,2537|3434|3437|3669|3824|4599|4600|4938|4940|6285|6351|9636|10346|10561|10964|51191|54809|91543|94240,IFI6|IFIT1|IFIT3|ISG20|KLRD1|MX1|MX2|OAS1|OAS3|S100B|CCL4|ISG15|TRIM22|IFI44|IFI44L|HERC5|SAMD9|RSAD2|EPSTI1,-16,0
1,-19,COVID017,M1,1,0,COVID,200,RNA_Blanco-Melo_Lung_Down,,-19,7.6,14,28160,259,488,34,7,1.2,241|719|969|1117|2207|2268|2537|2635|3433|3434|3437|4599|4600|4938|4940|5608|6351|7305|8519|8740|9636|10475|10875|10964|23586|51191|54809|55337|64108|81030|91351|91543|94240|389289,ALOX5AP|C3AR1|CD69|CHI3L2|FCER1G|FGR|IFI6|GBP3|IFIT2|IFIT1|IFIT3|MX1|MX2|OAS1|OAS3|MAP2K6|CCL4|TYROBP|IFITM1|TNFSF14|ISG15|TRIM38|FGL2|IFI44L|DDX58|HERC5|SAMD9|SHFL|RTP4|ZBP1|DDX60L|RSAD2|EPSTI1|ANXA2R,-16,0
