_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.6,C0375023,M1,1,0,DisGeNET,35,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-9.6,3.8,8.2,28160,467,488,31,6.4,1.1,154|567|684|847|969|1154|1843|2353|3434|3665|3820|3822|5729|5920|6302|6352|7132|7538|9636|10397|10998|11035|11126|23586|64135|79132|91543|196513|100507436|100528032|104909134,ADRB2|B2M|BST2|CAT|CD69|CISH|DUSP1|FOS|IFIT1|IRF7|KLRB1|KLRC2|PTGDR|PLAAT4|TSPAN31|CCL5|TNFRSF1A|ZFP36|ISG15|NDRG1|SLC27A5|RIPK3|CD160|DDX58|IFIH1|DHX58|RSAD2|DCP1B|MICA|KLRC4-KLRK1|LINC02210-CRHR1,-6.7,0
1,-9.1,C1522378,M1,1,0,DisGeNET,35,"Leukemia, Large Granular Lymphocytic",,-9.1,9.6,10,28160,78,488,13,2.7,0.73,2353|3804|3811|3820|6351|6352|7132|7305|8848|10578|30009|100507436|100528032,FOS|KIR2DL3|KIR3DL1|KLRB1|CCL4|CCL5|TNFRSF1A|TYROBP|TSC22D1|GNLY|TBX21|MICA|KLRC4-KLRK1,-6.1,0
1,-8,C0524910,M1,1,0,DisGeNET,35,"Hepatitis C, Chronic",,-8,3.6,7.3,28160,430,488,27,5.5,1,847|969|1240|1471|2353|3133|3430|3665|3669|3804|3811|3824|4599|4938|6351|6352|7132|8740|9636|10346|23586|30009|64135|85363|91543|100507436|100528032,CAT|CD69|CMKLR1|CST3|FOS|HLA-E|IFI35|IRF7|ISG20|KIR2DL3|KIR3DL1|KLRD1|MX1|OAS1|CCL4|CCL5|TNFRSF1A|TNFSF14|ISG15|TRIM22|DDX58|TBX21|IFIH1|TRIM5|RSAD2|MICA|KLRC4-KLRK1,-5.1,0
1,-7.7,C2062441,M1,1,0,DisGeNET,35,Influenza A,,-7.7,3.2,6.9,28160,562,488,31,6.4,1.1,684|847|969|1154|2353|3434|3665|3669|3822|4599|5291|5920|5973|6351|6352|6375|9437|9636|10346|11035|11126|23586|51191|57097|64135|64174|79090|79132|81030|91543|116442,BST2|CAT|CD69|CISH|FOS|IFIT1|IRF7|ISG20|KLRC2|MX1|PIK3CB|PLAAT4|RENBP|CCL4|CCL5|XCL1|NCR1|ISG15|TRIM22|RIPK3|CD160|DDX58|HERC5|PARP11|IFIH1|DPEP2|TRAPPC6A|DHX58|ZBP1|RSAD2|RAB39B,-4.9,0
1,-7.1,C2363741,M1,1,0,DisGeNET,35,HIV-1 infection,,-7.1,2.8,6.5,28160,695,488,34,7,1.2,567|684|969|2353|3133|3603|3665|3669|3804|3811|3812|3820|4061|4600|5291|5920|6285|6351|6352|6375|7132|9636|10346|11274|11314|23586|30834|57804|64167|79594|85363|91543|100507436|100528032,B2M|BST2|CD69|FOS|HLA-E|IL16|IRF7|ISG20|KIR2DL3|KIR3DL1|KIR3DL2|KLRB1|LY6E|MX2|PIK3CB|PLAAT4|S100B|CCL4|CCL5|XCL1|TNFRSF1A|ISG15|TRIM22|USP18|CD300A|DDX58|POLR1H|POLD4|ERAP2|MUL1|TRIM5|RSAD2|MICA|KLRC4-KLRK1,-4.3,0
1,-6.9,C0043124,M1,1,0,DisGeNET,35,West Nile Fever,,-6.9,8,8.3,28160,79,488,11,2.3,0.67,3433|3811|4938|5291|5920|7132|11035|23586|64135|79132|81030,IFIT2|KIR3DL1|OAS1|PIK3CB|PLAAT4|TNFRSF1A|RIPK3|DDX58|IFIH1|DHX58|ZBP1,-4.1,0
1,-6.8,C0004623,M1,1,0,DisGeNET,35,Bacterial Infections,,-6.8,2.9,6.3,28160,616,488,31,6.4,1.1,847|1154|1843|3133|3493|3665|3824|4938|4940|5291|5973|6048|6285|6352|7132|7538|8740|8767|9437|9528|9636|10397|10616|10964|10998|11035|11274|30009|79594|91543|100528032,CAT|CISH|DUSP1|HLA-E|IGHA1|IRF7|KLRD1|OAS1|OAS3|PIK3CB|RENBP|RNF5|S100B|CCL5|TNFRSF1A|ZFP36|TNFSF14|RIPK2|NCR1|TMEM59|ISG15|NDRG1|RBCK1|IFI44L|SLC27A5|RIPK3|USP18|TBX21|MUL1|RSAD2|KLRC4-KLRK1,-4.1,0
1,-6.8,C1319860,M1,1,0,DisGeNET,35,Sendai virus infection,,-6.8,16,10,28160,25,488,7,1.4,0.54,719|1843|5920|23586|64135|79132|79594,C3AR1|DUSP1|PLAAT4|DDX58|IFIH1|DHX58|MUL1,-4,0
1,-6.7,C0010823,M1,1,0,DisGeNET,35,Cytomegalovirus Infections,,-6.7,3.2,6.5,28160,462,488,26,5.3,1,567|847|969|1154|1649|2353|3133|3434|3804|3811|3820|3822|3824|6352|7132|9437|9636|10219|10578|11035|11314|91543|148423|257101|100507436|100528032,B2M|CAT|CD69|CISH|DDIT3|FOS|HLA-E|IFIT1|KIR2DL3|KIR3DL1|KLRB1|KLRC2|KLRD1|CCL5|TNFRSF1A|NCR1|ISG15|KLRG1|GNLY|RIPK3|CD300A|RSAD2|C1orf52|ZNF683|MICA|KLRC4-KLRK1,-4,0
1,-6.7,C1096184,M1,1,0,DisGeNET,35,West Nile viral infection,,-6.7,5.3,7.3,28160,164,488,15,3.1,0.78,3433|3665|3812|4061|4599|4938|5291|5920|6352|7132|11035|23586|64135|81030|91543,IFIT2|IRF7|KIR3DL2|LY6E|MX1|OAS1|PIK3CB|PLAAT4|CCL5|TNFRSF1A|RIPK3|DDX58|IFIH1|ZBP1|RSAD2,-4,0
