_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.1,M16200,M1,1,0,Transcription Factor Targets,16,ISRE 01,,-9.1,5,8.5,28160,253,488,22,4.5,0.94,567|684|2841|3433|3437|5608|6451|8767|9636|10561|10616|11274|23586|30009|51251|51523|55650|64108|64135|79132|81030|94240,B2M|BST2|GPR18|IFIT2|IFIT3|MAP2K6|SH3BGRL|RIPK2|ISG15|IFI44|RBCK1|USP18|DDX58|TBX21|NT5C3A|CXXC5|PIGV|RTP4|IFIH1|DHX58|ZBP1|EPSTI1,-6.2,0
1,-8.1,M533,M1,1,0,Transcription Factor Targets,16,STTTCRNTTT IRF Q6,,-8.1,5.4,8.1,28160,192,488,18,3.7,0.85,567|684|3433|3437|6993|9636|10370|10561|10616|11274|23338|23586|51251|55337|55650|79132|81030|94240,B2M|BST2|IFIT2|IFIT3|DYNLT1|ISG15|CITED2|IFI44|RBCK1|USP18|JADE2|DDX58|NT5C3A|SHFL|PIGV|DHX58|ZBP1|EPSTI1,-5.2,0
1,-6.3,M2727,M1,1,0,Transcription Factor Targets,16,ICSBP Q6,,-6.3,4.1,6.6,28160,253,488,18,3.7,0.85,567|684|3430|3437|5608|7050|8767|9636|10100|10561|10616|11274|23338|51251|55650|64135|81030|256586,B2M|BST2|IFI35|IFIT3|MAP2K6|TGIF1|RIPK2|ISG15|TSPAN2|IFI44|RBCK1|USP18|JADE2|NT5C3A|PIGV|IFIH1|ZBP1|LYSMD2,-3.6,0
1,-5.6,M2709,M1,1,0,Transcription Factor Targets,16,IRF1 01,,-5.6,3.8,6.1,28160,255,488,17,3.5,0.83,567|684|1649|6303|6352|6451|6993|9636|11274|23586|26269|27018|51251|51528|55650|112849|201895,B2M|BST2|DDIT3|SAT1|CCL5|SH3BGRL|DYNLT1|ISG15|USP18|DDX58|FBXO8|BEX3|NT5C3A|JKAMP|PIGV|L3HYPDH|SMIM14,-2.9,0
1,-4.9,M12258,M1,1,0,Transcription Factor Targets,16,IRF7 01,,-4.9,3.6,5.5,28160,258,488,16,3.3,0.81,684|2275|2353|3433|5608|6303|9636|10616|11274|23586|27343|51251|55337|64343|94240|221002,BST2|FHL3|FOS|IFIT2|MAP2K6|SAT1|ISG15|RBCK1|USP18|DDX58|POLL|NT5C3A|SHFL|AZI2|EPSTI1|RASGEF1A,-2.3,0
1,-4.6,M14066,M1,1,0,Transcription Factor Targets,16,IRF Q6,,-4.6,3.5,5.3,28160,244,488,15,3.1,0.78,567|684|3430|3433|6303|9636|10561|10616|51251|55650|64108|79132|79142|81030|84445,B2M|BST2|IFI35|IFIT2|SAT1|ISG15|IFI44|RBCK1|NT5C3A|PIGV|RTP4|DHX58|PHF23|ZBP1|LZTS2,-2,0
1,-3.5,M14686,M1,1,0,Transcription Factor Targets,16,ELK1 01,,-3.5,2.9,4.3,28160,275,488,14,2.9,0.76,2353|5608|7978|10044|10370|51292|51300|54879|57804|64343|79735|83707|84186|84445,FOS|MAP2K6|MTERF1|SH2D3C|CITED2|GMPR2|TIMMDC1|ST7L|POLD4|AZI2|TBC1D17|TRPT1|ZCCHC7|LZTS2,-1,0
1,-3.2,M30300,M1,1,0,Transcription Factor Targets,16,ZNF329 TARGET GENES,,-3.2,2.2,3.8,28160,580,488,22,4.5,0.94,902|2537|5194|5274|8835|9367|9482|9487|51103|54442|55181|55296|56986|57035|57213|57677|83608|114915|144404|375190|400073|100134934,CCNH|IFI6|PEX13|SERPINI1|SOCS2|RAB9A|STX8|PIGL|NDUFAF1|KCTD5|SMG8|TBC1D19|DTWD1|RSRP1|SPRYD7|ZFP14|C18orf21|EPB41L4A-AS1|TMEM120B|FAM228B|C12orf76|TEN1,-0.85,0
1,-3.1,M30288,M1,1,0,Transcription Factor Targets,16,ZNF257 TARGET GENES,,-3.1,2.2,3.7,28160,556,488,21,4.3,0.92,1384|1649|7538|8767|9482|9528|10043|10875|28971|29911|51106|51646|54797|84669|112840|120534|147965|150684|283130|645212|101927275,CRAT|DDIT3|ZFP36|RIPK2|STX8|TMEM59|TOM1|FGL2|AAMDC|HOOK2|TFB1M|YPEL5|MED18|USP32|WDR89|ARL14EP|FAM98C|COMMD1|SLC25A45|EIF3J-DT|NDUFV2-AS1,-0.72,0
1,-3,M14276,M1,1,0,Transcription Factor Targets,16,LYF1 01,,-3,2.8,3.9,28160,271,488,13,2.7,0.73,1020|5274|5330|10602|23338|26053|28971|29946|30009|51523|56950|84445|257160,CDK5|SERPINI1|PLCB2|CDC42EP3|JADE2|AUTS2|AAMDC|SERTAD3|TBX21|CXXC5|SMYD2|LZTS2|RNF214,-0.65,0
