Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-57,7.8,24,28160,692,498,96,19,1.8,207|332|672|675|699|890|891|983|990|1017|1062|1063|1111|1719|1870|2237|3012|3014|3017|3161|3619|4171|4173|4175|4176|4605|4998|5424|5905|5932|5983|6241|7027|7083|7112|7153|7157|7468|7533|8294|8318|8331|8335|8352|8355|8358|8360|8361|8364|8365|8697|9088|9134|9493|9735|9883|9918|11004|11065|11130|11339|22974|22995|23353|23511|23594|23636|26271|27229|51343|51512|51659|54892|54908|55143|55355|55388|57082|57405|63967|64151|79075|79682|79866|79902|80169|81620|95681|113130|114791|151246|157570|220134|387103|387893|401541,AKT1|BIRC5|BRCA1|BRCA2|BUB1|CCNA2|CCNB1|CDK1|CDC6|CDK2|CENPE|CENPF|CHEK1|DHFR|E2F2|FEN1|H2AC8|H2AX|H2BC5|HMMR|INCENP|MCM2|MCM4|MCM6|MCM7|MYBL2|ORC1|POLD1|RANGAP1|RBBP8|RFC3|RRM2|TFDP1|TK1|TMPO|TOP2A|TP53|NSD2|YWHAH|H4C9|CDC45|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|CDC23|PKMYT1|CCNE2|KIF23|KNTC1|POM121|NCAPD2|KIF2C|UBE2C|ZWINT|OIP5|TPX2|CEP152|SUN1|NUP188|ORC6|NUP62|FBXO5|TUBGCP4|FZR1|GTSE1|GINS2|NCAPG2|SPDL1|CDCA8|HJURP|MCM10|KNL1|SPC25|CLSPN|NCAPG|DSCC1|CENPU|BORA|NUP85|CTC1|CDT1|CEP41|CDCA5|TUBGCP5|SGO2|ESCO2|SKA1|CENPW|KMT5A|CENPP,-52,MyList
Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-51,8.4,24,28160,561,498,83,17,1.7,207|332|699|890|891|983|990|1017|1062|1063|1719|1870|2237|3012|3014|3017|3161|3619|4171|4173|4175|4176|4605|4998|5424|5905|5983|6241|7027|7083|7112|7153|7157|8294|8318|8331|8335|8352|8355|8358|8360|8361|8364|8365|8697|9088|9134|9493|9735|9883|9918|11004|11065|11130|22974|22995|23511|23594|23636|26271|27229|51343|51512|51659|54892|54908|55143|55388|57082|57405|64151|79682|79866|79902|81620|95681|113130|114791|151246|157570|220134|387893|401541,AKT1|BIRC5|BUB1|CCNA2|CCNB1|CDK1|CDC6|CDK2|CENPE|CENPF|DHFR|E2F2|FEN1|H2AC8|H2AX|H2BC5|HMMR|INCENP|MCM2|MCM4|MCM6|MCM7|MYBL2|ORC1|POLD1|RANGAP1|RFC3|RRM2|TFDP1|TK1|TMPO|TOP2A|TP53|H4C9|CDC45|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|CDC23|PKMYT1|CCNE2|KIF23|KNTC1|POM121|NCAPD2|KIF2C|UBE2C|ZWINT|TPX2|CEP152|NUP188|ORC6|NUP62|FBXO5|TUBGCP4|FZR1|GTSE1|GINS2|NCAPG2|SPDL1|CDCA8|MCM10|KNL1|SPC25|NCAPG|CENPU|BORA|NUP85|CDT1|CEP41|CDCA5|TUBGCP5|SGO2|ESCO2|SKA1|KMT5A|CENPP,-47,MyList
GO Biological Processes,19,GO:1903047,mitotic cell cycle process,19_GO:0009987 cellular process,-41,6.4,20,28160,726,498,82,16,1.7,207|672|675|699|890|891|899|983|990|1017|1062|1063|1111|1739|2177|3064|3619|3832|3833|4171|4173|4175|4288|4605|4998|5127|5932|6711|7023|7027|7157|8318|8697|9055|9088|9134|9319|9371|9475|9493|9735|9833|9918|9928|10615|11004|11065|11130|22974|23276|23636|24137|26271|51203|51343|51512|51514|51776|54443|54892|54908|55143|55336|55367|56257|56992|57405|63967|64151|79075|79866|80169|81620|84687|112574|113130|151246|157313|165186|283489|286053|387893,AKT1|BRCA1|BRCA2|BUB1|CCNA2|CCNB1|CCNF|CDK1|CDC6|CDK2|CENPE|CENPF|CHEK1|DLG1|FANCD2|HTT|INCENP|KIF11|KIFC1|MCM2|MCM4|MCM6|MKI67|MYBL2|ORC1|CDK16|RBBP8|SPTBN1|TFAP4|TFDP1|TP53|CDC45|CDC23|PRC1|PKMYT1|CCNE2|TRIP13|KIF3B|ROCK2|KIF23|KNTC1|MELK|NCAPD2|KIF14|SPAG5|KIF2C|UBE2C|ZWINT|TPX2|KLHL18|NUP62|KIF4A|FBXO5|NUSAP1|FZR1|GTSE1|DTL|MAP3K20|ANLN|NCAPG2|SPDL1|CDCA8|FBXL8|PIDD1|MEPCE|KIF15|SPC25|CLSPN|NCAPG|DSCC1|BORA|CTC1|CDT1|PPP1R9B|SNX18|CDCA5|SGO2|CDCA2|TOGARAM2|CHAMP1|NSMCE2|KMT5A,-37,MyList
Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-34,9.8,20,28160,294,498,51,10,1.4,332|672|699|890|891|983|990|1017|1062|1063|1111|3014|3017|3619|4171|4173|4175|4176|4998|5905|5932|5983|7157|7468|7533|8294|8318|8360|8361|8364|8365|8697|9088|9134|9735|11004|11065|11130|23594|51512|54908|55143|55388|57082|57405|63967|79682|79902|151246|220134|401541,BIRC5|BRCA1|BUB1|CCNA2|CCNB1|CDK1|CDC6|CDK2|CENPE|CENPF|CHEK1|H2AX|H2BC5|INCENP|MCM2|MCM4|MCM6|MCM7|ORC1|RANGAP1|RBBP8|RFC3|TP53|NSD2|YWHAH|H4C9|CDC45|H4C4|H4C6|H4C3|H4C8|CDC23|PKMYT1|CCNE2|KNTC1|KIF2C|UBE2C|ZWINT|ORC6|GTSE1|SPDL1|CDCA8|MCM10|KNL1|SPC25|CLSPN|CENPU|NUP85|SGO2|SKA1|CENPP,-31,MyList
GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-33,8.6,19,28160,347,498,53,11,1.4,332|672|699|891|990|1062|1063|1663|2177|2237|3619|3833|4288|7153|8697|9055|9134|9319|9493|9735|9918|9928|10615|11004|11065|11130|11339|23353|23636|24137|26271|51203|54892|54908|55143|55355|57082|57405|64151|79075|79892|81620|113130|127829|151246|157313|157570|220134|221150|283489|286053|387103|387893,BIRC5|BRCA1|BUB1|CCNB1|CDC6|CENPE|CENPF|DDX11|FANCD2|FEN1|INCENP|KIFC1|MKI67|TOP2A|CDC23|PRC1|CCNE2|TRIP13|KIF23|KNTC1|NCAPD2|KIF14|SPAG5|KIF2C|UBE2C|ZWINT|OIP5|SUN1|NUP62|KIF4A|FBXO5|NUSAP1|NCAPG2|SPDL1|CDCA8|HJURP|KNL1|SPC25|NCAPG|DSCC1|MCMBP|CDT1|CDCA5|ARL8A|SGO2|CDCA2|ESCO2|SKA1|SKA3|CHAMP1|NSMCE2|CENPW|KMT5A,-29,MyList
GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-31,6,17,28160,613,498,65,13,1.5,332|675|699|890|891|899|983|990|1017|1062|1063|3070|3619|3832|3833|4851|5339|5932|6711|7153|8697|9055|9134|9371|9475|9493|9735|9918|9928|10615|11004|11065|11078|11130|11339|22974|23276|23594|23636|24137|26271|51203|51343|54443|54892|54908|55143|57082|57405|64151|79866|79892|81620|83461|84440|112574|113130|127829|151246|157313|220134|221150|286053|387103|387893,BIRC5|BRCA2|BUB1|CCNA2|CCNB1|CCNF|CDK1|CDC6|CDK2|CENPE|CENPF|HELLS|INCENP|KIF11|KIFC1|NOTCH1|PLEC|RBBP8|SPTBN1|TOP2A|CDC23|PRC1|CCNE2|KIF3B|ROCK2|KIF23|KNTC1|NCAPD2|KIF14|SPAG5|KIF2C|UBE2C|TRIOBP|ZWINT|OIP5|TPX2|KLHL18|ORC6|NUP62|KIF4A|FBXO5|NUSAP1|FZR1|ANLN|NCAPG2|SPDL1|CDCA8|KNL1|SPC25|NCAPG|BORA|MCMBP|CDT1|CDCA3|RAB11FIP4|SNX18|CDCA5|ARL8A|SGO2|CDCA2|SKA1|SKA3|NSMCE2|CENPW|KMT5A,-27,MyList
GO Biological Processes,19,GO:0140014,mitotic nuclear division,19_GO:0009987 cellular process,-29,8.9,18,28160,291,498,46,9.2,1.3,699|891|990|1062|1063|1111|3619|3832|3833|4288|4605|8697|9055|9088|9319|9371|9493|9735|9918|9928|10615|11004|11065|11130|22974|23636|24137|26271|51203|54443|54892|54908|55143|56992|64151|79075|79866|81620|84687|113130|151246|157313|165186|283489|286053|387893,BUB1|CCNB1|CDC6|CENPE|CENPF|CHEK1|INCENP|KIF11|KIFC1|MKI67|MYBL2|CDC23|PRC1|PKMYT1|TRIP13|KIF3B|KIF23|KNTC1|NCAPD2|KIF14|SPAG5|KIF2C|UBE2C|ZWINT|TPX2|NUP62|KIF4A|FBXO5|NUSAP1|ANLN|NCAPG2|SPDL1|CDCA8|KIF15|NCAPG|DSCC1|BORA|CDT1|PPP1R9B|CDCA5|SGO2|CDCA2|TOGARAM2|CHAMP1|NSMCE2|KMT5A,-26,MyList
GO Biological Processes,19,GO:0010564,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-28,5.6,16,28160,652,498,64,13,1.5,207|672|675|699|891|899|983|990|1017|1062|1063|1111|1663|1739|2177|2237|3014|3619|3832|4288|4998|7023|7027|7157|8318|8697|8850|9055|9088|9319|9371|9475|9493|9735|9928|10615|10869|11065|11130|22974|23276|23636|26271|51203|51343|51512|51514|51776|54443|54908|55367|56257|56992|58490|63967|79866|79915|80169|81620|84440|84687|113130|157313|286053,AKT1|BRCA1|BRCA2|BUB1|CCNB1|CCNF|CDK1|CDC6|CDK2|CENPE|CENPF|CHEK1|DDX11|DLG1|FANCD2|FEN1|H2AX|INCENP|KIF11|MKI67|ORC1|TFAP4|TFDP1|TP53|CDC45|CDC23|KAT2B|PRC1|PKMYT1|TRIP13|KIF3B|ROCK2|KIF23|KNTC1|KIF14|SPAG5|USP19|UBE2C|ZWINT|TPX2|KLHL18|NUP62|FBXO5|NUSAP1|FZR1|GTSE1|DTL|MAP3K20|ANLN|SPDL1|PIDD1|MEPCE|KIF15|RPRD1B|CLSPN|BORA|ATAD5|CTC1|CDT1|RAB11FIP4|PPP1R9B|CDCA5|CDCA2|NSMCE2,-25,MyList
GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-27,10,18,28160,205,498,38,7.6,1.2,699|891|990|1062|1063|1663|2237|3619|3833|7153|8697|9055|9319|9493|9735|9918|9928|10615|11004|11065|11130|23636|24137|26271|51203|54892|54908|55143|64151|79075|79892|81620|113130|151246|157570|283489|286053|387893,BUB1|CCNB1|CDC6|CENPE|CENPF|DDX11|FEN1|INCENP|KIFC1|TOP2A|CDC23|PRC1|TRIP13|KIF23|KNTC1|NCAPD2|KIF14|SPAG5|KIF2C|UBE2C|ZWINT|NUP62|KIF4A|FBXO5|NUSAP1|NCAPG2|SPDL1|CDCA8|NCAPG|DSCC1|MCMBP|CDT1|CDCA5|SGO2|ESCO2|CHAMP1|NSMCE2|KMT5A,-23,MyList
GO Biological Processes,19,GO:0000280,nuclear division,19_GO:0009987 cellular process,-27,6.6,16,28160,443,498,52,10,1.4,675|699|891|990|1062|1063|1111|2177|3619|3832|3833|4288|4605|7153|8697|9055|9088|9134|9319|9371|9493|9735|9918|9928|10615|11004|11065|11130|22974|23353|23636|24137|26271|51203|51343|54443|54892|54908|55143|56992|64151|79075|79866|81620|84687|113130|151246|157313|165186|283489|286053|387893,BRCA2|BUB1|CCNB1|CDC6|CENPE|CENPF|CHEK1|FANCD2|INCENP|KIF11|KIFC1|MKI67|MYBL2|TOP2A|CDC23|PRC1|PKMYT1|CCNE2|TRIP13|KIF3B|KIF23|KNTC1|NCAPD2|KIF14|SPAG5|KIF2C|UBE2C|ZWINT|TPX2|SUN1|NUP62|KIF4A|FBXO5|NUSAP1|FZR1|ANLN|NCAPG2|SPDL1|CDCA8|KIF15|NCAPG|DSCC1|BORA|CDT1|PPP1R9B|CDCA5|SGO2|CDCA2|TOGARAM2|CHAMP1|NSMCE2|KMT5A,-23,MyList
