_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.3,R-HSA-8953854,Metabolism of RNA,M1,1,0
1,-5.4,GO:0032392,DNA geometric change,M1,1,0
1,-2.4,WP4553,FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma,M1,1,0
1,-2.3,R-HSA-8980692,RHOA GTPase cycle,M1,1,0
1,-2,WP176,Folate metabolism,M1,1,0
1,-4.9,R-HSA-6804758,Regulation of TP53 Activity through Acetylation,M1,1,0
1,-3.2,R-HSA-5685939,HDR through MMEJ (alt-NHEJ),M1,1,0
1,-3.2,hsa00561,Glycerolipid metabolism ,M1,1,0
1,-2.1,GO:0016444,somatic cell DNA recombination,M1,1,0
1,-2.1,GO:0036003,positive regulation of transcription from RNA polymerase II promoter in response to stress,M1,1,0
1,-9.9,R-HSA-5625740,RHO GTPases activate PKNs,M1,1,0
1,-6.6,WP3651,Pathways affected in adenoid cystic carcinoma,M1,1,0
1,-2.4,ko05210,Colorectal cancer,M1,1,0
1,-3.4,ko04114,Oocyte meiosis,M1,1,0
1,-14,R-HSA-2299718,Condensation of Prophase Chromosomes,M1,1,0
1,-2.6,ko00480,Glutathione metabolism,M1,1,0
1,-2.4,R-HSA-5357801,Programmed Cell Death,M1,1,0
1,-2.7,WP3996,Ethanol effects on histone modifications,M1,1,0
1,-11,GO:0033045,regulation of sister chromatid segregation,M1,1,0
1,-3.4,GO:0045652,regulation of megakaryocyte differentiation,M1,1,0
1,-3.2,GO:0032070,regulation of deoxyribonuclease activity,M1,1,0
1,-2.4,GO:0051568,histone H3-K4 methylation,M1,1,0
1,-3.5,GO:2000042,negative regulation of double-strand break repair via homologous recombination,M1,1,0
1,-21,WP2446,Retinoblastoma gene in cancer,M1,1,0
1,-5.5,GO:0034080,CENP-A containing nucleosome assembly,M1,1,0
1,-12,R-HSA-5578749,Transcriptional regulation by small RNAs,M1,1,0
1,-2.3,R-HSA-8986944,Transcriptional Regulation by MECP2,M1,1,0
1,-12,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,M1,1,0
1,-13,R-HSA-8953897,Cellular responses to stimuli,M1,1,0
1,-7.8,R-HSA-1538133,G0 and Early G1,M1,1,0
1,-7.1,GO:2001251,negative regulation of chromosome organization,M1,1,0
1,-9.9,GO:0007080,mitotic metaphase plate congression,M1,1,0
1,-2.4,R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,M1,1,0
1,-2.8,CORUM:547,SMCC complex,M1,1,0
1,-3.8,GO:0022411,cellular component disassembly,M1,1,0
1,-5.3,GO:0016572,histone phosphorylation,M1,1,0
1,-34,R-HSA-69620,Cell Cycle Checkpoints,M1,1,0
1,-2.7,GO:0045860,positive regulation of protein kinase activity,M1,1,0
1,-4.9,R-HSA-139915,Activation of PUMA and translocation to mitochondria,M1,1,0
1,-2.6,hsa03410,Base excision repair ,M1,1,0
1,-8.2,GO:0072331,signal transduction by p53 class mediator,M1,1,0
