_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-56.501838599574945,R-HSA-1640170,M1,1,0,Reactome Gene Sets,6,Cell Cycle,,-56.501838599574945,7.844557420433178,24.460560019029835,28160,692,498,96,19.27710843373494,1.7676839916661036,207|332|672|675|699|890|891|983|990|1017|1062|1063|1111|1719|1870|2237|3012|3014|3017|3161|3619|4171|4173|4175|4176|4605|4998|5424|5905|5932|5983|6241|7027|7083|7112|7153|7157|7468|7533|8294|8318|8331|8335|8352|8355|8358|8360|8361|8364|8365|8697|9088|9134|9493|9735|9883|9918|11004|11065|11130|11339|22974|22995|23353|23511|23594|23636|26271|27229|51343|51512|51659|54892|54908|55143|55355|55388|57082|57405|63967|64151|79075|79682|79866|79902|80169|81620|95681|113130|114791|151246|157570|220134|387103|387893|401541,AKT1|BIRC5|BRCA1|BRCA2|BUB1|CCNA2|CCNB1|CDK1|CDC6|CDK2|CENPE|CENPF|CHEK1|DHFR|E2F2|FEN1|H2AC8|H2AX|H2BC5|HMMR|INCENP|MCM2|MCM4|MCM6|MCM7|MYBL2|ORC1|POLD1|RANGAP1|RBBP8|RFC3|RRM2|TFDP1|TK1|TMPO|TOP2A|TP53|NSD2|YWHAH|H4C9|CDC45|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|CDC23|PKMYT1|CCNE2|KIF23|KNTC1|POM121|NCAPD2|KIF2C|UBE2C|ZWINT|OIP5|TPX2|CEP152|SUN1|NUP188|ORC6|NUP62|FBXO5|TUBGCP4|FZR1|GTSE1|GINS2|NCAPG2|SPDL1|CDCA8|HJURP|MCM10|KNL1|SPC25|CLSPN|NCAPG|DSCC1|CENPU|BORA|NUP85|CTC1|CDT1|CEP41|CDCA5|TUBGCP5|SGO2|ESCO2|SKA1|CENPW|KMT5A|CENPP,-52.14012964633663,0,1,1,1,-56.501838599574945,10.602409638554215,
1,-50.82839307072176,R-HSA-69278,M1,1,0,Reactome Gene Sets,6,"Cell Cycle, Mitotic",,-50.82839307072176,8.366013071895425,23.645512931567684,28160,561,498,83,16.666666666666668,1.6700100334504215,207|332|699|890|891|983|990|1017|1062|1063|1719|1870|2237|3012|3014|3017|3161|3619|4171|4173|4175|4176|4605|4998|5424|5905|5983|6241|7027|7083|7112|7153|7157|8294|8318|8331|8335|8352|8355|8358|8360|8361|8364|8365|8697|9088|9134|9493|9735|9883|9918|11004|11065|11130|22974|22995|23511|23594|23636|26271|27229|51343|51512|51659|54892|54908|55143|55388|57082|57405|64151|79682|79866|79902|81620|95681|113130|114791|151246|157570|220134|387893|401541,AKT1|BIRC5|BUB1|CCNA2|CCNB1|CDK1|CDC6|CDK2|CENPE|CENPF|DHFR|E2F2|FEN1|H2AC8|H2AX|H2BC5|HMMR|INCENP|MCM2|MCM4|MCM6|MCM7|MYBL2|ORC1|POLD1|RANGAP1|RFC3|RRM2|TFDP1|TK1|TMPO|TOP2A|TP53|H4C9|CDC45|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|CDC23|PKMYT1|CCNE2|KIF23|KNTC1|POM121|NCAPD2|KIF2C|UBE2C|ZWINT|TPX2|CEP152|NUP188|ORC6|NUP62|FBXO5|TUBGCP4|FZR1|GTSE1|GINS2|NCAPG2|SPDL1|CDCA8|MCM10|KNL1|SPC25|NCAPG|CENPU|BORA|NUP85|CDT1|CEP41|CDCA5|TUBGCP5|SGO2|ESCO2|SKA1|KMT5A|CENPP,-46.76771411314743,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-25.987404658712432,R-HSA-68886,M1,1,0,Reactome Gene Sets,6,M Phase,,-25.987404658712432,6.763897696047348,15.93004555891119,28160,418,498,50,10.040160642570282,1.3467283266494479,332|699|891|983|1062|1063|3012|3014|3017|3619|5905|7112|8294|8331|8335|8352|8355|8358|8360|8361|8364|8365|8697|9493|9735|9883|9918|11004|11065|11130|22995|23511|23636|26271|27229|54892|54908|55143|57082|57405|64151|79682|79902|95681|113130|114791|151246|220134|387893|401541,BIRC5|BUB1|CCNB1|CDK1|CENPE|CENPF|H2AC8|H2AX|H2BC5|INCENP|RANGAP1|TMPO|H4C9|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|CDC23|KIF23|KNTC1|POM121|NCAPD2|KIF2C|UBE2C|ZWINT|CEP152|NUP188|NUP62|FBXO5|TUBGCP4|NCAPG2|SPDL1|CDCA8|KNL1|SPC25|NCAPG|CENPU|NUP85|CEP41|CDCA5|TUBGCP5|SGO2|SKA1|KMT5A|CENPP,-22.66708839063234,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-20.276681080837577,R-HSA-195258,M1,1,0,Reactome Gene Sets,6,RHO GTPase Effectors,,-20.276681080837577,6.744040381710328,14.018219234361547,28160,327,498,39,7.831325301204819,1.2039116918368005,332|699|1062|1063|3012|3014|3017|3619|4689|5580|5905|6279|7533|8294|8331|8335|8352|8355|8358|8360|8361|8364|8365|9055|9475|9735|9928|11004|11130|23028|54908|55143|57082|57405|79682|79902|151246|220134|401541,BIRC5|BUB1|CENPE|CENPF|H2AC8|H2AX|H2BC5|INCENP|NCF4|PRKCD|RANGAP1|S100A8|YWHAH|H4C9|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|PRC1|ROCK2|KNTC1|KIF14|KIF2C|ZWINT|KDM1A|SPDL1|CDCA8|KNL1|SPC25|CENPU|NUP85|SGO2|SKA1|CENPP,-17.329945475570078,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-16.024772433452686,R-HSA-194315,M1,1,0,Reactome Gene Sets,6,Signaling by Rho GTPases,,-16.024772433452686,3.999022965979903,10.836176997855054,28160,707,498,50,10.040160642570282,1.3467283266494479,332|699|1062|1063|1627|3012|3014|3017|3619|4650|4689|5580|5905|6279|6711|7037|7112|7533|8294|8331|8335|8352|8355|8358|8360|8361|8364|8365|9055|9475|9735|9824|9928|10424|11004|11130|22852|23028|54443|54908|55143|57082|57405|79682|79902|81839|151246|157769|220134|401541,BIRC5|BUB1|CENPE|CENPF|DBN1|H2AC8|H2AX|H2BC5|INCENP|MYO9B|NCF4|PRKCD|RANGAP1|S100A8|SPTBN1|TFRC|TMPO|YWHAH|H4C9|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|PRC1|ROCK2|KNTC1|ARHGAP11A|KIF14|PGRMC2|KIF2C|ZWINT|ANKRD26|KDM1A|ANLN|SPDL1|CDCA8|KNL1|SPC25|CENPU|NUP85|VANGL1|SGO2|FAM91A1|SKA1|CENPP,-13.231265204281364,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-15.632814730397296,R-HSA-9716542,M1,1,0,Reactome Gene Sets,6,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-15.632814730397296,3.9105245324312468,10.637843529407926,28160,723,498,50,10.040160642570282,1.3467283266494479,332|699|1062|1063|1627|3012|3014|3017|3619|4650|4689|5580|5905|6279|6711|7037|7112|7533|8294|8331|8335|8352|8355|8358|8360|8361|8364|8365|9055|9475|9735|9824|9928|10424|11004|11130|22852|23028|54443|54908|55143|57082|57405|79682|79902|81839|151246|157769|220134|401541,BIRC5|BUB1|CENPE|CENPF|DBN1|H2AC8|H2AX|H2BC5|INCENP|MYO9B|NCF4|PRKCD|RANGAP1|S100A8|SPTBN1|TFRC|TMPO|YWHAH|H4C9|H2AC14|H2AC4|H3C3|H3C8|H3C2|H4C4|H4C6|H4C3|H4C8|PRC1|ROCK2|KNTC1|ARHGAP11A|KIF14|PGRMC2|KIF2C|ZWINT|ANKRD26|KDM1A|ANLN|SPDL1|CDCA8|KNL1|SPC25|CENPU|NUP85|VANGL1|SGO2|FAM91A1|SKA1|CENPP,-12.873165768486942,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-15.332428326559782,R-HSA-68877,M1,1,0,Reactome Gene Sets,6,Mitotic Prometaphase,,-15.332428326559782,7.484053862508859,12.471126326514877,28160,204,498,27,5.421686746987952,1.0147249093222541,332|699|891|983|1062|1063|3619|5905|9735|9918|11004|11130|22995|27229|54908|55143|57082|57405|64151|79682|79902|95681|113130|114791|151246|220134|401541,BIRC5|BUB1|CCNB1|CDK1|CENPE|CENPF|INCENP|RANGAP1|KNTC1|NCAPD2|KIF2C|ZWINT|CEP152|TUBGCP4|SPDL1|CDCA8|KNL1|SPC25|NCAPG|CENPU|NUP85|CEP41|CDCA5|TUBGCP5|SGO2|SKA1|CENPP,-12.5835032300412,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-14.58780749016944,R-HSA-2555396,M1,1,0,Reactome Gene Sets,6,Mitotic Metaphase and Anaphase,,-14.58780749016944,6.680561910087607,11.78327270993588,28160,237,498,28,5.622489959839357,1.032247715743422,332|699|891|983|1062|1063|3619|5905|7112|8697|9735|9883|11004|11065|11130|23511|23636|26271|54908|55143|57082|57405|79682|79902|113130|151246|220134|401541,BIRC5|BUB1|CCNB1|CDK1|CENPE|CENPF|INCENP|RANGAP1|TMPO|CDC23|KNTC1|POM121|KIF2C|UBE2C|ZWINT|NUP188|NUP62|FBXO5|SPDL1|CDCA8|KNL1|SPC25|CENPU|NUP85|CDCA5|SGO2|SKA1|CENPP,-11.916294616959638,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-14.093947638523218,R-HSA-2500257,M1,1,0,Reactome Gene Sets,6,Resolution of Sister Chromatid Cohesion,,-14.093947638523218,9.424364123159304,12.716317557691879,28160,126,498,21,4.216867469879518,0.9005852355690421,332|699|891|983|1062|1063|3619|5905|9735|11004|11130|54908|55143|57082|57405|79682|79902|113130|151246|220134|401541,BIRC5|BUB1|CCNB1|CDK1|CENPE|CENPF|INCENP|RANGAP1|KNTC1|KIF2C|ZWINT|SPDL1|CDCA8|KNL1|SPC25|CENPU|NUP85|CDCA5|SGO2|SKA1|CENPP,-11.4482420289197,0,1,0,0,-56.501838599574945,10.602409638554215,
1,-13.972457946439032,R-HSA-69618,M1,1,0,Reactome Gene Sets,6,Mitotic Spindle Checkpoint,,-13.972457946439032,10.008174290080676,12.874023323603122,28160,113,498,20,4.016064257028113,0.8798019738698968,332|699|1062|1063|3619|5905|8697|9735|11004|11065|11130|54908|55143|57082|57405|79682|79902|151246|220134|401541,BIRC5|BUB1|CENPE|CENPF|INCENP|RANGAP1|CDC23|KNTC1|KIF2C|UBE2C|ZWINT|SPDL1|CDCA8|KNL1|SPC25|CENPU|NUP85|SGO2|SKA1|CENPP,-11.35111168269496,0,1,0,0,-56.501838599574945,10.602409638554215,
