Cluster,Score,Type,Gene,Symbol,Network
1,12.816326530612246,Clustered,9735,KNTC1,MyList_SUB1
1,12.816326530612246,Clustered,8850,KAT2B,MyList_SUB1
1,12.816326530612246,Clustered,3012,H2AC8,MyList_SUB1
1,12.816326530612246,Clustered,891,CCNB1,MyList_SUB1
1,12.816326530612246,Clustered,332,BIRC5,MyList_SUB1
1,12.816326530612246,Clustered,8335,H2AC4,MyList_SUB1
1,12.816326530612246,Clustered,7862,BRPF1,MyList_SUB1
1,12.816326530612246,Clustered,401541,CENPP,MyList_SUB1
1,12.816326530612246,Clustered,8329,H2AC13,MyList_SUB1
1,12.816326530612246,Clustered,79682,CENPU,MyList_SUB1
1,12.816326530612246,Clustered,8360,H4C4,MyList_SUB1
1,12.816326530612246,Clustered,7403,KDM6A,MyList_SUB1
1,12.816326530612246,Clustered,317772,H2AC21,MyList_SUB1
1,12.816326530612246,Clustered,440689,H2BC18,MyList_SUB1
1,12.816326530612246,Clustered,5905,RANGAP1,MyList_SUB1
1,12.816326530612246,Clustered,55143,CDCA8,MyList_SUB1
1,12.816326530612246,Clustered,8352,H3C3,MyList_SUB1
1,12.816326530612246,Clustered,8358,H3C2,MyList_SUB1
1,12.816326530612246,Clustered,3619,INCENP,MyList_SUB1
1,12.816326530612246,Clustered,8361,H4C6,MyList_SUB1
1,12.816326530612246,Clustered,3009,H1-5,MyList_SUB1
1,12.816326530612246,Clustered,8365,H4C8,MyList_SUB1
1,12.816326530612246,Clustered,8355,H3C8,MyList_SUB1
1,12.816326530612246,Clustered,8969,H2AC11,MyList_SUB1
1,12.816326530612246,Clustered,3017,H2BC5,MyList_SUB1
1,12.816326530612246,Seed,7994,KAT6A,MyList_SUB1
1,12.816326530612246,Clustered,151246,SGO2,MyList_SUB1
1,12.816326530612246,Clustered,11130,ZWINT,MyList_SUB1
1,12.816326530612246,Clustered,57405,SPC25,MyList_SUB1
1,12.816326530612246,Clustered,3014,H2AX,MyList_SUB1
1,12.816326530612246,Clustered,55723,ASF1B,MyList_SUB1
1,12.816326530612246,Clustered,1062,CENPE,MyList_SUB1
