_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-12,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-12,7.1,11,28160,174,498,22,4.4,0.92,207|332|602|672|675|890|891|983|1017|1111|2000|3265|4088|4176|4288|4830|5424|7157|9055|10527|27113|29128,AKT1|BIRC5|BCL3|BRCA1|BRCA2|CCNA2|CCNB1|CDK1|CDK2|CHEK1|ELF4|HRAS|SMAD3|MCM7|MKI67|NME1|POLD1|TP53|PRC1|IPO7|BBC3|UHRF1,-9.1,0
1,-11,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-11,7.6,11,28160,142,498,19,3.8,0.86,332|672|891|983|990|1111|1523|1719|4495|4605|6240|6241|7153|7157|7159|11004|27113|29128|55723,BIRC5|BRCA1|CCNB1|CDK1|CDC6|CHEK1|CUX1|DHFR|MT1G|MYBL2|RRM1|RRM2|TOP2A|TP53|TP53BP2|KIF2C|BBC3|UHRF1|ASF1B,-8,0
1,-6.8,TRR01150,M1,1,0,TRRUST,34,Regulated by: RB1,,-6.8,13,9.3,28160,36,498,8,1.6,0.56,332|672|983|1719|1870|7027|7159|51343,BIRC5|BRCA1|CDK1|DHFR|E2F2|TFDP1|TP53BP2|FZR1,-4.2,0
1,-6.7,TRR00233,M1,1,0,TRRUST,34,Regulated by: E2F4,,-6.7,16,10,28160,25,498,7,1.4,0.53,332|672|891|1017|1523|9768|55388,BIRC5|BRCA1|CCNB1|CDK2|CUX1|PCLAF|MCM10,-4.1,0
1,-6.4,TRR01406,M1,1,0,TRRUST,34,Regulated by: TFDP1,,-6.4,28,12,28160,10,498,5,1,0.45,983|1719|4605|6240|7157,CDK1|DHFR|MYBL2|RRM1|TP53,-3.9,0
1,-6.3,TRR01153,M1,1,0,TRRUST,34,Regulated by: RBL1,,-6.3,45,13,28160,5,498,4,0.8,0.4,672|890|3012|7027,BRCA1|CCNA2|H2AC8|TFDP1,-3.8,0
1,-5.9,TRR00781,M1,1,0,TRRUST,34,Regulated by: MYCN,,-5.9,9.8,8,28160,46,498,8,1.6,0.56,332|4171|4173|4175|4176|4605|7157|55388,BIRC5|MCM2|MCM4|MCM6|MCM7|MYBL2|TP53|MCM10,-3.5,0
1,-5.7,TRR00232,M1,1,0,TRRUST,34,Regulated by: E2F3,,-5.7,22,10,28160,13,498,5,1,0.45,890|891|983|990|1523,CCNA2|CCNB1|CDK1|CDC6|CUX1,-3.3,0
1,-4.6,TRR00780,M1,1,0,TRRUST,34,Regulated by: MYC,,-4.6,5.1,5.8,28160,110,498,10,2,0.63,890|891|1017|1111|4953|7023|7037|7157|10527|11065,CCNA2|CCNB1|CDK2|CHEK1|ODC1|TFAP4|TFRC|TP53|IPO7|UBE2C,-2.4,0
1,-4.1,TRR00009,M1,1,0,TRRUST,34,Regulated by: APC,,-4.1,16,7.6,28160,14,498,4,0.8,0.4,207|332|1739|4953,AKT1|BIRC5|DLG1|ODC1,-2,0
1,-3.8,TRR00024,M1,1,0,TRRUST,34,Regulated by: ATF3,,-3.8,14,7.1,28160,16,498,4,0.8,0.4,440|3949|7157|9768,ASNS|LDLR|TP53|PCLAF,-1.9,0
1,-3.8,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-3.8,7.2,5.7,28160,47,498,6,1.2,0.49,332|891|3039|4953|7157|51343,BIRC5|CCNB1|HBA1|ODC1|TP53|FZR1,-1.8,0
1,-3.1,TRR00766,M1,1,0,TRRUST,34,Regulated by: MSC,,-3.1,15,6.4,28160,11,498,3,0.6,0.35,990|1493|4176,CDC6|CTLA4|MCM7,-1.3,0
1,-2.9,TRR00675,M1,1,0,TRRUST,34,Regulated by: KLF5,,-2.9,13,5.8,28160,13,498,3,0.6,0.35,332|891|4851,BIRC5|CCNB1|NOTCH1,-1.1,0
1,-2.8,TRR01422,M1,1,0,TRRUST,34,Regulated by: TP73,,-2.8,12,5.6,28160,14,498,3,0.6,0.35,332|983|27113,BIRC5|CDK1|BBC3,-1.1,0
1,-2.6,TRR01392,M1,1,0,TRRUST,34,Regulated by: TCF3,,-2.6,11,5.2,28160,16,498,3,0.6,0.35,920|27113|51343,CD4|BBC3|FZR1,-0.94,0
1,-2.6,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-2.6,2.1,3.3,28160,522,498,19,3.8,0.86,332|672|890|2000|2030|3064|3265|3949|4605|4953|5424|6279|7083|7112|9112|11004|26227|27032|387103,BIRC5|BRCA1|CCNA2|ELF4|SLC29A1|HTT|HRAS|LDLR|MYBL2|ODC1|POLD1|S100A8|TK1|TMPO|MTA1|KIF2C|PHGDH|ATP2C1|CENPW,-0.94,0
1,-2.5,TRR00198,M1,1,0,TRRUST,34,Regulated by: DNMT1,,-2.5,6.7,4.4,28160,34,498,4,0.8,0.4,332|7157|8932|51343,BIRC5|TP53|MBD2|FZR1,-0.9,0
1,-2.4,TRR01546,M1,1,0,TRRUST,34,Regulated by: YBX1,,-2.4,6.3,4.3,28160,36,498,4,0.8,0.4,891|5932|7153|51343,CCNB1|RBBP8|TOP2A|FZR1,-0.84,0
1,-2.3,TRR00421,M1,1,0,TRRUST,34,Regulated by: GLI1,,-2.3,8.5,4.5,28160,20,498,3,0.6,0.35,207|1017|3014,AKT1|CDK2|H2AX,-0.74,0
1,-2.3,TRR00494,M1,1,0,TRRUST,34,Regulated by: HMGA1,,-2.3,8.5,4.5,28160,20,498,3,0.6,0.35,672|7157|51343,BRCA1|TP53|FZR1,-0.74,0
1,-2.2,TRR00362,M1,1,0,TRRUST,34,Regulated by: FOXM1,,-2.2,8.1,4.4,28160,21,498,3,0.6,0.35,891|990|51343,CCNB1|CDC6|FZR1,-0.69,0
