Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
55872,3.0,1,1,1
55247,3.0,1,1,1
63967,3.0,1,1,1
23517,3.0,1,1,1
200576,3.0,1,1,1
114826,3.0,1,1,1
920,3.0,1,1,1
4175,3.0,1,1,1
8570,3.0,1,1,1
3843,3.0,1,1,1
7862,3.0,1,1,1
8329,3.0,1,1,1
55759,3.0,1,1,1
3619,3.0,1,1,1
2976,3.0,1,1,1
51659,3.0,1,1,1
11078,3.0,1,1,1
55336,3.0,1,1,1
55367,3.0,1,1,1
10114,3.0,1,1,1
7159,3.0,1,1,1
95681,3.0,1,1,1
10615,3.0,1,1,1
54920,3.0,1,1,1
3043,3.0,1,1,1
57510,3.0,1,1,1
822,3.0,1,1,1
9968,3.0,1,1,1
8208,3.0,1,1,1
8361,3.0,1,1,1
4173,3.0,1,1,1
5905,3.0,1,1,1
22992,3.0,1,1,1
3832,3.0,1,1,1
151246,3.0,1,1,1
3508,3.0,1,1,1
1062,3.0,1,1,1
23367,3.0,1,1,1
55355,3.0,1,1,1
8294,3.0,1,1,1
79866,3.0,1,1,1
8932,3.0,1,1,1
80209,3.0,1,1,1
8824,3.0,1,1,1
51514,3.0,1,1,1
5932,3.0,1,1,1
8518,3.0,1,1,1
9918,3.0,1,1,1
22995,3.0,1,1,1
9735,3.0,1,1,1
2187,3.0,1,1,1
7023,3.0,1,1,1
3009,3.0,1,1,1
983,3.0,1,1,1
157313,3.0,1,1,1
9711,3.0,1,1,1
55723,3.0,1,1,1
2177,3.0,1,1,1
56894,3.0,1,1,1
9582,3.0,1,1,1
1719,3.0,1,1,1
83667,3.0,1,1,1
6929,3.0,1,1,1
10614,3.0,1,1,1
63894,3.0,1,1,1
157769,3.0,1,1,1
10128,3.0,1,1,1
1,3.0,1,1,1
23028,3.0,1,1,1
9883,3.0,1,1,1
8871,3.0,1,1,1
4953,3.0,1,1,1
9112,3.0,1,1,1
23636,3.0,1,1,1
440,3.0,1,1,1
6721,3.0,1,1,1
283489,3.0,1,1,1
4176,3.0,1,1,1
26227,3.0,1,1,1
50628,3.0,1,1,1
8360,3.0,1,1,1
5286,3.0,1,1,1
1434,3.0,1,1,1
7153,3.0,1,1,1
207,3.0,1,1,1
953,3.0,1,1,1
2542,3.0,1,1,1
891,3.0,1,1,1
11339,3.0,1,1,1
27032,3.0,1,1,1
7407,3.0,1,1,1
387103,3.0,1,1,1
899,3.0,1,1,1
5580,3.0,1,1,1
4830,3.0,1,1,1
6871,3.0,1,1,1
