_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.4,GO:0032728,positive regulation of interferon-beta production,M1,1,0
1,-4.8,GO:0031349,positive regulation of defense response,M1,1,0
1,-8.4,GO:0045088,regulation of innate immune response,M1,1,0
1,-9.9,R-HSA-909733,Interferon alpha/beta signaling,M1,1,0
1,-35,GO:0002250,adaptive immune response,M1,1,0
1,-7,GO:0002455,humoral immune response mediated by circulating immunoglobulin,M1,1,0
1,-2.9,GO:0031348,negative regulation of defense response,M1,1,0
1,-2.2,GO:0006165,nucleoside diphosphate phosphorylation,M1,1,0
1,-2.1,GO:1905523,positive regulation of macrophage migration,M1,1,0
1,-3.1,GO:0034154,toll-like receptor 7 signaling pathway,M1,1,0
1,-3.5,GO:0001912,positive regulation of leukocyte mediated cytotoxicity,M1,1,0
1,-2.9,GO:0030217,T cell differentiation,M1,1,0
1,-2.2,GO:0042098,T cell proliferation,M1,1,0
1,-5.2,GO:0008037,cell recognition,M1,1,0
1,-5.5,GO:0048525,negative regulation of viral process,M1,1,0
1,-4.6,GO:0002703,regulation of leukocyte mediated immunity,M1,1,0
1,-4.1,GO:0045069,regulation of viral genome replication,M1,1,0
1,-2.6,GO:0050866,negative regulation of cell activation,M1,1,0
1,-2.4,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-2.3,GO:0010508,positive regulation of autophagy,M1,1,0
1,-2.1,GO:1901623,regulation of lymphocyte chemotaxis,M1,1,0
1,-7.2,GO:0016064,immunoglobulin mediated immune response,M1,1,0
1,-2.5,WP3865,Novel intracellular components of RIG-I-like receptor (RLR) pathway,M1,1,0
1,-3.1,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,M1,1,0
1,-2.4,GO:0032943,mononuclear cell proliferation,M1,1,0
1,-9.7,GO:0002253,activation of immune response,M1,1,0
1,-2.9,GO:0042110,T cell activation,M1,1,0
1,-3.1,GO:0070663,regulation of leukocyte proliferation,M1,1,0
1,-3.5,GO:0060338,regulation of type I interferon-mediated signaling pathway,M1,1,0
1,-2.9,GO:0002715,regulation of natural killer cell mediated immunity,M1,1,0
1,-2.3,GO:0002718,regulation of cytokine production involved in immune response,M1,1,0
1,-3.1,GO:0097205,renal filtration,M1,1,0
1,-2.2,GO:0090023,positive regulation of neutrophil chemotaxis,M1,1,0
1,-3.4,GO:0002274,myeloid leukocyte activation,M1,1,0
1,-2.6,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,M1,1,0
1,-4.1,GO:0002263,cell activation involved in immune response,M1,1,0
1,-2,GO:0045058,T cell selection,M1,1,0
1,-5.4,GO:0045071,negative regulation of viral genome replication,M1,1,0
1,-2.6,GO:0060263,regulation of respiratory burst,M1,1,0
1,-9.4,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-2.8,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-2.2,GO:0002758,innate immune response-activating signal transduction,M1,1,0
1,-4.4,GO:1903900,regulation of viral life cycle,M1,1,0
1,-3.3,CORUM:867,TRAP-SMCC mediator complex,M1,1,0
1,-2,GO:0036037,"CD8-positive, alpha-beta T cell activation",M1,1,0
1,-2.3,GO:0001906,cell killing,M1,1,0
1,-2,GO:0043303,mast cell degranulation,M1,1,0
1,-7.7,GO:0031347,regulation of defense response,M1,1,0
1,-11,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-6,GO:0006909,phagocytosis,M1,1,0
1,-2.4,GO:0002283,neutrophil activation involved in immune response,M1,1,0
1,-6.8,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M1,1,0
1,-2.4,GO:0030101,natural killer cell activation,M1,1,0
1,-4.7,GO:0050792,regulation of viral process,M1,1,0
1,-9.9,GO:0002429,immune response-activating cell surface receptor signaling pathway,M1,1,0
1,-5.4,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-12,GO:0050778,positive regulation of immune response,M1,1,0
1,-8.4,GO:0050865,regulation of cell activation,M1,1,0
1,-2.2,R-HSA-2172127,DAP12 interactions,M1,1,0
1,-2.4,GO:0001817,regulation of cytokine production,M1,1,0
1,-2.7,GO:0002706,regulation of lymphocyte mediated immunity,M1,1,0
1,-2.8,GO:0071639,positive regulation of monocyte chemotactic protein-1 production,M1,1,0
1,-2.1,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-3.5,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-2,GO:0002433,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,M1,1,0
1,-10,GO:0042742,defense response to bacterium,M1,1,0
1,-2.9,GO:0035745,T-helper 2 cell cytokine production,M1,1,0
1,-2.9,GO:0002228,natural killer cell mediated immunity,M1,1,0
1,-2.2,GO:0042267,natural killer cell mediated cytotoxicity,M1,1,0
1,-5.2,GO:0006959,humoral immune response,M1,1,0
1,-3.4,GO:0006897,endocytosis,M1,1,0
1,-3.6,GO:2000501,regulation of natural killer cell chemotaxis,M1,1,0
1,-4.3,GO:0034340,response to type I interferon,M1,1,0
1,-2.5,GO:1990858,cellular response to lectin,M1,1,0
1,-2.2,GO:0002367,cytokine production involved in immune response,M1,1,0
1,-2.3,GO:0001909,leukocyte mediated cytotoxicity,M1,1,0
1,-11,GO:0009615,response to virus,M1,1,0
1,-4,GO:0002708,positive regulation of lymphocyte mediated immunity,M1,1,0
1,-2.3,hsa_M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",M1,1,0
1,-2.1,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-2.5,GO:0010759,positive regulation of macrophage chemotaxis,M1,1,0
1,-2.5,GO:1990840,response to lectin,M1,1,0
1,-8.6,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2,GO:0032703,negative regulation of interleukin-2 production,M1,1,0
1,-2.1,GO:0034121,regulation of toll-like receptor signaling pathway,M1,1,0
1,-2.1,ko04612,Antigen processing and presentation,M1,1,0
