_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-34.95972818779569,GO:0002250,M1,1,0,GO Biological Processes,19,adaptive immune response,19_GO:0002376 immune system process,-34.95972818779569,6.068965517241379,17.960852322218276,28160,730,464,73,15.732758620689655,1.690335209724075,927|2207|3493|3494|3512|3822|4063|6375|6850|6978|6982|6984|7462|8284|8767|11126|23529|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|28558|28562|28568|28576|28586|28592|28596|28602|28611|28614|28617|28620|28646|28657|28667|28669|28683|28684|28689|28692|28693|28793|28796|28809|28813|28815|28817|28822|28823|28874|28876|28893|28912|28923|28937|28938|28941|30009|56253|64167|81622|91543|117157|257101|100423062|100528032,CD8B2|FCER1G|IGHA1|IGHA2|JCHAIN|KLRC2|LY9|XCL1|SYK|TRGV5|TRGV8|TRGV10|LAT2|KDM5D|RIPK2|CD160|CLCF1|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TRBV29-1|TRBV25-1|TRBV19|TRBV12-4|TRBV9|TRBV7-6|TRBV7-2|TRBV6-5|TRBV5-4|TRBV5-1|TRBV4-1|TRBV2|TRAV36DV7|TRAV26-1|TRAV16|TRAV14DV4|TRAV8-3|TRAV8-2|TRAV4|TRAV1-2|TRAV1-1|IGLV3-25|IGLV3-21|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-47|IGLV1-44|IGKV3D-20|IGKV3D-11|IGKV1D-39|IGKV3-20|IGKV2-24|IGKV1-17|IGKV1-16|IGKV1-9|TBX21|CRTAM|ERAP2|UNC93B1|RSAD2|SH2D1B|ZNF683|IGLL5|KLRC4-KLRK1,-30.598019234557373,0,1,1,1,-34.95972818779569,6.068965517241379,
1,-9.35919731882206,GO:0002440,M1,1,0,GO Biological Processes,19,production of molecular mediator of immune response,19_GO:0002376 immune system process,-9.35919731882206,4.713759625041848,8.496336655054867,28160,309,464,24,5.172413793103448,1.0281464688181488,684|6375|11126|23529|23586|28669|28793|28796|28809|28813|28815|28817|28822|28823|28874|28876|28893|28912|28923|28937|28938|28941|30009|91543,BST2|XCL1|CD160|CLCF1|DDX58|TRAV14DV4|IGLV3-25|IGLV3-21|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-47|IGLV1-44|IGKV3D-20|IGKV3D-11|IGKV1D-39|IGKV3-20|IGKV2-24|IGKV1-17|IGKV1-16|IGKV1-9|TBX21|RSAD2,-6.173579624639425,0,1,0,0,-34.95972818779569,6.068965517241379,
1,-9.183721587544605,GO:0002377,M1,1,0,GO Biological Processes,19,immunoglobulin production,19_GO:0002376 immune system process,-9.183721587544605,5.593516605752424,8.792203290936822,28160,217,464,20,4.310344827586207,0.9428215748690862,6375|23529|28669|28793|28796|28809|28813|28815|28817|28822|28823|28874|28876|28893|28912|28923|28937|28938|28941|30009,XCL1|CLCF1|TRAV14DV4|IGLV3-25|IGLV3-21|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-47|IGLV1-44|IGKV3D-20|IGKV3D-11|IGKV1D-39|IGKV3-20|IGKV2-24|IGKV1-17|IGKV1-16|IGKV1-9|TBX21,-6.0524615556845625,0,1,0,0,-34.95972818779569,6.068965517241379,
1,-12.284676265970534,GO:0050778,M1,1,0,GO Biological Processes,19,positive regulation of immune response,19_GO:0002376 immune system process,-12.284676265970534,4.0038314176245215,9.427949636834226,28160,576,464,38,8.189655172413794,1.2729742742937322,2|719|1240|2207|2268|3430|3493|3494|3600|3822|6352|6375|6850|7305|7462|8398|8767|11126|23529|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|30009|56253|80231|81030|91543|117157|149628|100423062|100528032,A2M|C3AR1|CMKLR1|FCER1G|FGR|IFI35|IGHA1|IGHA2|IL15|KLRC2|CCL5|XCL1|SYK|TYROBP|LAT2|PLA2G6|RIPK2|CD160|CLCF1|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TBX21|CRTAM|TASL|ZBP1|RSAD2|SH2D1B|PYHIN1|IGLL5|KLRC4-KLRK1,-8.223997308396198,0,2,1,1,-12.284676265970534,7.889655172413793,
1,-12.099553287383806,GO:0002764,M1,1,0,GO Biological Processes,19,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-12.099553287383806,4.371712448860316,9.561693416979152,28160,472,464,34,7.327586206896552,1.2097530214866268,719|1240|2207|2268|3430|3493|3494|3822|4814|4938|4940|6850|7305|7462|8398|8767|11126|23586|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|56927|79132|80231|81622|91543|100423062,C3AR1|CMKLR1|FCER1G|FGR|IFI35|IGHA1|IGHA2|KLRC2|NINJ1|OAS1|OAS3|SYK|TYROBP|LAT2|PLA2G6|RIPK2|CD160|DDX58|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|GPR108|DHX58|TASL|UNC93B1|RSAD2|IGLL5,-8.214965588865152,0,2,0,0,-12.284676265970534,7.889655172413793,
1,-11.821444035214778,GO:0002252,M1,1,0,GO Biological Processes,19,immune effector process,19_GO:0002376 immune system process,-11.821444035214778,3.700588730025232,9.058817697760485,28160,656,464,40,8.620689655172415,1.3029746102225397,2|684|2207|2268|3430|3493|3494|3811|3822|4063|5729|6375|6850|7305|7462|8284|8398|8767|10875|11126|23529|23586|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|30009|56253|79132|91543|117157|257101|100423062|100528032,A2M|BST2|FCER1G|FGR|IFI35|IGHA1|IGHA2|KIR3DL1|KLRC2|LY9|PTGDR|XCL1|SYK|TYROBP|LAT2|KDM5D|PLA2G6|RIPK2|FGL2|CD160|CLCF1|DDX58|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TBX21|CRTAM|DHX58|RSAD2|SH2D1B|ZNF683|IGLL5|KLRC4-KLRK1,-8.061795073304424,0,2,0,0,-12.284676265970534,7.889655172413793,
1,-11.47522869876632,GO:0002443,M1,1,0,GO Biological Processes,19,leukocyte mediated immunity,19_GO:0002376 immune system process,-11.47522869876632,4.3938211889530345,9.308468323283128,28160,442,464,32,6.896551724137931,1.1763590331396778,684|2207|2268|3493|3494|3811|3822|5729|6375|6850|7305|7462|8284|11126|23529|23586|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|30009|56253|91543|117157|100423062|100528032,BST2|FCER1G|FGR|IGHA1|IGHA2|KIR3DL1|KLRC2|PTGDR|XCL1|SYK|TYROBP|LAT2|KDM5D|CD160|CLCF1|DDX58|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TBX21|CRTAM|RSAD2|SH2D1B|IGLL5|KLRC4-KLRK1,-7.812489749864024,0,2,0,0,-12.284676265970534,7.889655172413793,
1,-10.276929777640246,GO:0042742,M1,1,0,GO Biological Processes,19,defense response to bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-10.276929777640246,4.628872004675628,8.893303241364073,28160,354,464,27,5.818965517241379,1.0867899902144729,944|2207|2268|3493|3494|3512|4938|4940|6850|7132|8398|8767|9636|10578|11126|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|28912|100423062,TNFSF8|FCER1G|FGR|IGHA1|IGHA2|JCHAIN|OAS1|OAS3|SYK|TNFRSF1A|PLA2G6|RIPK2|ISG15|GNLY|CD160|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|IGKV3-20|IGLL5,-6.91522082440193,0,2,0,0,-12.284676265970534,7.889655172413793,
1,-9.891682095342597,GO:0002429,M1,1,0,GO Biological Processes,19,immune response-activating cell surface receptor signaling pathway,19_GO:0002376 immune system process,-9.891682095342597,5.005332385353714,8.88962503481895,28160,291,464,24,5.172413793103448,1.0281464688181488,719|1240|2207|2268|3493|3494|3822|6850|7305|7462|8398|8767|11126|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|100423062,C3AR1|CMKLR1|FCER1G|FGR|IGHA1|IGHA2|KLRC2|SYK|TYROBP|LAT2|PLA2G6|RIPK2|CD160|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|IGLL5,-6.643916494411117,0,2,0,0,-12.284676265970534,7.889655172413793,
1,-9.891682095342597,GO:0002757,M1,1,0,GO Biological Processes,19,immune response-activating signal transduction,19_GO:0002376 immune system process,-9.891682095342597,5.005332385353714,8.88962503481895,28160,291,464,24,5.172413793103448,1.0281464688181488,719|1240|2207|2268|3493|3494|3822|6850|7305|7462|8398|8767|11126|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|100423062,C3AR1|CMKLR1|FCER1G|FGR|IGHA1|IGHA2|KLRC2|SYK|TYROBP|LAT2|PLA2G6|RIPK2|CD160|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|IGLL5,-6.643916494411117,0,2,0,0,-12.284676265970534,7.889655172413793,
