Cluster,Score,Type,Gene,Symbol,Network
1,5.0,Clustered,4600,MX2,MyList_SUB1
1,5.0,Seed,2537,IFI6,MyList_SUB1
1,5.0,Clustered,3430,IFI35,MyList_SUB1
1,5.0,Clustered,4599,MX1,MyList_SUB1
1,5.0,Clustered,3437,IFIT3,MyList_SUB1
1,5.0,Clustered,3434,IFIT1,MyList_SUB1
1,5.0,Clustered,91543,RSAD2,MyList_SUB1
1,5.0,Clustered,4938,OAS1,MyList_SUB1
1,5.0,Clustered,3433,IFIT2,MyList_SUB1
1,5.0,Clustered,4940,OAS3,MyList_SUB1
1,5.0,Clustered,684,BST2,MyList_SUB1
2,3.1818181818181817,Clustered,54850,FBXL12,MyList_SUB1
2,3.1818181818181817,Clustered,1154,CISH,MyList_SUB1
2,3.1818181818181817,Clustered,51191,HERC5,MyList_SUB1
2,3.1818181818181817,Seed,93611,FBXO44,MyList_SUB1
2,3.1818181818181817,Clustered,23586,DDX58,MyList_SUB1
2,3.1818181818181817,Clustered,84078,KBTBD7,MyList_SUB1
2,3.1818181818181817,Clustered,142678,MIB2,MyList_SUB1
2,3.1818181818181817,Clustered,144699,FBXL14,MyList_SUB1
2,3.1818181818181817,Clustered,64718,UNKL,MyList_SUB1
2,3.1818181818181817,Clustered,8835,SOCS2,MyList_SUB1
2,3.1818181818181817,Clustered,9636,ISG15,MyList_SUB1
6,2.0,Seed,23186,RCOR1,MyList_SUB1
6,2.0,Clustered,3017,H2BC5,MyList_SUB1
6,2.0,Clustered,3005,H1-0,MyList_SUB1
6,2.0,Clustered,723790,H2AC19,MyList_SUB1
6,2.0,Clustered,8334,H2AC6,MyList_SUB1
3,1.625,Clustered,51259,TMEM216,MyList_SUB1
3,1.625,Clustered,102800317,TPTEP2-CSNK1E,MyList_SUB1
3,1.625,Seed,6837,MED22,MyList_SUB1
3,1.625,Clustered,9412,MED21,MyList_SUB1
3,1.625,Clustered,219541,MED19,MyList_SUB1
3,1.625,Clustered,80321,CEP70,MyList_SUB1
3,1.625,Clustered,27077,B9D1,MyList_SUB1
3,1.625,Clustered,54797,MED18,MyList_SUB1
4,1.4285714285714286,Seed,104909134,LINC02210-CRHR1,MyList_SUB1
4,1.4285714285714286,Clustered,154,ADRB2,MyList_SUB1
4,1.4285714285714286,Clustered,326624,RAB37,MyList_SUB1
4,1.4285714285714286,Clustered,719,C3AR1,MyList_SUB1
4,1.4285714285714286,Clustered,968,CD68,MyList_SUB1
4,1.4285714285714286,Clustered,5729,PTGDR,MyList_SUB1
4,1.4285714285714286,Clustered,6019,RLN2,MyList_SUB1
5,1.3333333333333333,Clustered,7132,TNFRSF1A,MyList_SUB1
5,1.3333333333333333,Clustered,64343,AZI2,MyList_SUB1
5,1.3333333333333333,Clustered,8742,TNFSF12,MyList_SUB1
5,1.3333333333333333,Clustered,843,CASP10,MyList_SUB1
5,1.3333333333333333,Clustered,8767,RIPK2,MyList_SUB1
5,1.3333333333333333,Seed,6850,SYK,MyList_SUB1
7,1.0,Clustered,100528032,KLRC4-KLRK1,MyList_SUB1
7,1.0,Clustered,7305,TYROBP,MyList_SUB1
7,1.0,Seed,3822,KLRC2,MyList_SUB1
8,1.0,Clustered,2207,FCER1G,MyList_SUB1
8,1.0,Clustered,100423062,IGLL5,MyList_SUB1
8,1.0,Seed,7462,LAT2,MyList_SUB1
9,1.0,Clustered,79745,CLIP4,MyList_SUB1
9,1.0,Clustered,81027,TUBB1,MyList_SUB1
9,1.0,Clustered,8379,MAD1L1,MyList_SUB1
10,1.0,Seed,6621,SNAPC4,MyList_SUB1
10,1.0,Clustered,1628,DBP,MyList_SUB1
10,1.0,Clustered,1649,DDIT3,MyList_SUB1
