_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.2,C1522378,M1,1,0,DisGeNET,35,"Leukemia, Large Granular Lymphocytic",,-7.2,8.6,8.7,28160,78,464,11,2.4,0.71,3600|3804|3811|3820|6352|7132|7305|8848|10578|30009|100528032,IL15|KIR2DL3|KIR3DL1|KLRB1|CCL5|TNFRSF1A|TYROBP|TSC22D1|GNLY|TBX21|KLRC4-KLRK1,-4.3,0
1,-4.9,C0011303,M1,1,0,DisGeNET,35,Demyelinating Diseases,,-4.9,4.7,5.9,28160,156,464,12,2.6,0.74,659|719|1154|1240|3579|6285|6352|7132|7305|8379|8530|10140,BMPR2|C3AR1|CISH|CMKLR1|CXCR2|S100B|CCL5|TNFRSF1A|TYROBP|MAD1L1|CST7|TOB1,-2.1,0
1,-4.9,C0375023,M1,1,0,DisGeNET,35,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-4.9,2.9,5.2,28160,467,464,22,4.7,0.99,154|684|1154|3434|3579|3600|3820|3822|5729|5920|6302|6352|7132|7538|9636|10998|11126|23586|79132|91543|100528032|104909134,ADRB2|BST2|CISH|IFIT1|CXCR2|IL15|KLRB1|KLRC2|PTGDR|PLAAT4|TSPAN31|CCL5|TNFRSF1A|ZFP36|ISG15|SLC27A5|CD160|DDX58|DHX58|RSAD2|KLRC4-KLRK1|LINC02210-CRHR1,-2.1,0
1,-4.4,C3665444,M1,1,0,DisGeNET,35,Neutrophilia (disorder),,-4.4,4.5,5.5,28160,150,464,11,2.4,0.71,3579|3600|5729|5920|6352|7132|7305|10998|23586|30009|56413,CXCR2|IL15|PTGDR|PLAAT4|CCL5|TNFRSF1A|TYROBP|SLC27A5|DDX58|TBX21|LTB4R2,-1.6,0
1,-4.3,C0043124,M1,1,0,DisGeNET,35,West Nile Fever,,-4.3,6.1,5.9,28160,79,464,8,1.7,0.6,3433|3811|4938|5920|7132|23586|79132|81030,IFIT2|KIR3DL1|OAS1|PLAAT4|TNFRSF1A|DDX58|DHX58|ZBP1,-1.6,0
1,-4.2,C2062441,M1,1,0,DisGeNET,35,Influenza A,,-4.2,2.5,4.6,28160,562,464,23,5,1,684|1154|2059|2064|3434|3600|3822|4599|5920|5973|6352|6375|9636|10346|11126|23586|28461|51191|64174|79132|81030|91543|149420,BST2|CISH|EPS8|ERBB2|IFIT1|IL15|KLRC2|MX1|PLAAT4|RENBP|CCL5|XCL1|ISG15|TRIM22|CD160|DDX58|IGHV1-69|HERC5|DPEP2|DHX58|ZBP1|RSAD2|PDIK1L,-1.4,0
1,-4.1,C1864445,M1,1,0,DisGeNET,35,Histiocytosis with joint contractures and sensorineural deafness,,-4.1,30,9.3,28160,6,464,3,0.65,0.37,968|6285|55315,CD68|S100B|SLC29A3,-1.3,0
1,-4,C1096184,M1,1,0,DisGeNET,35,West Nile viral infection,,-4,4.1,5.1,28160,164,464,11,2.4,0.71,3433|3812|4061|4599|4938|5920|6352|7132|23586|81030|91543,IFIT2|KIR3DL2|LY6E|MX1|OAS1|PLAAT4|CCL5|TNFRSF1A|DDX58|ZBP1|RSAD2,-1.3,0
1,-4,C0010823,M1,1,0,DisGeNET,35,Cytomegalovirus Infections,,-4,2.6,4.6,28160,462,464,20,4.3,0.94,1154|1649|2309|3434|3600|3804|3811|3820|3822|4601|6352|6850|7132|9636|10219|10578|91543|148423|257101|100528032,CISH|DDIT3|FOXO3|IFIT1|IL15|KIR2DL3|KIR3DL1|KLRB1|KLRC2|MXI1|CCL5|SYK|TNFRSF1A|ISG15|KLRG1|GNLY|RSAD2|C1orf52|ZNF683|KLRC4-KLRK1,-1.3,0
1,-3.9,C0393591,M1,1,0,DisGeNET,35,AICARDI-GOUTIERES SYNDROME,,-3.9,4.7,5.2,28160,116,464,9,1.9,0.64,2309|3433|5920|8277|8530|11274|23186|23586|29911,FOXO3|IFIT2|PLAAT4|TKTL1|CST7|USP18|RCOR1|DDX58|HOOK2,-1.2,0
1,-3.8,C0024314,M1,1,0,DisGeNET,35,Lymphoproliferative Disorders,,-3.8,3,4.6,28160,300,464,15,3.2,0.82,2064|2268|2309|3600|3804|3811|3820|5920|6285|6375|6850|10998|28395|28796|28912,ERBB2|FGR|FOXO3|IL15|KIR2DL3|KIR3DL1|KLRB1|PLAAT4|S100B|XCL1|SYK|SLC27A5|IGHV4-34|IGLV3-21|IGKV3-20,-1.1,0
1,-3.6,C1609538,M1,1,0,DisGeNET,35,Latent Tuberculosis,,-3.6,3.6,4.7,28160,183,464,11,2.4,0.71,1154|2309|3600|3811|5920|6303|8835|9636|10219|10578|23586,CISH|FOXO3|IL15|KIR3DL1|PLAAT4|SAT1|SOCS2|ISG15|KLRG1|GNLY|DDX58,-0.93,0
1,-3.6,C2363741,M1,1,0,DisGeNET,35,HIV-1 infection,,-3.6,2.2,4.1,28160,695,464,25,5.4,1,684|2064|2309|3579|3600|3804|3811|3812|3820|4061|4600|5920|6285|6352|6375|7132|9636|10346|11274|23586|64167|79966|80316|91543|100528032,BST2|ERBB2|FOXO3|CXCR2|IL15|KIR2DL3|KIR3DL1|KIR3DL2|KLRB1|LY6E|MX2|PLAAT4|S100B|CCL5|XCL1|TNFRSF1A|ISG15|TRIM22|USP18|DDX58|ERAP2|SCD5|PPP1R2C|RSAD2|KLRC4-KLRK1,-0.92,0
1,-3.6,C1141957,M1,1,0,DisGeNET,35,HIV disease progression,,-3.6,6.7,5.5,28160,54,464,6,1.3,0.52,684|3811|3812|3822|6285|6352,BST2|KIR3DL1|KIR3DL2|KLRC2|S100B|CCL5,-0.92,0
1,-3.5,C0949690,M1,1,0,DisGeNET,35,Spondylarthritis,,-3.5,3.8,4.6,28160,158,464,10,2.2,0.67,944|968|3811|3812|3820|6563|7132|30009|64167|100528032,TNFSF8|CD68|KIR3DL1|KIR3DL2|KLRB1|SLC14A1|TNFRSF1A|TBX21|ERAP2|KLRC4-KLRK1,-0.86,0
1,-3.5,C1866231,M1,1,0,DisGeNET,35,Full cheeks,,-3.5,4.7,4.9,28160,103,464,8,1.7,0.6,1806|3425|6905|23529|27077|51057|51259|55315,DPYD|IDUA|TBCE|CLCF1|B9D1|WDPCP|TMEM216|SLC29A3,-0.86,0
1,-3.5,C0524910,M1,1,0,DisGeNET,35,"Hepatitis C, Chronic",,-3.5,2.5,4.2,28160,430,464,18,3.9,0.9,968|1240|2309|3430|3579|3600|3804|3811|4599|4938|6352|7132|9636|10346|23586|30009|91543|100528032,CD68|CMKLR1|FOXO3|IFI35|CXCR2|IL15|KIR2DL3|KIR3DL1|MX1|OAS1|CCL5|TNFRSF1A|ISG15|TRIM22|DDX58|TBX21|RSAD2|KLRC4-KLRK1,-0.85,0
1,-3.5,C3495814,M1,1,0,DisGeNET,35,Fulminant type 1 diabetes mellitus,,-3.5,20,7.5,28160,9,464,3,0.65,0.37,968|5920|81030,CD68|PLAAT4|ZBP1,-0.82,0
1,-3.5,C0024790,M1,1,0,DisGeNET,35,Paroxysmal nocturnal hemoglobinuria,,-3.5,4.1,4.7,28160,132,464,9,1.9,0.64,659|3579|3811|3812|5269|6905|10455|11126|100528032,BMPR2|CXCR2|KIR3DL1|KIR3DL2|SERPINB6|TBCE|ECI2|CD160|KLRC4-KLRK1,-0.82,0
