_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.1,M16200,M1,1,0,Transcription Factor Targets,16,ISRE 01,,-4.1,3.4,4.9,28160,253,464,14,3,0.79,684|2064|3433|3437|8767|9636|11274|23586|23635|30009|64108|79132|80231|81030,BST2|ERBB2|IFIT2|IFIT3|RIPK2|ISG15|USP18|DDX58|SSBP2|TBX21|RTP4|DHX58|TASL|ZBP1,-1.3,0
1,-4.1,M2727,M1,1,0,Transcription Factor Targets,16,ICSBP Q6,,-4.1,3.4,4.9,28160,253,464,14,3,0.79,684|2064|3430|3437|4601|7050|8767|9636|11274|23186|51057|51380|81030|256586,BST2|ERBB2|IFI35|IFIT3|MXI1|TGIF1|RIPK2|ISG15|USP18|RCOR1|WDPCP|CSAD|ZBP1|LYSMD2,-1.3,0
1,-3.4,M12258,M1,1,0,Transcription Factor Targets,16,IRF7 01,,-3.4,3.1,4.3,28160,258,464,13,2.8,0.77,684|2064|2275|3433|5991|6303|9636|11274|23586|64343|64802|80231|221002,BST2|ERBB2|FHL3|IFIT2|RFX3|SAT1|ISG15|USP18|DDX58|AZI2|NMNAT1|TASL|RASGEF1A,-0.79,0
1,-3,M30288,M1,1,0,Transcription Factor Targets,16,ZNF257 TARGET GENES,,-3,2.2,3.6,28160,556,464,20,4.3,0.94,1384|1649|2059|7538|8555|8767|10875|27077|28971|29911|51380|54797|112840|147699|147965|168455|203259|283130|645212|101927275,CRAT|DDIT3|EPS8|ZFP36|CDC14B|RIPK2|FGL2|B9D1|AAMDC|HOOK2|CSAD|MED18|WDR89|PPM1N|FAM98C|CCDC71L|FAM219A|SLC25A45|EIF3J-DT|NDUFV2-AS1,-0.42,0
1,-2.9,M2709,M1,1,0,Transcription Factor Targets,16,IRF1 01,,-2.9,2.9,3.9,28160,255,464,12,2.6,0.74,684|1649|4601|6303|6352|9636|11274|23586|26269|51380|80231|112849,BST2|DDIT3|MXI1|SAT1|CCL5|ISG15|USP18|DDX58|FBXO8|CSAD|TASL|L3HYPDH,-0.39,0
1,-2.9,M533,M1,1,0,Transcription Factor Targets,16,STTTCRNTTT IRF Q6,,-2.9,3.2,3.9,28160,192,464,10,2.2,0.67,684|3433|3437|4601|9636|11274|23586|79132|80231|81030,BST2|IFIT2|IFIT3|MXI1|ISG15|USP18|DDX58|DHX58|TASL|ZBP1,-0.32,0
1,-2.7,M29890,M1,1,0,Transcription Factor Targets,16,ARNT2 TARGET GENES,,-2.7,2,3.4,28160,668,464,22,4.7,0.99,4601|6302|8507|8835|10436|26269|27077|51231|54828|56986|57035|84909|85028|90353|93100|112840|162966|221960|283130|283440|100134934|100287227,MXI1|TSPAN31|ENC1|SOCS2|EMG1|FBXO8|B9D1|VRK3|BCAS3|DTWD1|RSRP1|AOPEP|SNHG12|CTU1|NAPRT|WDR89|ZNF600|CCZ1B|SLC25A45|ITFG2-AS1|TEN1|TIPARP-AS1,-0.24,0
1,-2.7,M29991,M1,1,0,Transcription Factor Targets,16,HDAC4 TARGET GENES,,-2.7,2,3.3,28160,679,464,22,4.7,0.99,3512|4063|4601|6352|6621|10436|10964|10966|23635|28971|51057|51147|56927|64802|84256|91272|114915|124790|146705|389289|649446|105377006,JCHAIN|LY9|MXI1|CCL5|SNAPC4|EMG1|IFI44L|RAB40B|SSBP2|AAMDC|WDPCP|ING4|GPR108|NMNAT1|FLYWCH1|BOD1|EPB41L4A-AS1|HEXIM2|TEPSIN|ANXA2R|DLGAP1-AS1|LINC02084,-0.18,0
1,-2.3,M16694,M1,1,0,Transcription Factor Targets,16,AP4 01,,-2.3,2.5,3.2,28160,265,464,11,2.4,0.71,1240|1649|2057|3005|10077|23635|79142|84256|124790|203259|221002,CMKLR1|DDIT3|EPOR|H1-0|TSPAN32|SSBP2|PHF23|FLYWCH1|HEXIM2|FAM219A|RASGEF1A,0,0
1,-2.1,M14066,M1,1,0,Transcription Factor Targets,16,IRF Q6,,-2.1,2.5,3,28160,244,464,10,2.2,0.67,684|3430|3433|6303|9636|64108|79132|79142|81030|84445,BST2|IFI35|IFIT2|SAT1|ISG15|RTP4|DHX58|PHF23|ZBP1|LZTS2,0,0
1,-2.1,M3265,M1,1,0,Transcription Factor Targets,16,NFMUE1 Q6,,-2.1,2.4,2.9,28160,250,464,10,2.2,0.67,1876|3005|5991|7544|8269|51380|81554|124936|146705|168455,E2F6|H1-0|RFX3|ZFY|TMEM187|CSAD|RCC1L|CYB5D2|TEPSIN|CCDC71L,0,0
