Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
2207,3.0,1,1,1
54797,3.0,1,1,1
3600,3.0,1,1,1
8398,3.0,1,1,1
4833,3.0,1,1,1
4600,3.0,1,1,1
219541,3.0,1,1,1
255520,3.0,1,1,1
4940,3.0,1,1,1
91543,3.0,1,1,1
6850,3.0,1,1,1
2537,3.0,1,1,1
719,3.0,1,1,1
8767,3.0,1,1,1
51191,3.0,1,1,1
944,3.0,1,1,1
10219,3.0,1,1,1
6352,3.0,1,1,1
23586,3.0,1,1,1
64343,3.0,1,1,1
6285,3.0,1,1,1
3812,3.0,1,1,1
230,3.0,1,1,1
54850,3.0,1,1,1
684,3.0,1,1,1
408,3.0,1,1,1
3823,3.0,1,1,1
3430,3.0,1,1,1
6375,3.0,1,1,1
221264,3.0,1,1,1
3512,3.0,1,1,1
154,3.0,1,1,1
7538,3.0,1,1,1
56927,3.0,1,1,1
117157,3.0,1,1,1
26289,3.0,1,1,1
6837,3.0,1,1,1
2,3.0,1,1,1
100423062,3.0,1,1,1
93611,3.0,1,1,1
79132,3.0,1,1,1
843,3.0,1,1,1
100528032,3.0,1,1,1
8671,3.0,1,1,1
9412,3.0,1,1,1
144699,3.0,1,1,1
4063,3.0,1,1,1
3437,3.0,1,1,1
2868,3.0,1,1,1
1240,3.0,1,1,1
4061,3.0,1,1,1
30009,3.0,1,1,1
5729,3.0,1,1,1
3433,3.0,1,1,1
81622,3.0,1,1,1
2309,3.0,1,1,1
3434,3.0,1,1,1
3579,3.0,1,1,1
3804,3.0,1,1,1
4599,3.0,1,1,1
7305,3.0,1,1,1
8644,3.0,1,1,1
149628,3.0,1,1,1
10901,3.0,1,1,1
7462,3.0,1,1,1
9636,3.0,1,1,1
4938,3.0,1,1,1
11274,3.0,1,1,1
2268,3.0,1,1,1
3811,3.0,1,1,1
3822,3.0,1,1,1
11092,2.0,1,0,1
30851,2.0,1,0,1
23382,2.0,1,0,1
64860,2.0,1,0,1
5271,2.0,1,0,1
283254,2.0,1,0,1
55791,2.0,1,0,1
4814,2.0,1,1,0
1601,2.0,1,0,1
51816,2.0,1,0,1
4636,2.0,1,0,1
55315,2.0,1,0,1
93100,2.0,1,0,1
902,2.0,1,0,1
56413,2.0,1,0,1
83719,2.0,1,0,1
84909,2.0,1,0,1
2635,2.0,1,0,1
7132,2.0,1,0,1
84256,2.0,1,0,1
6512,2.0,1,0,1
23130,2.0,1,0,1
147923,2.0,1,0,1
79731,2.0,1,0,1
6621,2.0,1,0,1
80231,2.0,1,1,0
51540,2.0,1,0,1
27128,2.0,1,0,1
220869,2.0,1,0,1
549,2.0,1,0,1
28392,2.0,1,1,0
130162,2.0,1,0,1
28420,2.0,1,1,0
353088,2.0,1,0,1
3493,2.0,1,1,0
8507,2.0,1,0,1
28986,2.0,1,0,1
5148,2.0,1,0,1
10140,2.0,1,0,1
29911,2.0,1,0,1
3494,2.0,1,1,0
4509,2.0,1,0,1
2960,2.0,1,0,1
84445,2.0,1,0,1
2057,2.0,1,0,1
28388,2.0,1,1,0
257101,2.0,1,1,0
1384,2.0,1,0,1
10875,2.0,1,1,0
28461,2.0,1,1,0
8555,2.0,1,0,1
8637,2.0,1,0,1
388403,2.0,1,0,1
3005,2.0,1,0,1
144404,2.0,1,0,1
2074,2.0,1,0,1
55332,2.0,1,0,1
124790,2.0,1,0,1
81030,2.0,1,1,0
55471,2.0,1,0,1
64097,2.0,1,0,1
28410,2.0,1,1,0
81932,2.0,1,0,1
55245,2.0,1,0,1
112611,2.0,1,0,1
142678,2.0,1,0,1
10578,2.0,1,1,0
84460,2.0,1,0,1
81888,2.0,1,0,1
80321,2.0,1,0,1
84267,2.0,1,0,1
10455,2.0,1,0,1
28620,2.0,1,0,1
102800317,2.0,1,0,1
146705,2.0,1,0,1
10346,2.0,1,0,1
81554,2.0,1,0,1
25796,2.0,1,0,1
28448,2.0,1,1,0
27132,2.0,1,0,1
10962,2.0,1,0,1
199704,2.0,1,0,1
28395,2.0,1,1,0
54879,2.0,1,0,1
100287482,2.0,1,0,1
7978,2.0,1,1,0
6905,2.0,1,0,1
57035,2.0,1,0,1
79142,2.0,1,0,1
8379,2.0,1,0,1
64718,2.0,1,0,1
81550,2.0,1,0,1
220929,2.0,1,0,1
