Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-4839726,Chromatin organization,,-16,6.6,12,28160,274,484,31,6.4,1.1,6871|7403|7468|7862|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8518|8850|8968|23067|23774|51780|53615|55352|79723|85235|121536|387893,TADA2A|KDM6A|NSD2|BRPF1|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|ELP1|KAT2B|H3C7|SETD1B|BRD1|KDM3B|MBD3|COPRS|SUV39H2|H2AC12|AEBP2|KMT5A,-12,MyList
Reactome Gene Sets,6,R-HSA-3247509,Chromatin modifying enzymes,,-16,6.6,12,28160,274,484,31,6.4,1.1,6871|7403|7468|7862|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8518|8850|8968|23067|23774|51780|53615|55352|79723|85235|121536|387893,TADA2A|KDM6A|NSD2|BRPF1|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|ELP1|KAT2B|H3C7|SETD1B|BRD1|KDM3B|MBD3|COPRS|SUV39H2|H2AC12|AEBP2|KMT5A,-12,MyList
Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-15,4.4,11,28160,561,484,42,8.7,1.3,207|699|701|898|1062|1454|1869|1870|3161|4171|4605|4751|5427|6241|7153|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|10112|11004|11243|22995|23594|57082|57405|63943|64151|85378|91750|95681|220134|387893,AKT1|BUB1|BUB1B|CCNE1|CENPE|CSNK1E|E2F1|E2F2|HMMR|MCM2|MYBL2|NEK2|POLE2|RRM2|TOP2A|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|KIF20A|KIF2C|PMF1|CEP152|ORC6|KNL1|SPC25|FKBPL|NCAPG|TUBGCP6|LIN52|CEP41|SKA1|KMT5A,-11,MyList
Reactome Gene Sets,6,R-HSA-3214847,HATs acetylate histones,,-14,9,13,28160,142,484,22,4.5,0.95,6871|7862|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8518|8850|8968|23774|85235,TADA2A|BRPF1|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|ELP1|KAT2B|H3C7|BRD1|H2AC12,-11,MyList
Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-14,3.9,10,28160,692,484,46,9.5,1.3,207|699|701|898|1062|1111|1454|1869|1870|3161|4171|4605|4751|5427|6241|7153|7468|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|10112|11004|11243|22995|23594|55355|57082|57405|63943|64151|84126|85378|91750|95681|220134|387893,AKT1|BUB1|BUB1B|CCNE1|CENPE|CHEK1|CSNK1E|E2F1|E2F2|HMMR|MCM2|MYBL2|NEK2|POLE2|RRM2|TOP2A|NSD2|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|KIF20A|KIF2C|PMF1|CEP152|ORC6|HJURP|KNL1|SPC25|FKBPL|NCAPG|ATRIP|TUBGCP6|LIN52|CEP41|SKA1|KMT5A,-11,MyList
Reactome Gene Sets,6,R-HSA-3214858,RMTs methylate histone arginines,,-14,13,14,28160,79,484,17,3.5,0.84,8329|8331|8332|8335|8336|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|55352|85235,H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|COPRS|H2AC12,-10,MyList
Reactome Gene Sets,6,R-HSA-3214815,HDACs deacetylate histones,,-13,11,13,28160,94,484,18,3.7,0.86,8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|53615|85235,H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|MBD3|H2AC12,-10,MyList
Reactome Gene Sets,6,R-HSA-1912422,Pre-NOTCH Expression and Processing,,-13,10,13,28160,109,484,19,3.9,0.88,1869|4851|6487|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8850|8968|23509|26523,E2F1|NOTCH1|ST3GAL3|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|KAT2B|H3C7|POFUT1|AGO1,-9.9,MyList
Reactome Gene Sets,6,R-HSA-1912408,Pre-NOTCH Transcription and Translation,,-12,11,12,28160,93,484,17,3.5,0.84,1869|4851|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8850|8968|26523,E2F1|NOTCH1|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|KAT2B|H3C7|AGO1,-9,MyList
KEGG Pathway,24,ko05034,Alcoholism,,-12,7.1,11,28160,180,484,22,4.5,0.95,135|3265|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|10013|59345|85235|148327,ADORA2A|HRAS|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|HDAC6|GNB4|H2AC12|CREB3L4,-8.8,MyList
Reactome Gene Sets,6,R-HSA-3214841,PKMTs methylate histone lysines,,-12,12,13,28160,71,484,15,3.1,0.79,7468|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|23067|79723|121536|387893,NSD2|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|SETD1B|SUV39H2|AEBP2|KMT5A,-8.7,MyList
KEGG Pathway,24,hsa05034,Alcoholism,,-12,6.9,11,28160,185,484,22,4.5,0.95,135|3265|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|10013|59345|85235|148327,ADORA2A|HRAS|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|HDAC6|GNB4|H2AC12|CREB3L4,-8.6,MyList
GO Biological Processes,19,GO:0006335,DNA replication-dependent nucleosome assembly,19_GO:0009987 cellular process,-11,20,14,28160,32,484,11,2.3,0.68,8208|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968,CHAF1B|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7,-8.3,MyList
GO Biological Processes,19,GO:0034723,DNA replication-dependent nucleosome organization,19_GO:0009987 cellular process,-11,20,14,28160,32,484,11,2.3,0.68,8208|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968,CHAF1B|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7,-8.3,MyList
Reactome Gene Sets,6,R-HSA-2559580,Oxidative Stress Induced Senescence,,-11,8.4,11,28160,125,484,18,3.7,0.86,1869|1870|1912|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8535|8968|26523,E2F1|E2F2|PHC2|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|CBX4|H3C7|AGO1,-8.1,MyList
Reactome Gene Sets,6,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,,-11,9.6,11,28160,97,484,16,3.3,0.81,8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8850|8968|23067|26523,H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|KAT2B|H3C7|SETD1B|AGO1,-7.8,MyList
