Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-3247509,Chromatin modifying enzymes,,-19,8.5,14,28160,274,376,31,8.2,1.4,6871|7403|7468|7862|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8518|8850|8968|23067|23774|51780|53615|55352|79723|85235|121536|387893,TADA2A|KDM6A|NSD2|BRPF1|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|ELP1|KAT2B|H3C7|SETD1B|BRD1|KDM3B|MBD3|COPRS|SUV39H2|H2AC12|AEBP2|KMT5A,-17
MyList,Reactome Gene Sets,6,R-HSA-4839726,Chromatin organization,,-19,8.5,14,28160,274,376,31,8.2,1.4,6871|7403|7468|7862|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8518|8850|8968|23067|23774|51780|53615|55352|79723|85235|121536|387893,TADA2A|KDM6A|NSD2|BRPF1|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|ELP1|KAT2B|H3C7|SETD1B|BRD1|KDM3B|MBD3|COPRS|SUV39H2|H2AC12|AEBP2|KMT5A,-17
MyList,Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-19,5.6,13,28160,561,376,42,11,1.6,207|699|701|898|1062|1454|1869|1870|3161|4171|4605|4751|5427|6241|7153|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|10112|11004|11243|22995|23594|57082|57405|63943|64151|85378|91750|95681|220134|387893,AKT1|BUB1|BUB1B|CCNE1|CENPE|CSNK1E|E2F1|E2F2|HMMR|MCM2|MYBL2|NEK2|POLE2|RRM2|TOP2A|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|KIF20A|KIF2C|PMF1|CEP152|ORC6|KNL1|SPC25|FKBPL|NCAPG|TUBGCP6|LIN52|CEP41|SKA1|KMT5A,-16
MyList,Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-18,5,12,28160,692,376,46,12,1.7,207|699|701|898|1062|1111|1454|1869|1870|3161|4171|4605|4751|5427|6241|7153|7468|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|10112|11004|11243|22995|23594|55355|57082|57405|63943|64151|84126|85378|91750|95681|220134|387893,AKT1|BUB1|BUB1B|CCNE1|CENPE|CHEK1|CSNK1E|E2F1|E2F2|HMMR|MCM2|MYBL2|NEK2|POLE2|RRM2|TOP2A|NSD2|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|KIF20A|KIF2C|PMF1|CEP152|ORC6|HJURP|KNL1|SPC25|FKBPL|NCAPG|ATRIP|TUBGCP6|LIN52|CEP41|SKA1|KMT5A,-16
MyList,Reactome Gene Sets,6,R-HSA-3214847,HATs acetylate histones,,-17,12,15,28160,142,376,22,5.9,1.2,6871|7862|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8518|8850|8968|23774|85235,TADA2A|BRPF1|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|ELP1|KAT2B|H3C7|BRD1|H2AC12,-14
MyList,Reactome Gene Sets,6,R-HSA-3214858,RMTs methylate histone arginines,,-15,16,16,28160,79,376,17,4.5,1.1,8329|8331|8332|8335|8336|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|55352|85235,H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|COPRS|H2AC12,-13
MyList,Reactome Gene Sets,6,R-HSA-3214815,HDACs deacetylate histones,,-15,14,15,28160,94,376,18,4.8,1.1,8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|53615|85235,H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|MBD3|H2AC12,-13
MyList,KEGG Pathway,24,ko05034,Alcoholism,,-14,9.2,13,28160,180,376,22,5.9,1.2,135|3265|8329|8331|8332|8335|8336|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8968|10013|59345|85235|148327,ADORA2A|HRAS|H2AC13|H2AC14|H2AC16|H2AC4|H2AC17|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|H3C7|HDAC6|GNB4|H2AC12|CREB3L4,-12
MyList,Reactome Gene Sets,6,R-HSA-1912408,Pre-NOTCH Transcription and Translation,,-14,14,14,28160,93,376,17,4.5,1.1,1869|4851|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8850|8968|26523,E2F1|NOTCH1|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|KAT2B|H3C7|AGO1,-12
MyList,Reactome Gene Sets,6,R-HSA-1912422,Pre-NOTCH Expression and Processing,,-14,12,14,28160,109,376,18,4.8,1.1,1869|4851|8331|8335|8340|8352|8355|8356|8358|8359|8360|8361|8365|8366|8850|8968|23509|26523,E2F1|NOTCH1|H2AC14|H2AC4|H2BC13|H3C3|H3C8|H3C12|H3C2|H4C1|H4C4|H4C6|H4C8|H4C2|KAT2B|H3C7|POFUT1|AGO1,-12
