_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-13,COVID054,M1,1,0,COVID,200,RNA_Xiong_PBMC_Up,,-13,5.6,11,28160,300,484,29,6,1.1,586|699|701|3161|3500|3832|4605|6241|6319|6817|7153|7272|9928|10112|10721|11004|11113|28231|28434|28444|28825|51514|54443|55355|57082|64151|79801|199857|220134,BCAT1|BUB1|BUB1B|HMMR|IGHG1|KIF11|MYBL2|RRM2|SCD|SULT1A1|TOP2A|TTK|KIF14|KIF20A|POLQ|KIF2C|CIT|SLCO4A1|IGHV3-33|IGHV3-21|IGLV1-40|DTL|ANLN|HJURP|KNL1|NCAPG|SHCBP1|ALG14|SKA1,-8.9,0
1,-7.8,COVID005,M1,1,0,COVID,200,RNA_Appelberg_Huh-7_72h_Down,,-7.8,4.3,7.5,28160,300,484,22,4.5,0.95,1627|3265|4069|4605|4953|6182|6723|10189|10999|23170|23400|23406|26173|51172|51333|53615|58509|65263|80178|83858|90850|125950,DBN1|HRAS|LYZ|MYBL2|ODC1|MRPL12|SRM|ALYREF|SLC27A4|TTLL12|ATP13A2|COTL1|INTS1|NAGPA|ZNF771|MBD3|CACTIN|PYCR3|TEDC2|ATAD3B|ZNF598|RAVER1,-4.2,0
1,-7.8,COVID059,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-7.8,4.3,7.5,28160,300,484,22,4.5,0.95,699|1627|7153|7227|8208|9371|10179|10189|11113|23367|28231|51307|51514|51622|54443|55355|56257|57130|79065|84823|121536|200576,BUB1|DBN1|TOP2A|TRPS1|CHAF1B|KIF3B|RBM7|ALYREF|CIT|LARP1|SLCO4A1|FAM53C|DTL|CCZ1|ANLN|HJURP|MEPCE|ATP13A1|ATG9A|LMNB2|AEBP2|PIKFYVE,-4.2,0
1,-7.6,COVID372,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP16,,-7.6,4.3,7.4,28160,283,484,21,4.3,0.93,196|2021|5198|5286|5830|6491|6744|7942|9371|9710|10526|55728|57082|57508|79029|116840|125950|140775|155061|197258|200576,AHR|ENDOG|PFAS|PIK3C2A|PEX5|STIL|ITPRID2|TFEB|KIF3B|GARRE1|IPO8|N4BP2|KNL1|INTS2|SPATA5L1|CNTROB|RAVER1|SMCR8|ZNF746|FCSK|PIKFYVE,-4.1,0
1,-7.2,COVID007,M1,1,0,COVID,200,RNA_Blanco-Melo_A549_Down,,-7.2,4.1,7.1,28160,300,484,21,4.3,0.93,1718|1869|4171|4605|6241|6720|8208|10112|10189|10614|10615|50628|51514|53615|55355|79733|81610|83463|84823|284403|374393,DHCR24|E2F1|MCM2|MYBL2|RRM2|SREBF1|CHAF1B|KIF20A|ALYREF|HEXIM1|SPAG5|GEMIN4|DTL|MBD3|HJURP|E2F8|FAM83D|MXD3|LMNB2|WDR62|FAM111B,-3.7,0
1,-5.9,COVID015,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Down,,-5.9,3.7,6.2,28160,300,484,19,3.9,0.88,1718|3268|4830|6182|6241|6319|7153|10112|10189|10615|11004|23464|54982|55355|57405|81610|83463|84823|90378,DHCR24|AGFG2|NME1|MRPL12|RRM2|SCD|TOP2A|KIF20A|ALYREF|SPAG5|KIF2C|GCAT|CLN6|HJURP|SPC25|FAM83D|MXD3|LMNB2|SAMD1,-2.7,0
1,-5.9,COVID243,M1,1,0,COVID,200,RNA_Riva_Vero-E6_24h_Up,,-5.9,3.7,6.2,28160,300,484,19,3.9,0.88,602|1958|2308|4794|4851|7403|7862|8340|9618|22904|23082|23207|23774|64782|80315|80824|92922|155061|100131017,BCL3|EGR1|FOXO1|NFKBIE|NOTCH1|KDM6A|BRPF1|H2BC13|TRAF4|SBNO2|PPRC1|PLEKHM2|BRD1|AEN|CPEB4|DUSP16|CCDC102A|ZNF746|ZNF316,-2.7,0
1,-5.3,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-5.3,3.5,5.7,28160,300,484,18,3.7,0.86,699|1627|6744|7153|8208|9371|10179|11113|23367|23774|26505|51307|51514|54443|55355|56257|84126|254394,BUB1|DBN1|ITPRID2|TOP2A|CHAF1B|KIF3B|RBM7|CIT|LARP1|BRD1|CNNM3|FAM53C|DTL|ANLN|HJURP|MEPCE|ATRIP|MCM9,-2.3,0
1,-4.7,COVID061,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-4.7,3.3,5.3,28160,300,484,17,3.5,0.84,207|1627|1857|3980|6548|6744|10179|11004|23132|23367|23774|26505|29904|51307|54443|55355|200576,AKT1|DBN1|DVL3|LIG3|SLC9A1|ITPRID2|RBM7|KIF2C|RAD54L2|LARP1|BRD1|CNNM3|EEF2K|FAM53C|ANLN|HJURP|PIKFYVE,-1.9,0
1,-4.7,COVID065,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,,-4.7,3.3,5.3,28160,300,484,17,3.5,0.84,699|790|1627|6744|7153|8208|9371|11113|23367|23774|26505|51307|51514|54443|55355|56257|84126,BUB1|CAD|DBN1|ITPRID2|TOP2A|CHAF1B|KIF3B|CIT|LARP1|BRD1|CNNM3|FAM53C|DTL|ANLN|HJURP|MEPCE|ATRIP,-1.9,0
