_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-11,C1857679,M1,1,0,DisGeNET,35,Sloping forehead,,-11,7.4,10,28160,149,484,19,3.9,0.88,440|699|701|1062|3832|6491|9928|11113|22995|26227|55159|55262|55331|57082|63894|79751|80746|85378|284403,ASNS|BUB1|BUB1B|CENPE|KIF11|STIL|KIF14|CIT|CEP152|PHGDH|RFWD3|TRAPPC14|ACER3|KNL1|VIPAS39|SLC25A22|TSEN2|TUBGCP6|WDR62,-7,0
1,-9.1,C0431350,M1,1,0,DisGeNET,35,Primary microcephaly,,-9.1,15,12,28160,39,484,10,2.1,0.65,1062|6491|9928|11113|22995|26227|57082|85378|93587|284403,CENPE|STIL|KIF14|CIT|CEP152|PHGDH|KNL1|TUBGCP6|TRMT10A|WDR62,-5.3,0
1,-7.8,C2749675,M1,1,0,DisGeNET,35,Cortical gyral simplification,,-7.8,13,10,28160,39,484,9,1.9,0.61,440|1062|3832|9928|11113|22995|84126|85378|284403,ASNS|CENPE|KIF11|KIF14|CIT|CEP152|ATRIP|TUBGCP6|WDR62,-4.2,0
1,-7.6,C0278510,M1,1,0,DisGeNET,35,Childhood Medulloblastoma,,-7.6,2.8,6.7,28160,771,484,37,7.6,1.2,196|207|586|898|1111|1869|4171|4335|4363|4851|5127|5730|6929|7037|7153|7272|7403|7862|8111|8352|8355|8356|8358|8850|8968|9148|9833|9928|29904|51014|51514|51776|57045|57650|83463|221150|387893,AHR|AKT1|BCAT1|CCNE1|CHEK1|E2F1|MCM2|MNT|ABCC1|NOTCH1|CDK16|PTGDS|TCF3|TFRC|TOP2A|TTK|KDM6A|BRPF1|GPR68|H3C3|H3C8|H3C12|H3C2|KAT2B|H3C7|NEURL1|MELK|KIF14|EEF2K|TMED7|DTL|MAP3K20|TWSG1|CIP2A|MXD3|SKA3|KMT5A,-4.1,0
1,-7.2,C0278876,M1,1,0,DisGeNET,35,Adult Medulloblastoma,,-7.2,2.7,6.5,28160,762,484,36,7.4,1.2,196|207|586|898|1111|1869|4171|4335|4363|4851|5127|5730|6929|7037|7153|7272|7403|7862|8111|8352|8355|8356|8358|8850|8968|9148|9833|9928|29904|51014|51514|51776|57045|83463|221150|387893,AHR|AKT1|BCAT1|CCNE1|CHEK1|E2F1|MCM2|MNT|ABCC1|NOTCH1|CDK16|PTGDS|TCF3|TFRC|TOP2A|TTK|KDM6A|BRPF1|GPR68|H3C3|H3C8|H3C12|H3C2|KAT2B|H3C7|NEURL1|MELK|KIF14|EEF2K|TMED7|DTL|MAP3K20|TWSG1|MXD3|SKA3|KMT5A,-3.8,0
1,-6.4,C0279680,M1,1,0,DisGeNET,35,Transitional cell carcinoma of bladder,,-6.4,3.7,6.5,28160,333,484,21,4.3,0.93,177|207|699|701|790|1111|3265|4171|4830|5820|7153|8359|8360|8361|8365|8366|9148|10615|54443|57510|201292,AGER|AKT1|BUB1|BUB1B|CAD|CHEK1|HRAS|MCM2|NME1|PVT1|TOP2A|H4C1|H4C4|H4C6|H4C8|H4C2|NEURL1|SPAG5|ANLN|XPO5|TRIM65,-3,0
1,-6.4,C0025990,M1,1,0,DisGeNET,35,Micrognathism,,-6.4,2.9,6.1,28160,586,484,29,6,1.1,207|440|699|701|1062|1718|1857|3039|3040|3265|5830|6239|7227|7468|9968|10013|22995|23406|23594|26227|50628|51776|55159|57082|57222|57539|84126|128178|286053,AKT1|ASNS|BUB1|BUB1B|CENPE|DHCR24|DVL3|HBA1|HBA2|HRAS|PEX5|RREB1|TRPS1|NSD2|MED12|HDAC6|CEP152|COTL1|ORC6|PHGDH|GEMIN4|MAP3K20|RFWD3|KNL1|ERGIC1|WDR35|ATRIP|EDARADD|NSMCE2,-3,0
1,-6.2,C1849172,M1,1,0,DisGeNET,35,Frontal lobe hypoplasia,,-6.2,14,9.1,28160,30,484,7,1.4,0.54,6491|9928|11113|22995|55262|57082|284403,STIL|KIF14|CIT|CEP152|TRAPPC14|KNL1|WDR62,-2.9,0
1,-5.9,C3711387,M1,1,0,DisGeNET,35,Autosomal Recessive Primary Microcephaly,,-5.9,12,8.6,28160,33,484,7,1.4,0.54,6491|9928|11113|22995|55262|57082|284403,STIL|KIF14|CIT|CEP152|TRAPPC14|KNL1|WDR62,-2.7,0
1,-5.7,C0266491,M1,1,0,DisGeNET,35,Neuronal heterotopia,,-5.7,7.8,7.4,28160,67,484,9,1.9,0.61,207|6491|9928|9968|11113|22995|55262|57082|284403,AKT1|STIL|KIF14|MED12|CIT|CEP152|TRAPPC14|KNL1|WDR62,-2.5,0
1,-5.7,C4529962,M1,1,0,DisGeNET,35,Fatty Liver Disease,,-5.7,2.5,5.5,28160,741,484,32,6.6,1.1,2|177|196|207|1191|1869|2153|2180|2308|3039|4069|4089|4851|6319|6720|6929|7037|7293|7468|7942|8359|8360|8361|8365|8366|8824|9619|26227|29923|58488|80150|91107,A2M|AGER|AHR|AKT1|CLU|E2F1|F5|ACSL1|FOXO1|HBA1|LYZ|SMAD4|NOTCH1|SCD|SREBF1|TCF3|TFRC|TNFRSF4|NSD2|TFEB|H4C1|H4C4|H4C6|H4C8|H4C2|CES2|ABCG1|PHGDH|HILPDA|PCTP|ASRGL1|TRIM47,-2.5,0
1,-5.6,C0266483,M1,1,0,DisGeNET,35,Pachygyria,,-5.6,5.4,6.6,28160,129,484,12,2.5,0.71,1718|6491|9928|11113|22995|26227|55262|57082|79751|84892|85378|284403,DHCR24|STIL|KIF14|CIT|CEP152|PHGDH|TRAPPC14|KNL1|SLC25A22|POMGNT2|TUBGCP6|WDR62,-2.5,0
1,-5.5,C0175754,M1,1,0,DisGeNET,35,Agenesis of corpus callosum,,-5.5,2.6,5.5,28160,615,484,28,5.8,1.1,207|701|790|1718|1869|2308|3135|4089|4851|6241|6491|7153|7403|7468|9833|9928|9968|11113|22995|26227|51014|55262|57082|57539|84892|95681|220134|284403,AKT1|BUB1B|CAD|DHCR24|E2F1|FOXO1|HLA-G|SMAD4|NOTCH1|RRM2|STIL|TOP2A|KDM6A|NSD2|MELK|KIF14|MED12|CIT|CEP152|PHGDH|TMED7|TRAPPC14|KNL1|WDR35|POMGNT2|CEP41|SKA1|WDR62,-2.4,0
1,-5.4,C1865017,M1,1,0,DisGeNET,35,Thin upper lip vermilion,,-5.4,4.1,6,28160,211,484,15,3.1,0.79,1857|3832|4089|6491|7227|7592|9772|9928|9968|11113|22995|55262|57082|83696|284403,DVL3|KIF11|SMAD4|STIL|TRPS1|ZNF41|TMEM94|KIF14|MED12|CIT|CEP152|TRAPPC14|KNL1|TRAPPC9|WDR62,-2.3,0
1,-5.3,C0700299,M1,1,0,DisGeNET,35,Heinz Body Anemias,,-5.3,58,13,28160,3,484,3,0.62,0.36,3039|3040|3043,HBA1|HBA2|HBB,-2.3,0
1,-5.3,C2825560,M1,1,0,DisGeNET,35,S-Beta Thalassemia,,-5.3,58,13,28160,3,484,3,0.62,0.36,3039|3040|3043,HBA1|HBA2|HBB,-2.3,0
1,-5.3,C0423109,M1,1,0,DisGeNET,35,Upward slant of palpebral fissure,,-5.3,4,5.9,28160,216,484,15,3.1,0.79,701|1857|3043|3832|5830|6239|6491|9928|11113|22995|55159|55262|57082|57539|284403,BUB1B|DVL3|HBB|KIF11|PEX5|RREB1|STIL|KIF14|CIT|CEP152|RFWD3|TRAPPC14|KNL1|WDR35|WDR62,-2.3,0
1,-5.2,C0878520,M1,1,0,DisGeNET,35,"beta Thalassemia, heterozygous",,-5.2,29,11,28160,8,484,4,0.83,0.41,3039|3040|3043|7037,HBA1|HBA2|HBB|TFRC,-2.3,0
1,-5.2,C4021741,M1,1,0,DisGeNET,35,Abnormal cortical bone morphology,,-5.2,9.9,7.6,28160,41,484,7,1.4,0.54,6491|9928|11113|22995|55262|57082|284403,STIL|KIF14|CIT|CEP152|TRAPPC14|KNL1|WDR62,-2.3,0
