Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
8208,3.0,1,1,1
1869,3.0,1,1,1
79709,3.0,1,1,1
4830,3.0,1,1,1
10606,3.0,1,1,1
23594,3.0,1,1,1
6548,3.0,1,1,1
8359,3.0,1,1,1
10112,3.0,1,1,1
8332,3.0,1,1,1
57082,3.0,1,1,1
10721,3.0,1,1,1
80199,3.0,1,1,1
23509,3.0,1,1,1
883,3.0,1,1,1
5127,3.0,1,1,1
10171,3.0,1,1,1
84687,3.0,1,1,1
55159,3.0,1,1,1
4828,3.0,1,1,1
79733,3.0,1,1,1
63894,3.0,1,1,1
152185,3.0,1,1,1
10614,3.0,1,1,1
6929,3.0,1,1,1
148327,3.0,1,1,1
23170,3.0,1,1,1
942,3.0,1,1,1
10392,3.0,1,1,1
4171,3.0,1,1,1
5198,3.0,1,1,1
1870,3.0,1,1,1
4089,3.0,1,1,1
10622,3.0,1,1,1
3980,3.0,1,1,1
10908,3.0,1,1,1
11243,3.0,1,1,1
10189,3.0,1,1,1
9875,3.0,1,1,1
1627,3.0,1,1,1
8728,3.0,1,1,1
80746,3.0,1,1,1
6241,3.0,1,1,1
55655,3.0,1,1,1
5427,3.0,1,1,1
701,3.0,1,1,1
6319,3.0,1,1,1
84312,3.0,1,1,1
1111,3.0,1,1,1
79143,3.0,1,1,1
57405,3.0,1,1,1
219790,3.0,1,1,1
8111,3.0,1,1,1
23774,3.0,1,1,1
7403,3.0,1,1,1
9619,3.0,1,1,1
8365,3.0,1,1,1
55728,3.0,1,1,1
196,3.0,1,1,1
8352,3.0,1,1,1
4363,3.0,1,1,1
11113,3.0,1,1,1
8360,3.0,1,1,1
9968,3.0,1,1,1
7468,3.0,1,1,1
8336,3.0,1,1,1
95681,3.0,1,1,1
57678,3.0,1,1,1
3043,3.0,1,1,1
57510,3.0,1,1,1
4751,3.0,1,1,1
200576,3.0,1,1,1
8968,3.0,1,1,1
920,3.0,1,1,1
64782,3.0,1,1,1
5286,3.0,1,1,1
51277,3.0,1,1,1
2308,3.0,1,1,1
440,3.0,1,1,1
177,3.0,1,1,1
7862,3.0,1,1,1
8329,3.0,1,1,1
80824,3.0,1,1,1
254394,3.0,1,1,1
586,3.0,1,1,1
4507,3.0,1,1,1
10615,3.0,1,1,1
2021,3.0,1,1,1
8824,3.0,1,1,1
80209,3.0,1,1,1
4794,3.0,1,1,1
7272,3.0,1,1,1
8535,3.0,1,1,1
9711,3.0,1,1,1
8361,3.0,1,1,1
80315,3.0,1,1,1
3009,3.0,1,1,1
7205,3.0,1,1,1
3040,3.0,1,1,1
23305,3.0,1,1,1
23682,3.0,1,1,1
898,3.0,1,1,1
161424,3.0,1,1,1
3832,3.0,1,1,1
1062,3.0,1,1,1
54982,3.0,1,1,1
22995,3.0,1,1,1
4953,3.0,1,1,1
6720,3.0,1,1,1
55345,3.0,1,1,1
55355,3.0,1,1,1
7942,3.0,1,1,1
8356,3.0,1,1,1
7153,3.0,1,1,1
8366,3.0,1,1,1
207,3.0,1,1,1
83871,3.0,1,1,1
1434,3.0,1,1,1
10179,3.0,1,1,1
55352,3.0,1,1,1
56978,3.0,1,1,1
7037,3.0,1,1,1
64151,3.0,1,1,1
8355,3.0,1,1,1
3265,3.0,1,1,1
135,3.0,1,1,1
3161,3.0,1,1,1
53615,3.0,1,1,1
9928,3.0,1,1,1
29904,3.0,1,1,1
8310,3.0,1,1,1
57787,3.0,1,1,1
84230,3.0,1,1,1
10013,3.0,1,1,1
91750,3.0,1,1,1
284403,3.0,1,1,1
5310,3.0,1,1,1
116840,3.0,1,1,1
10038,3.0,1,1,1
4605,3.0,1,1,1
56895,3.0,1,1,1
1718,3.0,1,1,1
1912,3.0,1,1,1
23464,3.0,1,1,1
54443,3.0,1,1,1
699,3.0,1,1,1
51014,3.0,1,1,1
2180,3.0,1,1,1
112574,3.0,1,1,1
23604,3.0,1,1,1
10999,3.0,1,1,1
253558,3.0,1,1,1
8850,3.0,1,1,1
6871,3.0,1,1,1
121536,3.0,1,1,1
26227,3.0,1,1,1
10221,3.0,1,1,1
2184,3.0,1,1,1
23067,3.0,1,1,1
1191,3.0,1,1,1
140775,3.0,1,1,1
3039,3.0,1,1,1
1629,3.0,1,1,1
65263,3.0,1,1,1
286053,3.0,1,1,1
23659,3.0,1,1,1
84126,3.0,1,1,1
51780,3.0,1,1,1
55703,3.0,1,1,1
79723,3.0,1,1,1
26523,3.0,1,1,1
56257,3.0,1,1,1
8335,3.0,1,1,1
84440,3.0,1,1,1
81610,3.0,1,1,1
4851,3.0,1,1,1
24145,3.0,1,1,1
6723,3.0,1,1,1
8340,3.0,1,1,1
26173,3.0,1,1,1
1454,3.0,1,1,1
85235,3.0,1,1,1
54995,3.0,1,1,1
790,3.0,1,1,1
387893,3.0,1,1,1
54913,3.0,1,1,1
57508,3.0,1,1,1
391013,3.0,1,1,1
11004,3.0,1,1,1
1958,3.0,1,1,1
144455,3.0,1,1,1
150763,3.0,1,1,1
636,3.0,1,1,1
2678,3.0,1,1,1
9371,3.0,1,1,1
24149,3.0,1,1,1
8358,3.0,1,1,1
220134,3.0,1,1,1
6491,3.0,1,1,1
10940,3.0,1,1,1
8331,3.0,1,1,1
20,3.0,1,1,1
53340,2.0,1,0,1
11182,2.0,1,0,1
5358,2.0,1,0,1
11269,2.0,1,0,1
9889,2.0,1,0,1
343099,2.0,1,0,1
23351,2.0,1,1,0
143570,2.0,1,0,1
197258,2.0,1,0,1
201292,2.0,1,0,1
11078,2.0,1,0,1
317781,2.0,1,0,1
10795,2.0,1,0,1
1512,2.0,1,0,1
55654,2.0,1,0,1
90987,2.0,1,0,1
7293,2.0,1,0,1
4689,2.0,1,0,1
83463,2.0,1,0,1
51622,2.0,1,0,1
58490,2.0,1,0,1
84056,2.0,1,0,1
9148,2.0,1,0,1
8663,2.0,1,0,1
84883,2.0,1,0,1
115509,2.0,1,0,1
10257,2.0,1,1,0
5814,2.0,1,0,1
127829,2.0,1,0,1
51163,2.0,1,1,0
90592,2.0,1,0,1
79029,2.0,1,0,1
6487,2.0,1,1,0
59345,2.0,1,0,1
25902,2.0,1,0,1
64110,2.0,1,0,1
11226,2.0,1,0,1
50628,2.0,1,0,1
90378,2.0,1,0,1
55526,2.0,1,0,1
84823,2.0,1,0,1
83696,2.0,1,0,1
23306,2.0,1,0,1
91010,2.0,1,0,1
9862,2.0,1,0,1
81037,2.0,1,0,1
9833,2.0,1,0,1
158427,2.0,1,0,1
100289635,2.0,1,0,1
55229,2.0,1,0,1
3607,2.0,1,0,1
23400,2.0,1,0,1
10526,2.0,1,0,1
3135,2.0,1,0,1
4069,2.0,1,0,1
23367,2.0,1,0,1
9476,2.0,1,0,1
142940,2.0,1,0,1
9710,2.0,1,0,1
6936,2.0,1,0,1
57693,2.0,1,0,1
26505,2.0,1,0,1
51307,2.0,1,0,1
219749,2.0,1,0,1
10911,2.0,1,0,1
6744,2.0,1,0,1
9618,2.0,1,0,1
51514,2.0,1,0,1
84984,2.0,1,0,1
26051,2.0,1,0,1
57130,2.0,1,0,1
81545,2.0,1,0,1
4335,2.0,1,0,1
114804,2.0,1,0,1
91107,2.0,1,0,1
166815,2.0,1,0,1
283337,2.0,1,0,1
56342,2.0,1,0,1
125950,2.0,1,0,1
4121,2.0,1,0,1
205428,2.0,1,0,1
9392,2.0,1,0,1
54978,2.0,1,1,0
602,2.0,1,0,1
6239,2.0,1,0,1
347862,2.0,1,0,1
155061,2.0,1,0,1
8940,2.0,1,0,1
165186,2.0,1,1,0
65244,2.0,1,0,1
11108,2.0,1,0,1
23300,2.0,1,1,0
57222,2.0,1,0,1
140901,2.0,1,0,1
55884,2.0,1,0,1
23132,2.0,1,0,1
2976,2.0,1,0,1
79443,2.0,1,1,0
51776,2.0,1,0,1
146206,2.0,1,0,1
28231,2.0,1,0,1
90850,2.0,1,0,1
7227,2.0,1,0,1
57176,2.0,1,0,1
283450,2.0,1,0,1
2,2.0,1,0,1
6817,2.0,1,0,1
79446,2.0,1,0,1
90550,2.0,1,0,1
79065,2.0,1,0,1
55631,2.0,1,0,1
84722,2.0,1,1,0
10485,2.0,1,0,1
283578,2.0,1,0,1
1186,2.0,1,0,1
4495,2.0,1,0,1
83892,2.0,1,0,1
51182,2.0,1,0,1
57650,2.0,1,0,1
23603,2.0,1,0,1
84135,2.0,1,0,1
1857,2.0,1,0,1
5442,2.0,1,0,1
3500,2.0,1,0,1
2153,2.0,1,0,1
154807,2.0,1,0,1
79801,2.0,1,0,1
57654,2.0,1,0,1
9917,2.0,1,0,1
9866,2.0,1,0,1
7982,2.0,1,0,1
55810,2.0,1,0,1
25930,2.0,1,0,1
5830,2.0,1,0,1
8727,2.0,1,0,1
163126,2.0,1,0,1
116983,2.0,1,0,1
64763,2.0,1,0,1
80714,2.0,1,0,1
161176,2.0,1,0,1
10254,2.0,1,0,1
63943,2.0,1,0,1
83858,2.0,1,0,1
85378,2.0,1,0,1
6182,2.0,1,0,1
219333,2.0,1,0,1
128178,2.0,1,1,0
55095,2.0,1,0,1
7582,2.0,1,0,1
29915,2.0,1,0,1
58509,2.0,1,0,1
65260,2.0,1,0,1
22904,2.0,1,0,1
51333,2.0,1,0,1
118980,2.0,1,0,1
57704,2.0,1,1,0
55527,2.0,1,0,1
55230,2.0,1,0,1
23406,2.0,1,0,1
57862,2.0,1,0,1
51172,2.0,1,1,0
3783,2.0,1,1,0
730087,2.0,1,0,1
57198,2.0,1,1,0
285513,2.0,1,0,1
26151,2.0,1,0,1
727957,2.0,1,0,1
79149,2.0,1,0,1
29993,2.0,1,0,1
79751,2.0,1,0,1
83853,2.0,1,0,1
284439,2.0,1,1,0
28434,2.0,1,0,1
57539,2.0,1,0,1
9704,2.0,1,0,1
8455,2.0,1,0,1
90423,2.0,1,0,1
23380,2.0,1,0,1
80150,2.0,1,1,0
8518,2.0,1,0,1
200205,2.0,1,0,1
54332,2.0,1,0,1
10712,2.0,1,0,1
140707,2.0,1,0,1
2054,2.0,1,0,1
1,2.0,1,0,1
157769,2.0,1,1,0
23207,2.0,1,0,1
7342,2.0,1,0,1
221150,2.0,1,0,1
112724,2.0,1,0,1
29923,1.0,1,0,0
100289341,1.0,1,0,0
54662,1.0,1,0,0
4285,1.0,1,0,0
54838,1.0,1,0,0
163702,1.0,1,0,0
7358,1.0,1,0,0
23082,1.0,1,0,0
84255,1.0,1,0,0
80896,1.0,1,0,0
10444,1.0,1,0,0
93587,1.0,1,0,0
5820,1.0,1,0,0
642946,1.0,1,0,0
3268,1.0,1,0,0
54884,1.0,1,0,0
441501,1.0,1,0,0
339175,1.0,1,0,0
10045,1.0,1,0,0
54471,1.0,1,0,0
27033,1.0,1,0,0
286148,1.0,1,0,0
89857,1.0,1,0,0
84287,1.0,1,0,0
84437,1.0,1,0,0
64864,1.0,1,0,0
196264,1.0,1,0,0
349114,1.0,1,0,0
79810,1.0,1,0,0
100506930,1.0,1,0,0
84969,1.0,1,0,0
8846,1.0,1,0,0
84243,1.0,1,0,0
145837,1.0,1,0,0
91966,1.0,1,0,0
100652865,1.0,1,0,0
254428,1.0,1,0,0
92922,1.0,1,0,0
9993,1.0,1,0,0
25850,1.0,1,0,0
285093,1.0,1,0,0
7592,1.0,1,0,0
92558,1.0,1,0,0
57045,1.0,1,0,0
645676,1.0,1,0,0
28557,1.0,1,0,0
347744,1.0,1,0,0
5730,1.0,1,0,0
64132,1.0,1,0,0
643836,1.0,1,0,0
84842,1.0,1,0,0
29104,1.0,1,0,0
55298,1.0,1,0,0
80018,1.0,1,0,0
90025,1.0,1,0,0
80178,1.0,1,0,0
54540,1.0,1,0,0
100132406,1.0,1,0,0
84747,1.0,1,0,0
100131017,1.0,1,0,0
58488,1.0,1,0,0
28804,1.0,1,0,0
285966,1.0,1,0,0
100506755,1.0,1,0,0
101060684,1.0,1,0,0
6349,1.0,1,0,0
121665,1.0,1,0,0
9929,1.0,1,0,0
55262,1.0,1,0,0
28444,1.0,1,0,0
55331,1.0,1,0,0
100506233,1.0,1,0,0
23093,1.0,1,0,0
340527,1.0,1,0,0
54842,1.0,1,0,0
28825,1.0,1,0,0
374393,1.0,1,0,0
64218,1.0,1,0,0
28672,1.0,1,0,0
9424,1.0,1,0,0
84892,1.0,1,0,0
387521,1.0,1,0,0
9772,1.0,1,0,0
25861,1.0,1,0,0
148213,1.0,1,0,0
84449,1.0,1,0,0
28643,1.0,1,0,0
199857,1.0,1,0,0
7675,1.0,1,0,0
8784,1.0,1,0,0
28569,1.0,1,0,0
283229,1.0,1,0,0
