Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0016569,covalent chromatin modification,19_GO:0008152 metabolic process,-13,4.4,10,28160,481,493,37,7.5,1.2,1387|2033|3009|3662|6018|6497|6720|6907|7874|7994|8450|8861|8888|9031|9739|9862|10155|11108|22976|23067|23133|23326|23429|25942|29072|51043|51366|54790|54880|55209|55729|55809|57634|79697|93624|221656|339287,CREBBP|EP300|H1-5|IRF4|RLF|SKI|SREBF1|TBL1X|USP7|KAT6A|CUL4B|LDB1|MCM3AP|BAZ1B|SETD1A|MED24|TRIM28|PRDM4|PAXIP1|SETD1B|PHF8|USP22|RYBP|SIN3A|SETD2|ZBTB7B|UBR5|TET2|BCOR|SETD5|ATF7IP|TRERF1|EP400|RIOX1|TADA2B|KDM1B|MSL1,-8.8,MyList
GO Biological Processes,19,GO:0016570,histone modification,19_GO:0008152 metabolic process,-12,4.3,9.5,28160,467,493,35,7.1,1.2,1387|2033|3009|3662|6018|6497|6720|6907|7874|7994|8450|8861|8888|9031|9739|9862|11108|22976|23067|23133|23326|23429|25942|29072|51043|51366|54790|54880|55209|55809|57634|79697|93624|221656|339287,CREBBP|EP300|H1-5|IRF4|RLF|SKI|SREBF1|TBL1X|USP7|KAT6A|CUL4B|LDB1|MCM3AP|BAZ1B|SETD1A|MED24|PRDM4|PAXIP1|SETD1B|PHF8|USP22|RYBP|SIN3A|SETD2|ZBTB7B|UBR5|TET2|BCOR|SETD5|TRERF1|EP400|RIOX1|TADA2B|KDM1B|MSL1,-8.1,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-10,3.1,7.9,28160,771,493,42,8.5,1.3,639|1958|2033|3123|3458|3500|3502|3503|3538|3539|3566|3662|3707|3718|3902|3916|4627|5294|5450|5971|6774|6929|7037|7133|7917|8440|10320|22976|23228|23598|28408|28442|28468|29102|51043|55824|64332|80149|84807|139818|200081|283234,PRDM1|EGR1|EP300|HLA-DRB1|IFNG|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IL4R|IRF4|ITPKB|JAK3|LAG3|LAMP1|MYH9|PIK3CG|POU2AF1|RELB|STAT3|TCF3|TFRC|TNFRSF1B|BAG6|NCK2|IKZF1|PAXIP1|PLCL2|PATZ1|IGHV3-74|IGHV3-23|IGHV1-18|DROSHA|ZBTB7B|PAG1|NFKBIZ|ZC3H12A|NFKBID|DOCK11|TXLNA|CCDC88B,-6.1,MyList
GO Biological Processes,19,GO:1903827,regulation of cellular protein localization,19_GO:0051179 localization,-8.9,3.5,7.6,28160,527,493,32,6.5,1.1,288|636|1213|1263|1454|3458|3985|4771|5170|5583|6720|7037|9113|9451|9695|9747|9860|10155|11190|25885|25942|29072|51277|51366|54434|54471|55294|56623|80149|84445|84687|285966,ANK3|BICD1|CLTC|PLK3|CSNK1E|IFNG|LIMK2|NF2|PDPK1|PRKCH|SREBF1|TFRC|LATS1|EIF2AK3|EDEM1|TCAF1|LRIG2|TRIM28|CEP250|POLR1A|SIN3A|SETD2|DNAJC27|UBR5|SSH1|MIEF1|FBXW7|INPP5E|ZC3H12A|LZTS2|PPP1R9B|TCAF2,-5.1,MyList
GO Biological Processes,19,GO:0002252,immune effector process,19_GO:0002376 immune system process,-8.2,3,7.1,28160,656,493,35,7.1,1.2,2|867|1512|3123|3458|3500|3502|3503|3538|3539|3566|3662|3718|3902|3916|5170|5294|5450|5971|6774|7037|7133|8140|8398|22976|23228|26057|28408|28442|28468|51043|64332|80149|84807|139818,A2M|CBL|CTSH|HLA-DRB1|IFNG|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IL4R|IRF4|JAK3|LAG3|LAMP1|PDPK1|PIK3CG|POU2AF1|RELB|STAT3|TFRC|TNFRSF1B|SLC7A5|PLA2G6|PAXIP1|PLCL2|ANKRD17|IGHV3-74|IGHV3-23|IGHV1-18|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID|DOCK11,-4.5,MyList
GO Biological Processes,19,GO:0018205,peptidyl-lysine modification,19_GO:0008152 metabolic process,-7.7,3.8,7.2,28160,380,493,25,5.1,0.99,1387|1958|2033|3009|3662|6018|7917|7994|8861|8888|9739|9862|10155|22976|23067|23326|25942|29072|54790|54880|55209|57609|57634|93624|339287,CREBBP|EGR1|EP300|H1-5|IRF4|RLF|BAG6|KAT6A|LDB1|MCM3AP|SETD1A|MED24|TRIM28|PAXIP1|SETD1B|USP22|SIN3A|SETD2|TET2|BCOR|SETD5|DIP2B|EP400|TADA2B|MSL1,-4.3,MyList
GO Biological Processes,19,GO:0006473,protein acetylation,19_GO:0008152 metabolic process,-7.7,5.1,7.8,28160,202,493,18,3.7,0.84,1387|2033|2308|3662|7917|7994|8861|8888|9862|22976|23326|25942|55209|57609|57634|93624|122830|339287,CREBBP|EP300|FOXO1|IRF4|BAG6|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|DIP2B|EP400|TADA2B|NAA30|MSL1,-4.3,MyList
GO Biological Processes,19,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",19_GO:0002376 immune system process,-7.6,9.4,9.2,28160,67,493,11,2.2,0.67,3123|3458|3566|3662|3718|5971|6774|51043|64332|80149|84807,HLA-DRB1|IFNG|IL4R|IRF4|JAK3|RELB|STAT3|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID,-4.3,MyList
GO Biological Processes,19,GO:0002293,alpha-beta T cell differentiation involved in immune response,19_GO:0002376 immune system process,-7.6,9.2,9.1,28160,68,493,11,2.2,0.67,3123|3458|3566|3662|3718|5971|6774|51043|64332|80149|84807,HLA-DRB1|IFNG|IL4R|IRF4|JAK3|RELB|STAT3|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID,-4.3,MyList
GO Biological Processes,19,GO:0046637,regulation of alpha-beta T cell differentiation,19_GO:0002376 immune system process,-7.6,9.2,9.1,28160,68,493,11,2.2,0.67,639|3123|3458|3566|3662|3707|3718|51043|64332|80149|84807,PRDM1|HLA-DRB1|IFNG|IL4R|IRF4|ITPKB|JAK3|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID,-4.3,MyList
