_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0051043,regulation of membrane protein ectodomain proteolysis,M1,1,0
1,-2.2,GO:0007398,ectoderm development,M1,1,0
1,-2.1,WP2332,Interleukin-11 signaling pathway,M1,1,0
1,-7.2,GO:0002292,T cell differentiation involved in immune response,M1,1,0
1,-2,WP4925,Unfolded protein response,M1,1,0
1,-3.6,GO:0070997,neuron death,M1,1,0
1,-3.3,R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,M1,1,0
1,-2.7,WP2037,Prolactin signaling pathway,M1,1,0
1,-2.8,R-HSA-9697154,Disorders of Nervous System Development,M1,1,0
1,-3.5,GO:0070918,production of small RNA involved in gene silencing by RNA,M1,1,0
1,-3,GO:0048545,response to steroid hormone,M1,1,0
1,-2.6,GO:0031330,negative regulation of cellular catabolic process,M1,1,0
1,-3.1,GO:1900182,positive regulation of protein localization to nucleus,M1,1,0
1,-2.6,GO:0050864,regulation of B cell activation,M1,1,0
1,-2.8,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-3.8,GO:0071501,cellular response to sterol depletion,M1,1,0
1,-2.6,GO:0072331,signal transduction by p53 class mediator,M1,1,0
1,-3.1,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-2.9,CORUM:2639,HES1 promoter-Notch enhancer complex,M1,1,0
1,-2.6,GO:0006892,post-Golgi vesicle-mediated transport,M1,1,0
1,-4.6,R-HSA-1059683,Interleukin-6 signaling,M1,1,0
1,-2.7,GO:0019079,viral genome replication,M1,1,0
1,-3,GO:0032388,positive regulation of intracellular transport,M1,1,0
1,-2.2,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-3.3,GO:0043371,"negative regulation of CD4-positive, alpha-beta T cell differentiation",M1,1,0
1,-2.5,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M1,1,0
1,-2.9,GO:0016574,histone ubiquitination,M1,1,0
1,-2.5,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-3.5,GO:0032386,regulation of intracellular transport,M1,1,0
1,-2.9,R-HSA-140342,Apoptosis induced DNA fragmentation,M1,1,0
1,-2.4,CORUM:7581,ESR1-TRAP/Mediator coactivator-complex,M1,1,0
1,-2.2,GO:0018108,peptidyl-tyrosine phosphorylation,M1,1,0
1,-3.6,ko00562,Inositol phosphate metabolism,M1,1,0
1,-4.4,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-3.5,GO:2000319,regulation of T-helper 17 cell differentiation,M1,1,0
1,-2.4,WP4533,Transcription co-factors SKI and SKIL protein partners,M1,1,0
1,-3.4,GO:0006909,phagocytosis,M1,1,0
1,-2.4,GO:0043087,regulation of GTPase activity,M1,1,0
1,-2.4,M196,PID IL23 PATHWAY,M1,1,0
1,-2.2,GO:1901699,cellular response to nitrogen compound,M1,1,0
1,-5.4,GO:0010506,regulation of autophagy,M1,1,0
1,-2.9,GO:0007595,lactation,M1,1,0
1,-3,GO:0006310,DNA recombination,M1,1,0
1,-7.2,GO:0002285,lymphocyte activation involved in immune response,M1,1,0
1,-3.2,GO:0043632,modification-dependent macromolecule catabolic process,M1,1,0
1,-2,GO:0045332,phospholipid translocation,M1,1,0
1,-2.1,GO:0072001,renal system development,M1,1,0
1,-5.4,GO:0046631,alpha-beta T cell activation,M1,1,0
1,-5,GO:0051656,establishment of organelle localization,M1,1,0
1,-2.7,GO:0018023,peptidyl-lysine trimethylation,M1,1,0
1,-2.3,GO:0046503,glycerolipid catabolic process,M1,1,0
1,-2.1,R-HSA-2559583,Cellular Senescence,M1,1,0
1,-3.3,GO:0006476,protein deacetylation,M1,1,0
1,-6.5,GO:0045622,regulation of T-helper cell differentiation,M1,1,0
1,-4.3,WP395,IL-4 signaling pathway,M1,1,0
1,-2.1,GO:1901216,positive regulation of neuron death,M1,1,0
1,-2.7,GO:0044728,DNA methylation or demethylation,M1,1,0
1,-2.7,GO:0010563,negative regulation of phosphorus metabolic process,M1,1,0
1,-3.3,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-3.1,R-HSA-9006931,Signaling by Nuclear Receptors,M1,1,0
1,-7,R-HSA-4839726,Chromatin organization,M1,1,0
1,-3.2,R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,M1,1,0
1,-2.3,GO:0071417,cellular response to organonitrogen compound,M1,1,0
1,-3.3,R-HSA-2644603,Signaling by NOTCH1 in Cancer,M1,1,0
1,-2.4,R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,M1,1,0
1,-2.2,GO:0062012,regulation of small molecule metabolic process,M1,1,0
1,-3.1,GO:0043393,regulation of protein binding,M1,1,0
1,-2.1,GO:0034661,ncRNA catabolic process,M1,1,0
1,-2.5,ko05143,African trypanosomiasis,M1,1,0
1,-2.5,GO:1903533,regulation of protein targeting,M1,1,0
1,-2.9,GO:0006304,DNA modification,M1,1,0
1,-2.3,R-HSA-8986944,Transcriptional Regulation by MECP2,M1,1,0
1,-3.1,WP61,Notch signaling pathway (Netpath),M1,1,0
1,-3.1,hsa05169,Epstein-Barr virus infection,M1,1,0
1,-2.9,M252,PID IL8 CXCR1 PATHWAY,M1,1,0
1,-3.1,GO:2000316,regulation of T-helper 17 type immune response,M1,1,0
1,-6.4,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.5,GO:0000819,sister chromatid segregation,M1,1,0
1,-3.1,ko04120,Ubiquitin mediated proteolysis,M1,1,0
1,-3.2,M161,PID IFNG PATHWAY,M1,1,0
1,-2.9,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,M1,1,0
1,-2.9,WP1403,AMP-activated protein kinase (AMPK) signaling,M1,1,0
1,-2.6,R-HSA-8953897,Cellular responses to stimuli,M1,1,0
1,-2.6,R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),M1,1,0
1,-3.2,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,M1,1,0
1,-3.8,WP3651,Pathways affected in adenoid cystic carcinoma,M1,1,0
1,-5,GO:0072539,T-helper 17 cell differentiation,M1,1,0
1,-2.4,R-HSA-9664422,FCGR3A-mediated phagocytosis,M1,1,0
1,-3.2,GO:0051568,histone H3-K4 methylation,M1,1,0
1,-2.2,GO:0042088,T-helper 1 type immune response,M1,1,0
1,-2.1,M60,PID NFAT TFPATHWAY,M1,1,0
1,-3.8,GO:0031648,protein destabilization,M1,1,0
1,-3.4,GO:0050871,positive regulation of B cell activation,M1,1,0
1,-2.4,GO:0071496,cellular response to external stimulus,M1,1,0
1,-2.2,GO:0071375,cellular response to peptide hormone stimulus,M1,1,0
1,-3,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-2,ko05203,Viral carcinogenesis,M1,1,0
1,-2.9,GO:0045589,regulation of regulatory T cell differentiation,M1,1,0
1,-2.6,GO:0051236,establishment of RNA localization,M1,1,0
1,-3,GO:0051983,regulation of chromosome segregation,M1,1,0
1,-3.8,WP4018,Clear cell renal cell carcinoma pathways,M1,1,0
1,-4,GO:1905477,positive regulation of protein localization to membrane,M1,1,0
1,-2.5,GO:0006474,N-terminal protein amino acid acetylation,M1,1,0
1,-4.3,R-HSA-556833,Metabolism of lipids,M1,1,0
1,-2.4,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-2.8,R-HSA-8941856,RUNX3 regulates NOTCH signaling,M1,1,0
1,-4.3,GO:0008654,phospholipid biosynthetic process,M1,1,0
1,-3.1,GO:0032092,positive regulation of protein binding,M1,1,0
1,-2.8,GO:0097435,supramolecular fiber organization,M1,1,0
1,-4.6,GO:0046638,positive regulation of alpha-beta T cell differentiation,M1,1,0
1,-3.9,M28,PID IL4 2PATHWAY,M1,1,0
1,-2.4,GO:0035306,positive regulation of dephosphorylation,M1,1,0
1,-3.2,GO:0033572,transferrin transport,M1,1,0
1,-2.8,R-HSA-9675151,Disorders of Developmental Biology,M1,1,0
1,-3.3,R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,M1,1,0
1,-2.6,M151,PID AR TF PATHWAY,M1,1,0
1,-2.2,ko04630,Jak-STAT signaling pathway,M1,1,0
1,-2.5,M210,PID IL8 CXCR2 PATHWAY,M1,1,0
1,-2.7,GO:0015931,nucleobase-containing compound transport,M1,1,0
1,-2.3,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-2.8,hsa04070,Phosphatidylinositol signaling system ,M1,1,0
1,-2,GO:0001568,blood vessel development,M1,1,0
1,-3.6,WP4341,"Non-genomic actions of 1,25 dihydroxyvitamin D3",M1,1,0
1,-4.4,GO:0033044,regulation of chromosome organization,M1,1,0
1,-4.4,GO:1903050,regulation of proteolysis involved in cellular protein catabolic process,M1,1,0
1,-3.2,GO:0051668,localization within membrane,M1,1,0
1,-3.8,GO:0007059,chromosome segregation,M1,1,0
1,-2,GO:1903959,regulation of anion transmembrane transport,M1,1,0
1,-2.8,GO:0007264,small GTPase mediated signal transduction,M1,1,0
1,-2.6,M278,PID RAC1 PATHWAY,M1,1,0
