_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-12,COVID055,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,,-12,5.6,10,28160,277,493,27,5.5,1,1994|2011|3007|3009|4288|4650|4928|5093|5469|5601|6197|7273|8805|9612|9919|9922|23141|23367|29109|54471|55627|57634|64599|79026|147179|283149|100101267,ELAVL1|MARK2|H1-3|H1-5|MKI67|MYO9B|NUP98|PCBP1|MED1|MAPK9|RPS6KA3|TTN|TRIM24|NCOR2|SEC16A|IQSEC1|ANKLE2|LARP1|FHOD1|MIEF1|SMPD4|EP400|GIGYF1|AHNAK|WIPF2|BCL9L|POM121C,-7.6,0
1,-11,COVID343,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C4_Up,,-11,8.5,11,28160,121,493,18,3.7,0.84,639|1213|3007|3043|3500|3502|3503|3538|3539|3662|4121|4288|8364|10525|28442|28825|51061|81037,PRDM1|CLTC|H1-3|HBB|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IRF4|MAN1A1|MKI67|H4C3|HYOU1|IGHV3-23|IGLV1-40|TXNDC11|CLPTM1L,-7.2,0
1,-11,COVID059,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-11,5,9.2,28160,300,493,26,5.3,1,1063|1362|1994|2011|3007|4288|4928|5469|7227|9031|9612|9698|9919|10189|22927|23141|23367|25777|55201|55627|56623|56852|57186|57634|79026|283149,CENPF|CPD|ELAVL1|MARK2|H1-3|MKI67|NUP98|MED1|TRPS1|BAZ1B|NCOR2|PUM1|SEC16A|ALYREF|HABP4|ANKLE2|LARP1|SUN2|MAP1S|SMPD4|INPP5E|RAD18|RALGAPA2|EP400|AHNAK|BCL9L,-6.7,0
1,-11,COVID061,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-11,5,9.2,28160,300,493,26,5.3,1,1362|1994|2011|3007|4288|5601|6942|7273|9612|9698|9919|23132|23141|23367|25777|25942|50807|54880|55201|57634|64599|79026|200014|283149|283489|100101267,CPD|ELAVL1|MARK2|H1-3|MKI67|MAPK9|TCF20|TTN|NCOR2|PUM1|SEC16A|RAD54L2|ANKLE2|LARP1|SUN2|SIN3A|ASAP1|BCOR|MAP1S|EP400|GIGYF1|AHNAK|CC2D1B|BCL9L|CHAMP1|POM121C,-6.7,0
1,-9.8,COVID234,M1,1,0,COVID,200,Phosphoproteome_Klann_Caco-2_24h_Down,,-9.8,4.8,8.7,28160,300,493,25,5.1,0.99,5469|5829|6497|6942|7090|8189|8662|8805|8861|9031|9612|10620|23367|24149|25942|26057|55201|55729|57186|57479|57634|64783|79026|84726|283337,MED1|PXN|SKI|TCF20|TLE3|SYMPK|EIF3B|TRIM24|LDB1|BAZ1B|NCOR2|ARID3B|LARP1|ZNF318|SIN3A|ANKRD17|MAP1S|ATF7IP|RALGAPA2|PRR12|EP400|RBM15|AHNAK|PRRC2B|ZNF740,-6,0
1,-8.4,COVID337,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C1B-severe_Up,,-8.4,7.7,9.1,28160,104,493,14,2.8,0.75,639|3500|3502|3503|3538|3539|3662|4121|4288|8364|9695|10525|51061|81037,PRDM1|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IRF4|MAN1A1|MKI67|H4C3|EDEM1|HYOU1|TXNDC11|CLPTM1L,-4.8,0
1,-8.4,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-8.4,4.4,7.9,28160,300,493,23,4.7,0.95,1063|1362|1994|2011|4288|5093|6774|6942|9031|9612|9698|9919|22927|23141|23367|49854|57186|57634|64783|79026|84159|283149|283489,CENPF|CPD|ELAVL1|MARK2|MKI67|PCBP1|STAT3|TCF20|BAZ1B|NCOR2|PUM1|SEC16A|HABP4|ANKLE2|LARP1|ZBTB21|RALGAPA2|EP400|RBM15|AHNAK|ARID5B|BCL9L|CHAMP1,-4.8,0
1,-8.4,COVID065,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,,-8.4,4.4,7.9,28160,300,493,23,4.7,0.95,790|1362|1994|2011|3007|4288|5297|6774|6942|9031|9612|9698|9919|22927|23141|23367|55201|57186|57634|64599|64783|79026|84159,CAD|CPD|ELAVL1|MARK2|H1-3|MKI67|PI4KA|STAT3|TCF20|BAZ1B|NCOR2|PUM1|SEC16A|HABP4|ANKLE2|LARP1|MAP1S|RALGAPA2|EP400|GIGYF1|RBM15|AHNAK|ARID5B,-4.8,0
1,-7.8,COVID345,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C5_Up,,-7.8,6.9,8.5,28160,116,493,14,2.8,0.75,639|3007|3500|3502|3503|3538|3539|3662|4121|4288|8364|10525|51061|81037,PRDM1|H1-3|IGHG1|IGHG3|IGHG4|IGLC2|IGLC3|IRF4|MAN1A1|MKI67|H4C3|HYOU1|TXNDC11|CLPTM1L,-4.3,0
1,-7.7,COVID010,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2_Up,,-7.7,4.2,7.4,28160,300,493,22,4.5,0.93,1958|5452|5814|5971|6018|9021|9819|9852|23528|25976|49854|51043|51320|51366|54790|55294|64332|80149|80232|94241|160760|285513,EGR1|POU2F2|PURB|RELB|RLF|SOCS3|TSC22D2|EPM2AIP1|ZNF281|TIPARP|ZBTB21|ZBTB7B|MEX3C|UBR5|TET2|FBXW7|NFKBIZ|ZC3H12A|WDR26|TP53INP1|PPTC7|GPRIN3,-4.3,0
