_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.6,C0200638,M1,1,0,DisGeNET,35,Eosinophil count procedure,,-9.6,3.4,7.9,28160,610,493,36,7.3,1.2,489|2308|3043|3566|3707|3985|4026|5450|5452|7090|7133|7874|8189|8440|9612|9794|9919|9923|10018|10320|23141|23228|23264|23274|23533|23598|51061|55294|55729|55809|59269|64599|84969|93624|94241|160851,ATP2A3|FOXO1|HBB|IL4R|ITPKB|LIMK2|LPP|POU2AF1|POU2F2|TLE3|TNFRSF1B|USP7|SYMPK|NCK2|NCOR2|MAML1|SEC16A|ZBTB40|BCL2L11|IKZF1|ANKLE2|PLCL2|ZC3H7B|CLEC16A|PIK3R5|PATZ1|TXNDC11|FBXW7|ATF7IP|TRERF1|HIVEP3|GIGYF1|TOX2|TADA2B|TP53INP1|DGKH,-5.8,0
1,-7.1,C0432072,M1,1,0,DisGeNET,35,Dysmorphic features,,-7.1,3.4,6.7,28160,439,493,26,5.3,1,867|1213|1387|2033|4774|5310|6197|6497|6942|7227|7337|7841|8450|9739|10274|23133|25942|26173|26278|29072|55209|57176|57479|80232|283489|284098,CBL|CLTC|CREBBP|EP300|NFIA|PKD1|RPS6KA3|SKI|TCF20|TRPS1|UBE3A|MOGS|CUL4B|SETD1A|STAG1|PHF8|SIN3A|INTS1|SACS|SETD2|SETD5|VARS2|PRR12|WDR26|CHAMP1|PIGW,-3.8,0
1,-7,C0086437,M1,1,0,DisGeNET,35,Joint laxity,,-7,4.6,7.2,28160,224,493,18,3.7,0.84,867|1387|1822|2033|4649|6197|6497|6774|6843|7227|8450|9031|10484|10564|25942|26999|55780|283489,CBL|CREBBP|ATN1|EP300|MYO9A|RPS6KA3|SKI|STAT3|VAMP1|TRPS1|CUL4B|BAZ1B|SEC23A|ARFGEF2|SIN3A|CYFIP2|ERMARD|CHAMP1,-3.7,0
1,-6.7,C1328504,M1,1,0,DisGeNET,35,Hormone refractory prostate cancer,,-6.7,2.8,6.2,28160,683,493,33,6.7,1.1,1387|1958|2033|2289|2308|2947|3458|3916|3985|5294|5334|5469|5829|6197|6720|6774|7874|8364|8805|9021|9113|9451|9612|22853|22926|23133|29968|51366|55824|79026|79697|79888|219333,CREBBP|EGR1|EP300|FKBP5|FOXO1|GSTM3|IFNG|LAMP1|LIMK2|PIK3CG|PLCL1|MED1|PXN|RPS6KA3|SREBF1|STAT3|USP7|H4C3|TRIM24|SOCS3|LATS1|EIF2AK3|NCOR2|LMTK2|ATF6|PHF8|PSAT1|UBR5|PAG1|AHNAK|RIOX1|LPCAT1|USP12,-3.5,0
1,-6.6,C0454644,M1,1,0,DisGeNET,35,Delayed speech and language development,,-6.6,3,6.2,28160,560,493,29,5.9,1.1,288|867|1213|1387|2033|4649|6197|6942|7273|7337|7994|8398|8450|8888|9698|10274|10484|23133|25942|26999|29072|54862|55209|55697|55780|56623|57479|138050|254065,ANK3|CBL|CLTC|CREBBP|EP300|MYO9A|RPS6KA3|TCF20|TTN|UBE3A|KAT6A|PLA2G6|CUL4B|MCM3AP|PUM1|STAG1|SEC23A|PHF8|SIN3A|CYFIP2|SETD2|CC2D1A|SETD5|VAC14|ERMARD|INPP5E|PRR12|HGSNAT|BRWD3,-3.4,0
1,-6.6,C0240635,M1,1,0,DisGeNET,35,Byzanthine arch palate,,-6.6,3.1,6.3,28160,497,493,27,5.5,1,1213|1387|2033|4649|6197|6497|6774|6843|6929|7227|7273|7841|8450|9451|9698|10484|10525|25942|29072|29968|54517|55159|55209|55650|57724|283489|284098,CLTC|CREBBP|EP300|MYO9A|RPS6KA3|SKI|STAT3|VAMP1|TCF3|TRPS1|TTN|MOGS|CUL4B|EIF2AK3|PUM1|SEC23A|HYOU1|SIN3A|SETD2|PSAT1|PUS7|RFWD3|SETD5|PIGV|EPG5|CHAMP1|PIGW,-3.4,0
1,-6.4,C0024301,M1,1,0,DisGeNET,35,"Lymphoma, Follicular",,-6.4,3.1,6.2,28160,477,493,26,5.3,1,639|1387|2033|2308|2944|3123|3458|3566|3662|3902|4026|4288|4671|5294|5450|5452|6774|7486|9021|9746|10018|23492|23598|28920|29102|54790,PRDM1|CREBBP|EP300|FOXO1|GSTM1|HLA-DRB1|IFNG|IL4R|IRF4|LAG3|LPP|MKI67|NAIP|PIK3CG|POU2AF1|POU2F2|STAT3|WRN|SOCS3|CLSTN3|BCL2L11|CBX7|PATZ1|IGKV2-29|DROSHA|TET2,-3.3,0
1,-6.3,C0014772,M1,1,0,DisGeNET,35,Red Blood Cell Count measurement,,-6.3,2.6,5.9,28160,717,493,33,6.7,1.1,3043|3783|4026|4649|4774|5900|6239|6522|6875|7037|7227|8398|8609|8945|9739|9919|9922|10320|23095|23228|23492|27158|53944|54914|55159|55697|55731|57140|57479|79572|84969|132660|144404,HBB|KCNN4|LPP|MYO9A|NFIA|RALGDS|RREB1|SLC4A2|TAF4B|TFRC|TRPS1|PLA2G6|KLF7|BTRC|SETD1A|SEC16A|IQSEC1|IKZF1|KIF1B|PLCL2|CBX7|NDOR1|CSNK1G1|FOCAD|RFWD3|VAC14|FAM222B|RNPEPL1|PRR12|ATP13A3|TOX2|LIN54|TMEM120B,-3.2,0
1,-6.2,C3887980,M1,1,0,DisGeNET,35,Protanomaly,,-6.2,18,9.9,28160,19,493,6,1.2,0.49,790|1387|5310|5469|7994|55824,CAD|CREBBP|PKD1|MED1|KAT6A|PAG1,-3.2,0
1,-5.9,C0376544,M1,1,0,DisGeNET,35,Hematopoietic Neoplasms,,-5.9,3.5,6.1,28160,322,493,20,4.1,0.89,1387|1822|1958|2033|3268|3458|3662|3718|4363|4928|5294|6197|6774|7037|10155|10320|29072|54790|55824|100130958,CREBBP|ATN1|EGR1|EP300|AGFG2|IFNG|IRF4|JAK3|ABCC1|NUP98|PIK3CG|RPS6KA3|STAT3|TFRC|TRIM28|IKZF1|SETD2|TET2|PAG1|SYCE1L,-2.9,0
