Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-5688426,Deubiquitination,,-3.8,4.6,5.1,28160,298,186,9,4.8,1.6,8329|8331|8335|8340|8975|9929|23252|83444|219333,H2AC13|H2AC14|H2AC4|H2BC13|USP13|JOSD1|OTUD3|INO80B|USP12,0,MyList
GO Biological Processes,19,GO:0035269,protein O-linked mannosylation,19_GO:0008152 metabolic process,-3.7,27,8.6,28160,17,186,3,1.6,0.92,29954|79147|160418,POMT2|FKRP|TMTC3,0,MyList
Reactome Gene Sets,6,R-HSA-2559580,Oxidative Stress Induced Senescence,,-3.7,7.3,5.7,28160,125,186,6,3.2,1.3,1870|1912|8331|8335|8340|8535,E2F2|PHC2|H2AC14|H2AC4|H2BC13|CBX4,0,MyList
GO Biological Processes,19,GO:0006310,DNA recombination,19_GO:0008152 metabolic process,-3.7,4.5,5,28160,306,186,9,4.8,1.6,2021|3586|6929|7037|10189|51750|80311|83444|254394,ENDOG|IL10|TCF3|TFRC|ALYREF|RTEL1|KLHL15|INO80B|MCM9,0,MyList
GO Biological Processes,19,GO:0035268,protein mannosylation,19_GO:0008152 metabolic process,-3.4,21,7.5,28160,22,186,3,1.6,0.92,29954|79147|160418,POMT2|FKRP|TMTC3,0,MyList
GO Biological Processes,19,GO:0010498,proteasomal protein catabolic process,19_GO:0008152 metabolic process,-3.4,3.4,4.4,28160,490,186,11,5.9,1.7,267|1454|5310|7844|8975|10612|80311|84937|90850|91147|160418,AMFR|CSNK1E|PKD1|RNF103|USP13|TRIM3|KLHL15|ZNRF1|ZNF598|TMEM67|TMTC3,0,MyList
GO Biological Processes,19,GO:0042832,defense response to protozoan,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.2,18,7,28160,25,186,3,1.6,0.92,602|3265|3586,BCL3|HRAS|IL10,0,MyList
Reactome Gene Sets,6,R-HSA-9013406,RHOQ GTPase cycle,,-3.2,10,5.8,28160,59,186,4,2.2,1.1,7037|9322|23513|57584,TFRC|TRIP10|SCRIB|ARHGAP21,0,MyList
GO Biological Processes,19,GO:0006517,protein deglycosylation,19_GO:0008152 metabolic process,-3.2,17,6.9,28160,26,186,3,1.6,0.92,267|4122|7844,AMFR|MAN2A2|RNF103,0,MyList
GO Biological Processes,19,GO:0001562,response to protozoan,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.2,17,6.9,28160,26,186,3,1.6,0.92,602|3265|3586,BCL3|HRAS|IL10,0,MyList
GO Biological Processes,19,GO:0000018,regulation of DNA recombination,19_GO:0050789 regulation of biological process,-3.1,7.1,5.1,28160,107,186,5,2.7,1.2,3586|7037|10189|51750|80311,IL10|TFRC|ALYREF|RTEL1|KLHL15,0,MyList
GO Biological Processes,19,GO:1903827,regulation of cellular protein localization,19_GO:0051179 localization,-3.1,3.2,4.1,28160,527,186,11,5.9,1.7,636|1454|2817|3265|6720|7037|51277|57787|84687|89958|285966,BICD1|CSNK1E|GPC1|HRAS|SREBF1|TFRC|DNAJC27|MARK4|PPP1R9B|SAPCD2|TCAF2,0,MyList
