Cluster,Score,Type,Gene,Symbol,Network
1,2.5714285714285716,Clustered,8331,H2AC14,MyList_SUB1
1,2.5714285714285716,Clustered,8329,H2AC13,MyList_SUB1
1,2.5714285714285716,Clustered,8340,H2BC13,MyList_SUB1
1,2.5714285714285716,Clustered,790,CAD,MyList_SUB1
1,2.5714285714285716,Clustered,8335,H2AC4,MyList_SUB1
1,2.5714285714285716,Seed,5358,PLS3,MyList_SUB1
1,2.5714285714285716,Clustered,3306,HSPA2,MyList_SUB1
2,1.0,Clustered,7037,TFRC,MyList_SUB1
2,1.0,Clustered,5286,PIK3C2A,MyList_SUB1
2,1.0,Seed,9322,TRIP10,MyList_SUB1
