_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.5,M7386,M1,1,0,Transcription Factor Targets,16,GTTNYYNNGGTNA UNKNOWN,,-4.5,10,7,28160,90,186,6,3.2,1.3,6239|22911|55852|56660|79147|83444,RREB1|WDR47|TEX2|KCNK12|FKRP|INO80B,-0.57,0
1,-4.4,M30038,M1,1,0,Transcription Factor Targets,16,KLF14 TARGET GENES,,-4.4,5.5,5.8,28160,249,186,9,4.8,1.6,6929|9187|23365|51750|57787|79709|83444|84614|200205,TCF3|SLC24A1|ARHGEF12|RTEL1|MARK4|COLGALT1|INO80B|ZBTB37|IBA57,-0.54,0
1,-4.1,M9024,M1,1,0,Transcription Factor Targets,16,KRCTCNNNNMANAGC UNKNOWN,,-4.1,11,6.9,28160,66,186,5,2.7,1.2,8329|8331|8335|8340|374655,H2AC13|H2AC14|H2AC4|H2BC13|ZNF710,-0.42,0
1,-3.4,M19327,M1,1,0,Transcription Factor Targets,16,CDC5 01,,-3.4,4.6,4.7,28160,266,186,8,4.3,1.5,3306|6239|7088|7227|8975|10999|56660|83444,HSPA2|RREB1|TLE1|TRPS1|USP13|SLC27A4|KCNK12|INO80B,-0.2,0
1,-3.2,M15101,M1,1,0,Transcription Factor Targets,16,RFX1 02,,-3.2,4.2,4.5,28160,286,186,8,4.3,1.5,6239|7227|22911|59345|79147|83444|91147|219333,RREB1|TRPS1|WDR47|GNB4|FKRP|INO80B|TMEM67|USP12,-0.12,0
1,-3,M30065,M1,1,0,Transcription Factor Targets,16,MIER1 TARGET GENES,,-3,3.6,4.2,28160,374,186,9,4.8,1.6,1849|1912|3783|6929|9322|23305|51542|56660|375449,DUSP7|PHC2|KCNN4|TCF3|TRIP10|ACSL6|VPS54|KCNK12|MAST4,-0.051,0
1,-2.9,M17712,M1,1,0,Transcription Factor Targets,16,WGTTNNNNNAAA UNKNOWN,,-2.9,3,3.9,28160,554,186,11,5.9,1.7,636|3586|6239|22911|22932|23365|54443|55852|161176|205428|374655,BICD1|IL10|RREB1|WDR47|POMZP3|ARHGEF12|ANLN|TEX2|SYNE3|DIPK2A|ZNF710,-0.021,0
1,-2.9,M30019,M1,1,0,Transcription Factor Targets,16,HSD17B8 TARGET GENES,,-2.9,2.8,3.8,28160,649,186,12,6.5,1.8,1870|3268|4298|8329|8340|9187|10024|54443|54821|64151|79801|220134,E2F2|AGFG2|MLLT1|H2AC13|H2BC13|SLC24A1|TROAP|ANLN|ERCC6L|NCAPG|SHCBP1|SKA1,-0.021,0
1,-2.9,M30302,M1,1,0,Transcription Factor Targets,16,ZNF33A TARGET GENES,,-2.9,4.3,4.2,28160,249,186,7,3.8,1.4,4294|6720|7711|9187|55728|84255|84687,MAP3K10|SREBF1|ZNF155|SLC24A1|N4BP2|SLC37A3|PPP1R9B,-0.021,0
1,-2.8,M17736,M1,1,0,Transcription Factor Targets,16,E2F1 Q3 01,,-2.8,4.2,4.2,28160,250,186,7,3.8,1.4,1849|7227|7804|22932|23365|23457|24149,DUSP7|TRPS1|LRP8|POMZP3|ARHGEF12|ABCB9|ZNF318,-0.021,0
