Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
11078,3.0,1,1,1
3502,3.0,1,1,1
3265,3.0,1,1,1
6929,3.0,1,1,1
1912,3.0,1,1,1
10189,3.0,1,1,1
7088,3.0,1,1,1
8335,3.0,1,1,1
24145,3.0,1,1,1
7037,3.0,1,1,1
10999,3.0,1,1,1
57787,3.0,1,1,1
8329,3.0,1,1,1
267,3.0,1,1,1
8331,3.0,1,1,1
9322,3.0,1,1,1
636,3.0,1,1,1
23365,3.0,1,1,1
7844,3.0,1,1,1
7804,3.0,1,1,1
8535,3.0,1,1,1
26051,3.0,1,1,1
1435,3.0,1,1,1
1951,3.0,1,1,1
3306,3.0,1,1,1
602,3.0,1,1,1
790,3.0,1,1,1
1958,3.0,1,1,1
4363,3.0,1,1,1
54443,3.0,1,1,1
8340,3.0,1,1,1
80199,3.0,1,1,1
57584,3.0,1,1,1
51750,3.0,1,1,1
3500,3.0,1,1,1
3586,3.0,1,1,1
160418,3.0,1,1,1
23513,3.0,1,1,1
84687,3.0,1,1,1
4671,2.0,1,0,1
125950,2.0,1,0,1
7711,2.0,1,0,1
26173,2.0,1,0,1
4298,2.0,1,0,1
29915,2.0,1,0,1
2817,2.0,1,0,1
205428,2.0,1,0,1
55852,2.0,1,0,1
2153,2.0,1,0,1
4249,2.0,1,1,0
124359,2.0,1,0,1
1870,2.0,1,1,0
6606,2.0,1,0,1
6744,2.0,1,0,1
9875,2.0,1,0,1
4122,2.0,1,1,0
28231,2.0,1,0,1
55810,2.0,1,0,1
9862,2.0,1,0,1
7205,2.0,1,0,1
11044,2.0,1,0,1
6936,2.0,1,0,1
83444,2.0,1,0,1
220134,2.0,1,0,1
57198,2.0,1,1,0
9603,2.0,1,0,1
5358,2.0,1,0,1
4688,2.0,1,0,1
10908,2.0,1,0,1
5286,2.0,1,0,1
79364,2.0,1,0,1
55703,2.0,1,0,1
91147,2.0,1,0,1
55728,2.0,1,0,1
81037,2.0,1,0,1
79709,2.0,1,0,1
54823,2.0,1,0,1
161145,2.0,1,0,1
29954,2.0,1,1,0
3832,2.0,1,0,1
6875,2.0,1,0,1
79147,2.0,1,1,0
64151,2.0,1,0,1
84937,2.0,1,0,1
26505,2.0,1,0,1
22927,2.0,1,0,1
5360,2.0,1,1,0
64218,2.0,1,1,0
219749,2.0,1,0,1
51776,2.0,1,1,0
55589,2.0,1,0,1
79723,2.0,1,0,1
90850,2.0,1,0,1
51542,2.0,1,0,1
59345,2.0,1,0,1
25956,2.0,1,0,1
84883,2.0,1,0,1
79801,2.0,1,0,1
7227,2.0,1,0,1
143279,2.0,1,0,1
4294,2.0,1,0,1
24149,2.0,1,0,1
3672,2.0,1,1,0
1849,2.0,1,0,1
54821,2.0,1,0,1
8975,2.0,1,0,1
3783,2.0,1,1,0
6239,2.0,1,1,0
116840,2.0,1,0,1
2021,2.0,1,0,1
23305,2.0,1,1,0
10712,2.0,1,0,1
254394,2.0,1,1,0
5814,2.0,1,0,1
1454,2.0,1,0,1
7975,2.0,1,0,1
89958,2.0,1,1,0
10622,2.0,1,0,1
6720,2.0,1,0,1
51265,2.0,1,1,0
161176,2.0,1,0,1
144535,1.0,1,0,0
375341,1.0,1,0,0
23457,1.0,1,0,0
10024,1.0,1,0,0
55631,1.0,1,0,0
22932,1.0,1,0,0
51277,1.0,1,0,0
606495,1.0,1,0,0
54842,1.0,1,0,0
206358,1.0,1,0,0
113763,1.0,1,0,0
84255,1.0,1,0,0
100506755,1.0,1,0,0
84614,1.0,1,0,0
10612,1.0,1,0,0
84830,1.0,1,0,0
641649,1.0,1,0,0
387521,1.0,1,0,0
149986,1.0,1,0,0
285368,1.0,1,0,0
144097,1.0,1,0,0
9284,1.0,1,0,0
5026,1.0,1,0,0
5310,1.0,1,0,0
727957,1.0,1,0,0
56660,1.0,1,0,0
79443,1.0,1,0,0
2947,1.0,1,0,0
9187,1.0,1,0,0
65244,1.0,1,0,0
57801,1.0,1,0,0
114804,1.0,1,0,0
101926925,1.0,1,0,0
109729181,1.0,1,0,0
80003,1.0,1,0,0
375449,1.0,1,0,0
100128537,1.0,1,0,0
163126,1.0,1,0,0
200205,1.0,1,0,0
286527,1.0,1,0,0
150763,1.0,1,0,0
23252,1.0,1,0,0
27033,1.0,1,0,0
54540,1.0,1,0,0
80896,1.0,1,0,0
100133161,1.0,1,0,0
22911,1.0,1,0,0
100506660,1.0,1,0,0
80311,1.0,1,0,0
3268,1.0,1,0,0
201292,1.0,1,0,0
84449,1.0,1,0,0
9929,1.0,1,0,0
127829,1.0,1,0,0
9889,1.0,1,0,0
11108,1.0,1,0,0
374655,1.0,1,0,0
219333,1.0,1,0,0
338811,1.0,1,0,0
285966,1.0,1,0,0
80150,1.0,1,0,0
84947,1.0,1,0,0
10743,1.0,1,0,0
57176,1.0,1,0,0
23351,1.0,1,0,0
55526,1.0,1,0,0
