_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.935715199800877,GO:0006486,M1,1,0,GO Biological Processes,19,protein glycosylation,19_GO:0008152 metabolic process,-5.935715199800877,7.395734846097279,7.489433771908383,28160,228,167,10,5.9880239520958085,1.8360103263096357,20|2529|2651|23333|79796|84899|91869|135152|200424|282679,ABCA2|FUT7|GCNT2|DPY19L1|ALG9|TMTC4|RFT1|B3GAT2|TET3|AQP11,-1.8760571334341802,0,1,1,1,-5.935715199800877,14.453378956372969,
1,-5.935715199800877,GO:0043413,M1,1,0,GO Biological Processes,19,macromolecule glycosylation,19_GO:0008152 metabolic process,-5.935715199800877,7.395734846097279,7.489433771908383,28160,228,167,10,5.9880239520958085,1.8360103263096357,20|2529|2651|23333|79796|84899|91869|135152|200424|282679,ABCA2|FUT7|GCNT2|DPY19L1|ALG9|TMTC4|RFT1|B3GAT2|TET3|AQP11,-1.8760571334341802,0,1,0,0,-5.935715199800877,14.453378956372969,
1,-5.70262055710261,GO:0070085,M1,1,0,GO Biological Processes,19,glycosylation,19_GO:0008152 metabolic process,-5.70262055710261,6.967882416984214,7.201582110103384,28160,242,167,10,5.9880239520958085,1.8360103263096357,20|2529|2651|23333|79796|84899|91869|135152|200424|282679,ABCA2|FUT7|GCNT2|DPY19L1|ALG9|TMTC4|RFT1|B3GAT2|TET3|AQP11,-1.8190537497915942,0,1,0,0,-5.935715199800877,14.453378956372969,
1,-4.652197570055784,GO:0009101,M1,1,0,GO Biological Processes,19,glycoprotein biosynthetic process,19_GO:0008152 metabolic process,-4.652197570055784,5.285979764608713,5.946277460537003,28160,319,167,10,5.9880239520958085,1.8360103263096357,20|2529|2651|23333|79796|84899|91869|135152|200424|282679,ABCA2|FUT7|GCNT2|DPY19L1|ALG9|TMTC4|RFT1|B3GAT2|TET3|AQP11,-0.8935694993530683,0,1,0,0,-5.935715199800877,14.453378956372969,
1,-3.9330169014867775,GO:0009100,M1,1,0,GO Biological Processes,19,glycoprotein metabolic process,19_GO:0008152 metabolic process,-3.9330169014867775,4.334775179717686,5.115495762923555,28160,389,167,10,5.9880239520958085,1.8360103263096357,20|2529|2651|23333|79796|84899|91869|135152|200424|282679,ABCA2|FUT7|GCNT2|DPY19L1|ALG9|TMTC4|RFT1|B3GAT2|TET3|AQP11,-0.350480089839743,0,1,0,0,-5.935715199800877,14.453378956372969,
1,-2.9332228034954433,GO:0097502,M1,1,0,GO Biological Processes,19,mannosylation,19_GO:0008152 metabolic process,-2.9332228034954433,14.453378956372969,6.1512199955561435,28160,35,167,3,1.7964071856287425,1.0277981808296512,23333|79796|84899,DPY19L1|ALG9|TMTC4,0.0,0,1,0,0,-5.935715199800877,14.453378956372969,
1,-2.404155944954996,GO:1901137,M1,1,0,GO Biological Processes,19,carbohydrate derivative biosynthetic process,19_GO:0008152 metabolic process,-2.404155944954996,2.7285235354533652,3.355937972556805,28160,618,167,10,5.9880239520958085,1.8360103263096357,20|2529|2651|23333|79796|84899|91869|135152|200424|282679,ABCA2|FUT7|GCNT2|DPY19L1|ALG9|TMTC4|RFT1|B3GAT2|TET3|AQP11,0.0,0,1,0,0,-5.935715199800877,14.453378956372969,
1,-4.021414976766831,R-HSA-8878171,M1,1,0,Reactome Gene Sets,6,Transcriptional regulation by RUNX1,,-4.021414976766831,5.6442763009545756,5.569210622019722,28160,239,167,8,4.790419161676646,1.652604187740054,3017|4602|8350|8352|8784|10398|57332|84733,H2BC5|MYB|H3C1|H3C3|TNFRSF18|MYL9|CBX8|CBX2,-0.35969691907217166,0,2,1,1,-4.021414976766831,8.537860986886985,
1,-3.03926200416299,R-HSA-2559580,M1,1,0,Reactome Gene Sets,6,Oxidative Stress Induced Senescence,,-3.03926200416299,6.744910179640718,4.971988284844302,28160,125,167,5,2.9940119760479043,1.3187661850573555,3017|8350|8352|57332|84733,H2BC5|H3C1|H3C3|CBX8|CBX2,0.0,0,2,0,0,-4.021414976766831,8.537860986886985,
1,-2.896721875960369,R-HSA-3214858,M1,1,0,Reactome Gene Sets,6,RMTs methylate histone arginines,,-2.896721875960369,8.537860986886985,5.182001235907157,28160,79,167,4,2.395209580838323,1.1831752902049015,8332|8350|8352|55352,H2AC16|H3C1|H3C3|COPRS,0.0,0,2,0,0,-4.021414976766831,8.537860986886985,
1,-2.8889600396017556,R-HSA-3247509,M1,1,0,Reactome Gene Sets,6,Chromatin modifying enzymes,,-2.8889600396017556,4.30788058918659,4.24985508044871,28160,274,167,7,4.191616766467066,1.5507232724902875,3017|6314|8332|8350|8352|55352|84787,H2BC5|ATXN7|H2AC16|H3C1|H3C3|COPRS|KMT5C,0.0,0,2,0,0,-4.021414976766831,8.537860986886985,
