Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-2559580,Oxidative Stress Induced Senescence,,-5.1,18,9.1,28160,125,61,5,8.2,3.5,3017|8350|8352|57332|84733,H2BC5|H3C1|H3C3|CBX8|CBX2,-2.8
MyList,Reactome Gene Sets,6,R-HSA-8878171,Transcriptional regulation by RUNX1,,-4.9,12,7.7,28160,239,61,6,9.8,3.8,3017|4602|8350|8352|57332|84733,H2BC5|MYB|H3C1|H3C3|CBX8|CBX2,-2.6
MyList,Reactome Gene Sets,6,R-HSA-3214847,HATs acetylate histones,,-4.8,16,8.5,28160,142,61,5,8.2,3.5,3017|6314|8332|8350|8352,H2BC5|ATXN7|H2AC16|H3C1|H3C3,-2.5
MyList,Reactome Gene Sets,6,R-HSA-3214858,RMTs methylate histone arginines,,-4.6,23,9.3,28160,79,61,4,6.6,3.2,8332|8350|8352|55352,H2AC16|H3C1|H3C3|COPRS,-2.3
MyList,Reactome Gene Sets,6,R-HSA-4839726,Chromatin organization,,-4.5,10,7.1,28160,274,61,6,9.8,3.8,3017|6314|8332|8350|8352|55352,H2BC5|ATXN7|H2AC16|H3C1|H3C3|COPRS,-2.3
MyList,Reactome Gene Sets,6,R-HSA-3247509,Chromatin modifying enzymes,,-4.5,10,7.1,28160,274,61,6,9.8,3.8,3017|6314|8332|8350|8352|55352,H2BC5|ATXN7|H2AC16|H3C1|H3C3|COPRS,-2.3
MyList,Reactome Gene Sets,6,R-HSA-9616222,Transcriptional regulation of granulopoiesis,,-4.4,21,8.6,28160,90,61,4,6.6,3.2,3017|4602|8350|8352,H2BC5|MYB|H3C1|H3C3,-2.1
MyList,Reactome Gene Sets,6,R-HSA-73772,RNA Polymerase I Promoter Escape,,-4.3,20,8.6,28160,91,61,4,6.6,3.2,2966|3017|8350|8352,GTF2H2|H2BC5|H3C1|H3C3,-2.1
MyList,Reactome Gene Sets,6,R-HSA-3214815,HDACs deacetylate histones,,-4.3,20,8.4,28160,94,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-2.1
MyList,Reactome Gene Sets,6,R-HSA-2559583,Cellular Senescence,,-4.2,12,7,28160,197,61,5,8.2,3.5,3017|8350|8352|57332|84733,H2BC5|H3C1|H3C3|CBX8|CBX2,-2
MyList,Reactome Gene Sets,6,R-HSA-427413,NoRC negatively regulates rRNA expression,,-4.1,17,7.9,28160,107,61,4,6.6,3.2,2966|3017|8350|8352,GTF2H2|H2BC5|H3C1|H3C3,-1.9
MyList,Reactome Gene Sets,6,R-HSA-73854,RNA Polymerase I Promoter Clearance,,-4,17,7.7,28160,110,61,4,6.6,3.2,2966|3017|8350|8352,GTF2H2|H2BC5|H3C1|H3C3,-1.8
MyList,Reactome Gene Sets,6,R-HSA-5250941,Negative epigenetic regulation of rRNA expression,,-4,17,7.7,28160,110,61,4,6.6,3.2,2966|3017|8350|8352,GTF2H2|H2BC5|H3C1|H3C3,-1.8
MyList,Reactome Gene Sets,6,R-HSA-73864,RNA Polymerase I Transcription,,-4,16,7.7,28160,112,61,4,6.6,3.2,2966|3017|8350|8352,GTF2H2|H2BC5|H3C1|H3C3,-1.8
MyList,Reactome Gene Sets,6,R-HSA-9610379,HCMV Late Events,,-3.9,16,7.5,28160,116,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-1.7
MyList,Reactome Gene Sets,6,R-HSA-201681,TCF dependent signaling in response to WNT,,-3.8,9.9,6.4,28160,233,61,5,8.2,3.5,1857|3017|8350|8352|25776,DVL3|H2BC5|H3C1|H3C3|CBY1,-1.6
MyList,Reactome Gene Sets,6,R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,,-3.7,14,7,28160,130,61,4,6.6,3.2,3017|4602|8350|8352,H2BC5|MYB|H3C1|H3C3,-1.6
MyList,KEGG Pathway,24,ko05322,Systemic lupus erythematosus,,-3.7,14,6.9,28160,133,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-1.5
MyList,KEGG Pathway,24,hsa05322,Systemic lupus erythematosus,,-3.7,14,6.9,28160,133,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-1.5
MyList,Reactome Gene Sets,6,R-HSA-9609690,HCMV Early Events,,-3.7,14,6.9,28160,135,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-1.5
MyList,Reactome Gene Sets,6,R-HSA-212165,Epigenetic regulation of gene expression,,-3.5,12,6.5,28160,149,61,4,6.6,3.2,2966|3017|8350|8352,GTF2H2|H2BC5|H3C1|H3C3,-1.3
MyList,Reactome Gene Sets,6,R-HSA-9018519,Estrogen-dependent gene expression,,-3.5,12,6.5,28160,150,61,4,6.6,3.2,3017|4602|8350|8352,H2BC5|MYB|H3C1|H3C3,-1.3
MyList,Reactome Gene Sets,6,R-HSA-73728,RNA Polymerase I Promoter Opening,,-3.5,22,7.8,28160,63,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.3
MyList,Reactome Gene Sets,6,R-HSA-5334118,DNA methylation,,-3.4,21,7.6,28160,65,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.3
MyList,Reactome Gene Sets,6,R-HSA-9609646,HCMV Infection,,-3.4,12,6.2,28160,160,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-1.2
MyList,GO Biological Processes,19,GO:0034599,cellular response to oxidative stress,19_GO:0050896 response to stimulus,-3.4,8,5.6,28160,290,61,5,8.2,3.5,2176|4602|57332|79956|387082,FANCC|MYB|CBX8|ERMP1|SUMO4,-1.2
MyList,Reactome Gene Sets,6,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,,-3.4,21,7.5,28160,67,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.2
MyList,Reactome Gene Sets,6,R-HSA-427359,SIRT1 negatively regulates rRNA expression,,-3.4,20,7.4,28160,68,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.2
MyList,Reactome Gene Sets,6,R-HSA-9710421,Defective pyroptosis,,-3.3,19,7.2,28160,73,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.1
MyList,Reactome Gene Sets,6,R-HSA-212300,PRC2 methylates histones and DNA,,-3.3,19,7.2,28160,73,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.1
MyList,Reactome Gene Sets,6,R-HSA-2299718,Condensation of Prophase Chromosomes,,-3.3,19,7.1,28160,74,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.1
MyList,Reactome Gene Sets,6,R-HSA-427389,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,,-3.2,18,7,28160,76,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-1.1
MyList,Reactome Gene Sets,6,R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,,-3.2,18,7,28160,77,61,3,4.9,2.8,57332|84733|286053,CBX8|CBX2|NSMCE2,-1.1
MyList,KEGG Pathway,24,ko05034,Alcoholism,,-3.2,10,5.8,28160,180,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-1.1
MyList,KEGG Pathway,24,hsa05034,Alcoholism,,-3.2,10,5.7,28160,185,61,4,6.6,3.2,3017|8332|8350|8352,H2BC5|H2AC16|H3C1|H3C3,-1
MyList,GO Biological Processes,19,GO:0060968,regulation of gene silencing,19_GO:0048519 negative regulation of biological process,-3.1,17,6.7,28160,82,61,3,4.9,2.8,8350|8352|84872,H3C1|H3C3|ZC3H10,-1
MyList,Reactome Gene Sets,6,R-HSA-195721,Signaling by WNT,,-3.1,7,5.1,28160,332,61,5,8.2,3.5,1857|3017|8350|8352|25776,DVL3|H2BC5|H3C1|H3C3|CBY1,-1
MyList,GO Biological Processes,19,GO:0062197,cellular response to chemical stress,19_GO:0050896 response to stimulus,-3.1,6.8,5,28160,339,61,5,8.2,3.5,2176|4602|57332|79956|387082,FANCC|MYB|CBX8|ERMP1|SUMO4,-0.97
MyList,Reactome Gene Sets,6,R-HSA-912446,Meiotic recombination,,-3.1,16,6.5,28160,86,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-0.96
MyList,Reactome Gene Sets,6,R-HSA-5250924,B-WICH complex positively regulates rRNA expression,,-3,15,6.3,28160,91,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-0.9
MyList,Reactome Gene Sets,6,R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,,-3,15,6.3,28160,91,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-0.9
MyList,Reactome Gene Sets,6,R-HSA-1912408,Pre-NOTCH Transcription and Translation,,-3,15,6.3,28160,93,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-0.87
MyList,Reactome Gene Sets,6,R-HSA-5625740,RHO GTPases activate PKNs,,-2.9,15,6.2,28160,95,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-0.85
MyList,Reactome Gene Sets,6,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,,-2.9,14,6.1,28160,97,61,3,4.9,2.8,3017|8350|8352,H2BC5|H3C1|H3C3,-0.82
