_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.4,C0042790,M1,1,0,DisGeNET,35,Vision Disorders,,-5.4,84,16,28160,6,167,3,1.8,1,6314|54982|80746,ATXN7|CLN6|TSEN2,-1.6,0
1,-5.4,C0233769,M1,1,0,DisGeNET,35,Micropsia,,-5.4,84,16,28160,6,167,3,1.8,1,6314|54982|80746,ATXN7|CLN6|TSEN2,-1.6,0
1,-5.4,C0233771,M1,1,0,DisGeNET,35,Macropsia,,-5.4,84,16,28160,6,167,3,1.8,1,6314|54982|80746,ATXN7|CLN6|TSEN2,-1.6,0
1,-5.4,C3489704,M1,1,0,DisGeNET,35,Vision Disability,,-5.4,84,16,28160,6,167,3,1.8,1,6314|54982|80746,ATXN7|CLN6|TSEN2,-1.6,0
1,-5.1,C3665347,M1,1,0,DisGeNET,35,Visual Impairment,,-5.1,4.8,6.1,28160,422,167,12,7.2,2,326|1186|2176|2178|5193|6314|7516|23600|25861|54982|80746|91869,AIRE|CLCN7|FANCC|FANCE|PEX12|ATXN7|XRCC2|AMACR|WHRN|CLN6|TSEN2|RFT1,-1.3,0
1,-4.6,C0221354,M1,1,0,DisGeNET,35,Frontal bossing,,-4.6,5.3,5.9,28160,321,167,10,6,1.8,1186|1857|2176|2178|7516|9820|23600|79659|79796|128178,CLCN7|DVL3|FANCC|FANCE|XRCC2|CUL7|AMACR|DYNC2H1|ALG9|EDARADD,-0.97,0
1,-4.4,C0018975,M1,1,0,DisGeNET,35,Hemeralopia,,-4.4,42,11,28160,12,167,3,1.8,1,6314|54982|80746,ATXN7|CLN6|TSEN2,-0.79,0
1,-4.3,C0025990,M1,1,0,DisGeNET,35,Micrognathism,,-4.3,3.7,5.2,28160,586,167,13,7.8,2.1,1857|2176|2178|5193|7516|23221|23594|79659|79796|84342|91869|128178|286053,DVL3|FANCC|FANCE|PEX12|XRCC2|RHOBTB2|ORC6|DYNC2H1|ALG9|COG8|RFT1|EDARADD|NSMCE2,-0.79,0
1,-4.2,C0848558,M1,1,0,DisGeNET,35,Hypospadias,,-4.2,4.6,5.4,28160,366,167,10,6,1.8,414|463|1768|1857|2176|2178|5193|7516|9820|23594,ARSD|ZFHX3|DNAH6|DVL3|FANCC|FANCE|PEX12|XRCC2|CUL7|ORC6,-0.68,0
1,-4.1,C4021780,M1,1,0,DisGeNET,35,Abnormality of the liver,,-4.1,11,6.9,28160,75,167,5,3,1.3,2176|2178|5193|7516|79659,FANCC|FANCE|PEX12|XRCC2|DYNC2H1,-0.64,0
1,-3.9,C0266387,M1,1,0,DisGeNET,35,Bicornuate uterus,,-3.9,15,7.3,28160,44,167,4,2.4,1.2,2176|2178|7516|79796,FANCC|FANCE|XRCC2|ALG9,-0.48,0
1,-3.8,C0271185,M1,1,0,DisGeNET,35,Metamorphopsia,,-3.8,28,8.9,28160,18,167,3,1.8,1,6314|54982|80746,ATXN7|CLN6|TSEN2,-0.44,0
1,-3.7,C1333280,M1,1,0,DisGeNET,35,Desmoplastic melanoma,,-3.7,25,8.4,28160,20,167,3,1.8,1,1191|4684|4794,CLU|NCAM1|NFKBIE,-0.4,0
1,-3.7,C1860614,M1,1,0,DisGeNET,35,ULNAR HYPOPLASIA,,-3.7,13,6.8,28160,50,167,4,2.4,1.2,2176|2178|7516|9820,FANCC|FANCE|XRCC2|CUL7,-0.4,0
1,-3.5,C4022016,M1,1,0,DisGeNET,35,Abnormality of the preputium,,-3.5,23,8,28160,22,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.35,0
1,-3.5,C4023917,M1,1,0,DisGeNET,35,Aplasia/Hypoplasia of the uvula,,-3.5,23,8,28160,22,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.35,0
1,-3.5,C4025071,M1,1,0,DisGeNET,35,Aplasia/Hypoplasia of fingers,,-3.5,23,8,28160,22,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.35,0
1,-3.5,C0011757,M1,1,0,DisGeNET,35,Developmental Coordination Disorder,,-3.5,22,7.8,28160,23,167,3,1.8,1,20|414|54982,ABCA2|ARSD|CLN6,-0.31,0
1,-3.4,C0272027,M1,1,0,DisGeNET,35,Pyridoxine-responsive sideroblastic anemia,,-3.4,21,7.6,28160,24,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.29,0
1,-3.4,C0342526,M1,1,0,DisGeNET,35,Absent testes,,-3.4,21,7.6,28160,24,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.29,0
1,-3.4,C0282528,M1,1,0,DisGeNET,35,Peroxisomal Disorders,,-3.4,20,7.4,28160,25,167,3,1.8,1,5193|9429|23600,PEX12|ABCG2|AMACR,-0.26,0
1,-3.2,C0238093,M1,1,0,DisGeNET,35,Stenosis of duodenum,,-3.2,17,6.8,28160,29,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.099,0
1,-3.2,C4025756,M1,1,0,DisGeNET,35,Abnormal aortic morphology,,-3.2,17,6.8,28160,29,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.099,0
1,-3.1,C0151640,M1,1,0,DisGeNET,35,Decreased fertility in males,,-3.1,17,6.7,28160,30,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.086,0
1,-3.1,C3887489,M1,1,0,DisGeNET,35,Clubbing of toes,,-3.1,17,6.7,28160,30,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.086,0
1,-3,C4025211,M1,1,0,DisGeNET,35,Abnormal carotid artery morphology,,-3,16,6.5,28160,32,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.03,0
1,-3,C0678230,M1,1,0,DisGeNET,35,Congenital Epicanthus,,-3,3.6,4.2,28160,417,167,9,5.4,1.7,1857|2176|2178|5193|7516|23221|23600|79659|84342,DVL3|FANCC|FANCE|PEX12|XRCC2|RHOBTB2|AMACR|DYNC2H1|COG8,-0.03,0
1,-3,C4021750,M1,1,0,DisGeNET,35,Abnormality of femur morphology,,-3,15,6.4,28160,33,167,3,1.8,1,2176|2178|7516,FANCC|FANCE|XRCC2,-0.0062,0
