_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-25,COVID356,M1,1,0,COVID,200,RNA_Zhang_NK-cells_severe-and-moderate_Up,,-25,34,25,28160,95,174,20,11,2.4,241|684|1521|2537|3430|3434|3437|4061|4502|4599|4938|4940|5359|9636|10964|11274|51348|51510|54809|91543,ALOX5AP|BST2|CTSW|IFI6|IFI35|IFIT1|IFIT3|LY6E|MT2A|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|USP18|KLRF1|CHMP5|SAMD9|RSAD2,-20,0
1,-23,COVID353,M1,1,0,COVID,200,RNA_Zhang_Monocytes_severe-and-moderate_Up,,-23,27,23,28160,127,174,21,12,2.5,684|1521|2537|3430|3433|3434|3437|3512|4061|4502|4599|4938|4940|5359|9636|10964|11274|11314|51510|54809|91543,BST2|CTSW|IFI6|IFI35|IFIT2|IFIT1|IFIT3|JCHAIN|LY6E|MT2A|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|USP18|CD300A|CHMP5|SAMD9|RSAD2,-19,0
1,-21,COVID359,M1,1,0,COVID,200,RNA_Zhang_T-cells_severe-and-moderate_Up,,-21,23,21,28160,139,174,20,11,2.4,241|684|1521|2537|3430|3434|3437|4061|4502|4599|4938|4940|5359|9636|10964|11274|51348|51510|54809|91543,ALOX5AP|BST2|CTSW|IFI6|IFI35|IFIT1|IFIT3|LY6E|MT2A|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|USP18|KLRF1|CHMP5|SAMD9|RSAD2,-17,0
1,-20,COVID362,M1,1,0,COVID,200,RNA_Zhang_B-cells_severe-and-moderate_Up,,-20,35,23,28160,74,174,16,9.2,2.2,684|2537|3430|3434|3437|3512|4061|4502|4599|4938|4940|5359|9636|10964|11274|54809,BST2|IFI6|IFI35|IFIT1|IFIT3|JCHAIN|LY6E|MT2A|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|USP18|SAMD9,-16,0
1,-16,COVID014,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-low-MOI_Up,,-16,51,23,28160,35,174,11,6.3,1.8,2537|3430|3433|3434|3437|4599|4938|4940|5359|9636|54809,IFI6|IFI35|IFIT2|IFIT1|IFIT3|MX1|OAS1|OAS3|PLSCR1|ISG15|SAMD9,-12,0
1,-16,COVID017,M1,1,0,COVID,200,RNA_Blanco-Melo_Lung_Down,,-16,12,15,28160,259,174,20,11,2.4,241|2207|2537|3017|3433|3434|3437|4599|4938|4940|7305|9636|10875|10964|54809|64108|64407|91543|202309|389289,ALOX5AP|FCER1G|IFI6|H2BC5|IFIT2|IFIT1|IFIT3|MX1|OAS1|OAS3|TYROBP|ISG15|FGL2|IFI44L|SAMD9|RTP4|RGS18|RSAD2|GAPT|ANXA2R,-12,0
1,-16,COVID050,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-16,11,14,28160,300,174,21,12,2.5,684|968|3430|3433|3434|3437|4061|4502|4599|4938|4940|9636|10964|11080|11274|54809|64108|79132|81622|91543|282618,BST2|CD68|IFI35|IFIT2|IFIT1|IFIT3|LY6E|MT2A|MX1|OAS1|OAS3|ISG15|IFI44L|DNAJB4|USP18|SAMD9|RTP4|DHX58|UNC93B1|RSAD2|IFNL1,-12,0
1,-15,COVID297,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C5_Up,,-15,37,21,28160,52,174,12,6.9,1.9,2537|3434|3437|4599|4938|4940|5359|6285|9636|10964|54809|91543,IFI6|IFIT1|IFIT3|MX1|OAS1|OAS3|PLSCR1|S100B|ISG15|IFI44L|SAMD9|RSAD2,-12,0
1,-15,COVID011,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2-ruxolitinib_Down,,-15,13,15,28160,233,174,19,11,2.4,684|968|2537|3430|3433|3434|3437|4061|4502|4599|4938|4940|5359|9636|10964|11274|54809|79132|91543,BST2|CD68|IFI6|IFI35|IFIT2|IFIT1|IFIT3|LY6E|MT2A|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|USP18|SAMD9|DHX58|RSAD2,-12,0
1,-15,COVID273,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C1A-mild_Up,,-15,45,22,28160,40,174,11,6.3,1.8,2537|3437|4061|4599|4938|4940|5359|9636|10964|54809|91543,IFI6|IFIT3|LY6E|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|SAMD9|RSAD2,-12,0
1,-15,COVID313,M1,1,0,COVID,200,RNA_Wilk_CD8+T-cells_patient-C5_Up,,-15,41,21,28160,43,174,11,6.3,1.8,2537|3434|3437|4599|4938|4940|5359|9636|10964|54809|91543,IFI6|IFIT1|IFIT3|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|SAMD9|RSAD2,-11,0
1,-15,COVID244,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C1A-mild_Up,,-15,26,18,28160,80,174,13,7.5,2,2537|3434|3437|3512|4061|4599|4938|4940|5359|9636|10964|54809|91543,IFI6|IFIT1|IFIT3|JCHAIN|LY6E|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|SAMD9|RSAD2,-11,0
1,-14,COVID241,M1,1,0,COVID,200,RNA_Lieberman_Nasopharynx_High_vs_Low_Up,,-14,15,15,28160,173,174,16,9.2,2.2,2537|3430|3433|3434|3437|4502|4599|4938|4940|5359|10964|11274|54809|54979|64108|91543,IFI6|IFI35|IFIT2|IFIT1|IFIT3|MT2A|MX1|OAS1|OAS3|PLSCR1|IFI44L|USP18|SAMD9|PLAAT2|RTP4|RSAD2,-10,0
1,-14,COVID329,M1,1,0,COVID,200,RNA_Wilk_CD4+T-cells_patient-C5_Up,,-14,43,20,28160,38,174,10,5.7,1.8,2537|3434|3437|4599|4938|4940|9636|10964|54809|91543,IFI6|IFIT1|IFIT3|MX1|OAS1|OAS3|ISG15|IFI44L|SAMD9|RSAD2,-10,0
1,-14,COVID282,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C5_Up,,-14,27,17,28160,73,174,12,6.9,1.9,2537|3433|3434|3437|4061|4599|4940|5359|9636|10964|54809|91543,IFI6|IFIT2|IFIT1|IFIT3|LY6E|MX1|OAS3|PLSCR1|ISG15|IFI44L|SAMD9|RSAD2,-10,0
1,-13,COVID053,M1,1,0,COVID,200,RNA_Xiong_PBMC_Down,,-13,11,13,28160,257,174,18,10,2.3,3811|3820|4603|6512|8510|8644|8671|29799|57562|59084|59352|116987|117157|162966|163255|339988|387895|105377006,KIR3DL1|KLRB1|MYBL1|SLC1A7|MMP23B|AKR1C3|SLC4A4|YPEL1|CEP126|ENPP5|LGR6|AGAP1|SH2D1B|ZNF600|ZNF540|LINC02481|LINC00944|LINC02084,-10,0
1,-13,COVID254,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C5_Up,,-13,20,15,28160,104,174,13,7.5,2,2537|3433|3434|3437|4061|4599|4938|4940|5359|9636|10964|54809|91543,IFI6|IFIT2|IFIT1|IFIT3|LY6E|MX1|OAS1|OAS3|PLSCR1|ISG15|IFI44L|SAMD9|RSAD2,-9.8,0
