_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-27.90643226871451,R-HSA-909733,M1,1,0,Reactome Gene Sets,6,Interferon alpha/beta signaling,,-27.90643226871451,22.541871921182267,23.356925137089483,28160,70,464,26,5.603448275862069,1.0676938923950257,684|2537|3105|3430|3433|3434|3437|3660|3665|3669|4599|4600|4938|4940|6772|6773|8519|8638|9636|10379|10410|10581|11274|24138|54739|91543,BST2|IFI6|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|STAT1|STAT2|IFITM1|OASL|ISG15|IRF9|IFITM3|IFITM2|USP18|IFIT5|XAF1|RSAD2,-23.544723315476194,0,1,1,1,-27.90643226871451,22.541871921182267,
1,-26.984172060567634,GO:0009615,M1,1,0,GO Biological Processes,19,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-26.984172060567634,7.7301186804971485,16.843909433156377,28160,369,464,47,10.129310344827585,1.4006834126450185,684|1191|2537|2635|3315|3433|3434|3437|3460|3660|3665|3669|3965|4599|4600|4938|4940|5359|5610|6375|6502|6772|6773|8519|8638|9111|9636|10346|10379|10410|10561|10577|10581|10875|10964|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|CLU|IFI6|GBP3|HSPB1|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|LGALS9|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|XCL1|SKP2|STAT1|STAT2|IFITM1|OASL|NMI|ISG15|TRIM22|IRF9|IFITM3|IFI44|NPC2|IFITM2|FGL2|IFI44L|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-22.923493102993298,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-26.122399593049515,R-HSA-913531,M1,1,0,Reactome Gene Sets,6,Interferon Signaling,,-26.122399593049515,10.97903309651707,18.285116444271175,28160,199,464,36,7.758620689655173,1.2419272720456709,567|684|1974|2537|2635|3105|3430|3433|3434|3437|3460|3660|3665|3669|4502|4599|4600|4938|4940|5610|6772|6773|8519|8638|9246|9636|10346|10379|10410|10581|11274|23586|24138|51191|54739|91543,B2M|BST2|EIF4A2|IFI6|GBP3|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MT2A|MX1|MX2|OAS1|OAS3|EIF2AK2|STAT1|STAT2|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFITM2|USP18|DDX58|IFIT5|HERC5|XAF1|RSAD2,-22.23781189453086,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-25.717052480900062,GO:0051607,M1,1,0,GO Biological Processes,19,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-25.717052480900062,9.0920831718972,17.19599990565305,28160,267,464,40,8.620689655172415,1.3029746102225397,684|2537|2635|3433|3434|3437|3460|3660|3665|3669|4599|4600|4938|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|10875|10964|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|FGL2|IFI44L|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-22.054313531997764,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-25.717052480900062,GO:0140546,M1,1,0,GO Biological Processes,19,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-25.717052480900062,9.0920831718972,17.19599990565305,28160,267,464,40,8.620689655172415,1.3029746102225397,684|2537|2635|3433|3434|3437|3460|3660|3665|3669|4599|4600|4938|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|10875|10964|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|FGL2|IFI44L|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-22.054313531997764,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-18.16135209437276,GO:0045071,M1,1,0,GO Biological Processes,19,negative regulation of viral genome replication,19_GO:0016032 viral process,-18.16135209437276,19.507389162561577,17.943790132743995,28160,56,464,18,3.8793103448275863,0.8964513200661994,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-14.577794391518086,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-16.391511700235217,GO:0048525,M1,1,0,GO Biological Processes,19,negative regulation of viral process,19_GO:0016032 viral process,-16.391511700235217,13.193403298350827,15.162548290568887,28160,92,464,20,4.310344827586207,0.9428215748690862,684|3434|3669|4061|4599|4938|4940|5359|5610|6772|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-12.874900787011157,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-15.378539744421046,GO:0050792,M1,1,0,GO Biological Processes,19,regulation of viral process,19_GO:0016032 viral process,-15.378539744421046,8.881412952060554,13.101984876039605,28160,164,464,24,5.172413793103448,1.0281464688181488,684|3434|3669|3965|4061|4599|4938|4940|5359|5610|6772|6993|8519|8638|9636|10346|10410|10581|24138|27074|55337|64135|84875|91543,BST2|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|DYNLT1|IFITM1|OASL|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|SHFL|IFIH1|PARP10|RSAD2,-11.919920778174673,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-15.052580301714372,R-HSA-1280215,M1,1,0,Reactome Gene Sets,6,Cytokine Signaling in Immune system,,-15.052580301714372,3.9893899204244025,10.480042602312691,28160,715,464,47,10.129310344827585,1.4006834126450185,567|684|959|1052|1154|1974|2353|2537|2635|3105|3430|3433|3434|3437|3460|3660|3665|3669|3965|4049|4050|4502|4599|4600|4938|4940|5610|6285|6772|6773|7076|8519|8638|8740|8742|9246|9636|10346|10379|10410|10581|11274|23586|24138|51191|54739|91543,B2M|BST2|CD40LG|CEBPD|CISH|EIF4A2|FOS|IFI6|GBP3|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|LGALS9|LTA|LTB|MT2A|MX1|MX2|OAS1|OAS3|EIF2AK2|S100B|STAT1|STAT2|TIMP1|IFITM1|OASL|TNFSF14|TNFSF12|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFITM2|USP18|DDX58|IFIT5|HERC5|XAF1|RSAD2,-11.652214852823974,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-14.597272549581799,GO:0045069,M1,1,0,GO Biological Processes,19,regulation of viral genome replication,19_GO:0016032 viral process,-14.597272549581799,12.851926977687627,14.164381855935325,28160,85,464,18,3.8793103448275863,0.8964513200661994,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-11.276956281501707,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-14.291512425323168,GO:1903900,M1,1,0,GO Biological Processes,19,regulation of viral life cycle,19_GO:0016032 viral process,-14.291512425323168,9.02143522833178,12.663972499880952,28160,148,464,22,4.741379310344827,0.9866099800513318,684|3434|3669|3965|4061|4599|4938|4940|5359|5610|8519|8638|9636|10346|10410|10581|24138|27074|55337|64135|84875|91543,BST2|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|SHFL|IFIH1|PARP10|RSAD2,-11.008984718132476,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-11.349196903494825,GO:0019058,M1,1,0,GO Biological Processes,19,viral life cycle,19_GO:0016032 viral process,-11.349196903494825,5.152895250487964,9.639919367086184,28160,318,464,27,5.818965517241379,1.0867899902144729,684|950|1514|3434|3669|3965|4061|4599|4938|4940|5359|5610|6993|8519|8638|9397|9636|10346|10410|10581|24138|27074|51510|55337|64135|84875|91543,BST2|SCARB2|CTSL|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|DYNLT1|IFITM1|OASL|NMT2|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|CHMP5|SHFL|IFIH1|PARP10|RSAD2,-8.242760455359814,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-11.207599442651402,GO:0019079,M1,1,0,GO Biological Processes,19,viral genome replication,19_GO:0016032 viral process,-11.207599442651402,8.339036588575942,10.897577790261472,28160,131,464,18,3.8793103448275863,0.8964513200661994,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-8.124644090365914,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-10.748758575965178,GO:0016032,M1,1,0,GO Biological Processes,19,viral process,19_GO:0016032 viral process,-10.748758575965178,4.376657824933687,8.980660105265201,28160,416,464,30,6.4655172413793105,1.14163827660546,684|950|1514|3434|3665|3669|3965|4061|4599|4938|4940|5359|5610|6772|6993|8519|8638|9397|9636|10346|10410|10581|24138|27074|27090|51510|55337|64135|84875|91543,BST2|SCARB2|CTSL|IFIT1|IRF7|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|DYNLT1|IFITM1|OASL|NMT2|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|ST6GALNAC4|CHMP5|SHFL|IFIH1|PARP10|RSAD2,-7.729472303549068,0,1,0,0,-27.90643226871451,22.541871921182267,
1,-15.01392380606229,GO:0034340,M1,1,0,GO Biological Processes,19,response to type I interferon,19_GO:0044419 biological process involved in interspecies interaction between organisms,-15.01392380606229,16.741973840665874,15.533297043397651,28160,58,464,16,3.4482758620689653,0.8470753180008922,3434|3665|4599|4938|4940|6772|6773|8519|9636|10410|10581|11274|11277|55337|56339|81030,IFIT1|IRF7|MX1|OAS1|OAS3|STAT1|STAT2|IFITM1|ISG15|IFITM3|IFITM2|USP18|TREX1|SHFL|METTL3|ZBP1,-11.652214852823974,0,2,1,1,-15.01392380606229,21.241379310344826,
1,-14.252892861335114,GO:0002831,M1,1,0,GO Biological Processes,19,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-14.252892861335114,5.7534535484551315,11.190827456569876,28160,327,464,31,6.681034482758621,1.1591718455395181,2|3105|3430|3434|3665|3822|3965|4938|4940|5359|5578|6772|6773|7305|8638|9111|9636|10875|11126|11274|11277|22914|23586|51191|55601|56339|79132|81030|114769|117157|259197,A2M|HLA-A|IFI35|IFIT1|IRF7|KLRC2|LGALS9|OAS1|OAS3|PLSCR1|PRKCA|STAT1|STAT2|TYROBP|OASL|NMI|ISG15|FGL2|CD160|USP18|TREX1|KLRK1|DDX58|HERC5|DDX60|METTL3|DHX58|ZBP1|CARD16|SH2D1B|NCR3,-11.005127260403635,0,2,0,0,-15.01392380606229,21.241379310344826,
1,-13.048448377493052,GO:0071357,M1,1,0,GO Biological Processes,19,cellular response to type I interferon,19_GO:0044419 biological process involved in interspecies interaction between organisms,-13.048448377493052,16.339522546419097,14.330377149767706,28160,52,464,14,3.0172413793103448,0.7941331106258365,3434|3665|4938|4940|6772|6773|8519|9636|10410|10581|11274|11277|56339|81030,IFIT1|IRF7|OAS1|OAS3|STAT1|STAT2|IFITM1|ISG15|IFITM3|IFITM2|USP18|TREX1|METTL3|ZBP1,-9.832867459932974,0,2,0,0,-15.01392380606229,21.241379310344826,
1,-11.943577367192649,GO:0060337,M1,1,0,GO Biological Processes,19,type I interferon signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-11.943577367192649,15.779310344827586,13.538415139311805,28160,50,464,13,2.8017241379310347,0.7660956145421873,3665|4938|4940|6772|6773|8519|9636|10410|10581|11274|11277|56339|81030,IRF7|OAS1|OAS3|STAT1|STAT2|IFITM1|ISG15|IFITM3|IFITM2|USP18|TREX1|METTL3|ZBP1,-8.757959673010014,0,2,0,0,-15.01392380606229,21.241379310344826,
1,-10.81443430625729,GO:0045088,M1,1,0,GO Biological Processes,19,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-10.81443430625729,6.124644099968364,9.831556766462354,28160,218,464,22,4.741379310344827,0.9866099800513318,2|3105|3430|3665|3822|3965|4938|4940|5359|6773|7305|9111|9636|11126|11274|11277|22914|56339|79132|81030|117157|259197,A2M|HLA-A|IFI35|IRF7|KLRC2|LGALS9|OAS1|OAS3|PLSCR1|STAT2|TYROBP|NMI|ISG15|CD160|USP18|TREX1|KLRK1|METTL3|DHX58|ZBP1|SH2D1B|NCR3,-7.774944647752893,0,2,0,0,-15.01392380606229,21.241379310344826,
1,-8.733326265039185,GO:0045824,M1,1,0,GO Biological Processes,19,negative regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-8.733326265039185,10.257406508013599,10.109029152280735,28160,71,464,12,2.586206896551724,0.7368564163568738,2|3105|3965|4938|4940|6773|9111|9636|11274|11277|56339|79132,A2M|HLA-A|LGALS9|OAS1|OAS3|STAT2|NMI|ISG15|USP18|TREX1|METTL3|DHX58,-5.862979005635141,0,2,0,0,-15.01392380606229,21.241379310344826,
1,-8.515567827562858,GO:0002832,M1,1,0,GO Biological Processes,19,negative regulation of response to biotic stimulus,19_GO:0048519 negative regulation of biological process,-8.515567827562858,7.867177522349936,9.254805925343415,28160,108,464,14,3.0172413793103448,0.7941331106258365,2|3105|3965|4938|4940|6773|9111|9636|10875|11274|11277|56339|79132|114769,A2M|HLA-A|LGALS9|OAS1|OAS3|STAT2|NMI|ISG15|FGL2|USP18|TREX1|METTL3|DHX58|CARD16,-5.672372814202429,0,2,0,0,-15.01392380606229,21.241379310344826,
