Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-913531,Interferon Signaling,,-34,18,24,28160,199,287,36,13,2,567|684|1974|2537|2635|3105|3430|3433|3434|3437|3460|3660|3665|3669|4502|4599|4600|4938|4940|5610|6772|6773|8519|8638|9246|9636|10346|10379|10410|10581|11274|23586|24138|51191|54739|91543,B2M|BST2|EIF4A2|IFI6|GBP3|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MT2A|MX1|MX2|OAS1|OAS3|EIF2AK2|STAT1|STAT2|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFITM2|USP18|DDX58|IFIT5|HERC5|XAF1|RSAD2,-30
MyList,Reactome Gene Sets,6,R-HSA-909733,Interferon alpha/beta signaling,,-33,36,30,28160,70,287,26,9.1,1.7,684|2537|3105|3430|3433|3434|3437|3660|3665|3669|4599|4600|4938|4940|6772|6773|8519|8638|9636|10379|10410|10581|11274|24138|54739|91543,BST2|IFI6|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|STAT1|STAT2|IFITM1|OASL|ISG15|IRF9|IFITM3|IFITM2|USP18|IFIT5|XAF1|RSAD2,-30
MyList,GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-33,12,21,28160,369,287,44,15,2.1,684|1191|2537|2635|3315|3433|3434|3437|3460|3660|3665|3669|3965|4599|4600|4938|4940|5359|5610|6375|6502|6772|6773|8519|8638|9111|9636|10346|10379|10410|10577|10581|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|CLU|IFI6|GBP3|HSPB1|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|LGALS9|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|XCL1|SKP2|STAT1|STAT2|IFITM1|OASL|NMI|ISG15|TRIM22|IRF9|IFITM3|NPC2|IFITM2|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-30
MyList,GO Biological Processes,19,GO:0051607,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-31,14,22,28160,267,287,38,13,2,684|2537|2635|3433|3434|3437|3460|3660|3665|3669|4599|4600|4938|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-28
MyList,GO Biological Processes,19,GO:0140546,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-31,14,22,28160,267,287,38,13,2,684|2537|2635|3433|3434|3437|3460|3660|3665|3669|4599|4600|4938|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-28
MyList,Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-24,6.4,15,28160,715,287,47,16,2.2,567|684|959|1052|1154|1974|2353|2537|2635|3105|3430|3433|3434|3437|3460|3660|3665|3669|3965|4049|4050|4502|4599|4600|4938|4940|5610|6285|6772|6773|7076|8519|8638|8740|8742|9246|9636|10346|10379|10410|10581|11274|23586|24138|51191|54739|91543,B2M|BST2|CD40LG|CEBPD|CISH|EIF4A2|FOS|IFI6|GBP3|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|LGALS9|LTA|LTB|MT2A|MX1|MX2|OAS1|OAS3|EIF2AK2|S100B|STAT1|STAT2|TIMP1|IFITM1|OASL|TNFSF14|TNFSF12|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFITM2|USP18|DDX58|IFIT5|HERC5|XAF1|RSAD2,-21
MyList,GO Biological Processes,19,GO:0045071,negative regulation of viral genome replication,19_GO:0016032 viral process,-22,32,23,28160,56,287,18,6.3,1.4,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-19
MyList,GO Biological Processes,19,GO:0048525,negative regulation of viral process,19_GO:0016032 viral process,-20,21,20,28160,92,287,20,7,1.5,684|3434|3669|4061|4599|4938|4940|5359|5610|6772|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-18
MyList,GO Biological Processes,19,GO:0050792,regulation of viral process,19_GO:0016032 viral process,-20,14,17,28160,164,287,24,8.4,1.6,684|3434|3669|3965|4061|4599|4938|4940|5359|5610|6772|6993|8519|8638|9636|10346|10410|10581|24138|27074|55337|64135|84875|91543,BST2|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|DYNLT1|IFITM1|OASL|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|SHFL|IFIH1|PARP10|RSAD2,-17
MyList,GO Biological Processes,19,GO:1903900,regulation of viral life cycle,19_GO:0016032 viral process,-19,15,17,28160,148,287,22,7.7,1.6,684|3434|3669|3965|4061|4599|4938|4940|5359|5610|8519|8638|9636|10346|10410|10581|24138|27074|55337|64135|84875|91543,BST2|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|SHFL|IFIH1|PARP10|RSAD2,-16
MyList,GO Biological Processes,19,GO:0034340,response to type I interferon,19_GO:0044419 biological process involved in interspecies interaction between organisms,-18,27,20,28160,58,287,16,5.6,1.4,3434|3665|4599|4938|4940|6772|6773|8519|9636|10410|10581|11274|11277|55337|56339|81030,IFIT1|IRF7|MX1|OAS1|OAS3|STAT1|STAT2|IFITM1|ISG15|IFITM3|IFITM2|USP18|TREX1|SHFL|METTL3|ZBP1,-15
MyList,GO Biological Processes,19,GO:0045069,regulation of viral genome replication,19_GO:0016032 viral process,-18,21,19,28160,85,287,18,6.3,1.4,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-15
MyList,GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-18,8.7,14,28160,327,287,29,10,1.8,2|3105|3430|3434|3665|3822|3965|4938|4940|5359|5578|6772|6773|7305|8638|9111|9636|11126|11274|11277|22914|23586|51191|55601|56339|79132|81030|117157|259197,A2M|HLA-A|IFI35|IFIT1|IRF7|KLRC2|LGALS9|OAS1|OAS3|PLSCR1|PRKCA|STAT1|STAT2|TYROBP|OASL|NMI|ISG15|CD160|USP18|TREX1|KLRK1|DDX58|HERC5|DDX60|METTL3|DHX58|ZBP1|SH2D1B|NCR3,-15
MyList,GO Biological Processes,19,GO:0019058,viral life cycle,19_GO:0016032 viral process,-16,8.3,13,28160,318,287,27,9.4,1.7,684|950|1514|3434|3669|3965|4061|4599|4938|4940|5359|5610|6993|8519|8638|9397|9636|10346|10410|10581|24138|27074|51510|55337|64135|84875|91543,BST2|SCARB2|CTSL|IFIT1|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|DYNLT1|IFITM1|OASL|NMT2|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|CHMP5|SHFL|IFIH1|PARP10|RSAD2,-14
MyList,GO Biological Processes,19,GO:0071357,cellular response to type I interferon,19_GO:0044419 biological process involved in interspecies interaction between organisms,-16,26,19,28160,52,287,14,4.9,1.3,3434|3665|4938|4940|6772|6773|8519|9636|10410|10581|11274|11277|56339|81030,IFIT1|IRF7|OAS1|OAS3|STAT1|STAT2|IFITM1|ISG15|IFITM3|IFITM2|USP18|TREX1|METTL3|ZBP1,-13
MyList,GO Biological Processes,19,GO:0016032,viral process,19_GO:0016032 viral process,-15,6.8,12,28160,416,287,29,10,1.8,684|950|1514|3434|3665|3669|3965|4061|4599|4938|4940|5359|5610|6772|6993|8519|8638|9397|9636|10346|10410|10581|24138|27074|51510|55337|64135|84875|91543,BST2|SCARB2|CTSL|IFIT1|IRF7|ISG20|LGALS9|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|DYNLT1|IFITM1|OASL|NMT2|ISG15|TRIM22|IFITM3|IFITM2|IFIT5|LAMP3|CHMP5|SHFL|IFIH1|PARP10|RSAD2,-13
MyList,GO Biological Processes,19,GO:0045088,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-15,9.9,13,28160,218,287,22,7.7,1.6,2|3105|3430|3665|3822|3965|4938|4940|5359|6773|7305|9111|9636|11126|11274|11277|22914|56339|79132|81030|117157|259197,A2M|HLA-A|IFI35|IRF7|KLRC2|LGALS9|OAS1|OAS3|PLSCR1|STAT2|TYROBP|NMI|ISG15|CD160|USP18|TREX1|KLRK1|METTL3|DHX58|ZBP1|SH2D1B|NCR3,-12
MyList,GO Biological Processes,19,GO:0019079,viral genome replication,19_GO:0016032 viral process,-15,13,15,28160,131,287,18,6.3,1.4,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|55337|64135|84875|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|PARP10|RSAD2,-12
MyList,GO Biological Processes,19,GO:0060337,type I interferon signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-15,26,18,28160,50,287,13,4.5,1.2,3665|4938|4940|6772|6773|8519|9636|10410|10581|11274|11277|56339|81030,IRF7|OAS1|OAS3|STAT1|STAT2|IFITM1|ISG15|IFITM3|IFITM2|USP18|TREX1|METTL3|ZBP1,-12
MyList,WikiPathways,27,WP4197,Immune response to tuberculosis,,-14,43,20,28160,23,287,10,3.5,1.1,3430|3434|3437|3460|4599|4938|6772|6773|8519|10379,IFI35|IFIT1|IFIT3|IFNGR2|MX1|OAS1|STAT1|STAT2|IFITM1|IRF9,-11
