Network,Annotation
MyList,R-HSA-913531|Interferon Signaling|-33.6;R-HSA-909733|Interferon alpha/beta signaling|-33.4;GO:0009615|response to virus|-33.0
MyList_MCODE_ALL,R-HSA-913531|Interferon Signaling|-45.0;R-HSA-909733|Interferon alpha/beta signaling|-42.8;R-HSA-1280215|Cytokine Signaling in Immune system|-40.2
MyList_SUB1_MCODE_1,R-HSA-909733|Interferon alpha/beta signaling|-58.9;R-HSA-913531|Interferon Signaling|-47.8;GO:0051607|defense response to virus|-35.5
MyList_SUB1_MCODE_2,R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation|-16.0;R-HSA-983169|Class I MHC mediated antigen processing & presentation|-15.2;R-HSA-1280218|Adaptive Immune System|-12.4
MyList_SUB1_MCODE_3,ko04612|Antigen processing and presentation|-8.4;hsa04612|Antigen processing and presentation |-8.4;R-HSA-114608|Platelet degranulation |-7.5
MyList_SUB1_MCODE_4,R-HSA-416476|G alpha (q) signalling events|-14.8;R-HSA-500792|GPCR ligand binding|-12.5;R-HSA-388396|GPCR downstream signalling|-11.6
MyList_SUB1_MCODE_5,R-HSA-381340|Transcriptional regulation of white adipocyte differentiation|-8.6;R-HSA-1989781|PPARA activates gene expression|-5.6;R-HSA-400206|Regulation of lipid metabolism by PPARalpha|-5.6
MyList_SUB1_MCODE_6,R-HSA-5676594|TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway|-16.2;R-HSA-5668541|TNFR2 non-canonical NF-kB pathway|-12.2;hsa04060|Cytokine-cytokine receptor interaction |-10.1
MyList_SUB1_MCODE_7,R-HSA-204005|COPII-mediated vesicle transport|-13.2;R-HSA-199977|ER to Golgi Anterograde Transport|-11.3;R-HSA-948021|Transport to the Golgi and subsequent modification|-10.9
MyList_SUB1_MCODE_8,R-HSA-877300|Interferon gamma signaling|-7.5;R-HSA-913531|Interferon Signaling|-6.5;R-HSA-1280215|Cytokine Signaling in Immune system|-4.8
MyList_SUB1_MCODE_9,R-HSA-2424491|DAP12 signaling|-9.0;R-HSA-2172127|DAP12 interactions|-8.4;GO:0001912|positive regulation of leukocyte mediated cytotoxicity|-8.1
MyList_SUB1_MCODE_10,R-HSA-5368286|Mitochondrial translation initiation|-7.5;R-HSA-5368287|Mitochondrial translation|-7.5;R-HSA-72766|Translation|-6.0
