Cluster,Score,Type,Gene,Symbol,Network
1,10.409090909090908,Clustered,10581,IFITM2,MyList_SUB1
1,10.409090909090908,Clustered,3665,IRF7,MyList_SUB1
1,10.409090909090908,Clustered,3660,IRF2,MyList_SUB1
1,10.409090909090908,Clustered,8519,IFITM1,MyList_SUB1
1,10.409090909090908,Clustered,10410,IFITM3,MyList_SUB1
1,10.409090909090908,Clustered,6773,STAT2,MyList_SUB1
1,10.409090909090908,Clustered,8638,OASL,MyList_SUB1
1,10.409090909090908,Clustered,91543,RSAD2,MyList_SUB1
1,10.409090909090908,Clustered,4599,MX1,MyList_SUB1
1,10.409090909090908,Clustered,4600,MX2,MyList_SUB1
1,10.409090909090908,Clustered,684,BST2,MyList_SUB1
1,10.409090909090908,Seed,2537,IFI6,MyList_SUB1
1,10.409090909090908,Clustered,10379,IRF9,MyList_SUB1
1,10.409090909090908,Clustered,4940,OAS3,MyList_SUB1
1,10.409090909090908,Clustered,3433,IFIT2,MyList_SUB1
1,10.409090909090908,Clustered,3434,IFIT1,MyList_SUB1
1,10.409090909090908,Clustered,54739,XAF1,MyList_SUB1
1,10.409090909090908,Clustered,3105,HLA-A,MyList_SUB1
1,10.409090909090908,Clustered,3430,IFI35,MyList_SUB1
1,10.409090909090908,Clustered,4938,OAS1,MyList_SUB1
1,10.409090909090908,Clustered,3669,ISG20,MyList_SUB1
1,10.409090909090908,Clustered,3437,IFIT3,MyList_SUB1
2,3.727272727272727,Clustered,9636,ISG15,MyList_SUB1
2,3.727272727272727,Seed,84727,SPSB2,MyList_SUB1
2,3.727272727272727,Clustered,9246,UBE2L6,MyList_SUB1
2,3.727272727272727,Clustered,10616,RBCK1,MyList_SUB1
2,3.727272727272727,Clustered,6502,SKP2,MyList_SUB1
2,3.727272727272727,Clustered,140691,TRIM69,MyList_SUB1
2,3.727272727272727,Clustered,10393,ANAPC10,MyList_SUB1
2,3.727272727272727,Clustered,63891,RNF123,MyList_SUB1
2,3.727272727272727,Clustered,51191,HERC5,MyList_SUB1
2,3.727272727272727,Clustered,5610,EIF2AK2,MyList_SUB1
2,3.727272727272727,Clustered,51619,UBE2D4,MyList_SUB1
4,3.0,Clustered,2793,GNGT2,MyList_SUB1
4,3.0,Clustered,29933,GPR132,MyList_SUB1
4,3.0,Seed,10800,CYSLTR1,MyList_SUB1
4,3.0,Clustered,94235,GNG8,MyList_SUB1
4,3.0,Clustered,6375,XCL1,MyList_SUB1
4,3.0,Clustered,10161,LPAR6,MyList_SUB1
4,3.0,Clustered,6846,XCL2,MyList_SUB1
6,2.0,Seed,8740,TNFSF14,MyList_SUB1
6,2.0,Clustered,4050,LTB,MyList_SUB1
6,2.0,Clustered,959,CD40LG,MyList_SUB1
6,2.0,Clustered,8742,TNFSF12,MyList_SUB1
6,2.0,Clustered,4049,LTA,MyList_SUB1
7,1.7999999999999998,Clustered,6811,STX5,MyList_SUB1
7,1.7999999999999998,Clustered,374,AREG,MyList_SUB1
7,1.7999999999999998,Clustered,10175,CNIH1,MyList_SUB1
7,1.7999999999999998,Seed,8775,NAPA,MyList_SUB1
7,1.7999999999999998,Clustered,126003,TRAPPC5,MyList_SUB1
3,1.625,Clustered,2,A2M,MyList_SUB1
3,1.625,Clustered,1191,CLU,MyList_SUB1
3,1.625,Clustered,7076,TIMP1,MyList_SUB1
3,1.625,Seed,3811,KIR3DL1,MyList_SUB1
3,1.625,Clustered,1,A1BG,MyList_SUB1
3,1.625,Clustered,3812,KIR3DL2,MyList_SUB1
3,1.625,Clustered,567,B2M,MyList_SUB1
3,1.625,Clustered,3804,KIR2DL3,MyList_SUB1
5,1.5714285714285714,Clustered,9412,MED21,MyList_SUB1
5,1.5714285714285714,Clustered,6908,TBP,MyList_SUB1
5,1.5714285714285714,Clustered,2353,FOS,MyList_SUB1
5,1.5714285714285714,Clustered,1052,CEBPD,MyList_SUB1
5,1.5714285714285714,Clustered,8334,H2AC6,MyList_SUB1
5,1.5714285714285714,Clustered,85441,HELZ2,MyList_SUB1
5,1.5714285714285714,Seed,80306,MED28,MyList_SUB1
8,1.0,Clustered,4502,MT2A,MyList_SUB1
8,1.0,Seed,10346,TRIM22,MyList_SUB1
8,1.0,Clustered,2635,GBP3,MyList_SUB1
9,1.0,Clustered,3822,KLRC2,MyList_SUB1
9,1.0,Clustered,7305,TYROBP,MyList_SUB1
9,1.0,Seed,22914,KLRK1,MyList_SUB1
10,1.0,Clustered,219402,MTIF3,MyList_SUB1
10,1.0,Seed,28977,MRPL42,MyList_SUB1
10,1.0,Clustered,10240,MRPS31,MyList_SUB1
