_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-61,COVID362,M1,1,0,COVID,200,RNA_Zhang_B-cells_severe-and-moderate_Up,,-61,37,40,28160,74,464,45,9.7,1.4,567|684|2537|3105|3430|3434|3437|3512|3665|3669|4061|4502|4599|4600|4938|4940|5359|5610|6772|8519|8743|9111|9246|9636|10346|10410|10561|10581|10589|10964|11274|27244|51056|51191|54739|54809|55337|55840|81030|84941|94240|129607|152926|219285|440836,B2M|BST2|IFI6|HLA-A|IFI35|IFIT1|IFIT3|JCHAIN|IRF7|ISG20|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|IFITM1|TNFSF10|NMI|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFITM2|DRAP1|IFI44L|USP18|SESN1|LAP3|HERC5|XAF1|SAMD9|SHFL|EAF2|ZBP1|HSH2D|EPSTI1|CMPK2|PPM1K|SAMD9L|ODF3B,-56,0
1,-60,COVID353,M1,1,0,COVID,200,RNA_Zhang_Monocytes_severe-and-moderate_Up,,-60,25,36,28160,127,464,53,11,1.5,567|684|1191|1521|2537|3105|3430|3433|3434|3437|3512|3665|3669|3965|4061|4502|4599|4600|4938|4940|5359|5610|5790|6772|6773|8519|8638|8743|9111|9246|9528|9636|10346|10410|10561|10581|10964|11274|26010|51056|51191|51251|51510|54739|54809|55303|64135|81030|91351|91543|94240|129607|219285,B2M|BST2|CLU|CTSW|IFI6|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|JCHAIN|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|PTPRCAP|STAT1|STAT2|IFITM1|OASL|TNFSF10|NMI|UBE2L6|TMEM59|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|USP18|SPATS2L|LAP3|HERC5|NT5C3A|CHMP5|XAF1|SAMD9|GIMAP4|IFIH1|ZBP1|DDX60L|RSAD2|EPSTI1|CMPK2|SAMD9L,-56,0
1,-56,COVID050,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-56,14,29,28160,300,464,68,15,1.6,374|567|684|1843|2353|2635|3105|3430|3433|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4940|5610|6772|6773|8519|8638|8743|8775|9111|9246|9473|9636|10346|10410|10561|10581|10616|10964|11080|11274|23424|23586|24138|27074|51056|51191|51251|51513|54739|54809|55337|55601|64108|64135|64167|79132|80021|81030|84875|84941|85441|87178|91351|91543|94240|129607|140691|152926|219285,AREG|B2M|BST2|DUSP1|FOS|GBP3|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|EIF2AK2|STAT1|STAT2|IFITM1|OASL|TNFSF10|NAPA|NMI|UBE2L6|THEMIS2|ISG15|TRIM22|IFITM3|IFI44|IFITM2|RBCK1|IFI44L|DNAJB4|USP18|TDRD7|DDX58|IFIT5|LAMP3|LAP3|HERC5|NT5C3A|ETV7|XAF1|SAMD9|SHFL|DDX60|RTP4|IFIH1|ERAP2|DHX58|TMEM62|ZBP1|PARP10|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|TRIM69|PPM1K|SAMD9L,-52,0
1,-52,COVID011,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2-ruxolitinib_Down,,-52,15,29,28160,233,464,59,13,1.5,684|2537|2635|3430|3433|3434|3437|3665|3669|4061|4502|4599|4600|4938|4940|5359|5610|6772|6773|8519|8638|8743|9111|9246|9473|9636|10346|10379|10410|10561|10581|10964|11274|11277|23424|23586|24138|27074|51056|51131|51191|54739|54809|55337|55601|64135|64167|79132|80021|84875|84941|85441|87178|91351|91543|94240|129607|152926|219285,BST2|IFI6|GBP3|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|STAT2|IFITM1|OASL|TNFSF10|NMI|UBE2L6|THEMIS2|ISG15|TRIM22|IRF9|IFITM3|IFI44|IFITM2|IFI44L|USP18|TREX1|TDRD7|DDX58|IFIT5|LAMP3|LAP3|PHF11|HERC5|XAF1|SAMD9|SHFL|DDX60|IFIH1|ERAP2|DHX58|TMEM62|PARP10|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|PPM1K|SAMD9L,-48,0
1,-51,COVID356,M1,1,0,COVID,200,RNA_Zhang_NK-cells_severe-and-moderate_Up,,-51,27,33,28160,95,464,43,9.3,1.3,241|684|1521|2537|3105|3430|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4940|5359|5610|5790|6772|8519|8638|9246|9636|10346|10410|10561|10964|11274|51348|51510|54739|54809|55337|81030|91543|94240|114769|129607|152926|219285|440836,ALOX5AP|BST2|CTSW|IFI6|HLA-A|IFI35|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|PTPRCAP|STAT1|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFI44L|USP18|KLRF1|CHMP5|XAF1|SAMD9|SHFL|ZBP1|RSAD2|EPSTI1|CARD16|CMPK2|PPM1K|SAMD9L|ODF3B,-47,0
1,-49,COVID359,M1,1,0,COVID,200,RNA_Zhang_T-cells_severe-and-moderate_Up,,-49,21,31,28160,139,464,48,10,1.4,241|567|684|1521|2537|3105|3430|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4940|5359|5610|5790|6772|8519|8638|9246|9636|10346|10410|10561|10581|10589|10964|11274|51131|51348|51510|54739|54809|55303|55337|81030|84941|91543|94240|114769|129607|152926|219285,ALOX5AP|B2M|BST2|CTSW|IFI6|HLA-A|IFI35|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|PTPRCAP|STAT1|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFITM2|DRAP1|IFI44L|USP18|PHF11|KLRF1|CHMP5|XAF1|SAMD9|GIMAP4|SHFL|ZBP1|HSH2D|RSAD2|EPSTI1|CARD16|CMPK2|PPM1K|SAMD9L,-46,0
1,-49,COVID048,M1,1,0,COVID,200,RNA_Wyler_Calu-3_12h_Up,,-49,13,26,28160,300,464,62,13,1.6,843|1843|2635|3430|3433|3434|3437|3660|3665|3669|3965|4502|4599|4600|4938|4940|5359|5610|6772|6773|8638|8743|9111|9246|9473|9636|10346|10379|10561|10581|10964|11080|11274|23424|23586|24138|27074|51056|51131|51191|51251|51513|54739|54809|55337|55601|64108|64135|64167|79132|84875|84941|85441|87178|91351|91543|94240|129607|140691|152926|219285|219790,CASP10|DUSP1|GBP3|IFI35|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|LGALS9|MT2A|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|STAT2|OASL|TNFSF10|NMI|UBE2L6|THEMIS2|ISG15|TRIM22|IRF9|IFI44|IFITM2|IFI44L|DNAJB4|USP18|TDRD7|DDX58|IFIT5|LAMP3|LAP3|PHF11|HERC5|NT5C3A|ETV7|XAF1|SAMD9|SHFL|DDX60|RTP4|IFIH1|ERAP2|DHX58|PARP10|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|TRIM69|PPM1K|SAMD9L|RTKN2,-45,0
1,-45,COVID016,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-45,12,25,28160,300,464,59,13,1.5,969|1843|2635|3430|3433|3434|3437|3665|3669|3965|4050|4502|4599|4600|4616|4938|4940|5359|5610|6303|6772|6773|8519|8638|8743|9111|9246|9473|9636|10346|10379|10561|10964|11274|23424|23586|24138|27074|51056|51131|51191|51513|54739|54809|55601|64108|64135|79132|81030|84875|84941|85441|87178|91351|91543|94240|129607|152926|219285,CD69|DUSP1|GBP3|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LTB|MT2A|MX1|MX2|GADD45B|OAS1|OAS3|PLSCR1|EIF2AK2|SAT1|STAT1|STAT2|IFITM1|OASL|TNFSF10|NMI|UBE2L6|THEMIS2|ISG15|TRIM22|IRF9|IFI44|IFI44L|USP18|TDRD7|DDX58|IFIT5|LAMP3|LAP3|PHF11|HERC5|ETV7|XAF1|SAMD9|DDX60|RTP4|IFIH1|DHX58|ZBP1|PARP10|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|PPM1K|SAMD9L,-41,0
1,-38,COVID273,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C1A-mild_Up,,-38,41,33,28160,40,464,27,5.8,1.1,567|2537|3105|3437|3669|4061|4599|4600|4938|4940|5359|5610|6772|9636|10346|10410|10561|10581|10964|51056|54739|54809|55601|91351|91543|94240|219285,B2M|IFI6|HLA-A|IFIT3|ISG20|LY6E|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|LAP3|XAF1|SAMD9|DDX60|DDX60L|RSAD2|EPSTI1|SAMD9L,-35,0
1,-32,COVID014,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-low-MOI_Up,,-32,40,30,28160,35,464,23,5,1,2537|3430|3433|3434|3437|3665|4599|4938|4940|5359|5610|6772|8638|9636|10379|23586|54809|55601|64135|84875|85441|129607|219285,IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF7|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|OASL|ISG15|IRF9|DDX58|SAMD9|DDX60|IFIH1|PARP10|HELZ2|CMPK2|SAMD9L,-29,0
