_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.6,TRR00602,M1,1,0,TRRUST,34,Regulated by: IRF1,,-5.6,9,7.6,28160,54,464,8,1.7,0.6,3105|3437|3660|5610|8743|10346|23586|64167,HLA-A|IFIT3|IRF2|EIF2AK2|TNFSF10|TRIM22|DDX58|ERAP2,-3,0
1,-3.8,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-3.8,5.1,5.2,28160,95,464,8,1.7,0.6,959|1514|3437|3665|5359|6773|7076|54739,CD40LG|CTSL|IFIT3|IRF7|PLSCR1|STAT2|TIMP1|XAF1,-1.4,0
1,-3.4,TRR00075,M1,1,0,TRRUST,34,Regulated by: BRCA1,,-3.4,6.2,5.1,28160,59,464,6,1.3,0.52,374|2353|3665|6772|6773|10379,AREG|FOS|IRF7|STAT1|STAT2|IRF9,-1,0
1,-3.3,TRR01282,M1,1,0,TRRUST,34,Regulated by: STAT6,,-3.3,7.6,5.4,28160,40,464,5,1.1,0.48,1154|1843|2353|6772|10800,CISH|DUSP1|FOS|STAT1|CYSLTR1,-0.99,0
1,-3.1,TRR01276,M1,1,0,TRRUST,34,Regulated by: STAT2,,-3.1,15,6.4,28160,12,464,3,0.65,0.37,950|3437|6772,SCARB2|IFIT3|STAT1,-0.8,0
1,-2.9,TRR00129,M1,1,0,TRRUST,34,Regulated by: CREB5,,-2.9,14,6.1,28160,13,464,3,0.65,0.37,4599|6772|8992,MX1|STAT1|ATP6V0E1,-0.7,0
1,-2.8,TRR00757,M1,1,0,TRRUST,34,Regulated by: MITF,,-2.8,7.8,4.9,28160,31,464,4,0.86,0.43,597|959|2353|23424,BCL2A1|CD40LG|FOS|TDRD7,-0.58,0
1,-2.5,TRR00647,M1,1,0,TRRUST,34,Regulated by: JUND,,-2.5,6.6,4.4,28160,37,464,4,0.86,0.43,959|1191|6659|7076,CD40LG|CLU|SOX4|TIMP1,-0.36,0
1,-2.4,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-2.4,2.4,3.3,28160,332,464,13,2.8,0.77,241|374|597|959|969|3105|3665|6772|6908|7076|8740|8743|64167,ALOX5AP|AREG|BCL2A1|CD40LG|CD69|HLA-A|IRF7|STAT1|TBP|TIMP1|TNFSF14|TNFSF10|ERAP2,-0.31,0
1,-2.4,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-2.4,2.3,3.2,28160,338,464,13,2.8,0.77,2|241|374|567|597|959|969|3665|6908|7076|8740|8743|64167,A2M|ALOX5AP|AREG|B2M|BCL2A1|CD40LG|CD69|IRF7|TBP|TIMP1|TNFSF14|TNFSF10|ERAP2,-0.27,0
1,-2.3,TRR01277,M1,1,0,TRRUST,34,Regulated by: STAT3,,-2.3,3,3.3,28160,161,464,8,1.7,0.6,2|374|1154|2353|3315|4938|6772|7076,A2M|AREG|CISH|FOS|HSPB1|OAS1|STAT1|TIMP1,-0.21,0
1,-2.3,TRR00263,M1,1,0,TRRUST,34,Regulated by: ELK1,,-2.3,8.3,4.4,28160,22,464,3,0.65,0.37,2353|5610|6502,FOS|EIF2AK2|SKP2,-0.21,0
1,-2.2,TRR00781,M1,1,0,TRRUST,34,Regulated by: MYCN,,-2.2,5.3,3.8,28160,46,464,4,0.86,0.43,1191|3105|6502|54674,CLU|HLA-A|SKP2|LRRN3,-0.13,0
1,-2.1,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-2.1,2.8,3.1,28160,174,464,8,1.7,0.6,360|1843|5564|6285|6772|8379|9338|10346,AQP3|DUSP1|PRKAB1|S100B|STAT1|MAD1L1|TCEAL1|TRIM22,-0.064,0
1,-2,TRR00004,M1,1,0,TRRUST,34,Regulated by: AHR,,-2,6.7,3.9,28160,27,464,3,0.65,0.37,901|2353|4502,CCNG2|FOS|MT2A,-0.023,0
