Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-55,8.1,24,28160,692,461,92,20,1.9,332|641|672|675|890|891|983|991|1021|1062|1063|1719|1859|1871|2033|2237|3012|3014|3017|3978|4001|4171|4172|4173|4174|4175|4176|4928|4999|5111|5116|5347|5424|5932|6241|7027|7083|7153|7280|7283|7298|7468|7533|8338|8358|8364|8697|9088|9126|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|22974|23133|23141|23198|23225|23332|23345|23511|23649|25777|26271|29781|51053|51512|51659|54892|55055|55135|55143|55839|55920|63967|79019|79682|80169|81620|84790|151246|200014|203068|387103,BIRC5|BLM|BRCA1|BRCA2|CCNA2|CCNB1|CDK1|CDC20|CDK6|CENPE|CENPF|DHFR|DYRK1A|E2F3|EP300|FEN1|H2AC8|H2AX|H2BC5|LIG1|LMNB1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PCNA|PCNT|PLK1|POLD1|RBBP8|RRM2|TFDP1|TK1|TOP2A|TUBB2A|TUBG1|TYMS|NSD2|YWHAH|H2AC20|H3C2|H4C3|CDC23|PKMYT1|SMC3|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|TPX2|PHF8|ANKLE2|PSME4|NUP210|CLASP1|SYNE1|NUP188|POLA2|SUN2|FBXO5|NCAPH2|GMNN|GTSE1|GINS2|NCAPG2|ZWILCH|WRAP53|CDCA8|CENPN|RCC2|CLSPN|CENPM|CENPU|CTC1|CDT1|TUBA1C|SGO2|CC2D1B|TUBB|CENPW,-52
MyList,Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-50,8.7,24,28160,561,461,80,17,1.8,332|890|891|983|991|1021|1062|1063|1719|1859|1871|2033|2237|3012|3014|3017|3978|4001|4171|4172|4173|4174|4175|4176|4928|4999|5111|5116|5347|5424|6241|7027|7083|7153|7280|7283|7298|8338|8358|8364|8697|9088|9126|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|22974|23133|23141|23198|23225|23332|23511|23649|26271|29781|51053|51512|51659|54892|55055|55143|55839|55920|79019|79682|81620|84790|151246|200014|203068,BIRC5|CCNA2|CCNB1|CDK1|CDC20|CDK6|CENPE|CENPF|DHFR|DYRK1A|E2F3|EP300|FEN1|H2AC8|H2AX|H2BC5|LIG1|LMNB1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PCNA|PCNT|PLK1|POLD1|RRM2|TFDP1|TK1|TOP2A|TUBB2A|TUBG1|TYMS|H2AC20|H3C2|H4C3|CDC23|PKMYT1|SMC3|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|TPX2|PHF8|ANKLE2|PSME4|NUP210|CLASP1|NUP188|POLA2|FBXO5|NCAPH2|GMNN|GTSE1|GINS2|NCAPG2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|CDT1|TUBA1C|SGO2|CC2D1B|TUBB,-47
MyList,GO Biological Processes,19,GO:1903047,mitotic cell cycle process,19_GO:0009987 cellular process,-41,6.6,20,28160,726,461,79,17,1.8,288|641|672|675|890|891|983|991|1021|1033|1062|1063|1164|1213|1642|1871|1981|2146|2316|3064|3833|3978|4171|4172|4173|4175|4288|5111|5116|5347|5471|5932|6711|6867|7027|7273|7283|8450|8697|9088|9113|9126|9133|9150|9232|9585|9787|9918|10051|10270|10274|10403|10592|11065|11130|22974|23133|23141|23332|25777|25942|26057|26271|29072|29127|29781|51203|51512|54892|55055|55143|55743|55920|63967|80169|81620|112574|151246|283489,ANK3|BLM|BRCA1|BRCA2|CCNA2|CCNB1|CDK1|CDC20|CDK6|CDKN3|CENPE|CENPF|CKS2|CLTC|DDB1|E2F3|EIF4G1|EZH2|FLNA|HTT|KIFC1|LIG1|MCM2|MCM3|MCM4|MCM6|MKI67|PCNA|PCNT|PLK1|PPAT|RBBP8|SPTBN1|TACC1|TFDP1|TTN|TUBG1|CUL4B|CDC23|PKMYT1|LATS1|SMC3|CCNB2|CTDP1|PTTG1|KIF20B|DLGAP5|NCAPD2|SMC4|AKAP8|STAG1|NDC80|SMC2|UBE2C|ZWINT|TPX2|PHF8|ANKLE2|CLASP1|SUN2|SIN3A|ANKRD17|FBXO5|SETD2|RACGAP1|NCAPH2|NUSAP1|GTSE1|NCAPG2|ZWILCH|CDCA8|CHFR|RCC2|CLSPN|CTC1|CDT1|SNX18|SGO2|CHAMP1,-37
MyList,Reactome Gene Sets,6,R-HSA-68886,M Phase,,-29,7.5,17,28160,418,461,51,11,1.5,332|891|983|991|1062|1063|3012|3014|3017|4001|4928|5116|5347|7280|7283|8338|8358|8364|8697|9126|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|23133|23141|23198|23225|23332|23511|26271|29781|54892|55055|55143|55839|55920|79019|79682|84790|151246|200014|203068,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|H2AC8|H2AX|H2BC5|LMNB1|NUP98|PCNT|PLK1|TUBB2A|TUBG1|H2AC20|H3C2|H4C3|CDC23|SMC3|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|PHF8|ANKLE2|PSME4|NUP210|CLASP1|NUP188|FBXO5|NCAPH2|NCAPG2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|CC2D1B|TUBB,-26
MyList,GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-27,11,19,28160,205,461,37,8,1.3,891|991|1062|1063|1663|2237|3833|5347|7153|7155|7273|7283|8697|9113|9126|9232|9787|9918|10051|10270|10274|10403|10592|11065|11130|26271|29127|29781|51203|54892|55055|55143|55294|55743|81620|151246|283489,CCNB1|CDC20|CENPE|CENPF|DDX11|FEN1|KIFC1|PLK1|TOP2A|TOP2B|TTN|TUBG1|CDC23|LATS1|SMC3|PTTG1|DLGAP5|NCAPD2|SMC4|AKAP8|STAG1|NDC80|SMC2|UBE2C|ZWINT|FBXO5|RACGAP1|NCAPH2|NUSAP1|NCAPG2|ZWILCH|CDCA8|FBXW7|CHFR|CDT1|SGO2|CHAMP1,-24
MyList,GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-26,7.9,17,28160,347,461,45,9.8,1.4,332|672|891|991|1062|1063|1663|2237|3833|4288|5347|7153|7155|7273|7283|7917|8697|9113|9126|9232|9787|9918|10051|10270|10274|10403|10592|11065|11130|26271|29127|29781|51203|54892|55055|55143|55294|55743|55839|55920|79677|81620|151246|283489|387103,BIRC5|BRCA1|CCNB1|CDC20|CENPE|CENPF|DDX11|FEN1|KIFC1|MKI67|PLK1|TOP2A|TOP2B|TTN|TUBG1|BAG6|CDC23|LATS1|SMC3|PTTG1|DLGAP5|NCAPD2|SMC4|AKAP8|STAG1|NDC80|SMC2|UBE2C|ZWINT|FBXO5|RACGAP1|NCAPH2|NUSAP1|NCAPG2|ZWILCH|CDCA8|FBXW7|CHFR|CENPN|RCC2|SMC6|CDT1|SGO2|CHAMP1|CENPW,-23
MyList,GO Biological Processes,19,GO:0071103,DNA conformation change,19_GO:0009987 cellular process,-26,8.2,17,28160,319,461,43,9.3,1.4,641|891|983|1660|1663|3006|3007|3008|3009|3014|3017|3070|3149|3159|4171|4172|4173|4174|4175|4176|5347|6839|7153|7155|7273|7994|8358|8364|8932|9918|10036|10051|10155|10270|10592|23133|23198|29781|51203|54892|55723|55729|387103,BLM|CCNB1|CDK1|DHX9|DDX11|H1-2|H1-3|H1-4|H1-5|H2AX|H2BC5|HELLS|HMGB3|HMGA1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|PLK1|SUV39H1|TOP2A|TOP2B|TTN|KAT6A|H3C2|H4C3|MBD2|NCAPD2|CHAF1A|SMC4|TRIM28|AKAP8|SMC2|PHF8|PSME4|NCAPH2|NUSAP1|NCAPG2|ASF1B|ATF7IP|CENPW,-23
MyList,GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-26,5.7,15,28160,613,461,57,12,1.5,288|332|641|675|890|891|983|991|1021|1062|1063|1164|1213|3070|3833|3978|4627|5339|5347|5932|6711|6867|7153|8697|9113|9126|9133|9150|9232|9585|9918|10051|10274|10376|10403|10592|11065|11130|22974|23141|23332|26271|29072|29127|51203|54892|55055|55143|55743|55920|81620|84790|112574|151246|203068|259266|387103,ANK3|BIRC5|BLM|BRCA2|CCNA2|CCNB1|CDK1|CDC20|CDK6|CENPE|CENPF|CKS2|CLTC|HELLS|KIFC1|LIG1|MYH9|PLEC|PLK1|RBBP8|SPTBN1|TACC1|TOP2A|CDC23|LATS1|SMC3|CCNB2|CTDP1|PTTG1|KIF20B|NCAPD2|SMC4|STAG1|TUBA1B|NDC80|SMC2|UBE2C|ZWINT|TPX2|ANKLE2|CLASP1|FBXO5|SETD2|RACGAP1|NUSAP1|NCAPG2|ZWILCH|CDCA8|CHFR|RCC2|CDT1|TUBA1C|SNX18|SGO2|TUBB|ASPM|CENPW,-23
MyList,Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-25,8.5,17,28160,294,461,41,8.9,1.3,332|641|672|890|891|983|991|1062|1063|3014|3017|4171|4172|4173|4174|4175|4176|4928|4999|5347|5932|7468|7533|8364|8697|9088|9133|10403|11065|11130|23198|23332|51512|55055|55143|55839|55920|63967|79019|79682|151246,BIRC5|BLM|BRCA1|CCNA2|CCNB1|CDK1|CDC20|CENPE|CENPF|H2AX|H2BC5|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PLK1|RBBP8|NSD2|YWHAH|H4C3|CDC23|PKMYT1|CCNB2|NDC80|UBE2C|ZWINT|PSME4|CLASP1|GTSE1|ZWILCH|CDCA8|CENPN|RCC2|CLSPN|CENPM|CENPU|SGO2,-22
MyList,GO Biological Processes,19,GO:0016569,covalent chromatin modification,19_GO:0008152 metabolic process,-24,6.2,15,28160,481,461,49,11,1.4,672|675|890|891|983|1387|1487|1642|2033|2146|3006|3009|3054|3070|3662|5339|5580|6018|6839|6907|7468|7874|7994|8450|8888|8932|8986|9031|9862|10155|10270|11091|23028|23067|23133|23326|23429|25942|26147|29072|29128|51043|51564|54892|55209|55729|55809|57634|339287,BRCA1|BRCA2|CCNA2|CCNB1|CDK1|CREBBP|CTBP1|DDB1|EP300|EZH2|H1-2|H1-5|HCFC1|HELLS|IRF4|PLEC|PRKCD|RLF|SUV39H1|TBL1X|NSD2|USP7|KAT6A|CUL4B|MCM3AP|MBD2|RPS6KA4|BAZ1B|MED24|TRIM28|AKAP8|WDR5|KDM1A|SETD1B|PHF8|USP22|RYBP|SIN3A|PHF19|SETD2|UHRF1|ZBTB7B|HDAC7|NCAPG2|SETD5|ATF7IP|TRERF1|EP400|MSL1,-21
