Cluster,Score,Type,Gene,Symbol,Network
3,9.5,Clustered,55920,RCC2,MyList_SUB1
3,9.5,Clustered,991,CDC20,MyList_SUB1
3,9.5,Clustered,983,CDK1,MyList_SUB1
3,9.5,Clustered,79682,CENPU,MyList_SUB1
3,9.5,Clustered,151246,SGO2,MyList_SUB1
3,9.5,Clustered,55839,CENPN,MyList_SUB1
3,9.5,Clustered,79019,CENPM,MyList_SUB1
3,9.5,Clustered,9133,CCNB2,MyList_SUB1
3,9.5,Clustered,9126,SMC3,MyList_SUB1
3,9.5,Clustered,5347,PLK1,MyList_SUB1
3,9.5,Clustered,891,CCNB1,MyList_SUB1
3,9.5,Clustered,23332,CLASP1,MyList_SUB1
3,9.5,Clustered,332,BIRC5,MyList_SUB1
3,9.5,Seed,55055,ZWILCH,MyList_SUB1
3,9.5,Clustered,10403,NDC80,MyList_SUB1
3,9.5,Clustered,1063,CENPF,MyList_SUB1
3,9.5,Clustered,1062,CENPE,MyList_SUB1
3,9.5,Clustered,55143,CDCA8,MyList_SUB1
3,9.5,Clustered,10274,STAG1,MyList_SUB1
3,9.5,Clustered,11130,ZWINT,MyList_SUB1
4,7.944444444444445,Clustered,55723,ASF1B,MyList_SUB1
4,7.944444444444445,Clustered,8358,H3C2,MyList_SUB1
4,7.944444444444445,Clustered,3007,H1-3,MyList_SUB1
4,7.944444444444445,Clustered,23028,KDM1A,MyList_SUB1
4,7.944444444444445,Clustered,9031,BAZ1B,MyList_SUB1
4,7.944444444444445,Clustered,3009,H1-5,MyList_SUB1
4,7.944444444444445,Clustered,8364,H4C3,MyList_SUB1
4,7.944444444444445,Clustered,3006,H1-2,MyList_SUB1
4,7.944444444444445,Clustered,1387,CREBBP,MyList_SUB1
4,7.944444444444445,Clustered,3017,H2BC5,MyList_SUB1
4,7.944444444444445,Clustered,8969,H2AC11,MyList_SUB1
4,7.944444444444445,Clustered,3014,H2AX,MyList_SUB1
4,7.944444444444445,Clustered,3012,H2AC8,MyList_SUB1
4,7.944444444444445,Clustered,2033,EP300,MyList_SUB1
