_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-34,COVID007,M1,1,0,COVID,200,RNA_Blanco-Melo_A549_Down,,-34,9.6,20,28160,300,500,51,10,1.4,81|332|891|1164|1719|2146|2237|3014|3054|3833|3838|3978|4001|4171|4172|4173|4174|4175|4176|4288|5111|5347|5424|5763|6241|6576|6839|6941|7064|7083|7283|9088|9918|10024|10036|10376|10383|10452|11130|23649|26147|29089|29128|51512|51659|55135|55627|55684|55723|89891|283871,ACTN4|BIRC5|CCNB1|CKS2|DHFR|EZH2|FEN1|H2AX|HCFC1|KIFC1|KPNA2|LIG1|LMNB1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|MKI67|PCNA|PLK1|POLD1|PTMS|RRM2|SLC25A1|SUV39H1|TCF19|THOP1|TK1|TUBG1|PKMYT1|NCAPD2|TROAP|CHAF1A|TUBA1B|TUBB4B|TOMM40|ZWINT|POLA2|PHF19|UBE2T|UHRF1|GTSE1|GINS2|WRAP53|SMPD4|RABL6|ASF1B|DYNC2I2|PGP,-30,0
1,-32,COVID055,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,,-32,9.8,20,28160,277,500,48,9.6,1.3,302|991|1503|1994|2011|2146|3007|3009|4001|4173|4288|4650|4928|5093|5339|5347|5469|6197|6711|6949|7153|7273|8570|9612|9883|9919|9922|10036|10383|22974|23141|23225|23246|23332|23367|23511|23649|29127|54471|54890|55627|57634|79026|83879|124245|147179|283149|100101267,ANXA2|CDC20|CTPS1|ELAVL1|MARK2|EZH2|H1-3|H1-5|LMNB1|MCM4|MKI67|MYO9B|NUP98|PCBP1|PLEC|PLK1|MED1|RPS6KA3|SPTBN1|TCOF1|TOP2A|TTN|KHSRP|NCOR2|POM121|SEC16A|IQSEC1|CHAF1A|TUBB4B|TPX2|ANKLE2|NUP210|BOP1|CLASP1|LARP1|NUP188|POLA2|RACGAP1|MIEF1|ALKBH5|SMPD4|EP400|AHNAK|CDCA7|ZC3H18|WIPF2|BCL9L|POM121C,-28,0
1,-22,COVID059,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-22,7.3,15,28160,300,500,39,7.8,1.2,302|991|1063|1994|2011|2316|3006|3007|4001|4173|4288|4928|5347|5469|6574|6949|7153|8697|9031|9088|9612|9919|22974|23141|23367|23649|25777|29028|29128|55201|55627|55920|57130|57186|57634|79026|79651|83879|283149,ANXA2|CDC20|CENPF|ELAVL1|MARK2|FLNA|H1-2|H1-3|LMNB1|MCM4|MKI67|NUP98|PLK1|MED1|SLC20A1|TCOF1|TOP2A|CDC23|BAZ1B|PKMYT1|NCOR2|SEC16A|TPX2|ANKLE2|LARP1|POLA2|SUN2|ATAD2|UHRF1|MAP1S|SMPD4|RCC2|ATP13A1|RALGAPA2|EP400|AHNAK|RHBDF2|CDCA7|BCL9L,-18,0
1,-21,COVID015,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Down,,-21,7.1,14,28160,300,500,38,7.6,1.2,332|891|991|1033|2189|2237|3014|3833|3838|3978|4001|4172|4173|4174|4175|4176|4288|5347|5424|6241|6576|7064|7153|7298|9787|9918|10376|10383|10452|11130|22974|51512|51659|54997|55723|79019|89891|283871,BIRC5|CCNB1|CDC20|CDKN3|FANCG|FEN1|H2AX|KIFC1|KPNA2|LIG1|LMNB1|MCM3|MCM4|MCM5|MCM6|MCM7|MKI67|PLK1|POLD1|RRM2|SLC25A1|THOP1|TOP2A|TYMS|DLGAP5|NCAPD2|TUBA1B|TUBB4B|TOMM40|ZWINT|TPX2|GTSE1|GINS2|TESC|ASF1B|CENPM|DYNC2I2|PGP,-17,0
1,-20,COVID061,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-20,6.9,14,28160,300,500,37,7.4,1.2,1503|1994|2011|2889|3006|3007|3054|4288|5347|6574|6744|6949|7273|8570|8697|9612|9883|9918|9919|10036|22974|23028|23141|23225|23332|23367|25777|25942|55201|57634|79026|79651|124245|200014|283149|283489|100101267,CTPS1|ELAVL1|MARK2|RAPGEF1|H1-2|H1-3|HCFC1|MKI67|PLK1|SLC20A1|ITPRID2|TCOF1|TTN|KHSRP|CDC23|NCOR2|POM121|NCAPD2|SEC16A|CHAF1A|TPX2|KDM1A|ANKLE2|NUP210|CLASP1|LARP1|SUN2|SIN3A|MAP1S|EP400|AHNAK|RHBDF2|ZC3H18|CC2D1B|BCL9L|CHAMP1|POM121C,-16,0
1,-19,COVID172,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF3_Down,,-19,6.8,13,28160,300,500,36,7.2,1.2,1642|2597|3070|3149|3978|4171|4172|4173|4175|4176|4288|5111|5424|6949|7153|7317|8570|8662|9343|9919|10036|10137|10155|10797|11091|22929|22974|23246|25929|55215|55729|79019|79968|84790|200014|203068,DDB1|GAPDH|HELLS|HMGB3|LIG1|MCM2|MCM3|MCM4|MCM6|MCM7|MKI67|PCNA|POLD1|TCOF1|TOP2A|UBA1|KHSRP|EIF3B|EFTUD2|SEC16A|CHAF1A|RBM12|TRIM28|MTHFD2|WDR5|SEPHS1|TPX2|BOP1|GEMIN5|FANCI|ATF7IP|CENPM|WDR76|TUBA1C|CC2D1B|TUBB,-15,0
1,-18,COVID134,M1,1,0,COVID,200,Proteome_Stukalov_A549-ACE2_24h_Down,,-18,6.6,13,28160,299,500,35,7,1.1,890|1021|1063|1164|1719|1981|3070|4173|4288|5116|5347|7298|7371|9787|10403|10620|11065|11130|22974|23013|23028|23133|23326|23649|25777|25942|26057|29028|29089|29128|55143|55274|55723|55729|79019,CCNA2|CDK6|CENPF|CKS2|DHFR|EIF4G1|HELLS|MCM4|MKI67|PCNT|PLK1|TYMS|UCK2|DLGAP5|NDC80|ARID3B|UBE2C|ZWINT|TPX2|SPEN|KDM1A|PHF8|USP22|POLA2|SUN2|SIN3A|ANKRD17|ATAD2|UBE2T|UHRF1|CDCA8|PHF10|ASF1B|ATF7IP|CENPM,-14,0
1,-18,COVID234,M1,1,0,COVID,200,Phosphoproteome_Klann_Caco-2_24h_Down,,-18,6.6,13,28160,300,500,35,7,1.1,672|1981|2146|3978|4171|4172|5469|5829|6574|6711|6744|6949|7916|8189|8661|8662|9031|9612|10620|23332|23367|23731|24149|25942|26057|55201|55729|57130|57186|57634|64783|79026|81620|84726|124245,BRCA1|EIF4G1|EZH2|LIG1|MCM2|MCM3|MED1|PXN|SLC20A1|SPTBN1|ITPRID2|TCOF1|PRRC2A|SYMPK|EIF3A|EIF3B|BAZ1B|NCOR2|ARID3B|CLASP1|LARP1|TMEM245|ZNF318|SIN3A|ANKRD17|MAP1S|ATF7IP|ATP13A1|RALGAPA2|EP400|RBM15|AHNAK|CDT1|PRRC2B|ZC3H18,-14,0
1,-17,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-17,6.4,13,28160,300,500,34,6.8,1.1,1063|1994|2011|2889|3006|3054|4001|4288|5093|5339|5347|6574|6744|6949|7153|7371|8697|9031|9612|9918|9919|22974|23141|23367|23649|29028|57186|57634|64783|79026|79651|83879|283149|283489,CENPF|ELAVL1|MARK2|RAPGEF1|H1-2|HCFC1|LMNB1|MKI67|PCBP1|PLEC|PLK1|SLC20A1|ITPRID2|TCOF1|TOP2A|UCK2|CDC23|BAZ1B|NCOR2|NCAPD2|SEC16A|TPX2|ANKLE2|LARP1|POLA2|ATAD2|RALGAPA2|EP400|RBM15|AHNAK|RHBDF2|CDCA7|BCL9L|CHAMP1,-14,0
1,-15,COVID005,M1,1,0,COVID,200,RNA_Appelberg_Huh-7_72h_Down,,-15,6,12,28160,300,500,32,6.4,1.1,1059|2316|3006|3014|3265|3958|4069|4627|4953|5339|5834|6494|6723|7064|7083|9088|10383|10452|10514|11332|22870|23246|23406|26173|29128|51564|54997|55544|57647|64005|79019|83858,CENPB|FLNA|H1-2|H2AX|HRAS|LGALS3|LYZ|MYH9|ODC1|PLEC|PYGB|SIPA1|SRM|THOP1|TK1|PKMYT1|TUBB4B|TOMM40|MYBBP1A|ACOT7|PPP6R1|BOP1|COTL1|INTS1|UHRF1|HDAC7|TESC|RBM38|DHX37|MYO1G|CENPM|ATAD3B,-12,0
