_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.1,GO:0001910,regulation of leukocyte mediated cytotoxicity,M1,1,0
1,-2.9,GO:0001906,cell killing,M1,1,0
1,-2.4,GO:0002689,negative regulation of leukocyte chemotaxis,M1,1,0
1,-5.8,GO:0039528,cytoplasmic pattern recognition receptor signaling pathway in response to virus,M1,1,0
1,-3,GO:0071706,tumor necrosis factor superfamily cytokine production,M1,1,0
1,-2.8,GO:0002285,lymphocyte activation involved in immune response,M1,1,0
1,-3.5,WP4558,Overview of interferons-mediated signaling pathway,M1,1,0
1,-6,GO:0002366,leukocyte activation involved in immune response,M1,1,0
1,-2,GO:0045668,negative regulation of osteoblast differentiation,M1,1,0
1,-3.3,GO:1900246,positive regulation of RIG-I signaling pathway,M1,1,0
1,-2.8,R-HSA-2424491,DAP12 signaling,M1,1,0
1,-3.5,GO:0032760,positive regulation of tumor necrosis factor production,M1,1,0
1,-2.7,hsa04060,Cytokine-cytokine receptor interaction ,M1,1,0
1,-3.6,GO:0007249,I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-2.1,WP581,EPO receptor signaling,M1,1,0
1,-2.1,GO:0062207,regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-8.7,GO:0045824,negative regulation of innate immune response,M1,1,0
1,-6.1,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.7,hsa04621,NOD-like receptor signaling pathway ,M1,1,0
1,-12,GO:0002252,immune effector process,M1,1,0
1,-3.5,M19336,ST TYPE I INTERFERON PATHWAY,M1,1,0
1,-2,GO:0036037,"CD8-positive, alpha-beta T cell activation",M1,1,0
1,-5.6,GO:0019724,B cell mediated immunity,M1,1,0
1,-3.9,hsa05160,Hepatitis C,M1,1,0
1,-2.9,WP3972,PDGFR-beta pathway,M1,1,0
1,-11,GO:0035455,response to interferon-alpha,M1,1,0
1,-2.2,GO:0002444,myeloid leukocyte mediated immunity,M1,1,0
1,-6.8,WP5039,SARS-CoV-2 innate immunity evasion and cell-specific immune response,M1,1,0
1,-2.6,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-3.8,GO:0002696,positive regulation of leukocyte activation,M1,1,0
1,-13,GO:1903900,regulation of viral life cycle,M1,1,0
1,-2.6,WP560,TGF-beta receptor signaling,M1,1,0
1,-2.4,GO:0051346,negative regulation of hydrolase activity,M1,1,0
1,-3.6,GO:0046631,alpha-beta T cell activation,M1,1,0
1,-8.7,GO:0016032,viral process,M1,1,0
1,-15,GO:0048525,negative regulation of viral process,M1,1,0
1,-3.8,ko04622,RIG-I-like receptor signaling pathway,M1,1,0
1,-3.2,R-HSA-1236977,Endosomal/Vacuolar pathway,M1,1,0
1,-3.6,GO:0046794,transport of virus,M1,1,0
1,-2.3,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-5,GO:0031343,positive regulation of cell killing,M1,1,0
1,-2.3,hsa05332,Graft-versus-host disease ,M1,1,0
1,-2.1,GO:0002685,regulation of leukocyte migration,M1,1,0
1,-2.3,ko05332,Graft-versus-host disease,M1,1,0
1,-5.4,GO:0034341,response to interferon-gamma,M1,1,0
1,-2.1,GO:0043299,leukocyte degranulation,M1,1,0
1,-2.1,R-HSA-933542,TRAF6 mediated NF-kB activation,M1,1,0
1,-2.1,R-HSA-9009391,Extra-nuclear estrogen signaling,M1,1,0
1,-2.4,GO:0002702,positive regulation of production of molecular mediator of immune response,M1,1,0
1,-3,GO:0052548,regulation of endopeptidase activity,M1,1,0
1,-2.7,ko04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-3.8,hsa05169,Epstein-Barr virus infection,M1,1,0
1,-8.9,WP4868,Type I interferon induction and signaling during SARS-CoV-2 infection,M1,1,0
1,-8.1,GO:0046649,lymphocyte activation,M1,1,0
1,-2.3,GO:2000404,regulation of T cell migration,M1,1,0
1,-3.9,GO:1901224,positive regulation of NIK/NF-kappaB signaling,M1,1,0
1,-8.3,GO:0060338,regulation of type I interferon-mediated signaling pathway,M1,1,0
1,-3.6,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-3.8,hsa04622,RIG-I-like receptor signaling pathway ,M1,1,0
1,-4.8,GO:0060759,regulation of response to cytokine stimulus,M1,1,0
1,-3.3,WP2113,Type III interferon signaling,M1,1,0
1,-2.4,GO:0030101,natural killer cell activation,M1,1,0
1,-2.3,GO:0071359,cellular response to dsRNA,M1,1,0
1,-2.4,R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,M1,1,0
1,-3.3,GO:0071676,negative regulation of mononuclear cell migration,M1,1,0
1,-4.4,hsa04612,Antigen processing and presentation ,M1,1,0
1,-7.2,GO:0002697,regulation of immune effector process,M1,1,0
1,-26,GO:0051607,defense response to virus,M1,1,0
1,-5.4,CORUM:60,Interferon-stimulated gene factor 3 transcription complex ISGF3,M1,1,0
1,-2,GO:0050870,positive regulation of T cell activation,M1,1,0
1,-2.5,GO:1901222,regulation of NIK/NF-kappaB signaling,M1,1,0
1,-2.6,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-7.6,R-HSA-1169408,ISG15 antiviral mechanism,M1,1,0
1,-2.2,GO:0031294,lymphocyte costimulation,M1,1,0
1,-3.9,GO:0002706,regulation of lymphocyte mediated immunity,M1,1,0
1,-3,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-2.4,GO:0051092,positive regulation of NF-kappaB transcription factor activity,M1,1,0
1,-4.7,GO:0002708,positive regulation of lymphocyte mediated immunity,M1,1,0
1,-3.4,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-13,GO:0045069,regulation of viral genome replication,M1,1,0
1,-2.2,GO:0050864,regulation of B cell activation,M1,1,0
1,-2.3,GO:0046641,positive regulation of alpha-beta T cell proliferation,M1,1,0
1,-27,GO:0009615,response to virus,M1,1,0
1,-10,GO:0002764,immune response-regulating signaling pathway,M1,1,0
1,-2,GO:0014009,glial cell proliferation,M1,1,0
1,-5.7,GO:0002429,immune response-activating cell surface receptor signaling pathway,M1,1,0
1,-7.9,ko05168,Herpes simplex infection,M1,1,0
1,-2.5,GO:0072676,lymphocyte migration,M1,1,0
1,-2,hsa05161,Hepatitis B,M1,1,0
1,-2.5,GO:0002478,antigen processing and presentation of exogenous peptide antigen,M1,1,0
1,-2.1,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,M1,1,0
1,-8.6,WP4880,Host-pathogen interaction of human coronaviruses - interferon induction,M1,1,0
1,-2.2,GO:0045861,negative regulation of proteolysis,M1,1,0
1,-6.3,GO:0039530,MDA-5 signaling pathway,M1,1,0
1,-3,ko04064,NF-kappa B signaling pathway,M1,1,0
1,-5.4,GO:0032606,type I interferon production,M1,1,0
1,-2.6,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,M1,1,0
1,-4.1,GO:0042269,regulation of natural killer cell mediated cytotoxicity,M1,1,0
1,-4.3,GO:1903901,negative regulation of viral life cycle,M1,1,0
1,-2,GO:0043303,mast cell degranulation,M1,1,0
1,-3.1,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-3,M183,PID IL6 7 PATHWAY,M1,1,0
1,-2.9,GO:0032729,positive regulation of interferon-gamma production,M1,1,0
1,-5.7,GO:0051249,regulation of lymphocyte activation,M1,1,0
1,-2.5,GO:0071346,cellular response to interferon-gamma,M1,1,0
1,-2.4,GO:0071605,monocyte chemotactic protein-1 production,M1,1,0
1,-4.9,GO:0002715,regulation of natural killer cell mediated immunity,M1,1,0
1,-12,WP4197,Immune response to tuberculosis,M1,1,0
1,-4.6,GO:0002228,natural killer cell mediated immunity,M1,1,0
1,-2.3,GO:0071674,mononuclear cell migration,M1,1,0
1,-2.3,GO:0045576,mast cell activation,M1,1,0
1,-4.3,GO:0031341,regulation of cell killing,M1,1,0
1,-2.7,R-HSA-5656169,Termination of translesion DNA synthesis,M1,1,0
1,-3.3,GO:2000401,regulation of lymphocyte migration,M1,1,0
1,-3.5,WP4217,Ebola virus pathway in host,M1,1,0
1,-2.1,GO:1901623,regulation of lymphocyte chemotaxis,M1,1,0
1,-4.7,GO:0042110,T cell activation,M1,1,0
1,-3.2,GO:0002726,positive regulation of T cell cytokine production,M1,1,0
1,-3.4,GO:0032727,positive regulation of interferon-alpha production,M1,1,0
1,-5.6,ko05162,Measles,M1,1,0
1,-2.4,M54,PID IL12 2PATHWAY,M1,1,0
1,-2.8,WP4655,Cytosolic DNA-sensing pathway,M1,1,0
1,-13,GO:0071357,cellular response to type I interferon,M1,1,0
1,-5.4,GO:0032479,regulation of type I interferon production,M1,1,0
1,-5.8,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M1,1,0
1,-3.3,GO:0002700,regulation of production of molecular mediator of immune response,M1,1,0
1,-3.6,GO:0031349,positive regulation of defense response,M1,1,0
1,-2.7,ko04621,NOD-like receptor signaling pathway,M1,1,0
1,-3.2,GO:0071675,regulation of mononuclear cell migration,M1,1,0
1,-4.5,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M1,1,0
1,-5.9,GO:0019221,cytokine-mediated signaling pathway,M1,1,0
1,-2.8,GO:0071639,positive regulation of monocyte chemotactic protein-1 production,M1,1,0
1,-2.4,WP4666,Hepatitis B infection,M1,1,0
1,-3.4,GO:0019882,antigen processing and presentation,M1,1,0
1,-7.9,hsa05168,Herpes simplex infection,M1,1,0
1,-2.8,GO:2000402,negative regulation of lymphocyte migration,M1,1,0
1,-4.2,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,M1,1,0
1,-2,GO:0046651,lymphocyte proliferation,M1,1,0
1,-2.4,GO:0000302,response to reactive oxygen species,M1,1,0
1,-4.4,ko04612,Antigen processing and presentation,M1,1,0
1,-2.1,GO:0002407,dendritic cell chemotaxis,M1,1,0
1,-2.4,GO:0048002,antigen processing and presentation of peptide antigen,M1,1,0
1,-5.4,GO:0032608,interferon-beta production,M1,1,0
1,-2.2,WP4963,p53 transcriptional gene network,M1,1,0
1,-17,GO:0045071,negative regulation of viral genome replication,M1,1,0
1,-3.2,GO:0075733,intracellular transport of virus,M1,1,0
1,-2.2,GO:2000353,positive regulation of endothelial cell apoptotic process,M1,1,0
1,-9.2,hsa04650,Natural killer cell mediated cytotoxicity ,M1,1,0
1,-3.5,GO:0042742,defense response to bacterium,M1,1,0
1,-9.8,GO:0019058,viral life cycle,M1,1,0
1,-2.1,GO:0019884,antigen processing and presentation of exogenous antigen,M1,1,0
1,-4.1,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-3.7,GO:0001959,regulation of cytokine-mediated signaling pathway,M1,1,0
1,-4.2,GO:0001960,negative regulation of cytokine-mediated signaling pathway,M1,1,0
1,-3.5,GO:0046597,negative regulation of viral entry into host cell,M1,1,0
1,-5.1,R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,M1,1,0
1,-3.5,GO:0006959,humoral immune response,M1,1,0
1,-2.2,GO:0039531,regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway,M1,1,0
1,-2.8,GO:0030098,lymphocyte differentiation,M1,1,0
1,-3.8,GO:0046718,viral entry into host cell,M1,1,0
1,-3.5,GO:0060700,regulation of ribonuclease activity,M1,1,0
1,-26,GO:0140546,defense response to symbiont,M1,1,0
1,-2.6,GO:0070661,leukocyte proliferation,M1,1,0
1,-8.6,GO:0050778,positive regulation of immune response,M1,1,0
1,-3.8,GO:0052372,modulation by symbiont of entry into host,M1,1,0
1,-4.1,GO:0140374,antiviral innate immune response,M1,1,0
1,-3.2,GO:0018026,peptidyl-lysine monomethylation,M1,1,0
1,-5.5,GO:0009617,response to bacterium,M1,1,0
1,-2.7,GO:0006958,"complement activation, classical pathway",M1,1,0
1,-3.1,GO:0002521,leukocyte differentiation,M1,1,0
1,-4.4,GO:0035458,cellular response to interferon-beta,M1,1,0
1,-5.7,GO:0002757,immune response-activating signal transduction,M1,1,0
1,-2.9,GO:0002367,cytokine production involved in immune response,M1,1,0
1,-5.4,GO:0032648,regulation of interferon-beta production,M1,1,0
1,-2.4,WP4816,TGF-beta receptor signaling in skeletal dysplasias,M1,1,0
1,-3.1,GO:0032680,regulation of tumor necrosis factor production,M1,1,0
1,-6,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-2,GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,M1,1,0
1,-5.7,GO:0016064,immunoglobulin mediated immune response,M1,1,0
1,-3.8,GO:0046719,regulation by virus of viral protein levels in host cell,M1,1,0
1,-2.8,R-HSA-918233,TRAF3-dependent IRF activation pathway,M1,1,0
1,-2.7,R-HSA-9679191,Potential therapeutics for SARS,M1,1,0
1,-28,R-HSA-909733,Interferon alpha/beta signaling,M1,1,0
1,-4.9,R-HSA-1280218,Adaptive Immune System,M1,1,0
1,-2.2,GO:0031295,T cell costimulation,M1,1,0
1,-5.6,GO:0070106,interleukin-27-mediated signaling pathway,M1,1,0
1,-5.3,GO:0032481,positive regulation of type I interferon production,M1,1,0
1,-3.6,GO:0006968,cellular defense response,M1,1,0
1,-5.6,GO:0002699,positive regulation of immune effector process,M1,1,0
1,-2.1,GO:0032753,positive regulation of interleukin-4 production,M1,1,0
1,-4,GO:0031348,negative regulation of defense response,M1,1,0
1,-6.5,GO:0002683,negative regulation of immune system process,M1,1,0
1,-3,GO:0002455,humoral immune response mediated by circulating immunoglobulin,M1,1,0
1,-2,GO:0032943,mononuclear cell proliferation,M1,1,0
1,-10,GO:0002443,leukocyte mediated immunity,M1,1,0
1,-5.1,R-HSA-8983711,OAS antiviral response,M1,1,0
1,-2.5,WP5033,Genes associated with the development of rheumatoid arthritis,M1,1,0
1,-2.1,ko04210,Apoptosis,M1,1,0
1,-2.3,GO:0046686,response to cadmium ion,M1,1,0
1,-2.8,GO:0042113,B cell activation,M1,1,0
1,-4.7,GO:1902579,multi-organism localization,M1,1,0
1,-5.7,hsa05164,Influenza A,M1,1,0
1,-2.1,GO:0032682,negative regulation of chemokine production,M1,1,0
1,-2.1,GO:0006979,response to oxidative stress,M1,1,0
1,-4.6,GO:0002275,myeloid cell activation involved in immune response,M1,1,0
1,-3.8,WP4341,"Non-genomic actions of 1,25 dihydroxyvitamin D3",M1,1,0
