_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-34.07479002809037,GO:0002250,M1,1,0,GO Biological Processes,19,adaptive immune response,19_GO:0002376 immune system process,-34.07479002809037,5.985829003306566,17.666274928805695,28160,730,464,72,15.517241379310345,1.680862974878487,567|959|973|1191|1235|1514|1880|2207|3105|3507|3512|3665|3822|4049|4063|6375|6966|6978|6984|7462|11126|11277|22914|27074|28299|28388|28394|28395|28448|28516|28518|28526|28562|28563|28577|28583|28585|28586|28592|28596|28610|28611|28614|28617|28642|28656|28667|28669|28670|28683|28684|28689|28692|28793|28796|28797|28803|28809|28813|28815|28817|28820|28822|28823|28912|28937|28941|51744|64167|91543|117157|257101,B2M|CD40LG|CD79A|CLU|CCR6|CTSL|GPR183|FCER1G|HLA-A|IGHM|JCHAIN|IRF7|KLRC2|LTA|LY9|XCL1|TRGC1|TRGV5|TRGV10|LAT2|CD160|TREX1|KLRK1|LAMP3|IGKV1-5|IGHV5-51|IGHV4-39|IGHV4-34|IGHV3-15|TRDV3|TRDV1|TRDC|TRBV25-1|TRBV24-1|TRBV12-3|TRBV10-3|TRBV10-1|TRBV9|TRBV7-6|TRBV7-2|TRBV5-5|TRBV5-4|TRBV5-1|TRBV4-1|TRAV39|TRAV26-2|TRAV16|TRAV14DV4|TRAV13-2|TRAV8-3|TRAV8-2|TRAV4|TRAV1-2|IGLV3-25|IGLV3-21|IGLV3-19|IGLV3-10|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-51|IGLV1-47|IGLV1-44|IGKV3-20|IGKV1-17|IGKV1-9|CD244|ERAP2|RSAD2|SH2D1B|ZNF683,-29.713081074852052,0,1,1,1,-34.07479002809037,6.4325440966152865,
1,-13.254358414196975,GO:0002440,M1,1,0,GO Biological Processes,19,production of molecular mediator of immune response,19_GO:0002376 immune system process,-13.254358414196975,5.6957928802588995,10.743031644822674,28160,309,464,29,6.25,1.1237421128563692,567|684|959|1235|3105|6375|11126|11277|23586|28299|28516|28518|28669|28793|28796|28797|28803|28809|28813|28815|28817|28820|28822|28823|28912|28937|28941|51744|91543,B2M|BST2|CD40LG|CCR6|HLA-A|XCL1|CD160|TREX1|DDX58|IGKV1-5|TRDV3|TRDV1|TRAV14DV4|IGLV3-25|IGLV3-21|IGLV3-19|IGLV3-10|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-51|IGLV1-47|IGLV1-44|IGKV3-20|IGKV1-17|IGKV1-9|CD244|RSAD2,-10.06874072001434,0,1,0,0,-34.07479002809037,6.4325440966152865,
1,-11.722952572247587,GO:0002377,M1,1,0,GO Biological Processes,19,immunoglobulin production,19_GO:0002376 immune system process,-11.722952572247587,6.4325440966152865,10.398140723951192,28160,217,464,23,4.956896551724138,1.0076419551614304,567|959|1235|6375|11277|28299|28516|28518|28669|28793|28796|28797|28803|28809|28813|28815|28817|28820|28822|28823|28912|28937|28941,B2M|CD40LG|CCR6|XCL1|TREX1|IGKV1-5|TRDV3|TRDV1|TRAV14DV4|IGLV3-25|IGLV3-21|IGLV3-19|IGLV3-10|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-51|IGLV1-47|IGLV1-44|IGKV3-20|IGKV1-17|IGKV1-9,-8.662273614673252,0,1,0,0,-34.07479002809037,6.4325440966152865,
1,-27.90643226871451,R-HSA-909733,M1,1,0,Reactome Gene Sets,6,Interferon alpha/beta signaling,,-27.90643226871451,22.541871921182267,23.356925137089483,28160,70,464,26,5.603448275862069,1.0676938923950257,684|2537|3105|3430|3433|3434|3437|3660|3665|3669|4599|4600|4938|4940|6772|6773|8519|8638|9636|10379|10410|10581|11274|24138|54739|91543,BST2|IFI6|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|STAT1|STAT2|IFITM1|OASL|ISG15|IRF9|IFITM3|IFITM2|USP18|IFIT5|XAF1|RSAD2,-23.845753311140175,0,2,1,1,-27.90643226871451,22.541871921182267,
1,-26.984172060567634,GO:0009615,M1,1,0,GO Biological Processes,19,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-26.984172060567634,7.7301186804971485,16.843909433156377,28160,369,464,47,10.129310344827585,1.4006834126450185,684|1191|2537|2635|3315|3433|3434|3437|3460|3660|3665|3669|3965|4599|4600|4938|4940|5359|5610|6375|6502|6772|6773|8519|8638|9111|9636|10346|10379|10410|10561|10577|10581|10875|10964|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|CLU|IFI6|GBP3|HSPB1|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|LGALS9|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|XCL1|SKP2|STAT1|STAT2|IFITM1|OASL|NMI|ISG15|TRIM22|IRF9|IFITM3|IFI44|NPC2|IFITM2|FGL2|IFI44L|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-23.09958436204898,0,2,0,0,-27.90643226871451,22.541871921182267,
1,-26.122399593049515,R-HSA-913531,M1,1,0,Reactome Gene Sets,6,Interferon Signaling,,-26.122399593049515,10.97903309651707,18.285116444271175,28160,199,464,36,7.758620689655173,1.2419272720456709,567|684|1974|2537|2635|3105|3430|3433|3434|3437|3460|3660|3665|3669|4502|4599|4600|4938|4940|5610|6772|6773|8519|8638|9246|9636|10346|10379|10410|10581|11274|23586|24138|51191|54739|91543,B2M|BST2|EIF4A2|IFI6|GBP3|HLA-A|IFI35|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MT2A|MX1|MX2|OAS1|OAS3|EIF2AK2|STAT1|STAT2|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFITM2|USP18|DDX58|IFIT5|HERC5|XAF1|RSAD2,-22.36275063113916,0,2,0,0,-27.90643226871451,22.541871921182267,
1,-25.717052480900062,GO:0051607,M1,1,0,GO Biological Processes,19,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-25.717052480900062,9.0920831718972,17.19599990565305,28160,267,464,40,8.620689655172415,1.3029746102225397,684|2537|2635|3433|3434|3437|3460|3660|3665|3669|4599|4600|4938|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|10875|10964|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|FGL2|IFI44L|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-22.13349477804539,0,2,0,0,-27.90643226871451,22.541871921182267,
1,-25.717052480900062,GO:0140546,M1,1,0,GO Biological Processes,19,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-25.717052480900062,9.0920831718972,17.19599990565305,28160,267,464,40,8.620689655172415,1.3029746102225397,684|2537|2635|3433|3434|3437|3460|3660|3665|3669|4599|4600|4938|4940|5359|5610|6502|6772|6773|8519|8638|9636|10346|10379|10410|10581|10875|10964|11277|23586|24138|51191|51251|55337|55601|64108|64135|79132|81030|91543,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IFNGR2|IRF2|IRF7|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|SKP2|STAT1|STAT2|IFITM1|OASL|ISG15|TRIM22|IRF9|IFITM3|IFITM2|FGL2|IFI44L|TREX1|DDX58|IFIT5|HERC5|NT5C3A|SHFL|DDX60|RTP4|IFIH1|DHX58|ZBP1|RSAD2,-22.13349477804539,0,2,0,0,-27.90643226871451,22.541871921182267,
1,-16.70439527803204,GO:0045071,M1,1,0,GO Biological Processes,19,negative regulation of viral genome replication,19_GO:0016032 viral process,-16.70439527803204,18.423645320197043,16.893049161436124,28160,56,464,17,3.663793103448276,0.8721702153644453,684|3434|3669|4599|4938|4940|5359|5610|8519|8638|9636|10410|10581|24138|55337|64135|91543,BST2|IFIT1|ISG20|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|RSAD2,-13.187784364807982,0,2,0,0,-27.90643226871451,22.541871921182267,
1,-15.159193444257724,GO:0048525,M1,1,0,GO Biological Processes,19,negative regulation of viral process,19_GO:0016032 viral process,-15.159193444257724,12.533733133433286,14.342245665725617,28160,92,464,19,4.094827586206897,0.919983069629555,684|3434|3669|4061|4599|4938|4940|5359|5610|6772|8519|8638|9636|10410|10581|24138|55337|64135|91543,BST2|IFIT1|ISG20|LY6E|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|IFITM1|OASL|ISG15|IFITM3|IFITM2|IFIT5|SHFL|IFIH1|RSAD2,-11.700574478011351,0,2,0,0,-27.90643226871451,22.541871921182267,
