_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-12,C0375023,M1,1,0,DisGeNET,35,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-12,4.3,9.3,28160,467,464,33,7.1,1.2,567|684|959|969|1154|1843|2353|3105|3434|3665|3820|3822|4049|5564|5578|5610|5729|6772|6773|8638|9636|11126|22914|23424|23569|23586|27074|64135|79132|84941|91543|140691|401152,B2M|BST2|CD40LG|CD69|CISH|DUSP1|FOS|HLA-A|IFIT1|IRF7|KLRB1|KLRC2|LTA|PRKAB1|PRKCA|EIF2AK2|PTGDR|STAT1|STAT2|OASL|ISG15|CD160|KLRK1|TDRD7|PADI4|DDX58|LAMP3|IFIH1|DHX58|HSH2D|RSAD2|TRIM69|C4orf3,-8.7,0
1,-11,C2062441,M1,1,0,DisGeNET,35,Influenza A,,-11,3.8,8.6,28160,562,464,35,7.5,1.2,374|684|959|969|1154|2081|2353|3105|3434|3665|3669|3822|4050|4599|5359|5610|6375|6772|8875|9636|10346|10379|10410|11126|23569|23586|27074|51191|57097|64135|64174|79132|81030|91543|140691,AREG|BST2|CD40LG|CD69|CISH|ERN1|FOS|HLA-A|IFIT1|IRF7|ISG20|KLRC2|LTB|MX1|PLSCR1|EIF2AK2|XCL1|STAT1|VNN2|ISG15|TRIM22|IRF9|IFITM3|CD160|PADI4|DDX58|LAMP3|HERC5|PARP11|IFIH1|DPEP2|DHX58|ZBP1|RSAD2|TRIM69,-7.8,0
1,-9.9,C2363741,M1,1,0,DisGeNET,35,HIV-1 infection,,-9.9,3.3,8,28160,695,464,38,8.2,1.3,567|684|959|969|1235|2353|3105|3665|3669|3804|3811|3812|3820|3965|4061|4600|5359|5578|5610|6285|6375|6772|8743|9241|9246|9636|10346|10410|11274|11277|22914|23586|30834|51257|51744|57804|64167|91543,B2M|BST2|CD40LG|CD69|CCR6|FOS|HLA-A|IRF7|ISG20|KIR2DL3|KIR3DL1|KIR3DL2|KLRB1|LGALS9|LY6E|MX2|PLSCR1|PRKCA|EIF2AK2|S100B|XCL1|STAT1|TNFSF10|NOG|UBE2L6|ISG15|TRIM22|IFITM3|USP18|TREX1|KLRK1|DDX58|POLR1H|MARCHF2|CD244|POLD4|ERAP2|RSAD2,-7.1,0
1,-9.2,C0867389,M1,1,0,DisGeNET,35,Chronic graft-versus-host disease,,-9.2,5.3,8.7,28160,241,464,21,4.5,0.97,2|28|597|1191|1235|2081|3105|3434|3437|3669|3811|3822|4049|4050|4063|5473|8743|10561|22914|23569|23586,A2M|ABO|BCL2A1|CLU|CCR6|ERN1|HLA-A|IFIT1|IFIT3|ISG20|KIR3DL1|KLRC2|LTA|LTB|LY9|PPBP|TNFSF10|IFI44|KLRK1|PADI4|DDX58,-6.4,0
1,-8,C0011311,M1,1,0,DisGeNET,35,Dengue Fever,,-8,4,7.5,28160,360,464,24,5.2,1,28|684|959|969|2081|2537|3105|3665|3804|3811|3965|4049|4938|4940|5564|8743|10410|23569|23586|27074|64135|85441|91543|140691,ABO|BST2|CD40LG|CD69|ERN1|IFI6|HLA-A|IRF7|KIR2DL3|KIR3DL1|LGALS9|LTA|OAS1|OAS3|PRKAB1|TNFSF10|IFITM3|PADI4|DDX58|LAMP3|IFIH1|HELZ2|RSAD2|TRIM69,-5.3,0
1,-8,C1527336,M1,1,0,DisGeNET,35,Sjogren's Syndrome,,-8,3.5,7.3,28160,481,464,28,6,1.1,360|374|959|969|1471|3105|3399|3660|3669|4049|4063|4938|5473|5564|5610|6772|6894|8740|10219|10247|10346|11277|23569|23586|26292|28605|259197|100885789,AQP3|AREG|CD40LG|CD69|CST3|HLA-A|ID3|IRF2|ISG20|LTA|LY9|OAS1|PPBP|PRKAB1|EIF2AK2|STAT1|TARBP1|TNFSF14|KLRG1|RIDA|TRIM22|TREX1|PADI4|DDX58|MYCBP|TRBV6-2|NCR3|IFNG-AS1,-5.2,0
1,-7.8,C1096184,M1,1,0,DisGeNET,35,West Nile viral infection,,-7.8,5.9,8.2,28160,164,464,16,3.4,0.85,28|959|3105|3433|3665|3812|4061|4599|4938|6772|10410|23586|27074|64135|81030|91543,ABO|CD40LG|HLA-A|IFIT2|IRF7|KIR3DL2|LY6E|MX1|OAS1|STAT1|IFITM3|DDX58|LAMP3|IFIH1|ZBP1|RSAD2,-5.1,0
1,-7.2,C0524910,M1,1,0,DisGeNET,35,"Hepatitis C, Chronic",,-7.2,3.5,6.8,28160,430,464,25,5.4,1,959|969|1471|2353|3105|3430|3460|3660|3665|3669|3804|3811|3965|4049|4599|4938|5610|6772|8740|9636|10346|22914|23586|64135|91543,CD40LG|CD69|CST3|FOS|HLA-A|IFI35|IFNGR2|IRF2|IRF7|ISG20|KIR2DL3|KIR3DL1|LGALS9|LTA|MX1|OAS1|EIF2AK2|STAT1|TNFSF14|ISG15|TRIM22|KLRK1|DDX58|IFIH1|RSAD2,-4.5,0
1,-6.5,C0151517,M1,1,0,DisGeNET,35,Complete atrioventricular block,,-6.5,3.5,6.4,28160,403,464,23,5,1,969|1154|1471|3105|3460|3665|3669|3804|3811|3812|3822|3965|4509|6772|8743|10219|10875|11274|22914|23586|51744|64135|140691,CD69|CISH|CST3|HLA-A|IFNGR2|IRF7|ISG20|KIR2DL3|KIR3DL1|KIR3DL2|KLRC2|LGALS9|ATP8|STAT1|TNFSF10|KLRG1|FGL2|USP18|KLRK1|DDX58|CD244|IFIH1|TRIM69,-3.8,0
1,-6.3,C0008055,M1,1,0,DisGeNET,35,Chikungunya Fever,,-6.3,5.8,7.2,28160,137,464,13,2.8,0.77,684|959|1974|3105|3665|3669|4938|4940|6772|23569|23586|27074|91543,BST2|CD40LG|EIF4A2|HLA-A|IRF7|ISG20|OAS1|OAS3|STAT1|PADI4|DDX58|LAMP3|RSAD2,-3.7,0
