_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.6,TRR00602,M1,1,0,TRRUST,34,Regulated by: IRF1,,-5.6,9,7.6,28160,54,464,8,1.7,0.6,3105|3437|3660|5610|8743|10346|23586|64167,HLA-A|IFIT3|IRF2|EIF2AK2|TNFSF10|TRIM22|DDX58|ERAP2,-2.9,0
1,-3.4,TRR00075,M1,1,0,TRRUST,34,Regulated by: BRCA1,,-3.4,6.2,5.1,28160,59,464,6,1.3,0.52,374|2353|3665|6772|6773|10379,AREG|FOS|IRF7|STAT1|STAT2|IRF9,-1,0
1,-3.3,TRR01282,M1,1,0,TRRUST,34,Regulated by: STAT6,,-3.3,7.6,5.4,28160,40,464,5,1.1,0.48,1154|1843|2353|6772|10800,CISH|DUSP1|FOS|STAT1|CYSLTR1,-0.98,0
1,-3,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-3,4.5,4.4,28160,95,464,7,1.5,0.57,959|1514|3437|3665|5359|6773|54739,CD40LG|CTSL|IFIT3|IRF7|PLSCR1|STAT2|XAF1,-0.72,0
1,-2.8,TRR00757,M1,1,0,TRRUST,34,Regulated by: MITF,,-2.8,7.8,4.9,28160,31,464,4,0.86,0.43,597|959|2353|23424,BCL2A1|CD40LG|FOS|TDRD7,-0.56,0
1,-2.3,TRR00263,M1,1,0,TRRUST,34,Regulated by: ELK1,,-2.3,8.3,4.4,28160,22,464,3,0.65,0.37,2353|5610|6502,FOS|EIF2AK2|SKP2,-0.17,0
1,-2.2,TRR00781,M1,1,0,TRRUST,34,Regulated by: MYCN,,-2.2,5.3,3.8,28160,46,464,4,0.86,0.43,1191|3105|6502|54674,CLU|HLA-A|SKP2|LRRN3,-0.093,0
1,-2.1,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-2.1,2.8,3.1,28160,174,464,8,1.7,0.6,360|1843|5564|6285|6772|8379|9338|10346,AQP3|DUSP1|PRKAB1|S100B|STAT1|MAD1L1|TCEAL1|TRIM22,-0.029,0
1,-2,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-2,2.2,2.8,28160,332,464,12,2.6,0.74,241|374|597|959|969|3105|3665|6772|6908|8740|8743|64167,ALOX5AP|AREG|BCL2A1|CD40LG|CD69|HLA-A|IRF7|STAT1|TBP|TNFSF14|TNFSF10|ERAP2,0,0
1,-2,TRR00004,M1,1,0,TRRUST,34,Regulated by: AHR,,-2,6.7,3.9,28160,27,464,3,0.65,0.37,901|2353|4502,CCNG2|FOS|MT2A,0,0
