_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-10,M12258,M1,1,0,Transcription Factor Targets,16,IRF7 01,,-10,5.4,9.2,28160,258,464,23,5,1,684|959|2275|2353|2793|3433|3660|6303|6659|8638|9241|9636|9741|10616|11274|23586|51251|54739|55337|55601|57282|64343|94240,BST2|CD40LG|FHL3|FOS|GNGT2|IFIT2|IRF2|SAT1|SOX4|OASL|NOG|ISG15|LAPTM4A|RBCK1|USP18|DDX58|NT5C3A|XAF1|SHFL|DDX60|SLC4A10|AZI2|EPSTI1,-7.4,0
1,-9.6,M16200,M1,1,0,Transcription Factor Targets,16,ISRE 01,,-9.6,5.3,8.8,28160,253,464,22,4.7,0.99,567|684|2841|3433|3437|3660|9636|10379|10561|10616|11274|23586|23635|51251|51523|54739|55601|64108|64135|79132|81030|94240,B2M|BST2|GPR18|IFIT2|IFIT3|IRF2|ISG15|IRF9|IFI44|RBCK1|USP18|DDX58|SSBP2|NT5C3A|CXXC5|XAF1|DDX60|RTP4|IFIH1|DHX58|ZBP1|EPSTI1,-6.8,0
1,-7.6,M533,M1,1,0,Transcription Factor Targets,16,STTTCRNTTT IRF Q6,,-7.6,5.4,7.9,28160,192,464,17,3.7,0.87,567|684|3433|3437|6993|9636|10561|10616|11274|23586|51251|54739|55337|79132|81030|94240|131450,B2M|BST2|IFIT2|IFIT3|DYNLT1|ISG15|IFI44|RBCK1|USP18|DDX58|NT5C3A|XAF1|SHFL|DHX58|ZBP1|EPSTI1|CD200R1,-4.9,0
1,-7.6,M14066,M1,1,0,Transcription Factor Targets,16,IRF Q6,,-7.6,4.7,7.6,28160,244,464,19,4.1,0.92,567|684|1974|3430|3433|3660|3965|6303|9246|9636|10379|10561|10616|51251|55601|64108|79132|79142|81030,B2M|BST2|EIF4A2|IFI35|IFIT2|IRF2|LGALS9|SAT1|UBE2L6|ISG15|IRF9|IFI44|RBCK1|NT5C3A|DDX60|RTP4|DHX58|PHF23|ZBP1,-4.8,0
1,-6.5,M2709,M1,1,0,Transcription Factor Targets,16,IRF1 01,,-6.5,4.3,6.8,28160,255,464,18,3.9,0.9,567|684|959|1974|6303|6993|8543|9241|9636|10379|11274|23586|26269|27018|51251|54739|131450|201895,B2M|BST2|CD40LG|EIF4A2|SAT1|DYNLT1|LMO4|NOG|ISG15|IRF9|USP18|DDX58|FBXO8|BEX3|NT5C3A|XAF1|CD200R1|SMIM14,-3.9,0
1,-4.8,M17627,M1,1,0,Transcription Factor Targets,16,STAT1 01,,-4.8,7,6.5,28160,69,464,8,1.7,0.6,959|1154|6919|9338|22897|23178|26269|112752,CD40LG|CISH|TCEA2|TCEAL1|CEP164|PASK|FBXO8|IFT43,-2.2,0
1,-4.1,M2727,M1,1,0,Transcription Factor Targets,16,ICSBP Q6,,-4.1,3.4,4.9,28160,253,464,14,3,0.79,567|684|3430|3437|7050|9636|10561|10616|11274|51251|54674|64135|81030|256586,B2M|BST2|IFI35|IFIT3|TGIF1|ISG15|IFI44|RBCK1|USP18|NT5C3A|LRRN3|IFIH1|ZBP1|LYSMD2,-1.6,0
1,-3.5,M6144,M1,1,0,Transcription Factor Targets,16,STAT5B 01,,-3.5,3.1,4.3,28160,255,464,13,2.8,0.77,959|1154|1191|2353|3660|5348|5359|6919|10379|55217|64343|85025|112752,CD40LG|CISH|CLU|FOS|IRF2|FXYD1|PLSCR1|TCEA2|IRF9|TMLHE|AZI2|TMEM60|IFT43,-1.1,0
1,-3.3,M30334,M1,1,0,Transcription Factor Targets,16,ZNF510 TARGET GENES,,-3.3,7.4,5.3,28160,41,464,5,1.1,0.48,9412|10964|254225|400761|105371743,MED21|IFI44L|RNF169|LRRC8C-DT|SNHG30,-0.95,0
1,-2.8,M6378,M1,1,0,Transcription Factor Targets,16,TTCYNRGAA STAT5B 01,,-2.8,2.5,3.6,28160,341,464,14,3,0.79,1|959|1154|1191|3660|4049|5359|5473|6919|10379|55217|55974|85025|112752,A1BG|CD40LG|CISH|CLU|IRF2|LTA|PLSCR1|PPBP|TCEA2|IRF9|TMLHE|SLC50A1|TMEM60|IFT43,-0.54,0
1,-2.6,M30009,M1,1,0,Transcription Factor Targets,16,HOXA7 TARGET GENES,,-2.6,3.8,3.8,28160,113,464,7,1.5,0.57,684|1974|10616|10904|11080|26010|105221694,BST2|EIF4A2|RBCK1|BLCAP|DNAJB4|SPATS2L|BISPR,-0.39,0
1,-2.4,M29890,M1,1,0,Transcription Factor Targets,16,ARNT2 TARGET GENES,,-2.4,1.9,3.1,28160,668,464,21,4.5,0.97,6309|6908|8775|9246|10240|22897|26269|26292|53917|55017|55840|56986|57035|57639|79629|85028|93100|123688|162966|221443|400073,SC5D|TBP|NAPA|UBE2L6|MRPS31|CEP164|FBXO8|MYCBP|RAB24|C14orf119|EAF2|DTWD1|RSRP1|CCDC146|OCEL1|SNHG12|NAPRT|HYKK|ZNF600|OARD1|C12orf76,-0.27,0
1,-2.4,M17883,M1,1,0,Transcription Factor Targets,16,STAT5A 01,,-2.4,2.6,3.3,28160,259,464,11,2.4,0.71,959|1154|2353|3660|5359|6919|10379|55217|64343|85025|112752,CD40LG|CISH|FOS|IRF2|PLSCR1|TCEA2|IRF9|TMLHE|AZI2|TMEM60|IFT43,-0.26,0
1,-2.3,M29991,M1,1,0,Transcription Factor Targets,16,HDAC4 TARGET GENES,,-2.3,1.9,3,28160,679,464,21,4.5,0.97,1974|3512|4063|6772|6919|9111|10589|10964|23424|23635|28971|51147|51275|79777|83941|84941|91272|115939|389289|100131187|105377006,EIF4A2|JCHAIN|LY9|STAT1|TCEA2|NMI|DRAP1|IFI44L|TDRD7|SSBP2|AAMDC|ING4|MAPKAPK5-AS1|ACBD4|TM2D1|HSH2D|BOD1|TSR3|ANXA2R|TSTD1|LINC02084,-0.22,0
1,-2.3,M30007,M1,1,0,Transcription Factor Targets,16,HOXA10 TARGET GENES,,-2.3,2.5,3.2,28160,268,464,11,2.4,0.71,1974|7978|29104|57035|57639|80306|83941|144577|389362|440400|100506713,EIF4A2|MTERF1|N6AMT1|RSRP1|CCDC146|MED28|TM2D1|KICS2|PSMG4|RNASEK|ALOX12-AS1,-0.19,0
1,-2.3,M15241,M1,1,0,Transcription Factor Targets,16,AML1 01,,-2.3,2.5,3.1,28160,271,464,11,2.4,0.71,969|2207|3399|4063|6375|6773|6846|10240|28977|55017|80021,CD69|FCER1G|ID3|LY9|XCL1|STAT2|XCL2|MRPS31|MRPL42|C14orf119|TMEM62,-0.16,0
1,-2.3,M6002,M1,1,0,Transcription Factor Targets,16,AML1 Q6,,-2.3,2.5,3.1,28160,271,464,11,2.4,0.71,969|2207|3399|4063|6375|6773|6846|10240|28977|55017|80021,CD69|FCER1G|ID3|LY9|XCL1|STAT2|XCL2|MRPS31|MRPL42|C14orf119|TMEM62,-0.16,0
1,-2.2,M17687,M1,1,0,Transcription Factor Targets,16,IRF2 01,,-2.2,3.3,3.4,28160,129,464,7,1.5,0.57,567|684|1974|11274|23586|51251|54739,B2M|BST2|EIF4A2|USP18|DDX58|NT5C3A|XAF1,-0.16,0
1,-2.2,M30026,M1,1,0,Transcription Factor Targets,16,ILK TARGET GENES,,-2.2,7.6,4.2,28160,24,464,3,0.65,0.37,219285|400073|100505812,SAMD9L|C12orf76|CARD8-AS1,-0.093,0
1,-2,M30350,M1,1,0,Transcription Factor Targets,16,ZNF560 TARGET GENES,,-2,4.9,3.5,28160,50,464,4,0.86,0.43,9412|27074|93145|105371743,MED21|LAMP3|OLFM2|SNHG30,-0.0064,0
