Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
2207,3.0,1,1,1
27244,3.0,1,1,1
1528,3.0,1,1,1
11126,3.0,1,1,1
10589,3.0,1,1,1
23569,3.0,1,1,1
56950,3.0,1,1,1
2057,3.0,1,1,1
4050,3.0,1,1,1
6773,3.0,1,1,1
9246,3.0,1,1,1
1052,3.0,1,1,1
11277,3.0,1,1,1
11201,3.0,1,1,1
4090,3.0,1,1,1
3823,3.0,1,1,1
8638,3.0,1,1,1
3315,3.0,1,1,1
24138,3.0,1,1,1
79132,3.0,1,1,1
6659,3.0,1,1,1
94235,3.0,1,1,1
10379,3.0,1,1,1
2635,3.0,1,1,1
10581,3.0,1,1,1
3433,3.0,1,1,1
54739,3.0,1,1,1
2841,3.0,1,1,1
1974,3.0,1,1,1
6303,3.0,1,1,1
92342,3.0,1,1,1
567,3.0,1,1,1
22914,3.0,1,1,1
55601,3.0,1,1,1
87178,3.0,1,1,1
7050,3.0,1,1,1
58533,3.0,1,1,1
3437,3.0,1,1,1
4063,3.0,1,1,1
9412,3.0,1,1,1
843,3.0,1,1,1
6502,3.0,1,1,1
3105,3.0,1,1,1
2,3.0,1,1,1
51744,3.0,1,1,1
8740,3.0,1,1,1
10140,3.0,1,1,1
55337,3.0,1,1,1
3965,3.0,1,1,1
4061,3.0,1,1,1
959,3.0,1,1,1
5359,3.0,1,1,1
64135,3.0,1,1,1
10800,3.0,1,1,1
8464,3.0,1,1,1
10516,3.0,1,1,1
3669,3.0,1,1,1
684,3.0,1,1,1
3430,3.0,1,1,1
5729,3.0,1,1,1
3811,3.0,1,1,1
10410,3.0,1,1,1
6285,3.0,1,1,1
4049,3.0,1,1,1
3822,3.0,1,1,1
3434,3.0,1,1,1
4938,3.0,1,1,1
10219,3.0,1,1,1
1514,3.0,1,1,1
5473,3.0,1,1,1
3812,3.0,1,1,1
3660,3.0,1,1,1
6772,3.0,1,1,1
131450,3.0,1,1,1
10346,3.0,1,1,1
23586,3.0,1,1,1
6375,3.0,1,1,1
374,3.0,1,1,1
117157,3.0,1,1,1
5564,3.0,1,1,1
10616,3.0,1,1,1
27074,3.0,1,1,1
91543,3.0,1,1,1
597,3.0,1,1,1
3460,3.0,1,1,1
5525,3.0,1,1,1
51191,3.0,1,1,1
5610,3.0,1,1,1
2537,3.0,1,1,1
4616,3.0,1,1,1
56339,3.0,1,1,1
3399,3.0,1,1,1
81030,3.0,1,1,1
2793,3.0,1,1,1
6908,3.0,1,1,1
7462,3.0,1,1,1
11274,3.0,1,1,1
9111,3.0,1,1,1
9397,3.0,1,1,1
4600,3.0,1,1,1
2353,3.0,1,1,1
5578,3.0,1,1,1
4599,3.0,1,1,1
8519,3.0,1,1,1
1154,3.0,1,1,1
64167,3.0,1,1,1
8644,3.0,1,1,1
1235,3.0,1,1,1
259197,3.0,1,1,1
4502,3.0,1,1,1
83943,3.0,1,1,1
8742,3.0,1,1,1
6846,3.0,1,1,1
64343,3.0,1,1,1
8543,3.0,1,1,1
1191,3.0,1,1,1
3665,3.0,1,1,1
4940,3.0,1,1,1
5348,3.0,1,1,1
3804,3.0,1,1,1
1843,3.0,1,1,1
6993,3.0,1,1,1
9636,3.0,1,1,1
1880,3.0,1,1,1
7305,3.0,1,1,1
6811,2.0,1,0,1
85441,2.0,1,0,1
55791,2.0,1,0,1
157567,2.0,1,0,1
8775,2.0,1,0,1
25994,2.0,1,0,1
51300,2.0,1,0,1
3507,2.0,1,1,0
23424,2.0,1,0,1
28394,2.0,1,1,0
10240,2.0,1,0,1
84330,2.0,1,0,1
8875,2.0,1,0,1
54826,2.0,1,0,1
51056,2.0,1,0,1
28299,2.0,1,0,1
126003,2.0,1,0,1
101060226,2.0,1,0,1
51523,2.0,1,0,1
29104,2.0,1,0,1
113402,2.0,1,0,1
84307,2.0,1,0,1
51131,2.0,1,0,1
28388,2.0,1,1,0
2054,2.0,1,0,1
440836,2.0,1,0,1
257101,2.0,1,1,0
81554,2.0,1,0,1
51147,2.0,1,0,1
122961,2.0,1,0,1
55840,2.0,1,0,1
57804,2.0,1,1,0
115817,2.0,1,0,1
51246,2.0,1,0,1
28395,2.0,1,1,0
11080,2.0,1,0,1
55957,2.0,1,0,1
973,2.0,1,0,1
30834,2.0,1,0,1
79142,2.0,1,0,1
6920,2.0,1,0,1
100506311,2.0,1,0,1
219738,2.0,1,0,1
10904,2.0,1,0,1
7940,2.0,1,0,1
79777,2.0,1,0,1
8818,2.0,1,0,1
257144,2.0,1,1,0
221443,2.0,1,0,1
254225,2.0,1,0,1
23635,2.0,1,0,1
23059,2.0,1,0,1
51259,2.0,1,0,1
57282,2.0,1,0,1
8971,2.0,1,0,1
26010,2.0,1,0,1
84727,2.0,1,0,1
400073,2.0,1,0,1
219790,2.0,1,1,0
22897,2.0,1,0,1
29933,2.0,1,0,1
10081,2.0,1,0,1
7727,2.0,1,0,1
84329,2.0,1,1,0
4603,2.0,1,0,1
25816,2.0,1,1,0
9094,2.0,1,0,1
152926,2.0,1,0,1
80306,2.0,1,0,1
81847,2.0,1,0,1
389362,2.0,1,0,1
10577,2.0,1,0,1
124944,2.0,1,0,1
10875,2.0,1,1,0
6919,2.0,1,0,1
55257,2.0,1,0,1
8379,2.0,1,0,1
10964,2.0,1,1,0
440400,2.0,1,0,1
751071,2.0,1,1,0
28977,2.0,1,0,1
9363,2.0,1,0,1
221078,2.0,1,0,1
969,2.0,1,0,1
2848,2.0,1,0,1
1,2.0,1,0,1
28448,2.0,1,1,0
23557,2.0,1,0,1
64108,2.0,1,0,1
112752,2.0,1,0,1
80746,2.0,1,0,1
28526,2.0,1,1,0
55217,2.0,1,0,1
51601,2.0,1,0,1
10907,2.0,1,0,1
8334,2.0,1,0,1
1471,2.0,1,0,1
54674,2.0,1,0,1
51599,2.0,1,0,1
63891,2.0,1,0,1
85027,2.0,1,0,1
9338,2.0,1,0,1
5269,2.0,1,0,1
51510,2.0,1,0,1
51257,2.0,1,0,1
9973,2.0,1,1,0
102288414,2.0,1,0,1
8743,2.0,1,0,1
129607,2.0,1,0,1
85025,2.0,1,0,1
9249,2.0,1,0,1
6320,2.0,1,0,1
8269,2.0,1,0,1
23178,2.0,1,0,1
79159,2.0,1,0,1
9487,2.0,1,0,1
10126,2.0,1,0,1
9241,2.0,1,1,0
63905,2.0,1,0,1
51251,2.0,1,0,1
10161,2.0,1,0,1
6309,2.0,1,0,1
219402,2.0,1,0,1
2275,2.0,1,0,1
114769,2.0,1,1,0
283237,2.0,1,0,1
26689,2.0,1,0,1
93100,2.0,1,0,1
54531,2.0,1,0,1
153129,2.0,1,0,1
7355,2.0,1,0,1
219285,2.0,1,0,1
26472,2.0,1,0,1
2043,2.0,1,0,1
3212,2.0,1,0,1
51619,2.0,1,0,1
158248,2.0,1,0,1
2081,2.0,1,0,1
3820,2.0,1,0,1
140691,2.0,1,0,1
57035,2.0,1,0,1
54809,2.0,1,0,1
28465,2.0,1,0,1
10668,2.0,1,0,1
53822,2.0,1,1,0
10393,2.0,1,0,1
53917,2.0,1,0,1
84811,2.0,1,0,1
360,2.0,1,0,1
94107,2.0,1,0,1
401152,2.0,1,0,1
9445,2.0,1,0,1
83719,2.0,1,0,1
901,2.0,1,0,1
3512,2.0,1,0,1
9086,2.0,1,0,1
130916,2.0,1,0,1
55199,2.0,1,0,1
10653,2.0,1,0,1
93145,2.0,1,0,1
55776,1.0,1,0,0
29125,1.0,1,0,0
28518,1.0,1,0,0
28617,1.0,1,0,0
100130231,1.0,1,0,0
64860,1.0,1,0,0
3982,1.0,1,0,0
440567,1.0,1,0,0
28813,1.0,1,0,0
26035,1.0,1,0,0
105371743,1.0,1,0,0
201895,1.0,1,0,0
51348,1.0,1,0,0
64174,1.0,1,0,0
27018,1.0,1,0,0
2595,1.0,1,0,0
28971,1.0,1,0,0
26269,1.0,1,0,0
28822,1.0,1,0,0
100128782,1.0,1,0,0
81888,1.0,1,0,0
550643,1.0,1,0,0
26292,1.0,1,0,0
128346,1.0,1,0,0
84941,1.0,1,0,0
152100,1.0,1,0,0
79629,1.0,1,0,0
25901,1.0,1,0,0
115939,1.0,1,0,0
28667,1.0,1,0,0
445815,1.0,1,0,0
23483,1.0,1,0,0
28937,1.0,1,0,0
80318,1.0,1,0,0
55974,1.0,1,0,0
199704,1.0,1,0,0
84264,1.0,1,0,0
100129842,1.0,1,0,0
57639,1.0,1,0,0
28803,1.0,1,0,0
441168,1.0,1,0,0
55017,1.0,1,0,0
5790,1.0,1,0,0
28692,1.0,1,0,0
1293,1.0,1,0,0
9741,1.0,1,0,0
440498,1.0,1,0,0
28605,1.0,1,0,0
57097,1.0,1,0,0
28914,1.0,1,0,0
114984,1.0,1,0,0
100131089,1.0,1,0,0
11285,1.0,1,0,0
28797,1.0,1,0,0
90326,1.0,1,0,0
28817,1.0,1,0,0
10247,1.0,1,0,0
645426,1.0,1,0,0
28823,1.0,1,0,0
55204,1.0,1,0,0
28684,1.0,1,0,0
163087,1.0,1,0,0
28669,1.0,1,0,0
4258,1.0,1,0,0
7556,1.0,1,0,0
123688,1.0,1,0,0
28793,1.0,1,0,0
339804,1.0,1,0,0
400761,1.0,1,0,0
728855,1.0,1,0,0
339988,1.0,1,0,0
105221694,1.0,1,0,0
284029,1.0,1,0,0
25880,1.0,1,0,0
28614,1.0,1,0,0
56986,1.0,1,0,0
200634,1.0,1,0,0
220869,1.0,1,0,0
105377006,1.0,1,0,0
28516,1.0,1,0,0
27344,1.0,1,0,0
64172,1.0,1,0,0
646450,1.0,1,0,0
7767,1.0,1,0,0
4509,1.0,1,0,0
57001,1.0,1,0,0
84310,1.0,1,0,0
55007,1.0,1,0,0
28820,1.0,1,0,0
28683,1.0,1,0,0
26275,1.0,1,0,0
28572,1.0,1,0,0
100216545,1.0,1,0,0
11154,1.0,1,0,0
57150,1.0,1,0,0
353088,1.0,1,0,0
92002,1.0,1,0,0
241,1.0,1,0,0
55769,1.0,1,0,0
100507612,1.0,1,0,0
100507297,1.0,1,0,0
100885789,1.0,1,0,0
28585,1.0,1,0,0
100505894,1.0,1,0,0
389289,1.0,1,0,0
28,1.0,1,0,0
65065,1.0,1,0,0
28642,1.0,1,0,0
2053,1.0,1,0,0
84996,1.0,1,0,0
26071,1.0,1,0,0
28689,1.0,1,0,0
101928767,1.0,1,0,0
6984,1.0,1,0,0
28670,1.0,1,0,0
28986,1.0,1,0,0
144577,1.0,1,0,0
51513,1.0,1,0,0
150381,1.0,1,0,0
28596,1.0,1,0,0
28611,1.0,1,0,0
100131187,1.0,1,0,0
196792,1.0,1,0,0
28592,1.0,1,0,0
3384,1.0,1,0,0
28809,1.0,1,0,0
342926,1.0,1,0,0
203522,1.0,1,0,0
100131733,1.0,1,0,0
84973,1.0,1,0,0
28656,1.0,1,0,0
267002,1.0,1,0,0
94240,1.0,1,0,0
100127967,1.0,1,0,0
100128252,1.0,1,0,0
28562,1.0,1,0,0
85028,1.0,1,0,0
28583,1.0,1,0,0
9473,1.0,1,0,0
100505483,1.0,1,0,0
100996246,1.0,1,0,0
51275,1.0,1,0,0
162966,1.0,1,0,0
101410538,1.0,1,0,0
3,1.0,1,0,0
80021,1.0,1,0,0
256586,1.0,1,0,0
6966,1.0,1,0,0
7978,1.0,1,0,0
5860,1.0,1,0,0
28563,1.0,1,0,0
91351,1.0,1,0,0
28577,1.0,1,0,0
26157,1.0,1,0,0
387723,1.0,1,0,0
55845,1.0,1,0,0
10004,1.0,1,0,0
28912,1.0,1,0,0
28796,1.0,1,0,0
28941,1.0,1,0,0
79641,1.0,1,0,0
64417,1.0,1,0,0
259283,1.0,1,0,0
28815,1.0,1,0,0
728769,1.0,1,0,0
83941,1.0,1,0,0
101929241,1.0,1,0,0
51566,1.0,1,0,0
28586,1.0,1,0,0
91272,1.0,1,0,0
85012,1.0,1,0,0
6894,1.0,1,0,0
100505812,1.0,1,0,0
10561,1.0,1,0,0
285540,1.0,1,0,0
100506713,1.0,1,0,0
387895,1.0,1,0,0
87769,1.0,1,0,0
7626,1.0,1,0,0
22921,1.0,1,0,0
84933,1.0,1,0,0
28610,1.0,1,0,0
6978,1.0,1,0,0
105370652,1.0,1,0,0
