_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0031347,regulation of defense response,M1,1,0
1,-4.3,R-HSA-5625740,RHO GTPases activate PKNs,M1,1,0
1,-10,GO:0044784,metaphase/anaphase transition of cell cycle,M1,1,0
1,-4.5,ko04120,Ubiquitin mediated proteolysis,M1,1,0
1,-4.8,R-HSA-2995383,Initiation of Nuclear Envelope (NE) Reformation,M1,1,0
1,-2.6,GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,M1,1,0
1,-3.5,hsa05169,Epstein-Barr virus infection,M1,1,0
1,-3.7,GO:0010216,maintenance of DNA methylation,M1,1,0
1,-4.2,GO:0006304,DNA modification,M1,1,0
1,-8.3,GO:1905819,negative regulation of chromosome separation,M1,1,0
1,-2.6,GO:0019079,viral genome replication,M1,1,0
1,-4.4,GO:0070828,heterochromatin organization,M1,1,0
1,-3.5,GO:0090306,meiotic spindle assembly,M1,1,0
1,-2.1,GO:0031330,negative regulation of cellular catabolic process,M1,1,0
1,-3.6,R-HSA-1280218,Adaptive Immune System,M1,1,0
1,-5.6,GO:0050000,chromosome localization,M1,1,0
1,-2.1,GO:0043467,regulation of generation of precursor metabolites and energy,M1,1,0
1,-12,R-HSA-69618,Mitotic Spindle Checkpoint,M1,1,0
1,-2.1,ko04115,p53 signaling pathway,M1,1,0
1,-4.5,GO:0043371,"negative regulation of CD4-positive, alpha-beta T cell differentiation",M1,1,0
1,-2,GO:0007595,lactation,M1,1,0
1,-3.4,ko00480,Glutathione metabolism,M1,1,0
1,-6.6,WP3651,Pathways affected in adenoid cystic carcinoma,M1,1,0
1,-4.3,R-HSA-8854518,AURKA Activation by TPX2,M1,1,0
1,-2.4,GO:0022613,ribonucleoprotein complex biogenesis,M1,1,0
1,-2.6,GO:0071417,cellular response to organonitrogen compound,M1,1,0
1,-6.1,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-2.4,GO:0035372,protein localization to microtubule,M1,1,0
1,-3.1,R-HSA-73854,RNA Polymerase I Promoter Clearance,M1,1,0
1,-5,GO:0051493,regulation of cytoskeleton organization,M1,1,0
1,-7.7,M14,PID AURORA B PATHWAY,M1,1,0
