_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-50.31674861916725,R-HSA-1640170,M1,1,0,Reactome Gene Sets,6,Cell Cycle,,-50.31674861916725,7.339534560450381,22.67889289697391,28160,692,499,90,18.03607214428858,1.7212029838147318,332|641|672|675|890|891|983|991|1062|1063|1719|1859|1871|2033|2237|3012|3014|3017|3978|4001|4171|4172|4173|4174|4175|4176|4928|4999|5111|5116|5347|5424|5932|6241|7027|7083|7153|7280|7283|7298|7468|7533|8338|8358|8364|8697|9088|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|22974|23133|23141|23198|23225|23332|23345|23511|23649|25777|26271|29781|51053|51512|51659|54892|55055|55135|55143|55839|55920|63967|79019|79682|80169|81620|84790|151246|200014|203068|387103,BIRC5|BLM|BRCA1|BRCA2|CCNA2|CCNB1|CDK1|CDC20|CENPE|CENPF|DHFR|DYRK1A|E2F3|EP300|FEN1|H2AC8|H2AX|H2BC5|LIG1|LMNB1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PCNA|PCNT|PLK1|POLD1|RBBP8|RRM2|TFDP1|TK1|TOP2A|TUBB2A|TUBG1|TYMS|NSD2|YWHAH|H2AC20|H3C2|H4C3|CDC23|PKMYT1|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|TPX2|PHF8|ANKLE2|PSME4|NUP210|CLASP1|SYNE1|NUP188|POLA2|SUN2|FBXO5|NCAPH2|GMNN|GTSE1|GINS2|NCAPG2|ZWILCH|WRAP53|CDCA8|CENPN|RCC2|CLSPN|CENPM|CENPU|CTC1|CDT1|TUBA1C|SGO2|CC2D1B|TUBB|CENPW,-45.955039665928936,0,1,1,1,-50.31674861916725,10.749117282183416,
1,-45.56158275020231,R-HSA-69278,M1,1,0,Reactome Gene Sets,6,"Cell Cycle, Mitotic",,-45.56158275020231,7.8462807968878945,21.999581198170894,28160,561,499,78,15.6312625250501,1.6256892383710548,332|890|891|983|991|1062|1063|1719|1859|1871|2033|2237|3012|3014|3017|3978|4001|4171|4172|4173|4174|4175|4176|4928|4999|5111|5116|5347|5424|6241|7027|7083|7153|7280|7283|7298|8338|8358|8364|8697|9088|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|22974|23133|23141|23198|23225|23332|23511|23649|26271|29781|51053|51512|51659|54892|55055|55143|55839|55920|79019|79682|81620|84790|151246|200014|203068,BIRC5|CCNA2|CCNB1|CDK1|CDC20|CENPE|CENPF|DHFR|DYRK1A|E2F3|EP300|FEN1|H2AC8|H2AX|H2BC5|LIG1|LMNB1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PCNA|PCNT|PLK1|POLD1|RRM2|TFDP1|TK1|TOP2A|TUBB2A|TUBG1|TYMS|H2AC20|H3C2|H4C3|CDC23|PKMYT1|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|TPX2|PHF8|ANKLE2|PSME4|NUP210|CLASP1|NUP188|POLA2|FBXO5|NCAPH2|GMNN|GTSE1|GINS2|NCAPG2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|CDT1|TUBA1C|SGO2|CC2D1B|TUBB,-41.50090379262798,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-25.947235366138205,R-HSA-68886,M1,1,0,Reactome Gene Sets,6,M Phase,,-25.947235366138205,6.750342790844847,15.908818983593665,28160,418,499,50,10.02004008016032,1.3441797677811738,332|891|983|991|1062|1063|3012|3014|3017|4001|4928|5116|5347|7280|7283|8338|8358|8364|8697|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|23133|23141|23198|23225|23332|23511|26271|29781|54892|55055|55143|55839|55920|79019|79682|84790|151246|200014|203068,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|H2AC8|H2AX|H2BC5|LMNB1|NUP98|PCNT|PLK1|TUBB2A|TUBG1|H2AC20|H3C2|H4C3|CDC23|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|PHF8|ANKLE2|PSME4|NUP210|CLASP1|NUP188|FBXO5|NCAPH2|NCAPG2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|CC2D1B|TUBB,-22.18758640422785,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-23.89393076787422,R-HSA-69620,M1,1,0,Reactome Gene Sets,6,Cell Cycle Checkpoints,,-23.89393076787422,7.869889438741428,15.904171307173964,28160,294,499,41,8.216432865731463,1.2293451973716536,332|641|672|890|891|983|991|1062|1063|3014|3017|4171|4172|4173|4174|4175|4176|4928|4999|5347|5932|7468|7533|8364|8697|9088|9133|10403|11065|11130|23198|23332|51512|55055|55143|55839|55920|63967|79019|79682|151246,BIRC5|BLM|BRCA1|CCNA2|CCNB1|CDK1|CDC20|CENPE|CENPF|H2AX|H2BC5|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PLK1|RBBP8|NSD2|YWHAH|H4C3|CDC23|PKMYT1|CCNB2|NDC80|UBE2C|ZWINT|PSME4|CLASP1|GTSE1|ZWILCH|CDCA8|CENPN|RCC2|CLSPN|CENPM|CENPU|SGO2,-20.435311801627847,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-20.28227812496471,R-HSA-2555396,M1,1,0,Reactome Gene Sets,6,Mitotic Metaphase and Anaphase,,-20.28227812496471,8.09585415556852,14.734071189869686,28160,237,499,34,6.813627254509018,1.1280156278564604,332|891|983|991|1062|1063|4001|4928|5347|7280|8697|9133|9232|9883|10274|10376|10383|10403|11065|11130|23141|23198|23332|23511|26271|55055|55143|55839|55920|79019|79682|84790|151246|200014,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|LMNB1|NUP98|PLK1|TUBB2A|CDC23|CCNB2|PTTG1|POM121|STAG1|TUBA1B|TUBB4B|NDC80|UBE2C|ZWINT|ANKLE2|PSME4|CLASP1|NUP188|FBXO5|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|CC2D1B,-17.06669720740463,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-19.346474023952947,R-HSA-68882,M1,1,0,Reactome Gene Sets,6,Mitotic Anaphase,,-19.346474023952947,7.8910363099079515,14.27830561692149,28160,236,499,33,6.613226452905812,1.1124976694246538,332|891|983|991|1062|1063|4001|4928|5347|7280|8697|9133|9232|9883|10274|10376|10383|10403|11065|11130|23141|23198|23332|23511|55055|55143|55839|55920|79019|79682|84790|151246|200014,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|LMNB1|NUP98|PLK1|TUBB2A|CDC23|CCNB2|PTTG1|POM121|STAG1|TUBA1B|TUBB4B|NDC80|UBE2C|ZWINT|ANKLE2|PSME4|CLASP1|NUP188|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|CC2D1B,-16.215213992092906,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-18.44808177611049,R-HSA-195258,M1,1,0,Reactome Gene Sets,6,RHO GTPase Effectors,,-18.44808177611049,6.385370128636478,13.156318296107429,28160,327,499,37,7.414829659318637,1.1729271291136232,332|991|1062|1063|1729|2316|3012|3014|3017|3071|4627|4771|4928|5347|5580|7280|7533|8338|8358|8364|8826|10376|10383|10403|11130|23028|23332|26999|55055|55143|55839|55920|79019|79682|84790|147179|151246,BIRC5|CDC20|CENPE|CENPF|DIAPH1|FLNA|H2AC8|H2AX|H2BC5|NCKAP1L|MYH9|NF2|NUP98|PLK1|PRKCD|TUBB2A|YWHAH|H2AC20|H3C2|H4C3|IQGAP1|TUBA1B|TUBB4B|NDC80|ZWINT|KDM1A|CLASP1|CYFIP2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|WIPF2|SGO2,-15.371593210507676,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-18.265480385719254,R-HSA-68877,M1,1,0,Reactome Gene Sets,6,Mitotic Prometaphase,,-18.265480385719254,8.298950842862196,14.052802897683438,28160,204,499,30,6.012024048096192,1.064133781401052,332|891|983|991|1062|1063|4928|5116|5347|7280|7283|9133|9918|10051|10274|10376|10383|10403|10592|11130|23332|55055|55143|55839|55920|79019|79682|84790|151246|203068,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|NUP98|PCNT|PLK1|TUBB2A|TUBG1|CCNB2|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|ZWINT|CLASP1|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|TUBB,-15.225990727214857,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-17.4011320737188,R-HSA-2500257,M1,1,0,Reactome Gene Sets,6,Resolution of Sister Chromatid Cohesion,,-17.4011320737188,10.749117282183416,14.731025504819234,28160,126,499,24,4.809619238476954,0.9578590507895692,332|891|983|991|1062|1063|4928|5347|7280|9133|10274|10376|10383|10403|11130|23332|55055|55143|55839|55920|79019|79682|84790|151246,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|NUP98|PLK1|TUBB2A|CCNB2|STAG1|TUBA1B|TUBB4B|NDC80|ZWINT|CLASP1|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2,-14.43736312915252,0,1,0,0,-50.31674861916725,10.749117282183416,
1,-17.34277633429021,R-HSA-194315,M1,1,0,Reactome Gene Sets,6,Signaling by Rho GTPases,,-17.34277633429021,4.150649247575774,11.39566850713794,28160,707,499,52,10.420841683366733,1.3677433595851005,332|991|1062|1063|1213|1729|2316|2889|3012|3014|3017|3071|3954|4001|4627|4650|4771|4928|5347|5580|6510|6711|7171|7280|7533|8338|8358|8364|8826|9146|10376|10383|10403|11130|23013|23028|23141|23332|23344|23526|26999|29127|55055|55143|55839|55920|79019|79682|84790|139818|147179|151246,BIRC5|CDC20|CENPE|CENPF|CLTC|DIAPH1|FLNA|RAPGEF1|H2AC8|H2AX|H2BC5|NCKAP1L|LETM1|LMNB1|MYH9|MYO9B|NF2|NUP98|PLK1|PRKCD|SLC1A5|SPTBN1|TPM4|TUBB2A|YWHAH|H2AC20|H3C2|H4C3|IQGAP1|HGS|TUBA1B|TUBB4B|NDC80|ZWINT|SPEN|KDM1A|ANKLE2|CLASP1|ESYT1|ARHGAP45|CYFIP2|RACGAP1|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|DOCK11|WIPF2|SGO2,-14.396040729022712,0,1,0,0,-50.31674861916725,10.749117282183416,
