_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-17,C0025286,M1,1,0,DisGeNET,35,Meningioma,,-17,4.4,11,28160,634,499,49,9.8,1.3,1|162|332|435|672|675|864|891|975|983|1063|1164|1493|1981|1994|2597|2944|2947|3123|3265|3718|3833|3958|4171|4172|4173|4174|4175|4176|4288|4771|4853|4953|5111|5133|5294|5424|5580|7153|7297|7298|9232|10059|10105|11065|29072|29127|79651|203068,A1BG|AP1B1|BIRC5|ASL|BRCA1|BRCA2|RUNX3|CCNB1|CD81|CDK1|CENPF|CKS2|CTLA4|EIF4G1|ELAVL1|GAPDH|GSTM1|GSTM3|HLA-DRB1|HRAS|JAK3|KIFC1|LGALS3|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|MKI67|NF2|NOTCH2|ODC1|PCNA|PDCD1|PIK3CG|POLD1|PRKCD|TOP2A|TYK2|TYMS|PTTG1|DNM1L|PPIF|UBE2C|SETD2|RACGAP1|RHBDF2|TUBB,-14,0
1,-16,C0025990,M1,1,0,DisGeNET,35,Micrognathism,,-16,4.4,11,28160,586,499,46,9.2,1.3,672|675|1062|1063|1387|1487|1859|2033|2146|2189|2314|2316|3070|3265|3954|4174|4853|5116|5424|5723|5932|6197|6576|6949|7317|7468|9031|9150|9343|10525|23141|23406|29072|29089|29968|51053|54892|55209|55215|55697|55780|80232|81620|83879|89891|203068,BRCA1|BRCA2|CENPE|CENPF|CREBBP|CTBP1|DYRK1A|EP300|EZH2|FANCG|FLII|FLNA|HELLS|HRAS|LETM1|MCM5|NOTCH2|PCNT|POLD1|PSPH|RBBP8|RPS6KA3|SLC25A1|TCOF1|UBA1|NSD2|BAZ1B|CTDP1|EFTUD2|HYOU1|ANKLE2|COTL1|SETD2|UBE2T|PSAT1|GMNN|NCAPG2|SETD5|FANCI|VAC14|ERMARD|WDR26|CDT1|CDCA7|DYNC2I2|TUBB,-13,0
1,-16,C0015625,M1,1,0,DisGeNET,35,Fanconi Anemia,,-16,5.3,12,28160,393,499,37,7.4,1.2,641|672|675|864|891|983|1387|1487|1663|1719|1958|2146|2189|2237|2944|3014|3123|3458|4173|4175|5111|5424|5723|5892|5932|6711|8450|8932|10059|29089|29128|51659|55215|55729|55824|65125|79915,BLM|BRCA1|BRCA2|RUNX3|CCNB1|CDK1|CREBBP|CTBP1|DDX11|DHFR|EGR1|EZH2|FANCG|FEN1|GSTM1|H2AX|HLA-DRB1|IFNG|MCM4|MCM6|PCNA|POLD1|PSPH|RAD51D|RBBP8|SPTBN1|CUL4B|MBD2|DNM1L|UBE2T|UHRF1|GINS2|FANCI|ATF7IP|PAG1|WNK1|ATAD5,-12,0
1,-15,C3469521,M1,1,0,DisGeNET,35,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",,-15,5.3,11,28160,359,499,34,6.8,1.1,641|672|675|864|891|983|1062|1387|1487|1663|1719|2146|2189|2237|3014|3458|4175|5111|5424|5723|5892|5932|6711|8450|8932|10059|29089|29128|51659|55215|55729|55824|65125|79915,BLM|BRCA1|BRCA2|RUNX3|CCNB1|CDK1|CENPE|CREBBP|CTBP1|DDX11|DHFR|EZH2|FANCG|FEN1|H2AX|IFNG|MCM6|PCNA|POLD1|PSPH|RAD51D|RBBP8|SPTBN1|CUL4B|MBD2|DNM1L|UBE2T|UHRF1|GINS2|FANCI|ATF7IP|PAG1|WNK1|ATAD5,-11,0
1,-14,C0278876,M1,1,0,DisGeNET,35,Adult Medulloblastoma,,-14,3.6,9.9,28160,762,499,49,9.8,1.3,672|675|891|983|1387|1719|1981|1994|2011|2146|2149|2870|2944|3014|3070|3159|3458|4088|4171|4172|4173|4176|5111|5294|5339|5347|5424|6240|7133|7153|7155|7298|7874|7994|8140|8358|8570|8932|9021|9232|10985|23028|25777|29128|55294|65125|83879|115752|259266,BRCA1|BRCA2|CCNB1|CDK1|CREBBP|DHFR|EIF4G1|ELAVL1|MARK2|EZH2|F2R|GRK6|GSTM1|H2AX|HELLS|HMGA1|IFNG|SMAD3|MCM2|MCM3|MCM4|MCM7|PCNA|PIK3CG|PLEC|PLK1|POLD1|RRM1|TNFRSF1B|TOP2A|TOP2B|TYMS|USP7|KAT6A|SLC7A5|H3C2|KHSRP|MBD2|SOCS3|PTTG1|GCN1|KDM1A|SUN2|UHRF1|FBXW7|WNK1|CDCA7|DIS3L|ASPM,-11,0
1,-14,C0278510,M1,1,0,DisGeNET,35,Childhood Medulloblastoma,,-14,3.6,9.8,28160,771,499,49,9.8,1.3,672|675|891|983|1387|1719|1981|1994|2011|2146|2149|2870|2944|3014|3070|3159|3458|4088|4171|4172|4173|4176|5111|5294|5339|5347|5424|6240|7133|7153|7155|7298|7874|7994|8140|8358|8570|8932|9021|9232|10985|23028|25777|29128|55294|65125|83879|115752|259266,BRCA1|BRCA2|CCNB1|CDK1|CREBBP|DHFR|EIF4G1|ELAVL1|MARK2|EZH2|F2R|GRK6|GSTM1|H2AX|HELLS|HMGA1|IFNG|SMAD3|MCM2|MCM3|MCM4|MCM7|PCNA|PIK3CG|PLEC|PLK1|POLD1|RRM1|TNFRSF1B|TOP2A|TOP2B|TYMS|USP7|KAT6A|SLC7A5|H3C2|KHSRP|MBD2|SOCS3|PTTG1|GCN1|KDM1A|SUN2|UHRF1|FBXW7|WNK1|CDCA7|DIS3L|ASPM,-11,0
1,-13,C1328504,M1,1,0,DisGeNET,35,Hormone refractory prostate cancer,,-13,3.7,9.7,28160,683,499,45,9,1.3,672|675|890|983|991|1062|1387|1493|1958|1981|2033|2146|2171|2289|2316|2947|3458|3838|3916|5294|5347|5469|5580|5829|6197|7874|8364|8932|9021|9113|9133|9232|9612|9787|11065|11091|23028|23133|29028|29968|55824|79026|79644|79888|219333,BRCA1|BRCA2|CCNA2|CDK1|CDC20|CENPE|CREBBP|CTLA4|EGR1|EIF4G1|EP300|EZH2|FABP5|FKBP5|FLNA|GSTM3|IFNG|KPNA2|LAMP1|PIK3CG|PLK1|MED1|PRKCD|PXN|RPS6KA3|USP7|H4C3|MBD2|SOCS3|LATS1|CCNB2|PTTG1|NCOR2|DLGAP5|UBE2C|WDR5|KDM1A|PHF8|ATAD2|PSAT1|PAG1|AHNAK|SRD5A3|LPCAT1|USP12,-10,0
1,-13,C0848558,M1,1,0,DisGeNET,35,Hypospadias,,-13,4.9,10,28160,366,499,32,6.4,1.1,672|675|1387|1487|2033|2189|2316|2944|3954|4853|5116|5144|5294|5723|5932|7317|7468|8450|8514|9839|25942|29072|29089|51053|55209|55215|55697|55780|81620|83879|139818|203068,BRCA1|BRCA2|CREBBP|CTBP1|EP300|FANCG|FLNA|GSTM1|LETM1|NOTCH2|PCNT|PDE4D|PIK3CG|PSPH|RBBP8|UBA1|NSD2|CUL4B|KCNAB2|ZEB2|SIN3A|SETD2|UBE2T|GMNN|SETD5|FANCI|VAC14|ERMARD|CDT1|CDCA7|DOCK11|TUBB,-9.9,0
1,-12,C0024305,M1,1,0,DisGeNET,35,"Lymphoma, Non-Hodgkin",,-12,3.4,8.8,28160,733,499,44,8.8,1.3,31|332|602|641|672|675|1234|1387|1493|1981|2146|2944|2947|3002|3014|3043|3123|3265|3458|3662|3958|4288|4522|5111|5133|5294|5347|6240|7027|7133|7298|7916|8364|8932|9021|9612|10051|10376|11065|22974|23013|29968|84868|200081,ACACA|BIRC5|BCL3|BLM|BRCA1|BRCA2|CCR5|CREBBP|CTLA4|EIF4G1|EZH2|GSTM1|GSTM3|GZMB|H2AX|HBB|HLA-DRB1|HRAS|IFNG|IRF4|LGALS3|MKI67|MTHFD1|PCNA|PDCD1|PIK3CG|PLK1|RRM1|TFDP1|TNFRSF1B|TYMS|PRRC2A|H4C3|MBD2|SOCS3|NCOR2|SMC4|TUBA1B|UBE2C|TPX2|SPEN|PSAT1|HAVCR2|TXLNA,-8.8,0
1,-11,C0151779,M1,1,0,DisGeNET,35,Cutaneous Melanoma,,-11,3.9,8.8,28160,507,499,35,7,1.1,641|672|675|864|1033|1387|1493|2146|2597|2944|3123|3265|3458|3662|3718|3902|4172|4173|4175|4176|4288|5111|5133|5163|5347|7153|7298|9021|9232|10036|10484|23345|55143|55294|64332,BLM|BRCA1|BRCA2|RUNX3|CDKN3|CREBBP|CTLA4|EZH2|GAPDH|GSTM1|HLA-DRB1|HRAS|IFNG|IRF4|JAK3|LAG3|MCM3|MCM4|MCM6|MCM7|MKI67|PCNA|PDCD1|PDK1|PLK1|TOP2A|TYMS|SOCS3|PTTG1|CHAF1A|SEC23A|SYNE1|CDCA8|FBXW7|NFKBIZ,-8.2,0
